col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Gwen Collins,Barbara Carroll,David Rodriguez,Elaine Tomlin,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,All
Humberto Perez,,,,,,,,,,,,0,13,13,1,2
Karen Voss,,,,,,,,,,,,,0,14,1,2
Louis Agre,,,,,,,,,,,,,,0,1,2
Dawn Thomas,,,,,,,,,,,,,,,0,2
Total,51,21,18,5,40,23,23,21,20,19,19,17,16,15,2,2
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,3
,Robert M Mccord,Tom Wolf,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Gwen Collins,David Rodriguez,Barbara Carroll,Elaine Tomlin,Humberto Perez,Edward M Lloyd Jr,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,3
Robert M Mccord,23,0,0,0,34,26,10,15,14,8,4,4,6,1,1,3
Tom Wolf,,7,0,0,16,11,16,10,10,9,9,8,7,4,2,3
Allyson Y Schwartz,,,1,0,4,2,3,2,2,0,2,1,0,0,0,3
Katie Mcginty,,,,0,1,1,0,1,1,1,1,1,1,1,0,3
Latrice Y Bryant,,,,,0,37,19,27,26,15,14,11,13,5,1,3
Gwen Collins,,,,,,0,18,27,26,14,11,13,11,5,2,3
David Rodriguez,,,,,,,0,10,9,14,12,11,9,5,1,3
Barbara Carroll,,,,,,,,0,24,9,9,10,10,4,2,3
Elaine Tomlin,,,,,,,,,0,8,8,8,9,3,2,3
Humberto Perez,,,,,,,,,,0,12,10,11,5,1,3
Edward M Lloyd Jr,,,,,,,,,,,0,10,10,4,1,3
Karen Voss,,,,,,,,,,,,0,8,5,1,3
Louis Agre,,,,,,,,,,,,,0,3,1,3
Ruth I Birchett,,,,,,,,,,,,,,0,0,3
Dawn Thomas,,,,,,,,,,,,,,,0,3
Total,62,28,7,1,55,40,29,28,27,18,16,14,14,6,3,3
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Governor - Democrat,,,,4
,Latrice Y Bryant,David Rodriguez,Edward M Lloyd Jr,Elaine Tomlin,Barbara Carroll,Gwen Collins,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,4
Latrice Y Bryant,0,11,12,9,8,7,6,7,5,5,0,14,3,5,1,4
David Rodriguez,,0,11,7,6,3,6,6,4,4,0,7,3,4,0,4
Edward M Lloyd Jr,,,0,6,6,4,5,6,4,4,0,7,1,4,0,4
Elaine Tomlin,,,,0,7,5,6,5,4,4,0,4,3,3,0,4
Barbara Carroll,,,,,0,6,5,7,4,3,0,3,3,3,0,4
Gwen Collins,,,,,,0,4,5,3,2,0,2,2,2,2,4
Humberto Perez,,,,,,,0,6,5,4,0,4,2,1,1,4
Karen Voss,,,,,,,,0,5,4,0,3,2,2,1,4
Louis Agre,,,,,,,,,0,3,0,3,1,1,1,4
Ruth I Birchett,,,,,,,,,,0,0,1,1,2,1,4
Dawn Thomas,,,,,,,,,,,0,0,0,0,0,4
Tom Wolf,,,,,,,,,,,,3,0,0,0,4
Allyson Y Schwartz,,,,,,,,,,,,,1,0,0,4
Robert M Mccord,,,,,,,,,,,,,,1,0,4
Katie Mcginty,,,,,,,,,,,,,,,0,4
Total,23,14,12,10,9,8,8,8,6,5,0,18,7,7,2,4
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,5
,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,Latrice Y Bryant,Barbara Carroll,Edward M Lloyd Jr,David Rodriguez,Elaine Tomlin,Gwen Collins,Louis Agre,Karen Voss,Humberto Perez,Ruth I Birchett,Dawn Thomas,5
Tom Wolf,10,0,0,0,18,7,14,11,6,7,5,5,4,4,0,5
Robert M Mccord,,1,0,0,8,6,2,4,6,5,3,3,3,3,0,5
Allyson Y Schwartz,,,2,0,6,6,3,4,5,6,4,4,3,3,0,5
Katie Mcginty,,,,0,1,1,1,0,1,0,0,0,0,0,0,5
Latrice Y Bryant,,,,,0,19,12,11,16,14,8,9,7,8,0,5
Barbara Carroll,,,,,,0,10,8,17,16,9,10,9,9,0,5
Edward M Lloyd Jr,,,,,,,0,8,8,8,5,7,6,5,0,5
David Rodriguez,,,,,,,,0,6,6,8,7,7,6,0,5
Elaine Tomlin,,,,,,,,,0,15,8,8,8,6,0,5
Gwen Collins,,,,,,,,,,0,8,10,8,7,0,5
Louis Agre,,,,,,,,,,,1,9,8,6,0,5
Karen Voss,,,,,,,,,,,,0,9,9,0,5
Humberto Perez,,,,,,,,,,,,,0,7,0,5
Ruth I Birchett,,,,,,,,,,,,,,0,0,5
Dawn Thomas,,,,,,,,,,,,,,,0,5
Total,42,12,10,1,34,22,21,19,19,19,13,12,10,10,0,5
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,6
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Latrice Y Bryant,David Rodriguez,Edward M Lloyd Jr,Gwen Collins,Elaine Tomlin,Karen Voss,Barbara Carroll,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,6
Tom Wolf,14,0,0,0,32,21,18,11,11,10,10,5,5,6,0,6
Allyson Y Schwartz,,2,0,0,4,4,3,7,5,4,4,5,3,3,0,6
Robert M Mccord,,,3,0,3,3,2,2,2,2,2,1,0,1,0,6
Katie Mcginty,,,,0,0,0,0,1,0,1,0,2,2,0,0,6
Latrice Y Bryant,,,,,0,19,18,17,14,12,14,8,7,8,0,6
David Rodriguez,,,,,,0,17,10,9,9,8,8,6,5,0,6
Edward M Lloyd Jr,,,,,,,0,9,11,8,9,8,7,6,0,6
Gwen Collins,,,,,,,,0,15,13,14,10,9,9,0,6
Elaine Tomlin,,,,,,,,,0,12,12,9,8,8,0,6
Karen Voss,,,,,,,,,,0,11,9,8,7,0,6
Barbara Carroll,,,,,,,,,,,0,9,8,7,0,6
Humberto Perez,,,,,,,,,,,,0,9,6,0,6
Louis Agre,,,,,,,,,,,,,0,4,0,6
Ruth I Birchett,,,,,,,,,,,,,,0,0,6
Dawn Thomas,,,,,,,,,,,,,,,0,6
Total,56,11,9,2,39,28,23,21,18,17,16,13,10,10,0,6
,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,Governor - Democrat,,,,7
,Latrice Y Bryant,Gwen Collins,Barbara Carroll,Elaine Tomlin,Edward M Lloyd Jr,Karen Voss,David Rodriguez,Humberto Perez,Louis Agre,Ruth I Birchett,Dawn Thomas,Tom Wolf,Robert M Mccord,Allyson Y Schwartz,Katie Mcginty,7
Latrice Y Bryant,1,33,35,34,18,15,14,11,12,10,0,25,20,8,1,7
Gwen Collins,,0,35,33,19,20,15,16,15,12,0,20,15,8,3,7
Barbara Carroll,,,0,36,18,17,14,13,14,12,0,18,16,5,1,7
Elaine Tomlin,,,,0,16,15,13,12,12,11,0,14,17,6,1,7
Edward M Lloyd Jr,,,,,0,15,16,12,12,12,0,15,3,5,0,7
Karen Voss,,,,,,0,13,15,14,10,0,11,1,8,3,7
David Rodriguez,,,,,,,0,12,11,9,1,14,2,4,0,7
Humberto Perez,,,,,,,,1,13,9,0,8,1,5,3,7
Louis Agre,,,,,,,,,0,8,0,8,2,5,2,7
Ruth I Birchett,,,,,,,,,,1,0,10,1,2,1,7
Dawn Thomas,,,,,,,,,,,0,1,0,0,0,7
Tom Wolf,,,,,,,,,,,,15,0,0,0,7
Robert M Mccord,,,,,,,,,,,,,4,0,0,7
Allyson Y Schwartz,,,,,,,,,,,,,,4,0,7
Katie Mcginty,,,,,,,,,,,,,,,0,7
Total,55,46,41,39,23,23,20,18,17,15,1,50,27,19,3,7
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,8
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Latrice Y Bryant,David Rodriguez,Gwen Collins,Edward M Lloyd Jr,Karen Voss,Humberto Perez,Barbara Carroll,Elaine Tomlin,Louis Agre,Ruth I Birchett,Dawn Thomas,8
Tom Wolf,18,0,0,0,32,21,17,17,12,12,9,6,10,7,2,8
Allyson Y Schwartz,,10,0,0,13,9,10,9,11,10,9,12,8,9,0,8
Robert M Mccord,,,7,0,7,5,5,3,2,2,3,3,2,2,1,8
Katie Mcginty,,,,2,3,2,3,1,2,2,2,2,1,2,0,8
Latrice Y Bryant,,,,,0,26,24,22,20,19,20,18,15,18,1,8
David Rodriguez,,,,,,0,22,21,19,19,19,15,16,16,1,8
Gwen Collins,,,,,,,0,20,23,23,22,19,17,19,1,8
Edward M Lloyd Jr,,,,,,,,0,18,16,16,14,13,15,0,8
Karen Voss,,,,,,,,,0,20,18,16,16,17,1,8
Humberto Perez,,,,,,,,,,0,18,17,17,17,1,8
Barbara Carroll,,,,,,,,,,,0,19,16,20,0,8
Elaine Tomlin,,,,,,,,,,,,0,14,18,0,8
Louis Agre,,,,,,,,,,,,,0,15,1,8
Ruth I Birchett,,,,,,,,,,,,,,1,0,8
Dawn Thomas,,,,,,,,,,,,,,,0,8
Total,71,31,21,6,56,38,35,31,28,26,24,23,22,22,3,8
,Governor - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,9
,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,Latrice Y Bryant,David Rodriguez,Gwen Collins,Barbara Carroll,Edward M Lloyd Jr,Elaine Tomlin,Humberto Perez,Karen Voss,Ruth I Birchett,Louis Agre,Dawn Thomas,9
Tom Wolf,33,0,0,0,42,22,13,10,14,10,7,9,7,6,1,9
Allyson Y Schwartz,,7,0,0,11,5,8,10,5,5,6,5,5,3,0,9
