col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Allan Domb,Justin Diberardinis,Katherine Gilmore Richardson,Derek S Green,Adrián Rivera-reyes,Eryn Santamoor,Deja Lynn Alvarez,Isaiah Thomas,Beth Finn,Erika Almirón,Joseph A Diorio,Sandra Dungee Glenn,Billy Thompson,Willie Floyd Singletary,Ogbonna Paul Hagins,Fernando Treviño,Bobbie Curry,Vinny Black,Mark Ross,Wayne Edmund Dorsey,Ethelind Baylor,Hena Veit,Asa Khalif,Latrice Y Bryant,Edwin Santana,Wayne Allen,Fareed Abdullah,Devon Cade,Sherrie Cohen,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,3
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,41,41,27,21,19,18,17,16,16,12,12,9,9,9,8,7,7,6,6,5,5,4,3,3,3,2,1,1,1,0,3
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Allan Domb,Helen Gym,Justin Diberardinis,Eryn Santamoor,Katherine Gilmore Richardson,Beth Finn,Joseph A Diorio,Deja Lynn Alvarez,Isaiah Thomas,Billy Thompson,Derek S Green,Adrián Rivera-reyes,Sandra Dungee Glenn,Erika Almirón,Willie Floyd Singletary,Vinny Black,Ethelind Baylor,Mark Ross,Bobbie Curry,Wayne Allen,Wayne Edmund Dorsey,Fernando Treviño,Hena Veit,Latrice Y Bryant,Asa Khalif,Devon Cade,Edwin Santana,Ogbonna Paul Hagins,Fareed Abdullah,Sherrie Cohen,4
Allan Domb,3,25,19,11,9,10,11,6,8,7,6,1,3,2,5,6,2,3,1,3,3,1,0,1,2,1,2,0,0,0,4
Helen Gym,,5,16,14,10,7,9,7,10,4,8,6,4,6,4,5,3,1,1,2,2,2,2,2,2,0,1,1,0,0,4
Justin Diberardinis,,,1,12,7,5,5,3,5,4,6,3,2,3,0,2,2,2,1,1,0,0,0,1,1,0,1,0,0,0,4
Eryn Santamoor,,,,1,5,5,5,5,1,2,2,3,3,2,2,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,4
Katherine Gilmore Richardson,,,,,1,3,2,2,5,1,4,1,3,1,0,1,2,1,2,1,1,0,1,1,0,1,0,0,0,0,4
Beth Finn,,,,,,0,3,2,0,5,1,0,3,2,1,1,0,3,2,0,2,0,1,0,0,1,0,0,0,0,4
Joseph A Diorio,,,,,,,1,0,0,1,1,0,0,1,1,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,4
Deja Lynn Alvarez,,,,,,,,1,0,1,0,4,0,1,2,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,4
Isaiah Thomas,,,,,,,,,0,0,5,0,2,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,4
Billy Thompson,,,,,,,,,,1,0,0,0,1,0,3,0,2,3,2,1,0,1,0,0,1,0,0,0,0,4
Derek S Green,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4
Adrián Rivera-reyes,,,,,,,,,,,,2,1,1,2,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,4
Sandra Dungee Glenn,,,,,,,,,,,,,0,3,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,4
Erika Almirón,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4
Willie Floyd Singletary,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4
Vinny Black,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Ethelind Baylor,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,1,0,0,0,4
Mark Ross,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Bobbie Curry,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,4
Wayne Allen,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,2,0,0,0,0,4
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,4
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,4
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,4
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
Total,47,46,31,22,18,15,14,12,12,11,11,9,8,7,7,6,5,5,4,4,4,3,3,3,2,2,2,1,0,0,4
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Helen Gym,Allan Domb,Derek S Green,Justin Diberardinis,Eryn Santamoor,Katherine Gilmore Richardson,Adrián Rivera-reyes,Isaiah Thomas,Beth Finn,Deja Lynn Alvarez,Bobbie Curry,Erika Almirón,Ethelind Baylor,Joseph A Diorio,Ogbonna Paul Hagins,Billy Thompson,Devon Cade,Latrice Y Bryant,Willie Floyd Singletary,Asa Khalif,Vinny Black,Fernando Treviño,Hena Veit,Sandra Dungee Glenn,Edwin Santana,Fareed Abdullah,Mark Ross,Sherrie Cohen,Wayne Allen,Wayne Edmund Dorsey,5
Helen Gym,3,13,11,7,12,9,7,6,3,4,1,3,3,1,3,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,5
Allan Domb,,1,11,5,7,8,2,4,4,0,3,1,0,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,5
Derek S Green,,,1,6,5,7,4,5,0,1,2,0,2,0,0,2,2,2,0,2,1,0,1,0,0,0,0,0,0,0,5
Justin Diberardinis,,,,4,5,2,3,2,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Eryn Santamoor,,,,,0,4,3,0,3,0,1,4,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,5
Katherine Gilmore Richardson,,,,,,0,1,6,2,1,1,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
Adrián Rivera-reyes,,,,,,,0,0,2,4,0,0,1,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5
Isaiah Thomas,,,,,,,,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Beth Finn,,,,,,,,,0,2,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Deja Lynn Alvarez,,,,,,,,,,0,0,0,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5
Bobbie Curry,,,,,,,,,,,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
Erika Almirón,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5
Ethelind Baylor,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Joseph A Diorio,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
Ogbonna Paul Hagins,,,,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
Billy Thompson,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
Devon Cade,,,,,,,,,,,,,,,,,0,2,0,2,0,0,1,0,0,0,0,0,0,0,5
Latrice Y Bryant,,,,,,,,,,,,,,,,,,0,0,2,0,0,1,0,0,0,0,0,0,0,5
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,5
Asa Khalif,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,5
Vinny Black,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,5
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
Total,28,21,19,14,13,12,9,7,6,6,4,4,4,4,4,3,3,3,3,2,2,1,1,1,0,0,0,0,0,0,5
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
