col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,division
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,1,0,0,0,1
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,48,30,22,45,31,25,25,24,23,23,19,15,13,13,12,12,9,9,7,7,7,6,6,5,4,3,3,2,2,1,0,0,0,1
,Mayor - Democrat,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Jim Kenney,Alan Butkovitz,Anthony Hardy Williams,Helen Gym,Isaiah Thomas,Adrián Rivera-reyes,Derek S Green,Allan Domb,Katherine Gilmore Richardson,Deja Lynn Alvarez,Eryn Santamoor,Vinny Black,Justin Diberardinis,Erika Almirón,Willie Floyd Singletary,Beth Finn,Asa Khalif,Fareed Abdullah,Fernando Treviño,Latrice Y Bryant,Ogbonna Paul Hagins,Billy Thompson,Joseph A Diorio,Edwin Santana,Sandra Dungee Glenn,Ethelind Baylor,Mark Ross,Hena Veit,Wayne Allen,Wayne Edmund Dorsey,Bobbie Curry,Devon Cade,Sherrie Cohen,2
Jim Kenney,5,0,0,23,16,18,9,7,8,8,7,4,7,7,6,2,5,3,5,4,4,0,2,2,2,3,0,1,0,1,0,0,0,2
Alan Butkovitz,,0,0,8,4,3,6,7,3,2,2,3,2,0,3,3,1,1,1,1,1,4,3,2,0,0,3,1,2,1,1,0,0,2
Anthony Hardy Williams,,,2,6,6,1,5,5,3,2,3,2,1,2,0,2,0,2,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,2
