col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,City Commissioners - Democrat,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Lisa Deeley,Kahlil Williams,Dennis Lee,Marwan Kreidie,Annette Thompson,Carla Cain,Luigi Borda,Jen Devor,Robin Trent,Lewis Harris Jr,Warren Bloom,Moira Bohannon,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Katherine Gilmore Richardson,Sandra Dungee Glenn,Adrián Rivera-reyes,Deja Lynn Alvarez,Willie Floyd Singletary,Eryn Santamoor,Edwin Santana,Fareed Abdullah,Asa Khalif,Erika Almirón,Ogbonna Paul Hagins,Justin Diberardinis,Latrice Y Bryant,Billy Thompson,Fernando Treviño,Beth Finn,Joseph A Diorio,Ethelind Baylor,Hena Veit,Wayne Allen,Vinny Black,Mark Ross,Devon Cade,Wayne Edmund Dorsey,Bobbie Curry,Sherrie Cohen,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,3,135,32,24,7,67,47,20,12,15,34,11,19,35,12,18,17,11,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,26,16,71,32,25,17,12,25,26,16,19,12,22,15,11,0,All
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,66,58,37,48,40,7,40,24,8,7,7,12,11,13,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,22,23,10,15,17,5,15,12,10,7,6,4,3,1,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,10,81,18,84,45,6,4,9,4,8,5,8,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,48,23,33,12,19,22,18,14,23,17,16,24,0,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,15,30,22,16,20,21,21,7,16,16,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,95,9,17,11,6,6,5,3,10,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,17,25,11,8,11,8,7,5,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,20,11,11,14,14,7,7,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,6,0,10,5,4,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,6,7,7,8,0,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,7,4,8,6,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,7,6,10,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,13,11,0,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,8,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,992","2,013","1,089",872,507,463,289,186,161,147,135,115,59,"3,304","2,536","2,366","2,303","1,806","1,240",992,800,784,666,562,509,446,440,435,406,388,344,307,293,262,245,153,140,137,119,118,114,109,2,All
