col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,All
,Helen Gym,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Willie Floyd Singletary,Deja Lynn Alvarez,Ogbonna Paul Hagins,Fareed Abdullah,Latrice Y Bryant,Sandra Dungee Glenn,Asa Khalif,Eryn Santamoor,Billy Thompson,Erika Almirón,Mark Ross,Beth Finn,Justin Diberardinis,Ethelind Baylor,Wayne Allen,Bobbie Curry,Hena Veit,Joseph A Diorio,Fernando Treviño,Vinny Black,Wayne Edmund Dorsey,Edwin Santana,Devon Cade,Sherrie Cohen,David H Conroy,Theresa Brunson,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,2
,Helen Gym,Allan Domb,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Deja Lynn Alvarez,Adrián Rivera-reyes,Willie Floyd Singletary,Erika Almirón,Eryn Santamoor,Ethelind Baylor,Ogbonna Paul Hagins,Billy Thompson,Asa Khalif,Justin Diberardinis,Latrice Y Bryant,Sandra Dungee Glenn,Fareed Abdullah,Beth Finn,Edwin Santana,Fernando Treviño,Hena Veit,Mark Ross,Vinny Black,Wayne Allen,Bobbie Curry,Devon Cade,Joseph A Diorio,Sherrie Cohen,Wayne Edmund Dorsey,David H Conroy,Theresa Brunson,2
Helen Gym,2,25,23,23,22,4,5,3,4,4,4,3,3,1,2,1,2,0,1,1,1,0,0,1,1,0,0,0,0,0,27,9,2
Allan Domb,,5,23,21,22,4,1,1,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,23,3,2
Derek S Green,,,2,23,20,2,0,1,0,3,2,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,5,2
Isaiah Thomas,,,,2,21,1,1,1,2,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,22,3,2
Katherine Gilmore Richardson,,,,,0,3,1,0,2,1,0,0,2,1,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,19,6,2
Deja Lynn Alvarez,,,,,,0,3,3,0,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,4,2
Adrián Rivera-reyes,,,,,,,0,2,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2
Willie Floyd Singletary,,,,,,,,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2
Erika Almirón,,,,,,,,,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
Eryn Santamoor,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,2
Ethelind Baylor,,,,,,,,,,,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2
Ogbonna Paul Hagins,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Billy Thompson,,,,,,,,,,,,,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3,2
Asa Khalif,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Justin Diberardinis,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
Latrice Y Bryant,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
Fareed Abdullah,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Beth Finn,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2
