col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Joshua Roberts,Jennifer Schultz,Carmella Jacquinto,Wendi Barish,James C Crumlish,Craig Levin,Anthony Kyriakakis,Henry Mcgregor Sias,Jon Marshall,Tiffany Palmer,Nicola Serianni,Cateria R Mccabe,Leon Goodman,Kendra Mccrae,Beth Grossman,Terri M Booker,Sherman Toppin,Janine D Momasso,Chris Hall,Kay Yu,Laurie Dow,Vicki Markovitz,James F Berardinelli,Robert Trimble,Gregory Weyer,Helen Gym,Isaiah Thomas,Allan Domb,Derek S Green,Adrián Rivera-reyes,Katherine Gilmore Richardson,Deja Lynn Alvarez,Willie Floyd Singletary,Ogbonna Paul Hagins,Erika Almirón,Sandra Dungee Glenn,Fernando Treviño,Eryn Santamoor,Fareed Abdullah,Beth Finn,Billy Thompson,Latrice Y Bryant,Asa Khalif,Justin Diberardinis,Edwin Santana,Hena Veit,Joseph A Diorio,Wayne Allen,Ethelind Baylor,Vinny Black,Mark Ross,Bobbie Curry,Devon Cade,Wayne Edmund Dorsey,Sherrie Cohen,All
Deja Lynn Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,123,108,22,13,48,22,9,17,11,18,5,8,25,16,14,9,4,6,8,6,5,2,0,All
Willie Floyd Singletary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100,5,6,14,14,13,8,20,10,5,0,5,6,10,9,4,6,7,4,2,6,0,All
Ogbonna Paul Hagins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,8,16,12,2,7,11,4,5,2,4,4,5,1,3,4,2,2,2,2,0,All
Erika Almirón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,30,11,7,14,6,9,14,15,16,9,2,3,15,5,4,2,2,0,0,All
Sandra Dungee Glenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,11,7,12,11,18,16,9,14,13,18,7,6,4,5,3,3,4,0,All
Fernando Treviño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,4,12,14,6,6,7,36,10,15,4,6,2,3,3,1,1,0,All
Eryn Santamoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,19,9,12,5,14,6,13,7,6,3,7,11,11,5,4,0,All
Fareed Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,9,12,26,3,5,2,6,5,6,4,3,5,6,2,0,All
Beth Finn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,10,7,2,8,16,4,10,6,3,1,10,4,3,1,All
Billy Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,9,3,2,4,8,6,4,5,6,4,8,3,0,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,3,7,7,11,4,10,10,9,7,1,0,All
Asa Khalif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,6,2,2,2,7,1,4,2,2,0,All
Justin Diberardinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,1,7,1,8,3,5,5,2,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,10,5,4,0,2,3,2,0,0,All
Hena Veit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,2,7,1,3,0,3,0,All
Joseph A Diorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,6,6,3,7,1,1,All
Wayne Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,8,2,7,6,3,0,All
Ethelind Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,2,0,0,All
Vinny Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,2,0,All
Mark Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,1,5,0,All
Bobbie Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,1,All
Devon Cade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,All
Wayne Edmund Dorsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,786,598,408,403,396,355,319,295,291,228,189,188,185,181,175,165,146,130,125,122,109,109,79,73,39,650,645,564,522,498,379,346,258,206,147,146,131,114,99,93,91,91,89,89,81,77,73,64,57,48,40,38,38,30,1,All
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Joshua Roberts,Carmella Jacquinto,James C Crumlish,Jennifer Schultz,Wendi Barish,Henry Mcgregor Sias,Anthony Kyriakakis,Craig Levin,Tiffany Palmer,Cateria R Mccabe,Beth Grossman,Chris Hall,Jon Marshall,Kendra Mccrae,Leon Goodman,Janine D Momasso,Laurie Dow,Vicki Markovitz,Kay Yu,Nicola Serianni,Sherman Toppin,Terri M Booker,Gregory Weyer,James F Berardinelli,Robert Trimble,Adrián Rivera-reyes,Isaiah Thomas,Helen Gym,Derek S Green,Allan Domb,Deja Lynn Alvarez,Katherine Gilmore Richardson,Erika Almirón,Willie Floyd Singletary,Fernando Treviño,Ogbonna Paul Hagins,Sandra Dungee Glenn,Billy Thompson,Beth Finn,Edwin Santana,Hena Veit,Latrice Y Bryant,Asa Khalif,Eryn Santamoor,Fareed Abdullah,Wayne Allen,Bobbie Curry,Devon Cade,Ethelind Baylor,Joseph A Diorio,Justin Diberardinis,Mark Ross,Sherrie Cohen,Vinny Black,Wayne Edmund Dorsey,1
Joshua Roberts,3,13,17,3,14,10,10,4,2,2,1,1,3,1,1,1,1,0,0,2,0,2,1,0,0,10,11,10,13,14,7,10,1,5,2,3,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
Carmella Jacquinto,,0,14,4,14,11,9,2,1,1,1,1,1,1,0,1,3,0,0,1,0,1,1,0,0,8,10,3,13,10,6,10,1,1,3,0,2,0,1,2,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
James C Crumlish,,,0,6,13,12,13,4,2,1,0,2,3,0,0,1,1,0,0,1,0,1,1,0,0,6,11,9,11,10,6,9,3,3,2,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
Jennifer Schultz,,,,1,5,4,3,4,4,2,1,4,3,2,3,1,3,3,2,2,1,0,0,1,0,13,4,8,2,2,7,1,4,4,2,1,2,2,3,2,2,2,0,2,1,1,1,1,1,0,0,0,0,0,0,1
Wendi Barish,,,,,0,10,7,4,2,0,3,2,3,1,1,1,3,2,1,1,2,1,0,0,0,6,10,5,14,11,6,9,2,3,5,2,2,2,1,2,1,2,1,1,0,2,1,0,0,0,1,0,0,0,0,1
Henry Mcgregor Sias,,,,,,0,11,1,3,3,0,2,0,1,2,1,0,0,1,0,0,0,0,1,0,5,10,7,10,9,5,8,4,1,3,0,1,0,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
Anthony Kyriakakis,,,,,,,0,0,2,1,0,3,0,0,1,1,0,1,0,0,0,0,1,1,0,5,9,5,7,8,4,5,2,0,2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Craig Levin,,,,,,,,1,2,2,2,0,3,2,1,0,0,1,0,1,2,2,0,0,0,6,3,7,5,4,5,2,1,4,1,4,1,2,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Tiffany Palmer,,,,,,,,,0,3,2,3,1,4,1,1,1,1,2,1,0,2,0,1,0,5,5,6,3,1,4,0,4,2,1,1,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Cateria R Mccabe,,,,,,,,,,0,1,0,0,2,2,1,0,0,2,0,1,1,0,1,0,2,3,6,3,3,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Beth Grossman,,,,,,,,,,,0,2,1,1,0,0,1,1,1,0,1,0,0,0,0,2,2,2,3,3,1,1,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chris Hall,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,0,0,0,1,0,4,3,3,1,2,3,0,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4,1,1,3,0,0,2,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kendra Mccrae,,,,,,,,,,,,,,0,1,0,1,1,2,1,0,2,0,0,0,4,2,2,2,1,2,0,1,2,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Leon Goodman,,,,,,,,,,,,,,,0,1,0,2,1,1,0,0,0,2,0,3,2,4,1,2,1,0,2,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
Janine D Momasso,,,,,,,,,,,,,,,,0,1,1,0,0,1,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
Laurie Dow,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,0,0,2,1,0,2,1,2,1,0,0,1,0,1,1,2,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1
Vicki Markovitz,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,2,2,1,1,1,0,0,2,0,1,0,0,2,2,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1
