col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheriff - Democrat,,,,All
,Helen Gym,Justin Diberardinis,Erika Almirón,Isaiah Thomas,Eryn Santamoor,Allan Domb,Ethelind Baylor,Derek S Green,Katherine Gilmore Richardson,Adrián Rivera-reyes,Deja Lynn Alvarez,Fernando Treviño,Beth Finn,Sandra Dungee Glenn,Ogbonna Paul Hagins,Asa Khalif,Willie Floyd Singletary,Joseph A Diorio,Latrice Y Bryant,Billy Thompson,Fareed Abdullah,Hena Veit,Edwin Santana,Mark Ross,Devon Cade,Wayne Allen,Vinny Black,Bobbie Curry,Wayne Edmund Dorsey,Sherrie Cohen,Rochelle Bilal,Malika Rahman,Jewell Williams,Larry King Sr,All
Helen Gym,4,126,116,102,86,33,41,24,23,18,16,15,13,12,5,5,3,4,4,3,2,1,1,2,1,2,0,0,0,0,131,27,7,5,1
Justin Diberardinis,,0,101,94,84,27,39,30,19,8,7,11,6,6,3,4,1,1,2,1,2,2,0,0,1,0,1,0,1,0,115,19,6,4,1
Erika Almirón,,,0,96,85,8,18,10,12,13,7,10,5,4,0,1,1,1,0,0,1,1,2,0,0,0,0,0,1,0,104,12,2,1,1
Isaiah Thomas,,,,0,84,6,12,16,5,8,4,0,3,5,3,2,1,2,0,1,0,0,0,1,1,0,0,0,1,0,93,8,5,2,1
Ethelind Baylor,,,,,0,2,4,8,4,2,6,3,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,82,5,4,1,1
Allan Domb,,,,,,4,23,16,5,8,9,1,7,6,7,4,0,1,6,3,3,3,2,0,0,2,0,0,0,0,27,15,5,4,1
Eryn Santamoor,,,,,,,1,17,12,10,7,3,11,5,2,3,0,0,2,0,3,3,1,0,1,2,0,0,0,0,32,16,2,2,1
Derek S Green,,,,,,,,0,5,7,3,5,2,7,2,1,0,2,1,1,0,0,0,1,0,2,0,0,0,0,21,11,3,3,1
Adrián Rivera-reyes,,,,,,,,,1,4,1,5,4,4,0,1,2,4,1,0,1,0,1,1,0,1,1,0,0,0,20,9,1,2,1
Katherine Gilmore Richardson,,,,,,,,,,0,5,1,5,6,1,1,0,1,0,0,0,0,1,3,1,1,0,0,0,0,11,9,1,3,1
Beth Finn,,,,,,,,,,,0,2,2,5,2,2,1,1,0,1,0,3,0,0,0,0,0,1,0,0,12,7,2,1,1
Deja Lynn Alvarez,,,,,,,,,,,,1,4,0,1,2,3,3,0,0,1,0,1,0,0,0,0,1,0,0,14,3,1,1,1
