col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,All
,R Seth Williams,Timika Lane,Giovanni Campbell,Vince Giusini,Daniel D Mccaffery,Joe Fernandes,James C Crumlish,Anne Marie Coyle,Tracy B Roman,Sierra Thomas Street,Stephanie M Sawyer,Kenneth J Powell Jr,Dawn M Tancredi,Leon A King Ii,Daine A Grey Jr,Rania Major,John J O Connor Jr,Derrick W Coker,Deborah D Cianfrani,Conor Corcoran,Frank Bennett,Sean P Stevens,Jon Marshall,Katie Scrivner,Fran Shields,All
Giovanni Campbell,,,0,11,10,9,4,3,9,0,2,3,4,2,3,1,0,1,1,0,0,0,0,0,0,4
Daniel D Mccaffery,,,,0,8,11,4,4,8,2,4,2,3,1,3,2,2,0,0,0,1,0,0,0,0,4
Vince Giusini,,,,,1,12,5,5,8,4,0,2,1,1,0,0,0,1,1,0,1,0,0,0,0,4
Joe Fernandes,,,,,,0,4,4,9,4,2,2,0,0,1,1,1,0,0,0,1,0,0,0,0,4
Tracy B Roman,,,,,,,1,5,0,4,4,2,2,3,2,3,2,2,1,1,0,0,0,0,0,4
Anne Marie Coyle,,,,,,,,0,0,4,1,0,2,1,1,2,0,1,1,0,1,0,0,0,0,4
James C Crumlish,,,,,,,,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4
Sierra Thomas Street,,,,,,,,,,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,4
Kenneth J Powell Jr,,,,,,,,,,,0,2,0,1,1,2,2,0,1,1,0,0,0,0,0,4
Leon A King Ii,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4
Stephanie M Sawyer,,,,,,,,,,,,,0,1,2,0,0,1,0,0,0,0,0,0,0,4
Daine A Grey Jr,,,,,,,,,,,,,,0,0,1,1,2,0,0,0,0,0,0,0,4
Derrick W Coker,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,4
Dawn M Tancredi,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,4
Rania Major,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4
Deborah D Cianfrani,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4
John J O Connor Jr,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,4
Conor Corcoran,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4
Fran Shields,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,0,0,4
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,,,0,4
Total,38,20,18,16,16,15,13,11,10,7,5,5,5,4,4,3,3,2,2,1,1,0,0,0,0,4
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,5
,R Seth Williams,Timika Lane,Anne Marie Coyle,Giovanni Campbell,Sierra Thomas Street,Tracy B Roman,Vince Giusini,Daniel D Mccaffery,Kenneth J Powell Jr,Joe Fernandes,Leon A King Ii,Stephanie M Sawyer,Daine A Grey Jr,Dawn M Tancredi,Deborah D Cianfrani,Derrick W Coker,Frank Bennett,James C Crumlish,John J O Connor Jr,Rania Major,Conor Corcoran,Jon Marshall,Sean P Stevens,Fran Shields,Katie Scrivner,5
R Seth Williams,1,15,14,10,11,9,9,8,9,9,6,5,4,4,4,2,4,4,3,3,1,1,1,0,0,5
Timika Lane,,0,9,8,8,10,8,3,5,7,6,3,3,0,1,3,0,2,0,2,0,1,1,0,0,5
Anne Marie Coyle,,,1,3,6,7,6,5,2,5,0,3,2,2,3,1,1,3,2,2,0,1,1,0,0,5
Giovanni Campbell,,,,0,3,4,5,4,5,3,4,3,3,2,0,2,1,2,2,1,1,0,0,0,0,5
Sierra Thomas Street,,,,,0,8,4,3,5,4,2,3,0,2,2,0,2,0,1,0,0,0,0,0,0,5
Tracy B Roman,,,,,,0,6,2,4,5,2,1,0,0,1,1,1,0,0,1,0,1,0,0,0,5
Vince Giusini,,,,,,,0,3,1,6,3,1,1,0,1,1,0,2,0,1,1,0,0,0,0,5
Daniel D Mccaffery,,,,,,,,0,1,1,2,5,2,3,3,2,2,2,3,0,1,0,1,0,0,5
Kenneth J Powell Jr,,,,,,,,,0,1,3,0,0,1,2,1,2,1,1,2,0,0,0,0,0,5
Joe Fernandes,,,,,,,,,,0,2,0,1,0,0,0,1,1,0,2,0,1,0,0,0,5
Leon A King Ii,,,,,,,,,,,0,2,1,0,0,2,1,0,0,1,1,0,0,0,0,5
Stephanie M Sawyer,,,,,,,,,,,,0,3,3,1,1,0,1,2,0,1,0,0,0,0,5
Daine A Grey Jr,,,,,,,,,,,,,0,1,0,1,1,1,1,0,0,0,0,0,0,5
Dawn M Tancredi,,,,,,,,,,,,,,0,1,0,0,0,3,0,0,0,0,0,0,5
Deborah D Cianfrani,,,,,,,,,,,,,,,0,0,1,2,0,1,0,0,1,0,0,5
Derrick W Coker,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,5
Frank Bennett,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,5
James C Crumlish,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,5
John J O Connor Jr,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5
Rania Major,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,5
Conor Corcoran,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5
Sean P Stevens,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,0,0,5
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,,0,5
Total,30,19,16,13,12,12,11,10,10,9,8,7,5,5,4,4,4,4,4,3,1,1,1,0,0,5
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,6
,R Seth Williams,Giovanni Campbell,Timika Lane,Vince Giusini,Stephanie M Sawyer,Anne Marie Coyle,Kenneth J Powell Jr,Joe Fernandes,Daniel D Mccaffery,Sierra Thomas Street,Tracy B Roman,Dawn M Tancredi,Leon A King Ii,James C Crumlish,Derrick W Coker,Daine A Grey Jr,Deborah D Cianfrani,Conor Corcoran,Rania Major,Sean P Stevens,John J O Connor Jr,Frank Bennett,Jon Marshall,Katie Scrivner,Fran Shields,6
R Seth Williams,6,32,29,25,20,21,17,16,15,15,13,11,10,10,7,6,8,6,5,4,2,1,1,1,0,6
Giovanni Campbell,,1,19,18,13,12,12,13,14,3,5,8,10,7,9,6,3,5,3,3,1,0,1,2,0,6
Timika Lane,,,2,18,8,13,12,12,7,11,8,8,7,6,6,1,5,1,3,1,3,1,2,1,0,6
Vince Giusini,,,,0,8,10,10,11,12,6,9,3,11,10,7,2,1,3,1,1,1,0,0,0,0,6
Stephanie M Sawyer,,,,,0,8,6,4,7,3,3,5,6,4,5,7,5,3,3,3,0,1,1,1,1,6
Anne Marie Coyle,,,,,,0,7,8,6,7,8,5,1,3,3,5,5,1,2,2,1,1,2,0,0,6
Kenneth J Powell Jr,,,,,,,0,2,10,3,3,6,9,3,4,2,1,3,1,2,2,1,0,1,0,6
Joe Fernandes,,,,,,,,0,4,6,4,1,0,6,1,4,3,2,2,1,3,1,1,0,0,6
Daniel D Mccaffery,,,,,,,,,1,0,0,5,7,5,2,2,0,1,0,2,0,0,0,0,0,6
Sierra Thomas Street,,,,,,,,,,0,6,5,1,0,0,2,4,1,1,1,2,1,0,0,0,6
Tracy B Roman,,,,,,,,,,,1,3,3,3,2,0,3,2,1,0,0,0,0,0,0,6
Dawn M Tancredi,,,,,,,,,,,,0,6,0,0,1,5,0,1,1,0,0,2,1,0,6
Leon A King Ii,,,,,,,,,,,,,0,1,4,0,0,3,0,0,0,0,0,0,0,6
James C Crumlish,,,,,,,,,,,,,,0,3,2,0,1,0,0,0,0,0,0,0,6
Derrick W Coker,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,0,6
Daine A Grey Jr,,,,,,,,,,,,,,,,0,2,1,0,2,0,1,1,0,1,6
Deborah D Cianfrani,,,,,,,,,,,,,,,,,0,1,2,0,0,0,1,0,0,6
Conor Corcoran,,,,,,,,,,,,,,,,,,0,1,2,2,2,0,0,0,6
Rania Major,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,6
Sean P Stevens,,,,,,,,,,,,,,,,,,,,0,1,2,2,0,1,6
John J O Connor Jr,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,6
Frank Bennett,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,6
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,0,0,1,6
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,,0,0,6
Fran Shields,,,,,,,,,,,,,,,,,,,,,,,,,0,6
Total,64,40,36,30,24,23,22,20,19,16,15,14,14,12,10,9,9,8,6,6,4,3,3,2,1,6
,District Attorney - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,7
,R Seth Williams,Giovanni Campbell,Vince Giusini,Daniel D Mccaffery,Timika Lane,Tracy B Roman,Joe Fernandes,James C Crumlish,Kenneth J Powell Jr,Stephanie M Sawyer,Anne Marie Coyle,Leon A King Ii,Dawn M Tancredi,Rania Major,Sierra Thomas Street,Daine A Grey Jr,Derrick W Coker,John J O Connor Jr,Frank Bennett,Conor Corcoran,Deborah D Cianfrani,Jon Marshall,Sean P Stevens,Fran Shields,Katie Scrivner,7
R Seth Williams,6,51,42,40,38,36,25,20,20,19,13,13,9,7,8,6,7,5,5,4,3,2,1,0,0,7
Giovanni Campbell,,0,32,29,31,15,20,19,18,16,7,12,6,4,3,5,6,2,2,3,1,1,1,0,0,7
Vince Giusini,,,1,26,29,20,19,20,11,11,12,4,3,3,5,1,4,2,2,0,1,0,0,0,0,7
Daniel D Mccaffery,,,,0,23,18,17,18,11,7,3,6,4,3,2,1,2,2,0,0,2,1,0,0,0,7
Timika Lane,,,,,0,18,21,15,12,10,7,5,3,5,5,4,4,0,0,0,0,0,0,0,0,7
