col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,All
,Al Taubenberger,Dan Tinney,David Oh,Bill Heeney,Matt Wolfe,Allan Domb,Helen Gym,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Maj Toure,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,David H Conroy,Write-In,All
Total,75,0,71,71,70,62,60,52,51,47,44,43,7,3,2,2,1,1,0,0,7
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,8
,Al Taubenberger,Dan Tinney,David Oh,Matt Wolfe,Bill Heeney,Allan Domb,Helen Gym,Derek S Green,Katherine Gilmore Richardson,Isaiah Thomas,Kendra Brooks,Joe Cox,Nicolas O'Rourke,Steve Cherniavsky,Clarc King,Sherrie Cohen,Maj Toure,Write-In,David H Conroy,Write-In,8
Al Taubenberger,7,96,100,92,89,13,13,12,7,5,4,4,2,5,1,2,1,1,31,0,8
Dan Tinney,,4,91,94,87,12,3,9,7,5,3,2,4,2,2,0,0,0,20,1,8
David Oh,,,0,91,89,18,11,8,5,2,3,2,2,2,2,0,1,0,24,0,8
Matt Wolfe,,,,0,87,9,3,5,4,1,1,1,0,3,1,1,2,0,17,1,8
Bill Heeney,,,,,1,8,4,3,3,1,2,1,1,2,1,0,1,0,13,0,8
Allan Domb,,,,,,0,79,79,75,70,3,0,0,0,0,0,0,0,78,1,8
Helen Gym,,,,,,,0,77,78,76,7,2,3,1,0,2,0,1,84,0,8
Derek S Green,,,,,,,,1,77,79,4,2,3,0,1,1,0,0,81,1,8
Katherine Gilmore Richardson,,,,,,,,,0,76,5,3,4,0,1,1,0,0,78,1,8
Isaiah Thomas,,,,,,,,,,0,5,2,3,0,1,0,0,0,77,0,8
Kendra Brooks,,,,,,,,,,,0,2,7,0,1,1,0,1,7,0,8
Joe Cox,,,,,,,,,,,,0,3,4,3,3,1,0,3,0,8
Nicolas O'Rourke,,,,,,,,,,,,,0,0,1,0,0,0,4,0,8
Steve Cherniavsky,,,,,,,,,,,,,,0,2,2,1,0,3,0,8
Clarc King,,,,,,,,,,,,,,,0,1,1,0,1,0,8
Sherrie Cohen,,,,,,,,,,,,,,,,0,1,1,3,0,8
Maj Toure,,,,,,,,,,,,,,,,,0,0,1,0,8
Write-In,,,,,,,,,,,,,,,,,,0,1,0,8
David H Conroy,,,,,,,,,,,,,,,,,,,0,0,8
Write-In,,,,,,,,,,,,,,,,,,,,0,8
Total,130,117,117,105,103,96,96,94,90,85,13,9,9,6,5,4,3,1,115,1,8
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,9
,Al Taubenberger,Dan Tinney,Bill Heeney,David Oh,Matt Wolfe,Allan Domb,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Isaiah Thomas,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Joe Cox,Clarc King,Maj Toure,Steve Cherniavsky,Write-In,David H Conroy,Write-In,9
Al Taubenberger,8,116,109,103,89,23,12,15,8,10,3,3,4,2,0,1,1,0,42,0,9
Dan Tinney,,0,100,90,85,11,5,6,1,2,3,4,3,2,0,1,1,0,21,0,9
Bill Heeney,,,2,89,92,11,3,3,1,2,2,2,2,1,0,0,1,0,24,0,9
David Oh,,,,1,84,11,7,8,2,2,3,1,0,1,0,1,0,0,23,0,9
Matt Wolfe,,,,,2,6,3,2,1,1,1,0,1,0,0,0,0,0,14,0,9
Allan Domb,,,,,,0,65,65,62,58,4,2,4,3,1,0,0,0,76,0,9
Derek S Green,,,,,,,0,66,70,66,8,5,2,2,3,1,1,0,75,0,9
Helen Gym,,,,,,,,1,63,60,6,3,1,1,1,0,0,0,72,0,9
Katherine Gilmore Richardson,,,,,,,,,0,65,7,5,1,3,3,1,0,0,72,0,9
Isaiah Thomas,,,,,,,,,,0,5,4,1,1,2,1,1,0,67,0,9
Kendra Brooks,,,,,,,,,,,0,6,0,1,1,0,0,0,12,0,9
Nicolas O'Rourke,,,,,,,,,,,,0,2,2,1,0,2,0,9,0,9
Sherrie Cohen,,,,,,,,,,,,,0,1,0,0,0,0,6,0,9
Joe Cox,,,,,,,,,,,,,,0,3,1,0,0,4,0,9
Clarc King,,,,,,,,,,,,,,,0,1,0,0,4,0,9
Maj Toure,,,,,,,,,,,,,,,,0,0,0,1,0,9
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,2,0,9
Write-In,,,,,,,,,,,,,,,,,,0,0,0,9
David H Conroy,,,,,,,,,,,,,,,,,,,3,0,9
Write-In,,,,,,,,,,,,,,,,,,,,0,9
Total,155,124,119,112,100,87,83,80,77,72,13,11,9,6,4,2,2,0,122,0,9
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,10
,Al Taubenberger,Dan Tinney,Bill Heeney,David Oh,Matt Wolfe,Allan Domb,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Clarc King,Steve Cherniavsky,Write-In,David H Conroy,Write-In,10
Al Taubenberger,9,128,121,123,118,20,13,10,12,4,2,1,3,3,4,1,1,1,47,0,10
Dan Tinney,,1,115,111,113,18,6,9,7,5,4,4,1,1,2,0,1,0,38,0,10
Bill Heeney,,,3,108,114,16,4,4,6,0,1,2,3,3,1,2,0,0,29,0,10
David Oh,,,,0,107,16,7,5,3,3,0,1,2,3,2,1,0,1,33,0,10
Matt Wolfe,,,,,4,11,2,2,3,0,1,2,1,3,1,0,1,0,25,0,10
Allan Domb,,,,,,1,69,63,63,64,7,7,2,1,4,0,0,1,81,0,10
Helen Gym,,,,,,,0,65,64,61,10,6,2,1,1,0,0,0,75,0,10
Isaiah Thomas,,,,,,,,0,62,66,6,5,3,1,1,1,0,0,76,0,10
Katherine Gilmore Richardson,,,,,,,,,0,58,7,3,2,0,0,1,0,0,71,0,10
Derek S Green,,,,,,,,,,0,3,2,1,1,1,0,0,1,67,0,10
Kendra Brooks,,,,,,,,,,,0,10,2,0,0,0,0,0,14,0,10
Nicolas O'Rourke,,,,,,,,,,,,0,2,0,1,0,0,0,11,0,10
Joe Cox,,,,,,,,,,,,,0,0,0,3,1,0,6,0,10
Maj Toure,,,,,,,,,,,,,,0,0,0,0,0,2,0,10
Sherrie Cohen,,,,,,,,,,,,,,,0,0,0,0,4,0,10
Clarc King,,,,,,,,,,,,,,,,0,0,0,3,0,10
Steve Cherniavsky,,,,,,,,,,,,,,,,,0,0,0,0,10
Write-In,,,,,,,,,,,,,,,,,,0,1,0,10
David H Conroy,,,,,,,,,,,,,,,,,,,0,0,10
Write-In,,,,,,,,,,,,,,,,,,,,0,10
Total,175,143,137,132,131,99,82,78,74,68,14,12,8,5,5,3,1,1,128,0,10
,Judge Of The Municipal Court,,Council At Large,,,,,,,,,,,,,,,,,,11
,David H Conroy,Write-In,Helen Gym,Al Taubenberger,Allan Domb,Dan Tinney,Katherine Gilmore Richardson,Derek S Green,Isaiah Thomas,David Oh,Bill Heeney,Matt Wolfe,Sherrie Cohen,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Joe Cox,Steve Cherniavsky,Clarc King,Write-In,11
David H Conroy,6,0,175,52,162,45,159,158,153,42,30,27,27,21,7,2,3,0,2,0,11
Write-In,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Helen Gym,,,2,18,150,17,155,154,152,23,9,5,15,22,7,1,1,1,0,0,11
Al Taubenberger,,,,4,25,152,16,6,6,135,131,126,13,0,0,2,1,1,1,0,11
Allan Domb,,,,,9,24,134,132,129,20,12,8,13,8,1,0,1,0,0,0,11
Dan Tinney,,,,,,5,19,7,11,120,129,121,10,9,1,2,1,1,1,0,11
Katherine Gilmore Richardson,,,,,,,1,146,145,10,6,5,11,17,5,1,0,1,0,0,11
Derek S Green,,,,,,,,1,147,7,2,3,5,12,3,1,0,0,0,0,11
Isaiah Thomas,,,,,,,,,0,6,2,4,5,13,4,1,0,1,0,0,11
David Oh,,,,,,,,,,5,118,117,7,2,1,1,1,1,0,0,11
Bill Heeney,,,,,,,,,,,2,119,4,3,1,1,2,1,1,0,11
Matt Wolfe,,,,,,,,,,,,3,6,3,1,2,0,0,0,0,11
Sherrie Cohen,,,,,,,,,,,,,1,7,5,1,2,2,1,0,11
Kendra Brooks,,,,,,,,,,,,,,0,10,1,1,0,1,0,11
Nicolas O'Rourke,,,,,,,,,,,,,,,0,0,1,1,0,0,11
Maj Toure,,,,,,,,,,,,,,,,1,1,0,1,0,11
Joe Cox,,,,,,,,,,,,,,,,,0,1,2,0,11
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,0,0,11
Clarc King,,,,,,,,,,,,,,,,,,,0,0,11
Write-In,,,,,,,,,,,,,,,,,,,,0,11
Total,245,0,199,190,188,183,175,165,163,157,147,141,38,29,11,5,4,3,2,0,11
,Council At Large,,,,,,,,,,,,,,,,,,Judge Of The Municipal Court,,12
,Al Taubenberger,David Oh,Bill Heeney,Dan Tinney,Matt Wolfe,Allan Domb,Helen Gym,Derek S Green,Isaiah Thomas,Katherine Gilmore Richardson,Kendra Brooks,Nicolas O'Rourke,Sherrie Cohen,Clarc King,Maj Toure,Steve Cherniavsky,Joe Cox,Write-In,David H Conroy,Write-In,12
Al Taubenberger,5,89,91,90,83,19,9,9,5,4,1,1,1,0,0,1,0,0,36,0,12
David Oh,,0,84,73,73,16,7,6,2,1,3,2,1,1,0,1,0,0,23,0,12
Bill Heeney,,,1,79,77,14,2,3,2,1,1,1,0,0,0,0,0,0,21,0,12
Dan Tinney,,,,1,73,8,3,5,1,2,0,1,0,0,1,1,0,0,22,0,12
Matt Wolfe,,,,,0,4,1,2,1,0,1,1,0,0,0,0,0,0,15,0,12
