col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Billy Ciancaglini,Write-In,Allan Domb,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,David Oh,Bill Heeney,Dan Tinney,Al Taubenberger,Matt Wolfe,Kendra Brooks,Nicolas O'Rourke,Joe Cox,Maj Toure,Sherrie Cohen,Steve Cherniavsky,Clarc King,Write-In,All
,Jim Kenney,Billy Ciancaglini,Write-In,Allan Domb,Isaiah Thomas,Derek S Green,Katherine Gilmore Richardson,Helen Gym,Dan Tinney,David Oh,Al Taubenberger,Matt Wolfe,Bill Heeney,Joe Cox,Sherrie Cohen,Clarc King,Kendra Brooks,Steve Cherniavsky,Maj Toure,Nicolas O'Rourke,Write-In,3
Jim Kenney,1,0,0,61,67,63,60,59,2,2,1,1,1,0,2,0,1,0,0,0,0,3
Billy Ciancaglini,,0,0,7,1,3,3,1,16,15,14,14,13,4,0,1,0,1,0,0,0,3
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Allan Domb,,,,0,61,63,61,58,5,5,3,1,1,3,2,0,1,0,0,0,0,3
Isaiah Thomas,,,,,0,63,61,60,0,1,1,1,1,0,2,0,1,0,0,0,0,3
Derek S Green,,,,,,0,62,60,1,3,1,2,1,0,2,0,1,0,0,0,0,3
Katherine Gilmore Richardson,,,,,,,0,59,1,1,1,1,1,0,1,0,0,0,0,0,0,3
Helen Gym,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
Dan Tinney,,,,,,,,,1,14,13,12,11,4,0,0,0,1,0,0,0,3
David Oh,,,,,,,,,,0,12,12,11,4,0,1,0,0,0,0,0,3
Al Taubenberger,,,,,,,,,,,0,11,11,3,0,0,0,1,0,0,0,3
Matt Wolfe,,,,,,,,,,,,0,12,1,0,1,0,1,0,0,0,3
Bill Heeney,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,3
Joe Cox,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3
Sherrie Cohen,,,,,,,,,,,,,,,0,0,1,0,0,0,0,3
Clarc King,,,,,,,,,,,,,,,,0,0,0,0,0,0,3
Kendra Brooks,,,,,,,,,,,,,,,,,0,0,0,0,0,3
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,0,0,0,3
Maj Toure,,,,,,,,,,,,,,,,,,,0,0,0,3
Nicolas O'Rourke,,,,,,,,,,,,,,,,,,,,0,0,3
Write-In,,,,,,,,,,,,,,,,,,,,,0,3
Total,70,21,0,68,68,66,63,60,19,17,15,15,14,4,2,1,1,1,0,0,0,3
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,4
,Jim Kenney,Billy Ciancaglini,Write-In,Allan Domb,Derek S Green,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Bill Heeney,Al Taubenberger,Dan Tinney,David Oh,Matt Wolfe,Nicolas O'Rourke,Kendra Brooks,Maj Toure,Sherrie Cohen,Clarc King,Joe Cox,Steve Cherniavsky,Write-In,4
Jim Kenney,0,0,0,52,54,53,54,55,3,4,1,4,1,3,4,0,1,0,0,0,0,4
Billy Ciancaglini,,2,0,5,4,5,4,2,42,39,38,37,38,3,1,4,2,1,1,1,0,4
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Allan Domb,,,,0,51,53,51,51,5,6,3,4,2,0,0,1,1,0,0,0,0,4
Derek S Green,,,,,0,53,55,53,0,0,1,2,0,1,2,0,0,0,0,0,0,4
Helen Gym,,,,,,0,54,52,2,3,1,4,1,1,2,0,0,0,0,0,0,4
Isaiah Thomas,,,,,,,0,54,1,0,1,3,0,2,3,0,0,0,0,0,0,4
Katherine Gilmore Richardson,,,,,,,,1,2,2,1,1,0,2,3,0,0,0,0,0,0,4
Bill Heeney,,,,,,,,,0,39,38,37,36,2,1,3,1,0,0,0,0,4
Al Taubenberger,,,,,,,,,,0,37,36,36,0,0,2,1,1,0,0,0,4
Dan Tinney,,,,,,,,,,,0,33,33,0,0,2,0,1,0,0,0,4
David Oh,,,,,,,,,,,,0,35,1,1,1,1,0,0,0,0,4
Matt Wolfe,,,,,,,,,,,,,0,2,1,3,2,1,0,0,0,4
Nicolas O'Rourke,,,,,,,,,,,,,,0,4,2,2,0,1,1,0,4
Kendra Brooks,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4
Maj Toure,,,,,,,,,,,,,,,,0,2,1,1,1,0,4
Sherrie Cohen,,,,,,,,,,,,,,,,,0,0,1,1,0,4
Clarc King,,,,,,,,,,,,,,,,,,0,0,0,0,4
Joe Cox,,,,,,,,,,,,,,,,,,,0,1,0,4
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,0,0,4
Write-In,,,,,,,,,,,,,,,,,,,,,0,4
Total,64,52,0,58,58,58,58,58,47,43,41,41,39,6,5,5,3,1,1,1,0,4
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,5
,Jim Kenney,Billy Ciancaglini,Write-In,Helen Gym,Isaiah Thomas,Katherine Gilmore Richardson,Derek S Green,Allan Domb,Bill Heeney,Dan Tinney,David Oh,Matt Wolfe,Al Taubenberger,Kendra Brooks,Nicolas O'Rourke,Maj Toure,Joe Cox,Steve Cherniavsky,Clarc King,Sherrie Cohen,Write-In,5
Jim Kenney,0,0,0,39,39,38,36,32,0,0,2,1,1,9,6,2,2,0,0,0,0,5
Billy Ciancaglini,,1,0,1,0,0,0,0,22,21,19,18,17,0,1,2,0,2,0,0,0,5
Write-In,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Helen Gym,,,,0,36,36,32,30,1,2,2,2,1,7,5,2,1,0,0,0,0,5
Isaiah Thomas,,,,,0,35,33,30,0,0,1,0,1,7,6,1,0,0,0,0,0,5
Katherine Gilmore Richardson,,,,,,1,34,32,0,0,0,1,0,5,4,2,2,0,0,0,0,5
Derek S Green,,,,,,,0,32,0,0,0,1,0,2,2,1,1,0,0,0,0,5
Allan Domb,,,,,,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5
Bill Heeney,,,,,,,,,0,20,18,18,16,0,1,1,0,2,0,0,0,5
Dan Tinney,,,,,,,,,,0,18,18,16,0,1,2,0,2,0,0,0,5
David Oh,,,,,,,,,,,0,17,17,1,1,0,0,1,0,0,0,5
Matt Wolfe,,,,,,,,,,,,0,16,0,0,1,0,1,0,0,0,5
Al Taubenberger,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,5
Kendra Brooks,,,,,,,,,,,,,,0,6,1,1,0,0,0,0,5
Nicolas O'Rourke,,,,,,,,,,,,,,,0,0,0,1,0,0,0,5
Maj Toure,,,,,,,,,,,,,,,,1,1,1,0,0,0,5
Joe Cox,,,,,,,,,,,,,,,,,0,0,0,0,0,5
Steve Cherniavsky,,,,,,,,,,,,,,,,,,0,0,0,0,5
Clarc King,,,,,,,,,,,,,,,,,,,0,0,0,5
Sherrie Cohen,,,,,,,,,,,,,,,,,,,,0,0,5
Write-In,,,,,,,,,,,,,,,,,,,,,0,5
Total,47,26,1,41,40,40,37,33,22,22,21,19,18,9,7,5,2,2,0,0,0,5
,Mayor,,,Council At Large,,,,,,,,,,,,,,,,,,6
,Jim Kenney,Billy Ciancaglini,Write-In,Isaiah Thomas,Katherine Gilmore Richardson,Allan Domb,Helen Gym,Derek S Green,Bill Heeney,Dan Tinney,Al Taubenberger,David Oh,Matt Wolfe,Kendra Brooks,Maj Toure,Nicolas O'Rourke,Clarc King,Sherrie Cohen,Joe Cox,Steve Cherniavsky,Write-In,6
Jim Kenney,5,0,0,52,52,48,47,48,5,2,3,2,1,5,2,2,2,1,0,0,0,6
Billy Ciancaglini,,1,0,4,4,7,5,3,23,24,21,22,19,1,1,0,0,0,0,0,0,6
Write-In,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Isaiah Thomas,,,,0,51,48,49,48,2,2,1,4,0,4,2,2,2,0,0,0,0,6
Katherine Gilmore Richardson,,,,,0,48,49,49,3,0,1,2,0,2,1,0,2,1,0,0,0,6
Allan Domb,,,,,,0,47,46,5,4,4,4,1,2,0,1,0,1,0,0,0,6
Helen Gym,,,,,,,0,46,3,3,1,3,0,0,0,0,0,0,0,0,0,6
Derek S Green,,,,,,,,0,1,1,1,1,0,2,1,0,2,1,0,0,0,6
Bill Heeney,,,,,,,,,0,23,20,21,18,0,0,0,0,0,0,0,0,6
Dan Tinney,,,,,,,,,,1,21,22,19,0,1,0,0,0,0,0,0,6
Al Taubenberger,,,,,,,,,,,0,22,19,2,1,1,0,0,0,0,0,6
David Oh,,,,,,,,,,,,0,18,0,1,0,0,0,0,0,0,6
Matt Wolfe,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,6
Kendra Brooks,,,,,,,,,,,,,,0,0,3,1,1,0,0,0,6
