col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,21
Bob Casey Jr,13,0,0,248,26,3,21
Tom Smith,,8,0,11,138,1,21
Rayburn Douglas Smith,,,0,0,0,0,21
Robert M Mccord,,,,2,0,0,21
Diana Irey Vaughan,,,,,3,0,21
Patricia M Fryman,,,,,,0,21
Total,290,158,0,261,167,4,21
,United States Senator,,,State Treasurer,,,22
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,22
Bob Casey Jr,7,0,0,255,14,0,22
Tom Smith,,4,0,7,54,0,22
Rayburn Douglas Smith,,,0,1,0,1,22
Robert M Mccord,,,,4,0,0,22
Diana Irey Vaughan,,,,,0,0,22
Patricia M Fryman,,,,,,0,22
Total,276,65,2,267,68,1,22
,United States Senator,,,State Treasurer,,,23
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,23
Bob Casey Jr,3,0,0,175,2,0,23
Tom Smith,,1,0,4,34,0,23
Rayburn Douglas Smith,,,0,0,0,2,23
Robert M Mccord,,,,1,0,0,23
Diana Irey Vaughan,,,,,0,0,23
Patricia M Fryman,,,,,,0,23
Total,180,39,2,180,36,2,23
