col_1,col_2,col_3,col_4,col_5,col_6,division
Chaka Fattah,9,0,0,257,1,20
James Foster,,1,0,4,0,20
Robert Allen Mansfield Jr,,,0,0,2,20
Lawrence M Farnese Jr,,,,1,0,20
Alfonso Gambone Jr,,,,,0,20
Total,267,5,2,262,3,20
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,21
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,21
Chaka Fattah,5,0,0,309,0,21
Robert Allen Mansfield Jr,,0,0,0,2,21
James Foster,,,0,0,1,21
Lawrence M Farnese Jr,,,,0,0,21
Alfonso Gambone Jr,,,,,0,21
Total,314,2,1,309,3,21
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,22
,Chaka Fattah,James Foster,Robert Allen Mansfield Jr,Lawrence M Farnese Jr,Alfonso Gambone Jr,22
Chaka Fattah,6,0,0,300,1,22
James Foster,,1,0,1,0,22
Robert Allen Mansfield Jr,,,0,2,0,22
Lawrence M Farnese Jr,,,,2,0,22
Alfonso Gambone Jr,,,,,0,22
Total,307,2,2,305,1,22
,Senator In The General Assembly 1st District,,Representative In Congress 2nd District,,,29
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,29
Lawrence M Farnese Jr,2,0,160,6,11,29
Alfonso Gambone Jr,,1,4,34,1,29
Chaka Fattah,,,1,0,0,29
Robert Allen Mansfield Jr,,,,0,0,29
James Foster,,,,,1,29
Total,179,40,165,40,13,29
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,31
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,31
Chaka Fattah,10,0,0,231,2,31
Robert Allen Mansfield Jr,,0,0,2,15,31
James Foster,,,0,0,0,31
Lawrence M Farnese Jr,,,,1,0,31
Alfonso Gambone Jr,,,,,0,31
Total,243,17,0,234,17,31
,Senator In The General Assembly 1st District,,Representative In Congress 2nd District,,,34
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,34
Lawrence M Farnese Jr,3,0,206,7,6,34
Alfonso Gambone Jr,,0,1,19,0,34
Chaka Fattah,,,2,0,0,34
Robert Allen Mansfield Jr,,,,0,0,34
James Foster,,,,,0,34
Total,222,20,209,26,6,34
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,35
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,35
Chaka Fattah,12,0,0,357,4,35
Robert Allen Mansfield Jr,,0,0,2,15,35
James Foster,,,1,8,2,35
Lawrence M Farnese Jr,,,,4,0,35
Alfonso Gambone Jr,,,,,1,35
Total,373,17,11,371,22,35
,Senator In The General Assembly 1st District,,Representative In Congress 2nd District,,,36
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,36
Lawrence M Farnese Jr,2,0,345,4,9,36
Alfonso Gambone Jr,,1,0,11,0,36
Chaka Fattah,,,8,0,0,36
Robert Allen Mansfield Jr,,,,0,0,36
James Foster,,,,,0,36
Total,360,12,353,15,9,36
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,37
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,37
Chaka Fattah,9,0,0,377,6,37
Robert Allen Mansfield Jr,,1,0,1,22,37
James Foster,,,0,1,2,37
Lawrence M Farnese Jr,,,,2,0,37
Alfonso Gambone Jr,,,,,1,37
Total,392,24,3,381,31,37
,Senator In The General Assembly 1st District,,Representative In Congress 2nd District,,,38
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,38
Lawrence M Farnese Jr,4,0,278,1,6,38
Alfonso Gambone Jr,,0,0,9,0,38
Chaka Fattah,,,8,0,0,38
Robert Allen Mansfield Jr,,,,0,0,38
James Foster,,,,,0,38
Total,289,9,286,10,6,38
,Senator In The General Assembly 1st District,,Representative In Congress 2nd District,,,39
,Lawrence M Farnese Jr,Alfonso Gambone Jr,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,39
Lawrence M Farnese Jr,1,0,340,3,8,39
Alfonso Gambone Jr,,0,1,10,1,39
Chaka Fattah,,,5,0,0,39
Robert Allen Mansfield Jr,,,,0,0,39
James Foster,,,,,1,39
Total,352,12,346,13,10,39
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,40
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,40
Chaka Fattah,11,0,0,379,2,40
Robert Allen Mansfield Jr,,0,0,1,4,40
James Foster,,,0,0,1,40
Lawrence M Farnese Jr,,,,1,0,40
Alfonso Gambone Jr,,,,,0,40
Total,392,5,1,381,7,40
,Representative In Congress 2nd District,,,Senator In The General Assembly 1st District,,41
,Chaka Fattah,Robert Allen Mansfield Jr,James Foster,Lawrence M Farnese Jr,Alfonso Gambone Jr,41
Chaka Fattah,6,0,0,194,5,41
Robert Allen Mansfield Jr,,0,0,1,20,41
James Foster,,,0,3,1,41
Lawrence M Farnese Jr,,,,0,0,41
Alfonso Gambone Jr,,,,,1,41
Total,205,21,4,198,27,41
