col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Fatimah Loren Muhammad,James R Roebuck,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Stephen A Cozen,Jerome W Mondesire,Jerry T Jordan,Andrew P Toy,Eleanor M Dezzi,Joseph C Meade,Nancy Astor Fox,Michelle W Singer,Heather Steinmiller,Raye E Johnson,William S Leopold,All
Blondell Reynolds Brown,,0,63,61,58,39,36,36,36,34,34,32,32,31,32,29,20,52,26,10
Mark Alan Aronchick,,,0,56,56,34,32,34,32,29,29,30,31,29,30,27,19,48,20,10
Cindy Bass,,,,0,55,35,32,32,33,30,29,28,30,29,29,26,19,44,18,10
Jacquelyn Manns Smalley,,,,,0,34,31,33,32,29,28,29,31,28,30,26,18,41,18,10
Vincent J Hughes,,,,,,0,36,35,35,32,31,31,33,30,32,28,20,28,14,10
Jerome W Mondesire,,,,,,,0,32,33,28,30,30,29,28,28,27,19,24,13,10
Stephen A Cozen,,,,,,,,0,35,31,31,32,33,31,32,28,20,26,10,10
Joseph C Meade,,,,,,,,,0,31,31,31,32,30,31,28,20,25,10,10
Jerry T Jordan,,,,,,,,,,0,31,30,30,30,32,29,20,25,9,10
Eleanor M Dezzi,,,,,,,,,,,0,30,29,29,31,29,20,24,9,10
Nancy Astor Fox,,,,,,,,,,,,0,30,31,31,28,20,25,8,10
Andrew P Toy,,,,,,,,,,,,,0,29,31,27,19,22,10,10
Michelle W Singer,,,,,,,,,,,,,,0,30,28,20,24,8,10
William S Leopold,,,,,,,,,,,,,,,0,29,20,24,8,10
Heather Steinmiller,,,,,,,,,,,,,,,,0,19,20,8,10
Raye E Johnson,,,,,,,,,,,,,,,,,0,15,5,10
Fatimah Loren Muhammad,,,,,,,,,,,,,,,,,,20,0,10
James R Roebuck,,,,,,,,,,,,,,,,,,,13,10
Total,87,80,69,63,60,43,38,37,36,35,34,34,33,33,33,29,20,81,45,10
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,11
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Stephen A Cozen,Jerome W Mondesire,Jerry T Jordan,Raye E Johnson,Andrew P Toy,Eleanor M Dezzi,Heather Steinmiller,Joseph C Meade,Michelle W Singer,William S Leopold,Nancy Astor Fox,Fatimah Loren Muhammad,James R Roebuck,11
Kenyatta J Johnson,0,89,84,80,75,66,59,59,57,57,55,55,54,55,55,53,50,74,40,11
Blondell Reynolds Brown,,0,77,75,74,62,55,56,53,54,52,53,52,52,53,52,49,59,36,11
Cindy Bass,,,0,76,73,56,54,53,53,54,53,53,53,52,54,52,49,58,29,11
Jacquelyn Manns Smalley,,,,0,69,55,53,51,52,52,50,51,51,50,51,51,46,53,28,11
Mark Alan Aronchick,,,,,1,50,51,49,50,51,53,52,51,50,51,51,49,51,27,11
Vincent J Hughes,,,,,,0,57,58,53,53,52,51,50,53,50,50,46,41,28,11
Stephen A Cozen,,,,,,,0,53,52,52,54,52,50,53,50,52,47,38,22,11
Jerome W Mondesire,,,,,,,,0,49,51,50,49,48,50,48,49,45,35,24,11
Jerry T Jordan,,,,,,,,,0,53,50,52,51,49,52,50,48,38,20,11
Raye E Johnson,,,,,,,,,,0,52,54,52,50,53,51,50,38,20,11
Andrew P Toy,,,,,,,,,,,0,53,51,51,50,51,47,37,19,11
Eleanor M Dezzi,,,,,,,,,,,,0,52,50,52,52,49,38,17,11
Heather Steinmiller,,,,,,,,,,,,,0,50,53,50,47,36,18,11
Joseph C Meade,,,,,,,,,,,,,,0,49,49,46,34,21,11
Michelle W Singer,,,,,,,,,,,,,,,0,50,49,37,18,11
William S Leopold,,,,,,,,,,,,,,,,0,47,36,17,11
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,34,17,11
Fatimah Loren Muhammad,,,,,,,,,,,,,,,,,,30,0,11
James R Roebuck,,,,,,,,,,,,,,,,,,,23,11
Total,114,95,87,81,80,69,60,59,58,58,57,55,55,55,55,53,51,111,72,11
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,12
,Fatimah Loren Muhammad,James R Roebuck,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Michelle W Singer,Stephen A Cozen,Andrew P Toy,Jerome W Mondesire,Jerry T Jordan,Nancy Astor Fox,Heather Steinmiller,Raye E Johnson,Eleanor M Dezzi,Joseph C Meade,William S Leopold,12
Fatimah Loren Muhammad,25,0,45,41,37,34,32,26,25,24,23,23,22,21,21,22,19,22,21,12
James R Roebuck,,19,13,10,12,11,10,4,4,3,3,3,3,4,4,3,4,3,3,12
Kenyatta J Johnson,,,0,48,46,45,41,29,28,28,25,27,26,26,25,25,24,25,24,12
Blondell Reynolds Brown,,,,0,45,43,39,27,28,27,26,27,26,26,26,23,24,24,23,12
Cindy Bass,,,,,0,44,38,30,29,27,27,27,26,26,26,24,25,24,24,12
Jacquelyn Manns Smalley,,,,,,0,38,27,27,24,24,24,24,24,25,23,23,22,23,12
Mark Alan Aronchick,,,,,,,0,24,26,25,23,25,24,22,24,23,21,23,23,12
Vincent J Hughes,,,,,,,,0,25,24,24,23,26,23,23,24,25,22,23,12
Michelle W Singer,,,,,,,,,0,25,24,25,24,24,25,24,22,22,23,12
Stephen A Cozen,,,,,,,,,,0,23,26,24,23,23,24,22,23,23,12
Andrew P Toy,,,,,,,,,,,0,23,22,22,23,22,21,20,20,12
Jerome W Mondesire,,,,,,,,,,,,0,23,21,23,22,22,22,22,12
Jerry T Jordan,,,,,,,,,,,,,0,23,23,23,24,22,23,12
