col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,All
,Mitt Romney,Rick Santorum,Ron Paul,Newt Gingrich,Tom Smith,David Alan Christian,Sam Rohrer,Steven D Welch,Marc A Scaringi,All
Steven D Welch,,,,,0,0,0,0,0,20
David Alan Christian,,,,,,0,0,0,0,20
Sam Rohrer,,,,,,,0,0,0,20
Marc A Scaringi,,,,,,,,0,0,20
Tom Smith,,,,,,,,,0,20
Total,2,2,0,0,2,1,1,0,0,20
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,21
,Mitt Romney,Ron Paul,Rick Santorum,Newt Gingrich,Tom Smith,David Alan Christian,Marc A Scaringi,Sam Rohrer,Steven D Welch,21
Mitt Romney,0,0,0,0,2,1,0,0,0,21
Ron Paul,,1,0,0,0,0,1,0,0,21
Rick Santorum,,,0,0,1,0,0,0,0,21
Newt Gingrich,,,,0,0,0,0,0,0,21
Tom Smith,,,,,0,0,0,0,0,21
David Alan Christian,,,,,,0,0,0,0,21
Marc A Scaringi,,,,,,,0,0,0,21
Sam Rohrer,,,,,,,,0,0,21
Steven D Welch,,,,,,,,,0,21
Total,3,2,1,0,3,1,1,0,0,21
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,22
,Rick Santorum,Mitt Romney,Newt Gingrich,Ron Paul,Tom Smith,David Alan Christian,Marc A Scaringi,Sam Rohrer,Steven D Welch,22
Rick Santorum,0,0,0,0,1,0,0,0,0,22
Mitt Romney,,0,0,0,0,0,0,0,0,22
Newt Gingrich,,,0,0,0,0,0,0,0,22
Ron Paul,,,,0,0,0,0,0,0,22
Tom Smith,,,,,0,0,0,0,0,22
David Alan Christian,,,,,,0,0,0,0,22
Marc A Scaringi,,,,,,,0,0,0,22
Sam Rohrer,,,,,,,,0,0,22
Steven D Welch,,,,,,,,,0,22
Total,1,0,0,0,1,0,0,0,0,22
,United States Senator - Republican,,,,,President Of The United States - Republican,,,,23
,David Alan Christian,Sam Rohrer,Tom Smith,Marc A Scaringi,Steven D Welch,Mitt Romney,Ron Paul,Newt Gingrich,Rick Santorum,23
David Alan Christian,0,0,0,0,0,0,1,0,0,23
Sam Rohrer,,1,0,0,0,0,0,0,0,23
Tom Smith,,,0,0,0,1,0,0,0,23
Marc A Scaringi,,,,0,0,0,0,0,0,23
Steven D Welch,,,,,0,0,0,0,0,23
Mitt Romney,,,,,,0,0,0,0,23
Ron Paul,,,,,,,0,0,0,23
Newt Gingrich,,,,,,,,0,0,23
Rick Santorum,,,,,,,,,0,23
Total,1,1,1,0,0,1,1,0,0,23
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,25
,Mitt Romney,Newt Gingrich,Rick Santorum,Ron Paul,Sam Rohrer,Steven D Welch,David Alan Christian,Marc A Scaringi,Tom Smith,25
Mitt Romney,0,0,0,0,0,2,1,1,1,25
Newt Gingrich,,0,0,0,1,0,0,0,0,25
Rick Santorum,,,0,0,1,0,0,0,0,25
Ron Paul,,,,0,0,0,0,0,0,25
Sam Rohrer,,,,,0,0,0,0,0,25
Steven D Welch,,,,,,0,0,0,0,25
David Alan Christian,,,,,,,0,0,0,25
Marc A Scaringi,,,,,,,,0,0,25
Tom Smith,,,,,,,,,0,25
Total,5,1,1,0,2,2,1,1,1,25
