col_1,col_2,col_3,col_4,col_5,col_6,division
Calvin R Tucker,,,0,0,0,38
Vahan H Gureghian,,,,0,0,38
Walter F Vogler Jr,,,,,0,38
Total,1,0,0,0,0,38
,Delegate To The Republican National Convention 2nd District,,,,,41
,Walter F Vogler Jr,Adam A Lang,Calvin R Tucker,Lewis Harris Jr,Vahan H Gureghian,41
Walter F Vogler Jr,0,2,1,1,1,41
Adam A Lang,,0,0,1,1,41
Calvin R Tucker,,,0,0,0,41
Lewis Harris Jr,,,,0,0,41
Vahan H Gureghian,,,,,0,41
Total,3,2,1,1,1,41
