col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Anthony Clark,Tracey L Gordon,Omar Sabir,Will Mega,Lisa M Deeley,Carol A Jenkins,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,All
Franklin A Bennett Iii,,,,,,,,,,,,,0,2,7
Daniel R Sulman,,,,,,,,,,,,,,0,7
Total,62,28,28,27,24,12,60,43,29,26,24,16,11,4,7
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,8
,Anthony Clark,Tracey L Gordon,Will Mega,Carol A Jenkins,Omar Sabir,Lisa M Deeley,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,8
Anthony Clark,3,5,7,6,2,2,24,10,14,11,3,6,2,1,8
Tracey L Gordon,,0,2,2,1,1,5,9,7,2,3,4,3,1,8
Will Mega,,,1,1,4,1,11,5,8,7,0,2,0,2,8
Carol A Jenkins,,,,0,1,0,5,5,2,4,0,4,3,0,8
Omar Sabir,,,,,1,0,5,6,3,1,2,1,2,2,8
Lisa M Deeley,,,,,,1,3,3,3,0,1,0,1,0,8
Sharon Williams Losier,,,,,,,0,12,12,10,3,4,3,2,8
Christine Hope,,,,,,,,5,7,1,3,3,6,2,8
Joffie C Pittman,,,,,,,,,1,7,1,3,2,1,8
Matthew Perks,,,,,,,,,,0,0,3,1,2,8
Christian Dicicco,,,,,,,,,,,3,2,1,0,8
Gary S Silver,,,,,,,,,,,,0,2,0,8
Franklin A Bennett Iii,,,,,,,,,,,,,0,0,8
Daniel R Sulman,,,,,,,,,,,,,,0,8
Total,35,18,17,11,11,6,35,31,22,13,9,9,8,4,8
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,9
,Anthony Clark,Omar Sabir,Will Mega,Tracey L Gordon,Lisa M Deeley,Carol A Jenkins,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,9
Anthony Clark,9,7,10,4,9,2,31,21,27,16,3,5,4,0,9
Omar Sabir,,3,2,4,1,0,9,13,7,5,1,4,3,1,9
Will Mega,,,1,1,0,0,11,3,10,8,0,3,0,1,9
Tracey L Gordon,,,,0,0,2,7,10,3,2,3,2,1,0,9
Lisa M Deeley,,,,,0,0,9,8,5,2,0,0,0,0,9
Carol A Jenkins,,,,,,1,2,3,1,1,0,2,1,0,9
Sharon Williams Losier,,,,,,,1,18,23,14,2,2,1,1,9
Christine Hope,,,,,,,,1,13,3,3,1,3,1,9
Joffie C Pittman,,,,,,,,,2,9,2,2,2,0,9
Matthew Perks,,,,,,,,,,2,0,4,3,0,9
Christian Dicicco,,,,,,,,,,,8,0,1,0,9
Gary S Silver,,,,,,,,,,,,0,2,0,9
Franklin A Bennett Iii,,,,,,,,,,,,,0,0,9
Daniel R Sulman,,,,,,,,,,,,,,1,9
