col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,0,2,1,3
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,,0,1,3
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,97,86,81,65,47,38,37,36,27,27,25,22,21,12,11,4,75,60,53,41,18,17,16,8,3
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,4
,Derek S Green,Isaiah Thomas,Helen Gym,Sherrie Cohen,Allan Domb,W Wilson Goode Jr,Blondell Reynolds Brown,Ed Neilson,William K Greenlee,Jenne Ayers,Thomas Wyatt,Wilson Alexander,Frank Rizzo,Paul Steinke,Carla M Cain,Marnie Aument Loughrey,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,Daniel R Sulman,4
Derek S Green,6,33,11,22,25,20,21,18,20,26,22,21,5,11,4,1,55,43,30,27,7,6,2,1,4
Isaiah Thomas,,7,6,26,18,18,15,17,19,7,11,4,11,10,4,0,26,20,21,10,4,5,2,0,4
Helen Gym,,,26,10,5,7,5,6,6,6,1,3,3,2,0,1,9,8,8,1,1,1,1,1,4
Sherrie Cohen,,,,1,12,16,13,17,26,5,3,2,5,3,6,1,27,22,17,5,3,3,5,1,4
Allan Domb,,,,,3,13,9,5,11,19,19,16,6,4,6,2,24,21,11,14,5,5,3,1,4
W Wilson Goode Jr,,,,,,1,26,15,14,3,3,2,10,2,3,0,12,11,12,8,3,4,3,1,4
Blondell Reynolds Brown,,,,,,,3,13,13,3,3,2,4,2,3,1,12,12,12,9,5,3,2,2,4
Ed Neilson,,,,,,,,5,20,0,0,1,4,2,0,0,13,17,12,7,2,1,1,0,4
William K Greenlee,,,,,,,,,0,4,3,2,2,2,2,0,21,19,16,2,4,1,2,2,4
Jenne Ayers,,,,,,,,,,3,15,20,0,1,2,2,23,20,7,16,3,3,1,3,4
Thomas Wyatt,,,,,,,,,,,0,13,2,9,4,0,18,17,7,15,2,2,2,1,4
Wilson Alexander,,,,,,,,,,,,0,1,0,2,0,22,18,4,17,1,2,2,1,4
Frank Rizzo,,,,,,,,,,,,,0,0,3,0,4,3,5,2,0,2,1,0,4
Paul Steinke,,,,,,,,,,,,,,0,0,0,6,4,5,3,2,1,0,0,4
Carla M Cain,,,,,,,,,,,,,,,0,1,6,3,3,5,2,0,4,0,4
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,2,1,3,0,0,0,0,1,4
Sharon Williams Losier,,,,,,,,,,,,,,,,,3,43,26,21,7,4,6,1,4
Joffie C Pittman,,,,,,,,,,,,,,,,,,0,20,18,2,2,0,1,4
Christine Hope,,,,,,,,,,,,,,,,,,,0,2,4,5,2,4,4
Matthew Perks,,,,,,,,,,,,,,,,,,,,1,0,1,2,0,4
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,1,3,1,0,4
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,0,0,0,4
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,,0,0,4
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,0,4
Total,94,72,52,51,50,48,42,39,39,36,30,28,16,14,12,3,73,56,41,36,10,8,8,4,4
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,5
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,W Wilson Goode Jr,Sherrie Cohen,Jenne Ayers,Allan Domb,Ed Neilson,William K Greenlee,Wilson Alexander,Thomas Wyatt,Helen Gym,Carla M Cain,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,5
Derek S Green,6,24,23,24,15,14,9,19,12,16,8,4,3,4,2,0,32,19,29,19,9,10,4,2,5
Isaiah Thomas,,2,22,26,26,13,10,12,13,6,8,9,6,3,4,2,27,25,12,11,14,10,7,2,5
Blondell Reynolds Brown,,,2,31,15,7,13,11,9,9,5,6,3,6,1,1,18,20,14,22,10,8,5,1,5
W Wilson Goode Jr,,,,1,11,9,15,12,8,7,5,6,2,3,1,1,17,19,15,19,14,9,5,0,5
Sherrie Cohen,,,,,1,7,4,10,11,4,7,5,3,5,3,0,20,19,10,9,8,5,5,2,5
Jenne Ayers,,,,,,4,4,0,2,9,4,3,5,1,1,1,17,11,10,8,7,5,2,1,5
Allan Domb,,,,,,,4,2,2,3,2,3,2,2,0,0,7,9,6,5,6,7,2,0,5
Ed Neilson,,,,,,,,0,12,1,2,0,0,2,1,0,10,10,7,10,6,2,1,1,5
William K Greenlee,,,,,,,,,0,4,1,0,1,1,1,0,12,14,12,4,5,0,1,0,5
Wilson Alexander,,,,,,,,,,0,6,1,3,2,2,0,11,8,10,8,1,3,4,2,5
Thomas Wyatt,,,,,,,,,,,0,4,1,4,3,1,4,7,7,7,3,6,4,1,5
Helen Gym,,,,,,,,,,,,1,4,1,3,1,4,9,5,2,6,3,0,1,5
Carla M Cain,,,,,,,,,,,,,0,0,3,1,7,8,1,1,4,2,2,1,5
Frank Rizzo,,,,,,,,,,,,,,0,1,0,1,3,4,4,2,3,2,2,5
Paul Steinke,,,,,,,,,,,,,,,0,0,1,3,2,2,2,1,0,0,5
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,1,0,0,0,2,0,1,0,5
Sharon Williams Losier,,,,,,,,,,,,,,,,,4,23,16,12,10,3,3,1,5
Christine Hope,,,,,,,,,,,,,,,,,,0,16,9,13,5,4,1,5
Joffie C Pittman,,,,,,,,,,,,,,,,,,,1,7,7,6,2,0,5
Matthew Perks,,,,,,,,,,,,,,,,,,,,1,5,5,5,1,5
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,0,5,1,0,5
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,1,2,2,5
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,0,1,5
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,0,5
Total,77,58,51,50,39,33,26,24,23,23,19,15,13,10,8,2,62,45,44,33,23,20,9,4,5
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,6
,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,Jenne Ayers,Sherrie Cohen,Allan Domb,Thomas Wyatt,William K Greenlee,Wilson Alexander,Paul Steinke,Carla M Cain,Ed Neilson,Helen Gym,Frank Rizzo,Marnie Aument Loughrey,Sharon Williams Losier,Christine Hope,Matthew Perks,Joffie C Pittman,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,6
Derek S Green,6,22,26,18,17,11,11,21,10,13,16,7,7,3,6,2,32,19,24,24,9,10,7,5,6
Blondell Reynolds Brown,,0,18,26,12,13,9,6,15,5,5,7,9,7,6,3,25,19,16,12,8,11,6,6,6
Isaiah Thomas,,,2,16,8,12,9,15,12,3,11,4,3,4,4,0,19,16,14,12,9,7,8,5,6
W Wilson Goode Jr,,,,2,8,11,7,4,10,2,2,11,6,5,3,1,19,14,12,10,9,6,2,6,6
Jenne Ayers,,,,,2,8,8,5,6,13,1,6,1,1,0,4,18,11,14,15,9,7,4,2,6
Sherrie Cohen,,,,,,0,8,3,12,3,5,8,6,4,2,2,19,16,5,11,10,4,3,5,6
Allan Domb,,,,,,,5,6,5,2,5,6,0,2,4,2,10,9,7,6,7,6,5,2,6
Thomas Wyatt,,,,,,,,0,2,5,13,1,2,1,3,1,8,7,12,6,4,11,4,2,6
William K Greenlee,,,,,,,,,0,1,3,1,7,2,3,1,10,11,6,12,6,4,3,4,6
Wilson Alexander,,,,,,,,,,2,2,4,2,1,2,1,8,4,8,8,5,7,4,2,6
Paul Steinke,,,,,,,,,,,0,3,1,2,3,1,8,6,8,6,6,4,4,3,6
Carla M Cain,,,,,,,,,,,,0,1,4,2,2,11,13,2,3,8,5,1,4,6
Ed Neilson,,,,,,,,,,,,,0,3,0,0,6,6,5,6,2,3,0,1,6
Helen Gym,,,,,,,,,,,,,,1,1,1,6,7,2,3,4,1,1,1,6
Frank Rizzo,,,,,,,,,,,,,,,1,0,6,4,3,3,4,4,2,2,6
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,3,1,2,1,4,2,1,2,6
Sharon Williams Losier,,,,,,,,,,,,,,,,,1,24,18,16,12,10,1,4,6
Christine Hope,,,,,,,,,,,,,,,,,,2,8,12,9,6,3,4,6
Matthew Perks,,,,,,,,,,,,,,,,,,,0,13,4,8,4,2,6
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,0,4,4,5,3,6
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,0,4,2,5,6
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,0,4,2,6
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,0,2,6
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,0,6
Total,77,51,50,43,33,32,30,26,25,21,20,18,15,12,11,6,59,37,36,35,22,21,12,11,6
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,7
,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,Allan Domb,Jenne Ayers,W Wilson Goode Jr,Thomas Wyatt,Paul Steinke,William K Greenlee,Carla M Cain,Sherrie Cohen,Helen Gym,Wilson Alexander,Ed Neilson,Marnie Aument Loughrey,Frank Rizzo,Sharon Williams Losier,Christine Hope,Matthew Perks,Joffie C Pittman,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,Daniel R Sulman,7
Derek S Green,5,25,32,18,17,18,22,21,17,4,9,7,12,12,6,1,38,25,28,15,8,10,12,4,7
Blondell Reynolds Brown,,2,17,20,10,23,10,9,12,13,13,8,4,9,3,5,23,26,13,13,14,9,5,5,7
Isaiah Thomas,,,2,12,4,15,19,19,10,1,6,6,0,4,1,2,17,14,6,7,10,6,3,5,7
Allan Domb,,,,2,4,12,7,9,15,7,8,6,4,4,4,3,17,18,12,8,15,7,5,7,7
Jenne Ayers,,,,,3,1,3,2,2,7,5,5,7,0,2,1,16,14,8,8,3,2,4,2,7
W Wilson Goode Jr,,,,,,1,4,5,7,5,7,2,1,5,3,2,14,13,9,8,5,5,2,2,7
Thomas Wyatt,,,,,,,0,18,4,4,1,4,3,3,0,3,10,11,4,3,9,3,5,0,7
Paul Steinke,,,,,,,,0,7,2,2,7,2,2,0,3,10,7,5,5,7,6,4,3,7
William K Greenlee,,,,,,,,,1,2,8,4,2,7,3,2,14,12,6,9,5,9,6,5,7
Carla M Cain,,,,,,,,,,0,7,7,2,0,2,0,10,14,4,6,3,3,3,1,7
Sherrie Cohen,,,,,,,,,,,0,3,1,3,1,1,13,11,3,6,6,1,2,4,7
Helen Gym,,,,,,,,,,,,0,1,1,1,0,8,7,6,1,3,5,2,4,7
Wilson Alexander,,,,,,,,,,,,,0,1,1,2,11,5,7,6,2,3,4,1,7
Ed Neilson,,,,,,,,,,,,,,0,2,2,8,5,6,6,2,3,1,1,7
Marnie Aument Loughrey,,,,,,,,,,,,,,,0,0,5,3,4,2,0,4,1,0,7
Frank Rizzo,,,,,,,,,,,,,,,,0,4,3,0,2,4,1,1,0,7
Sharon Williams Losier,,,,,,,,,,,,,,,,,1,24,11,15,10,8,6,2,7
Christine Hope,,,,,,,,,,,,,,,,,,2,10,13,11,6,6,4,7
Matthew Perks,,,,,,,,,,,,,,,,,,,0,6,1,7,5,6,7
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,1,4,3,2,2,7
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,0,1,1,3,7
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,0,5,2,7
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,,0,0,7
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,2,7
Total,93,59,49,47,37,34,31,29,29,22,20,19,19,15,10,8,61,49,36,27,23,18,17,13,7
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,8
