col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Allan Domb,Frank Rizzo,Ed Neilson,William K Greenlee,Helen Gym,Derek S Green,Paul Steinke,Sherrie Cohen,Jenne Ayers,Thomas Wyatt,Blondell Reynolds Brown,Carla M Cain,W Wilson Goode Jr,Isaiah Thomas,Marnie Aument Loughrey,Wilson Alexander,Scott Diclaudio,Tracy B Roman,Ken Powell,Michael Fanning,Jennifer Schultz,Mia Roberts Perez,Daine Grey Jr,Vincent Furlong,Jon Marshall,Lyris Younge,Abbe Fletman,Stephanie M Sawyer,Kai Scott,James F Berardinelli,Chris Mallios,Vincent N Melchiorre,Lynne M Summers,Leon Goodman,Anthony Kyriakakis,Chris Mccabe,Betsy Wahl,Edward William Louden Jr,Marissa Brumbach,Thomas Martin,Stella Tsai,Vince Giusini,Wayne M D Bennett,Brian T Ortelere,Rainy Papademetriou,Deborah Watson Stokes,William J Ciancaglini,Rania Major,Frances Fattah,Jodi Lobel,Leon A King Ii,Franklin A Bennett Iii,Lucretia Clemons,Joshua Hill,Sherman Toppin,Sandjai Weaver,Shanese Johnson,Starr Marshall Cash,Tangie M Boston,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,0,8,13,7,11,11,6,8,3,1,8,8,11,6,4,7,4,2,9,8,6,6,5,4,4,6,6,5,3,1,2,6,4,5,1,3,3,3,3,3,2,1
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,0,7,12,6,7,7,9,7,12,6,8,6,11,10,9,4,6,4,5,4,2,3,5,3,2,4,2,5,6,3,5,3,1,3,3,5,2,1,1,1,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,0,9,11,7,2,9,5,3,3,8,8,8,3,4,3,1,7,4,3,2,4,4,4,3,5,2,4,0,3,2,3,5,2,2,1,3,2,3,1,1
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,0,8,6,6,11,9,12,3,8,6,9,11,3,2,8,6,2,0,2,4,6,2,1,4,2,2,5,2,1,3,3,2,1,0,0,2,0,0,1
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,0,11,6,5,8,3,5,6,8,7,2,4,7,3,8,3,2,3,4,4,2,6,4,2,3,1,3,3,2,4,3,3,2,1,1,2,1,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,0,9,2,6,6,11,5,9,5,5,4,5,4,6,5,7,5,2,5,4,4,4,6,4,1,3,3,5,4,4,2,2,2,1,1,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,0,3,5,7,6,1,5,6,4,5,2,6,1,4,6,4,1,6,4,2,1,4,3,1,2,1,3,1,1,1,1,1,0,0,1,1
Kai Scott,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,2,9,4,9,7,6,4,6,5,6,1,4,5,4,4,3,4,0,3,4,3,3,3,3,2,3,3,2,1,2,0,1
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,4,7,4,6,4,1,5,6,2,0,0,4,3,1,2,3,5,1,2,4,3,0,0,1,5,2,1,2,0,2,1,1
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,7,8,3,4,7,1,3,1,3,1,4,3,1,1,2,1,4,1,1,1,0,4,0,3,2,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,4,2,4,4,7,3,2,5,6,5,2,2,4,1,3,5,3,1,1,1,3,2,5,1,3,3,1,0,1,1
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,8,6,2,2,7,6,2,2,2,3,1,3,4,4,0,2,4,3,2,0,4,2,3,3,1,4,2,0,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,4,2,3,6,3,4,4,4,5,2,4,7,1,2,1,4,2,1,5,2,2,2,0,3,2,1,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,4,3,7,4,4,2,0,1,3,3,3,1,3,3,5,3,2,5,3,1,2,1,2,1,1,1,1
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,7,3,4,1,1,1,3,1,0,1,2,2,5,2,3,5,1,1,1,1,2,1,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,2,4,4,5,4,4,4,3,2,3,3,2,3,3,2,1,2,3,4,0,0,2,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,1,1,2,1,2,1,3,0,4,1,2,2,2,1,5,2,3,2,0,0,0,1
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,3,2,2,2,2,0,2,2,5,1,1,0,0,1,1,0,1,1,0,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,4,3,1,2,5,1,1,1,2,2,2,3,1,1,3,0,2,0,0,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,1,3,3,3,1,1,2,0,1,4,4,2,0,2,3,2,1,2,0,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,1,1,4,2,1,1,2,2,1,1,1,0,2,0,1,0,1
