col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 5th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Darrell L Clarke,Abbe Fletman,Kai Scott,Rainy Papademetriou,Stella Tsai,Brian T Ortelere,Chris Mallios,Ken Powell,Mia Roberts Perez,Anthony Kyriakakis,Betsy Wahl,Tracy B Roman,Leon Goodman,Lucretia Clemons,Jennifer Schultz,Jodi Lobel,Leon A King Ii,Stephanie M Sawyer,Vincent N Melchiorre,Scott Diclaudio,James F Berardinelli,Daine Grey Jr,Lynne M Summers,Chris Mccabe,Deborah Watson Stokes,Marissa Brumbach,Thomas Martin,Joshua Hill,Frances Fattah,Lyris Younge,Vince Giusini,Michael Fanning,Wayne M D Bennett,Vincent Furlong,Rania Major,Jon Marshall,Edward William Louden Jr,Shanese Johnson,William J Ciancaglini,Sherman Toppin,Sandjai Weaver,Tangie M Boston,Franklin A Bennett Iii,Starr Marshall Cash,All
Lucretia Clemons,,,,,,,,,,,,,,0,10,9,5,11,7,10,13,1,9,12,9,4,2,9,7,0,4,3,1,1,1,5,0,5,0,2,3,2,1,0,10
Jodi Lobel,,,,,,,,,,,,,,,0,14,10,16,21,6,9,5,16,8,15,7,7,4,9,5,6,8,4,7,1,4,2,3,2,3,2,3,3,0,10
Tracy B Roman,,,,,,,,,,,,,,,,2,15,15,14,3,4,11,11,8,14,12,6,4,5,6,7,4,8,3,2,5,5,5,3,3,2,5,1,1,10
Scott Diclaudio,,,,,,,,,,,,,,,,,1,10,9,4,8,14,8,5,6,7,8,6,3,4,6,4,9,4,5,0,5,3,3,5,0,1,2,1,10
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,0,17,4,6,9,16,2,19,6,4,3,9,7,3,3,5,3,6,6,1,6,2,2,5,4,2,0,10
Lynne M Summers,,,,,,,,,,,,,,,,,,,0,2,2,5,17,3,16,9,5,5,8,5,4,5,3,6,2,3,2,3,5,2,4,1,2,0,10
Chris Mccabe,,,,,,,,,,,,,,,,,,,,0,10,3,5,2,5,4,4,8,3,3,3,3,2,4,1,1,1,4,3,2,3,1,0,1,10
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,0,3,1,4,1,2,7,11,0,3,2,4,3,0,3,0,1,0,1,2,1,2,1,0,10
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,1,6,5,2,5,6,3,2,7,2,4,5,1,4,2,5,1,2,3,0,1,1,0,10
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,0,5,13,7,2,3,11,3,6,1,5,5,3,5,3,4,2,0,3,2,0,0,10
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,3,3,6,1,4,2,0,0,1,1,2,2,1,0,1,0,2,0,10
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,0,10,2,0,10,2,3,2,4,2,2,6,0,7,2,1,5,3,0,0,10
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,3,5,3,2,3,2,4,0,4,1,2,2,0,1,0,10
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,3,0,8,1,2,1,0,4,0,3,0,0,1,2,0,10
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,1,6,1,2,3,0,4,0,2,2,0,0,3,0,10
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,2,1,0,0,2,1,5,2,0,2,0,0,1,10
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,6,5,3,1,2,3,0,2,4,0,0,2,0,10
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,2,1,1,3,3,1,3,1,2,2,1,10
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,2,1,1,1,2,3,0,0,3,0,10
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,1,4,1,1,3,0,2,0,1,10
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,2,0,0,2,1,1,1,0,10
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,10
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,1,2,0,0,10
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,1,2,1,10
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,10
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,10
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,10
