col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,All
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Helen Gym,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Omar Sabir,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,All
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,W Wilson Goode Jr,Allan Domb,Ed Neilson,Sherrie Cohen,Helen Gym,Jenne Ayers,Thomas Wyatt,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,3
Derek S Green,7,97,43,36,18,16,22,13,10,15,8,10,5,5,4,3,31,35,32,16,12,5,3
Isaiah Thomas,,5,46,40,26,17,26,15,11,10,9,4,4,7,4,1,29,37,27,15,9,7,3
Blondell Reynolds Brown,,,1,32,21,10,23,15,13,10,2,6,3,6,2,1,21,34,26,11,5,6,3
William K Greenlee,,,,0,14,10,23,12,8,2,2,2,3,3,3,1,13,30,22,10,5,5,3
W Wilson Goode Jr,,,,,0,12,4,10,12,4,2,1,1,2,2,1,16,10,7,8,3,4,3
Allan Domb,,,,,,1,4,5,7,5,6,1,4,2,0,0,9,8,5,8,4,3,3
Ed Neilson,,,,,,,0,2,2,0,1,0,0,3,1,0,2,21,22,0,2,2,3
Sherrie Cohen,,,,,,,,0,6,5,1,4,2,2,2,1,13,12,3,6,4,4,3
Helen Gym,,,,,,,,,0,6,3,2,2,3,1,2,10,7,6,8,4,2,3
Jenne Ayers,,,,,,,,,,0,4,6,3,3,0,1,11,10,4,7,5,1,3
Thomas Wyatt,,,,,,,,,,,0,1,5,3,0,0,4,2,2,5,5,1,3
Wilson Alexander,,,,,,,,,,,,0,1,0,1,2,6,2,1,5,3,2,3
Carla M Cain,,,,,,,,,,,,,0,0,1,1,6,1,1,6,7,0,3
