col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Alice Beck Dubow,Robert Colville,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Ed Neilson,Sherrie Cohen,Thomas Wyatt,Carla M Cain,Helen Gym,Wilson Alexander,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,6
Alice Beck Dubow,1,0,81,79,66,54,39,33,32,32,25,20,19,18,16,12,10,7,6
Robert Colville,,5,10,4,1,2,2,4,2,0,1,3,2,0,1,1,1,1,6
Derek S Green,,,7,57,53,48,20,23,24,30,12,15,9,11,8,6,7,8,6
Blondell Reynolds Brown,,,,0,48,43,30,22,16,23,14,9,13,11,8,9,9,5,6
Isaiah Thomas,,,,,2,35,30,14,12,30,13,14,4,9,4,3,7,1,6
William K Greenlee,,,,,,0,15,17,5,28,8,5,0,4,3,5,4,5,6
W Wilson Goode Jr,,,,,,,0,16,10,6,13,9,4,7,3,8,5,0,6
Allan Domb,,,,,,,,1,11,8,11,9,9,5,6,6,6,7,6
Jenne Ayers,,,,,,,,,1,3,7,3,9,4,4,3,3,3,6
Ed Neilson,,,,,,,,,,0,2,4,0,3,0,2,2,2,6
Sherrie Cohen,,,,,,,,,,,0,8,9,6,3,4,1,1,6
Thomas Wyatt,,,,,,,,,,,,0,4,1,4,2,5,0,6
Carla M Cain,,,,,,,,,,,,,0,5,7,4,2,2,6
Helen Gym,,,,,,,,,,,,,,0,4,1,1,0,6
Wilson Alexander,,,,,,,,,,,,,,,0,2,1,1,6
Frank Rizzo,,,,,,,,,,,,,,,,0,1,0,6
Paul Steinke,,,,,,,,,,,,,,,,,0,1,6
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,6
Total,141,19,113,94,85,62,52,49,40,39,30,28,22,20,18,16,15,10,6
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,7
,Alice Beck Dubow,Robert Colville,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Sherrie Cohen,Jenne Ayers,Helen Gym,Thomas Wyatt,Carla M Cain,Paul Steinke,Wilson Alexander,Frank Rizzo,Marnie Aument Loughrey,7
Alice Beck Dubow,17,0,132,124,113,101,64,50,39,41,25,24,13,10,13,13,11,6,7
Robert Colville,,2,5,4,4,4,1,7,0,1,3,1,2,1,0,2,0,0,7
Derek S Green,,,13,97,96,87,63,31,19,23,16,12,11,5,6,9,7,2,7
Blondell Reynolds Brown,,,,3,88,89,56,38,23,25,10,18,5,6,12,3,8,3,7
Isaiah Thomas,,,,,2,78,66,36,23,25,16,17,8,7,8,2,6,3,7
William K Greenlee,,,,,,0,66,27,16,9,4,9,4,2,4,2,8,2,7
Ed Neilson,,,,,,,0,13,5,4,1,4,0,1,1,2,1,0,7
W Wilson Goode Jr,,,,,,,,1,16,21,10,12,9,6,4,4,6,1,7
Allan Domb,,,,,,,,,2,19,4,9,10,6,8,4,5,3,7
Sherrie Cohen,,,,,,,,,,1,7,13,9,5,5,6,4,2,7
Jenne Ayers,,,,,,,,,,,0,8,7,5,1,5,1,3,7
Helen Gym,,,,,,,,,,,,0,2,6,3,0,1,1,7
Thomas Wyatt,,,,,,,,,,,,,0,5,3,5,0,1,7
Carla M Cain,,,,,,,,,,,,,,0,3,0,0,2,7
Paul Steinke,,,,,,,,,,,,,,,0,1,0,1,7
Wilson Alexander,,,,,,,,,,,,,,,,0,0,1,7
Frank Rizzo,,,,,,,,,,,,,,,,,0,0,7
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,7
Total,212,15,168,148,139,120,77,69,57,48,32,31,22,16,16,16,13,7,7
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,8
,Alice Beck Dubow,Robert Colville,Blondell Reynolds Brown,Derek S Green,Isaiah Thomas,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Helen Gym,Sherrie Cohen,Wilson Alexander,Thomas Wyatt,Carla M Cain,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,8
Alice Beck Dubow,4,0,136,126,109,91,69,55,28,29,19,22,15,14,11,12,9,8,8
Robert Colville,,0,5,6,4,2,1,2,2,3,4,3,3,1,1,1,0,0,8
Blondell Reynolds Brown,,,2,102,103,88,65,50,15,15,18,16,12,7,6,8,7,4,8
Derek S Green,,,,1,90,81,64,31,16,16,10,10,10,12,6,5,4,4,8
