col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Thaddeus Kirkland,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Blake Rutherford,Anne Wakabayashi,Jennifer Lentz,Maria Quinones Sanchez,Leanne Krueger Braneky,Angel Cruz,Cathy Brady,Ryan N Boyer,Ted Kirsch,All
Ryan N Boyer,,,,,,,,,,,,,0,36,37,37,36,36,36,5
Angel Cruz,,,,,,,,,,,,,,0,36,37,37,37,36,5
Anne Wakabayashi,,,,,,,,,,,,,,,0,35,36,34,35,5
Jennifer Lentz,,,,,,,,,,,,,,,,0,35,36,37,5
Leanne Krueger Braneky,,,,,,,,,,,,,,,,,0,36,34,5
Ted Kirsch,,,,,,,,,,,,,,,,,,0,35,5
Cathy Brady,,,,,,,,,,,,,,,,,,,0,5
Total,64,60,0,60,59,52,51,51,50,49,48,41,41,40,40,40,39,38,37,5
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,6
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Amanda Mcillmurray,Thaddeus Kirkland,Peter Cutty,Katherine Hunter Snyder,Kat Richter,Jacob Adeniran,Blake Rutherford,Maria Quinones Sanchez,Anne Wakabayashi,Leanne Krueger Braneky,Angel Cruz,Jennifer Lentz,Ryan N Boyer,Ted Kirsch,Cathy Brady,6
Bernie Sanders,6,0,0,79,66,15,62,62,61,58,13,9,12,8,7,8,9,2,5,6
Hillary Clinton,,13,0,6,5,53,5,4,2,3,41,34,29,31,29,29,27,28,25,6
Roque Rocky De La Fuente,,,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,6
H Douglass Brown,,,,0,64,19,59,61,60,59,17,14,15,12,10,9,11,5,5,6
Amanda Mcillmurray,,,,,0,17,59,61,62,59,16,13,10,12,11,10,9,5,4,6
Thaddeus Kirkland,,,,,,0,15,15,15,11,51,35,35,35,32,30,35,28,28,6
Peter Cutty,,,,,,,0,57,54,54,15,12,11,8,8,9,11,6,7,6
Katherine Hunter Snyder,,,,,,,,0,56,56,14,12,12,9,7,8,10,5,7,6
Kat Richter,,,,,,,,,0,55,15,10,10,10,8,9,9,3,4,6
Jacob Adeniran,,,,,,,,,,0,11,11,8,8,7,8,6,3,3,6
Blake Rutherford,,,,,,,,,,,0,32,33,30,30,31,33,26,26,6
Maria Quinones Sanchez,,,,,,,,,,,,0,30,34,32,31,30,29,27,6
Anne Wakabayashi,,,,,,,,,,,,,0,30,27,27,32,26,26,6
Leanne Krueger Braneky,,,,,,,,,,,,,,0,29,27,27,27,27,6
Angel Cruz,,,,,,,,,,,,,,,0,28,28,27,24,6
Jennifer Lentz,,,,,,,,,,,,,,,,0,27,25,24,6
Ryan N Boyer,,,,,,,,,,,,,,,,,0,27,27,6
Ted Kirsch,,,,,,,,,,,,,,,,,,0,26,6
Cathy Brady,,,,,,,,,,,,,,,,,,,0,6
Total,94,72,1,86,72,69,68,66,64,61,55,44,41,41,37,37,37,31,30,6
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,7
,Bernie Sanders,Hillary Clinton,Roque Rocky De La Fuente,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Thaddeus Kirkland,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Blake Rutherford,Jennifer Lentz,Leanne Krueger Braneky,Anne Wakabayashi,Angel Cruz,Cathy Brady,Maria Quinones Sanchez,Ryan N Boyer,Ted Kirsch,7
Bernie Sanders,18,0,0,56,46,41,9,41,38,38,5,8,6,6,7,4,5,6,1,7
