col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,order,division
Catherine Bartch,,,,0,0,0,0,0,0,0,0,6,7
Erica Vanstone,,,,,0,0,0,0,0,0,0,7,7
Frank T Brzozowski,,,,,,0,0,0,0,0,0,8,7
James Harrity,,,,,,,0,0,0,0,0,9,7
Marnie Aument Loughrey,,,,,,,,0,0,0,0,10,7
Meagan Ingerson,,,,,,,,,0,0,0,11,7
Mona Getzes Cohen,,,,,,,,,,0,0,12,7
Richard Lombardo,,,,,,,,,,,0,13,7
Total,43,6,0,0,0,0,0,0,0,0,0,14,7
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,8
,Brendan F Boyle,Michele Lawrence,Meagan Ingerson,James Harrity,Catherine Bartch,Erica Vanstone,Mona Getzes Cohen,Marnie Aument Loughrey,Richard Lombardo,Frank T Brzozowski,Billy Cortes,2,8
Brendan F Boyle,11,0,17,15,12,13,14,9,8,8,7,3,8
Michele Lawrence,,2,2,2,2,1,0,2,2,1,1,4,8
Meagan Ingerson,,,1,10,9,11,12,8,7,5,6,5,8
James Harrity,,,,0,7,9,8,6,8,8,7,6,8
Catherine Bartch,,,,,0,10,7,9,7,7,6,7,8
Erica Vanstone,,,,,,0,9,9,8,7,7,8,8
Mona Getzes Cohen,,,,,,,0,7,5,3,3,9,8
Marnie Aument Loughrey,,,,,,,,0,7,4,4,10,8
Richard Lombardo,,,,,,,,,0,6,7,11,8
Frank T Brzozowski,,,,,,,,,,0,6,12,8
Billy Cortes,,,,,,,,,,,0,13,8
Total,35,7,20,17,14,14,14,11,10,9,8,14,8
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,9
,Brendan F Boyle,Michele Lawrence,James Harrity,Meagan Ingerson,Frank T Brzozowski,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Marnie Aument Loughrey,Catherine Bartch,Erica Vanstone,2,9
Brendan F Boyle,5,0,10,9,7,6,6,6,4,3,5,3,9
Michele Lawrence,,0,3,3,3,3,3,2,4,4,2,4,9
James Harrity,,,1,10,10,8,8,7,6,4,6,5,9
Meagan Ingerson,,,,0,9,9,8,8,7,5,6,6,9
Frank T Brzozowski,,,,,0,7,8,7,6,4,6,7,9
Mona Getzes Cohen,,,,,,0,6,6,5,4,5,8,9
Richard Lombardo,,,,,,,0,6,5,3,7,9,9
Billy Cortes,,,,,,,,0,5,4,5,10,9
Marnie Aument Loughrey,,,,,,,,,0,6,3,11,9
Catherine Bartch,,,,,,,,,,0,1,12,9
Erica Vanstone,,,,,,,,,,,0,13,9
Total,17,5,14,12,10,9,9,8,8,7,7,14,9
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,10
,Brendan F Boyle,Michele Lawrence,Meagan Ingerson,Catherine Bartch,Erica Vanstone,James Harrity,Frank T Brzozowski,Richard Lombardo,Mona Getzes Cohen,Billy Cortes,Marnie Aument Loughrey,2,10
Brendan F Boyle,8,0,18,18,14,13,15,12,14,10,11,3,10
Michele Lawrence,,3,4,3,5,6,3,5,1,4,3,4,10
Meagan Ingerson,,,0,19,16,14,15,13,12,12,11,5,10
Catherine Bartch,,,,0,17,12,16,13,12,12,11,6,10
Erica Vanstone,,,,,0,11,12,11,9,11,10,7,10
James Harrity,,,,,,0,13,13,5,10,8,8,10
Frank T Brzozowski,,,,,,,0,13,8,11,10,9,10
Richard Lombardo,,,,,,,,0,9,10,9,10,10
Mona Getzes Cohen,,,,,,,,,0,6,7,11,10
Billy Cortes,,,,,,,,,,0,9,12,10
Marnie Aument Loughrey,,,,,,,,,,,0,13,10
Total,32,12,22,21,19,19,18,17,15,14,14,14,10
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,11
,Brendan F Boyle,Michele Lawrence,Meagan Ingerson,James Harrity,Richard Lombardo,Erica Vanstone,Mona Getzes Cohen,Frank T Brzozowski,Marnie Aument Loughrey,Catherine Bartch,Billy Cortes,2,11
Brendan F Boyle,11,0,12,13,12,11,8,8,6,4,3,3,11
Michele Lawrence,,2,4,4,2,2,4,2,2,1,0,4,11
Meagan Ingerson,,,0,9,9,11,11,9,7,6,2,5,11
James Harrity,,,,0,13,11,10,11,7,2,3,6,11
Richard Lombardo,,,,,0,12,8,12,8,4,4,7,11
Erica Vanstone,,,,,,0,10,11,10,5,4,8,11
Mona Getzes Cohen,,,,,,,0,9,7,3,3,9,11
Frank T Brzozowski,,,,,,,,0,8,3,4,10,11
Marnie Aument Loughrey,,,,,,,,,0,4,3,11,11
Catherine Bartch,,,,,,,,,,0,1,12,11
Billy Cortes,,,,,,,,,,,0,13,11
Total,33,7,19,18,16,15,14,13,10,6,4,14,11
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,12
,Brendan F Boyle,Michele Lawrence,Meagan Ingerson,Mona Getzes Cohen,Catherine Bartch,Erica Vanstone,James Harrity,Richard Lombardo,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2,12
Brendan F Boyle,7,0,11,10,9,9,6,7,3,4,3,3,12
Michele Lawrence,,0,5,2,2,2,3,1,3,1,2,4,12
Meagan Ingerson,,,0,9,9,10,6,6,5,4,5,5,12
Mona Getzes Cohen,,,,0,9,9,7,8,5,5,3,6,12
Catherine Bartch,,,,,0,9,5,6,3,3,4,7,12
Erica Vanstone,,,,,,0,6,6,5,4,4,8,12
James Harrity,,,,,,,0,6,5,4,1,9,12
Richard Lombardo,,,,,,,,0,4,5,1,10,12
Frank T Brzozowski,,,,,,,,,0,3,2,11,12
Billy Cortes,,,,,,,,,,0,1,12,12
Marnie Aument Loughrey,,,,,,,,,,,0,13,12
Total,21,7,16,12,11,11,9,8,6,5,5,14,12
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,13
,Brendan F Boyle,Michele Lawrence,James Harrity,Meagan Ingerson,Frank T Brzozowski,Erica Vanstone,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Mona Getzes Cohen,2,13
Brendan F Boyle,11,0,23,18,18,16,16,13,13,10,10,3,13
Michele Lawrence,,1,2,2,0,0,1,1,0,0,0,4,13
James Harrity,,,0,14,14,12,16,12,10,9,8,5,13
Meagan Ingerson,,,,0,11,12,10,9,11,7,10,6,13
Frank T Brzozowski,,,,,0,12,14,10,10,9,6,7,13
Erica Vanstone,,,,,,1,12,9,11,7,7,8,13
Richard Lombardo,,,,,,,0,10,9,8,5,9,13
Catherine Bartch,,,,,,,,0,11,6,3,10,13
Marnie Aument Loughrey,,,,,,,,,0,6,5,11,13
Billy Cortes,,,,,,,,,,0,6,12,13
Mona Getzes Cohen,,,,,,,,,,,0,13,13
Total,41,5,25,20,18,17,17,14,13,10,10,14,13
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,14
,Brendan F Boyle,Michele Lawrence,James Harrity,Meagan Ingerson,Richard Lombardo,Frank T Brzozowski,Erica Vanstone,Catherine Bartch,Mona Getzes Cohen,Marnie Aument Loughrey,Billy Cortes,2,14
Brendan F Boyle,4,0,18,15,16,15,12,13,11,10,9,3,14
Michele Lawrence,,3,4,5,3,3,5,3,4,3,2,4,14
James Harrity,,,0,14,15,15,13,14,10,10,8,5,14
Meagan Ingerson,,,,0,13,13,13,12,10,10,7,6,14
Richard Lombardo,,,,,0,13,12,13,10,8,9,7,14
Frank T Brzozowski,,,,,,0,13,13,10,9,8,8,14
Erica Vanstone,,,,,,,0,13,12,8,8,9,14
Catherine Bartch,,,,,,,,0,9,9,9,10,14
Mona Getzes Cohen,,,,,,,,,0,5,4,11,14
Marnie Aument Loughrey,,,,,,,,,,0,6,12,14
Billy Cortes,,,,,,,,,,,0,13,14
Total,32,9,22,21,20,18,17,16,15,13,11,14,14
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,15
,Brendan F Boyle,Michele Lawrence,Billy Cortes,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,James Harrity,Marnie Aument Loughrey,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,2,15
Brendan F Boyle,55,0,0,0,0,0,0,0,0,0,0,3,15
Michele Lawrence,,17,0,0,0,0,0,0,0,0,0,4,15
Billy Cortes,,,0,0,0,0,0,0,0,0,0,5,15
Catherine Bartch,,,,0,0,0,0,0,0,0,0,6,15
Erica Vanstone,,,,,0,0,0,0,0,0,0,7,15
Frank T Brzozowski,,,,,,0,0,0,0,0,0,8,15
James Harrity,,,,,,,0,0,0,0,0,9,15
Marnie Aument Loughrey,,,,,,,,0,0,0,0,10,15
Meagan Ingerson,,,,,,,,,0,0,0,11,15
Mona Getzes Cohen,,,,,,,,,,0,0,12,15
Richard Lombardo,,,,,,,,,,,0,13,15
Total,55,17,0,0,0,0,0,0,0,0,0,14,15
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,16
,Brendan F Boyle,Michele Lawrence,Richard Lombardo,James Harrity,Meagan Ingerson,Erica Vanstone,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,Mona Getzes Cohen,Billy Cortes,2,16
Brendan F Boyle,10,0,25,24,23,21,21,20,18,16,12,3,16
Michele Lawrence,,2,2,2,2,2,2,2,1,1,2,4,16
Richard Lombardo,,,0,18,20,21,20,19,13,14,13,5,16
James Harrity,,,,0,17,17,19,15,10,13,10,6,16
Meagan Ingerson,,,,,0,18,18,16,11,17,8,7,16
Erica Vanstone,,,,,,0,19,18,14,14,12,8,16
Frank T Brzozowski,,,,,,,0,16,13,12,11,9,16
Catherine Bartch,,,,,,,,0,13,10,11,10,16
Marnie Aument Loughrey,,,,,,,,,0,6,9,11,16
Mona Getzes Cohen,,,,,,,,,,0,5,12,16
Billy Cortes,,,,,,,,,,,0,13,16
Total,47,6,28,27,26,25,24,22,19,18,14,14,16
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,17
,Brendan F Boyle,Michele Lawrence,Erica Vanstone,Meagan Ingerson,Catherine Bartch,James Harrity,Frank T Brzozowski,Richard Lombardo,Marnie Aument Loughrey,Mona Getzes Cohen,Billy Cortes,2,17
Brendan F Boyle,16,0,12,12,13,13,11,12,11,10,7,3,17
Michele Lawrence,,3,4,5,2,2,3,2,2,1,0,4,17
Erica Vanstone,,,0,11,12,9,9,13,11,10,5,5,17
Meagan Ingerson,,,,0,10,9,9,9,8,8,2,6,17
Catherine Bartch,,,,,0,9,10,11,11,8,7,7,17
James Harrity,,,,,,1,7,10,7,6,4,8,17
Frank T Brzozowski,,,,,,,0,10,10,5,5,9,17
Richard Lombardo,,,,,,,,0,11,8,7,10,17
Marnie Aument Loughrey,,,,,,,,,0,7,6,11,17
Mona Getzes Cohen,,,,,,,,,,0,3,12,17
Billy Cortes,,,,,,,,,,,0,13,17
Total,39,9,17,17,16,16,15,15,14,11,8,14,17
,Representative In Congress 2nd District - Democrat,,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,18
,Brendan F Boyle,Michele Lawrence,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,James Harrity,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,2,18
Brendan F Boyle,10,0,26,25,21,21,19,16,16,18,12,3,18
Michele Lawrence,,3,13,10,10,8,8,8,6,3,7,4,18
Meagan Ingerson,,,1,27,26,22,20,20,18,18,14,5,18
Mona Getzes Cohen,,,,1,22,19,20,17,15,15,13,6,18
Erica Vanstone,,,,,0,20,23,21,20,19,14,7,18
James Harrity,,,,,,0,18,13,15,16,10,8,18
Richard Lombardo,,,,,,,0,15,16,17,12,9,18
Catherine Bartch,,,,,,,,0,11,15,15,10,18
Frank T Brzozowski,,,,,,,,,0,13,11,11,18
Marnie Aument Loughrey,,,,,,,,,,0,10,12,18
Billy Cortes,,,,,,,,,,,0,13,18
Total,54,19,41,39,32,31,29,24,24,22,19,14,18
