col_1,col_2,col_3,col_4,order,division
Michele Lawrence,,0,0,4,11
Brendan F Boyle,,,0,5,11
Total,24,12,10,6,11
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,12
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,12
Tom Wolf,3,13,11,3,12
Brendan F Boyle,,2,0,4,12
Michele Lawrence,,,2,5,12
Total,27,15,13,6,12
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,13
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,13
Tom Wolf,2,15,7,3,13
Brendan F Boyle,,1,0,4,13
Michele Lawrence,,,1,5,13
Total,24,16,8,6,13
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,14
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,14
Tom Wolf,4,19,9,3,14
Brendan F Boyle,,3,0,4,14
Michele Lawrence,,,2,5,14
Total,32,22,11,6,14
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,15
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,15
Tom Wolf,5,8,7,3,15
Michele Lawrence,,1,0,4,15
Brendan F Boyle,,,0,5,15
Total,20,9,7,6,15
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,16
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,16
Tom Wolf,0,6,3,3,16
Michele Lawrence,,0,0,4,16
Brendan F Boyle,,,0,5,16
Total,9,6,3,6,16
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,17
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,17
Tom Wolf,3,3,2,3,17
Michele Lawrence,,0,0,4,17
Brendan F Boyle,,,0,5,17
Total,8,3,2,6,17
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,18
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,18
Tom Wolf,0,10,4,3,18
Brendan F Boyle,,0,0,4,18
Michele Lawrence,,,0,5,18
Total,14,10,4,6,18
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,19
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,19
Tom Wolf,3,11,5,3,19
Brendan F Boyle,,0,0,4,19
Michele Lawrence,,,0,5,19
Total,19,11,5,6,19
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,20
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,20
Tom Wolf,0,5,2,3,20
Michele Lawrence,,0,0,4,20
Brendan F Boyle,,,0,5,20
Total,7,5,2,6,20
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,21
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,21
Tom Wolf,2,7,3,3,21
Brendan F Boyle,,0,0,4,21
Michele Lawrence,,,0,5,21
Total,12,7,3,6,21
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,22
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,22
Tom Wolf,0,12,6,3,22
Brendan F Boyle,,0,0,4,22
Michele Lawrence,,,1,5,22
Total,18,12,7,6,22
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,23
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,23
Tom Wolf,1,9,7,3,23
Michele Lawrence,,2,0,4,23
Brendan F Boyle,,,0,5,23
Total,17,11,7,6,23
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,24
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,24
Tom Wolf,2,4,1,3,24
Michele Lawrence,,0,0,4,24
Brendan F Boyle,,,1,5,24
Total,7,4,2,6,24
