col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Liam G Boyle,Monica Maria Djerassi,Dewayne Drummond,Lisa Rhodes,Joe Khan,Linda Norris,Rebecca Poyourow,Nat Lownes,Jacque Whaumbush,Kevin Bundy,John Brady,2,3
Dwight Evans,1,0,9,9,8,6,6,6,2,4,3,1,1,1,0,3,3
Kevin Johnson,,0,2,3,2,2,1,1,3,1,1,1,0,0,0,4,3
Kathryn S Huggins,,,1,8,8,7,7,6,3,5,3,2,0,1,0,5,3
Ken Washington,,,,0,9,7,6,7,4,5,3,2,1,1,0,6,3
Liam G Boyle,,,,,0,7,7,6,4,4,4,1,1,1,0,7,3
Monica Maria Djerassi,,,,,,0,5,7,4,5,3,1,1,0,0,8,3
Dewayne Drummond,,,,,,,0,4,2,3,2,1,0,1,0,9,3
Lisa Rhodes,,,,,,,,0,3,5,2,1,1,0,0,10,3
Joe Khan,,,,,,,,,0,1,2,1,1,0,0,11,3
Linda Norris,,,,,,,,,,0,1,1,0,0,0,12,3
Rebecca Poyourow,,,,,,,,,,,0,1,1,1,0,13,3
Nat Lownes,,,,,,,,,,,,0,0,1,0,14,3
Jacque Whaumbush,,,,,,,,,,,,,0,0,0,15,3
Kevin Bundy,,,,,,,,,,,,,,0,0,16,3
John Brady,,,,,,,,,,,,,,,0,17,3
Total,12,4,12,12,10,8,7,7,5,5,4,2,1,1,0,18,3
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,4
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,John Brady,Rebecca Poyourow,Joe Khan,Jacque Whaumbush,Nat Lownes,2,4
Dwight Evans,10,0,47,31,29,27,22,25,22,21,16,13,9,8,4,3,4
Kevin Johnson,,2,9,10,6,4,6,4,4,2,2,3,1,0,3,4,4
Kathryn S Huggins,,,0,30,28,26,21,23,19,18,15,14,9,5,6,5,4
Ken Washington,,,,1,24,26,17,20,15,15,11,8,6,3,5,6,4
Dewayne Drummond,,,,,0,22,17,17,18,14,8,7,7,5,4,7,4
Liam G Boyle,,,,,,0,15,16,12,13,8,7,6,3,1,8,4
Kevin Bundy,,,,,,,1,10,7,5,10,7,7,3,4,9,4
Monica Maria Djerassi,,,,,,,,0,18,17,11,10,5,7,4,10,4
Lisa Rhodes,,,,,,,,,0,19,8,7,5,7,3,11,4
Linda Norris,,,,,,,,,,0,8,8,3,6,1,12,4
John Brady,,,,,,,,,,,0,9,5,3,3,13,4
Rebecca Poyourow,,,,,,,,,,,,0,2,5,2,14,4
Joe Khan,,,,,,,,,,,,,0,0,4,15,4
Jacque Whaumbush,,,,,,,,,,,,,,0,1,16,4
Nat Lownes,,,,,,,,,,,,,,,0,17,4
Total,75,14,56,42,35,31,29,29,26,23,18,16,10,8,7,18,4
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In Congress 3rd District - Democrat,,1,5
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Joe Khan,Rebecca Poyourow,John Brady,Jacque Whaumbush,Nat Lownes,Dwight Evans,Kevin Johnson,2,5
Kathryn S Huggins,1,88,87,76,59,56,55,23,18,19,16,9,9,80,27,3,5
Dewayne Drummond,,0,82,72,51,51,50,29,13,10,13,7,7,69,27,4,5
Ken Washington,,,0,70,54,52,50,24,15,12,12,7,7,72,22,5,5
Liam G Boyle,,,,0,43,46,45,18,13,12,10,7,7,61,18,6,5
Linda Norris,,,,,0,56,47,14,8,9,9,8,5,49,13,7,5
Lisa Rhodes,,,,,,0,48,12,9,11,10,9,3,48,13,8,5
Monica Maria Djerassi,,,,,,,0,9,9,9,4,7,4,44,12,9,5
Kevin Bundy,,,,,,,,0,7,4,10,5,6,20,12,10,5
Joe Khan,,,,,,,,,0,7,7,7,5,16,5,11,5
Rebecca Poyourow,,,,,,,,,,0,5,5,2,12,7,12,5
John Brady,,,,,,,,,,,0,2,1,13,4,13,5
Jacque Whaumbush,,,,,,,,,,,,0,2,10,3,14,5
Nat Lownes,,,,,,,,,,,,,0,5,5,15,5
Dwight Evans,,,,,,,,,,,,,,5,0,16,5
Kevin Johnson,,,,,,,,,,,,,,,5,17,5
Total,114,99,98,81,65,64,60,32,22,19,18,13,10,99,35,18,5
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,6
,Dwight Evans,Kevin Johnson,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Kevin Bundy,John Brady,Rebecca Poyourow,Joe Khan,Jacque Whaumbush,Nat Lownes,2,6
Dwight Evans,6,0,77,71,67,58,47,44,39,20,15,11,13,10,6,3,6
Kevin Johnson,,3,16,22,15,14,12,12,10,7,5,7,4,4,6,4,6
Ken Washington,,,1,72,73,65,44,45,41,24,14,13,11,10,10,5,6
Kathryn S Huggins,,,,0,66,59,44,45,41,20,14,13,13,8,11,6,6
Dewayne Drummond,,,,,1,61,42,37,39,22,11,9,7,5,9,7,6
Liam G Boyle,,,,,,0,35,34,35,16,10,11,5,4,7,8,6
Lisa Rhodes,,,,,,,0,43,43,11,9,11,7,12,5,9,6
Monica Maria Djerassi,,,,,,,,0,36,10,6,8,12,9,4,10,6
Linda Norris,,,,,,,,,0,8,8,6,7,6,3,11,6
Kevin Bundy,,,,,,,,,,0,10,8,6,5,8,12,6
John Brady,,,,,,,,,,,0,4,2,4,2,13,6
Rebecca Poyourow,,,,,,,,,,,,0,6,8,6,14,6
Joe Khan,,,,,,,,,,,,,0,6,3,15,6
Jacque Whaumbush,,,,,,,,,,,,,,0,2,16,6
Nat Lownes,,,,,,,,,,,,,,,0,17,6
Total,107,33,96,95,84,73,61,58,50,27,21,19,17,14,13,18,6
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,7
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,John Brady,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,Nat Lownes,2,7
Dwight Evans,25,0,65,48,47,35,34,33,29,19,14,13,9,4,5,3,7
Kevin Johnson,,4,9,12,11,10,7,8,8,5,3,2,0,3,1,4,7
Kathryn S Huggins,,,2,48,45,39,38,34,32,18,11,12,7,4,4,5,7
Dewayne Drummond,,,,0,48,39,34,33,30,17,13,10,4,4,2,6,7
Ken Washington,,,,,0,39,31,29,30,19,12,7,3,5,2,7,7
Liam G Boyle,,,,,,0,28,27,25,11,8,6,1,4,4,8,7
Linda Norris,,,,,,,0,36,30,8,8,8,6,3,1,9,7
Lisa Rhodes,,,,,,,,0,28,8,8,10,7,3,3,10,7
Monica Maria Djerassi,,,,,,,,,0,6,7,11,6,3,2,11,7
Kevin Bundy,,,,,,,,,,0,11,5,3,5,4,12,7
John Brady,,,,,,,,,,,0,7,1,4,4,13,7
Rebecca Poyourow,,,,,,,,,,,,0,6,2,2,14,7
Jacque Whaumbush,,,,,,,,,,,,,0,2,1,15,7
Joe Khan,,,,,,,,,,,,,,0,3,16,7
Nat Lownes,,,,,,,,,,,,,,,0,17,7
Total,116,23,80,64,63,48,43,43,39,26,17,15,9,7,6,18,7
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,8
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Linda Norris,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,Jacque Whaumbush,2,8
Dwight Evans,5,0,67,63,61,49,49,44,41,22,16,18,17,10,10,3,8
Kevin Johnson,,3,12,11,8,6,6,8,7,6,8,5,2,6,0,4,8
Kathryn S Huggins,,,0,64,56,48,46,47,39,23,21,11,14,8,11,5,8
Dewayne Drummond,,,,0,56,48,49,44,39,22,17,11,14,10,7,6,8
Ken Washington,,,,,0,39,47,36,38,15,15,12,14,7,8,7,8
Linda Norris,,,,,,0,36,48,42,12,11,10,7,7,6,8,8
Liam G Boyle,,,,,,,0,37,35,11,7,8,8,8,4,9,8
Lisa Rhodes,,,,,,,,0,41,12,10,10,5,6,7,10,8
Monica Maria Djerassi,,,,,,,,,0,8,8,8,5,6,3,11,8
Kevin Bundy,,,,,,,,,,0,11,11,11,4,5,12,8
Rebecca Poyourow,,,,,,,,,,,0,11,10,8,6,13,8
John Brady,,,,,,,,,,,,0,6,6,3,14,8
Nat Lownes,,,,,,,,,,,,,0,3,5,15,8
Joe Khan,,,,,,,,,,,,,,0,0,16,8
Jacque Whaumbush,,,,,,,,,,,,,,,0,17,8
Total,98,21,83,75,73,58,57,56,51,29,27,25,20,16,12,18,8
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,9
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Liam G Boyle,Dewayne Drummond,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,Jacque Whaumbush,2,9
Dwight Evans,14,0,70,63,54,51,42,38,36,22,10,7,8,5,1,3,9
Kevin Johnson,,0,4,8,4,4,4,5,2,1,2,2,1,1,2,4,9
Kathryn S Huggins,,,0,54,52,53,40,39,38,20,12,6,6,4,3,5,9
Ken Washington,,,,1,54,48,37,36,31,21,7,7,7,3,1,6,9
Liam G Boyle,,,,,0,46,32,33,30,21,4,6,6,2,0,7,9
Dewayne Drummond,,,,,,0,34,32,31,17,7,7,4,1,2,8,9
Linda Norris,,,,,,,0,39,35,10,9,6,4,3,3,9,9
Lisa Rhodes,,,,,,,,0,34,8,7,5,5,3,3,10,9
Monica Maria Djerassi,,,,,,,,,0,5,9,3,1,2,2,11,9
Kevin Bundy,,,,,,,,,,1,4,7,6,2,0,12,9
Rebecca Poyourow,,,,,,,,,,,0,2,2,2,3,13,9
John Brady,,,,,,,,,,,,0,3,2,0,14,9
Nat Lownes,,,,,,,,,,,,,0,2,0,15,9
Joe Khan,,,,,,,,,,,,,,0,0,16,9
Jacque Whaumbush,,,,,,,,,,,,,,,0,17,9
Total,105,10,76,74,60,56,46,43,38,26,12,9,9,6,3,18,9
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,10
,Dwight Evans,Kevin Johnson,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Kevin Bundy,Rebecca Poyourow,Jacque Whaumbush,John Brady,Nat Lownes,Joe Khan,2,10
Dwight Evans,16,0,109,100,92,90,62,63,60,25,12,9,10,10,8,3,10
Kevin Johnson,,3,15,12,11,11,11,8,8,4,2,3,1,0,1,4,10
Ken Washington,,,0,96,95,93,66,63,60,24,10,8,8,9,5,5,10
Kathryn S Huggins,,,,2,90,86,61,61,55,20,12,7,7,7,5,6,10
Dewayne Drummond,,,,,1,86,59,58,54,20,8,7,7,6,2,7,10
Liam G Boyle,,,,,,1,61,61,55,18,7,5,7,9,5,8,10
Lisa Rhodes,,,,,,,0,60,63,9,7,8,4,6,4,9,10
Monica Maria Djerassi,,,,,,,,0,55,11,10,6,5,2,2,10,10
Linda Norris,,,,,,,,,0,5,4,5,4,5,4,11,10
Kevin Bundy,,,,,,,,,,0,8,7,6,6,2,12,10
Rebecca Poyourow,,,,,,,,,,,0,4,3,3,1,13,10
Jacque Whaumbush,,,,,,,,,,,,0,3,0,2,14,10
John Brady,,,,,,,,,,,,,0,1,3,15,10
Nat Lownes,,,,,,,,,,,,,,0,2,16,10
Joe Khan,,,,,,,,,,,,,,,0,17,10
Total,155,20,126,116,106,104,73,71,68,29,14,12,11,10,9,18,10
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,11
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Kevin Bundy,Rebecca Poyourow,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,2,11
Dwight Evans,12,0,88,72,59,49,40,40,35,28,26,24,17,18,13,3,11
Kevin Johnson,,3,6,6,6,6,5,5,2,3,3,4,2,2,3,4,11
Kathryn S Huggins,,,0,63,59,47,40,37,34,28,30,22,17,16,14,5,11
Ken Washington,,,,0,51,44,31,31,27,26,16,21,9,12,13,6,11
Dewayne Drummond,,,,,0,40,32,29,23,22,17,15,11,16,10,7,11
Liam G Boyle,,,,,,0,23,20,16,20,13,15,5,11,8,8,11
Monica Maria Djerassi,,,,,,,0,27,22,14,23,12,14,12,6,9,11
Lisa Rhodes,,,,,,,,0,28,9,16,14,13,9,5,10,11
Linda Norris,,,,,,,,,0,7,11,14,14,5,8,11,11
Kevin Bundy,,,,,,,,,,0,11,14,4,9,8,12,11
Rebecca Poyourow,,,,,,,,,,,0,7,9,6,5,13,11
John Brady,,,,,,,,,,,,0,4,9,7,14,11
Jacque Whaumbush,,,,,,,,,,,,,0,6,3,15,11
Joe Khan,,,,,,,,,,,,,,0,5,16,11
Nat Lownes,,,,,,,,,,,,,,,0,17,11
Total,122,12,96,79,67,57,46,45,38,33,30,28,20,20,16,18,11
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,12
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,John Brady,Joe Khan,Jacque Whaumbush,Nat Lownes,2,12
Dwight Evans,11,0,51,46,36,33,30,28,24,21,13,16,11,7,8,3,12
Kevin Johnson,,3,18,13,15,16,10,12,10,11,11,5,6,5,3,4,12
Kathryn S Huggins,,,2,46,44,39,35,32,28,23,22,13,14,11,9,5,12
Ken Washington,,,,1,38,33,24,21,18,18,12,10,6,2,8,6,12
Dewayne Drummond,,,,,4,33,25,21,20,19,10,7,7,4,7,7,12
Liam G Boyle,,,,,,0,23,19,16,18,9,8,7,3,5,8,12
Lisa Rhodes,,,,,,,0,32,27,7,15,7,8,11,7,9,12
Linda Norris,,,,,,,,0,28,5,15,8,9,10,3,10,12
Monica Maria Djerassi,,,,,,,,,0,2,14,3,6,9,1,11,12
Kevin Bundy,,,,,,,,,,1,5,7,4,2,4,12,12
Rebecca Poyourow,,,,,,,,,,,0,6,8,9,5,13,12
John Brady,,,,,,,,,,,,0,4,2,4,14,12
Joe Khan,,,,,,,,,,,,,0,4,5,15,12
Jacque Whaumbush,,,,,,,,,,,,,,0,0,16,12
Nat Lownes,,,,,,,,,,,,,,,0,17,12
Total,95,33,73,61,56,49,42,41,35,33,25,21,17,14,11,18,12
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,13
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,2,13
Dwight Evans,18,0,102,84,78,68,69,65,51,34,27,19,19,14,16,3,13
Kevin Johnson,,9,33,28,32,25,21,24,22,12,9,7,5,6,5,4,13
Kathryn S Huggins,,,1,98,97,82,78,78,66,43,30,22,19,13,17,5,13
Dewayne Drummond,,,,0,87,80,71,67,59,32,21,15,17,13,14,6,13
Ken Washington,,,,,0,79,64,69,51,33,18,13,13,11,12,7,13
Liam G Boyle,,,,,,0,57,57,50,26,13,11,9,8,6,8,13
Lisa Rhodes,,,,,,,1,73,61,27,23,16,19,11,13,9,13
Linda Norris,,,,,,,,0,57,24,20,15,17,9,11,10,13
Monica Maria Djerassi,,,,,,,,,0,16,20,11,13,7,9,11,13
Kevin Bundy,,,,,,,,,,0,18,9,8,6,8,12,13
Rebecca Poyourow,,,,,,,,,,,0,8,11,7,9,13,13
John Brady,,,,,,,,,,,,0,4,6,8,14,13
Jacque Whaumbush,,,,,,,,,,,,,0,6,5,15,13
Joe Khan,,,,,,,,,,,,,,0,8,16,13
Nat Lownes,,,,,,,,,,,,,,,0,17,13
Total,140,51,137,112,112,93,92,90,74,47,36,26,25,21,21,18,13
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,14
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Kevin Bundy,Jacque Whaumbush,John Brady,Rebecca Poyourow,Nat Lownes,Joe Khan,2,14
Dwight Evans,10,0,75,66,66,46,48,45,40,27,17,17,14,13,12,3,14
Kevin Johnson,,1,26,21,21,19,17,17,14,7,9,8,8,5,4,4,14
Kathryn S Huggins,,,0,73,73,58,52,50,43,26,20,18,20,13,11,5,14
Ken Washington,,,,1,75,56,49,45,43,27,15,16,13,13,8,6,14
Dewayne Drummond,,,,,0,60,50,45,43,30,19,17,14,15,9,7,14
Liam G Boyle,,,,,,0,33,34,29,18,7,7,7,12,5,8,14
Linda Norris,,,,,,,0,47,43,13,21,14,14,8,5,9,14
Monica Maria Djerassi,,,,,,,,0,41,8,12,8,17,8,11,10,14
Lisa Rhodes,,,,,,,,,0,11,11,12,11,5,10,11,14
Kevin Bundy,,,,,,,,,,0,12,11,7,9,6,12,14
Jacque Whaumbush,,,,,,,,,,,0,7,8,8,6,13,14
John Brady,,,,,,,,,,,,0,4,7,5,14,14
Rebecca Poyourow,,,,,,,,,,,,,0,5,3,15,14
Nat Lownes,,,,,,,,,,,,,,0,4,16,14
Joe Khan,,,,,,,,,,,,,,,0,17,14
Total,110,35,103,90,89,67,66,63,55,34,26,25,22,18,16,18,14
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,15
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Rebecca Poyourow,John Brady,Joe Khan,Nat Lownes,Jacque Whaumbush,2,15
Dwight Evans,13,0,79,58,52,44,41,28,28,23,21,17,13,11,6,3,15
Kevin Johnson,,10,24,20,13,12,16,13,10,11,12,7,6,5,8,4,15
Kathryn S Huggins,,,0,65,55,54,47,33,30,29,30,20,14,13,11,5,15
Ken Washington,,,,0,55,44,48,29,27,25,21,20,12,15,11,6,15
Dewayne Drummond,,,,,0,41,46,24,25,24,17,16,14,14,7,7,15
Kevin Bundy,,,,,,0,35,21,15,17,18,17,10,12,9,8,15
Liam G Boyle,,,,,,,0,22,20,20,15,12,10,11,9,9,15
Lisa Rhodes,,,,,,,,1,25,25,15,8,7,5,9,10,15
Monica Maria Djerassi,,,,,,,,,0,20,15,10,9,5,9,11,15
Linda Norris,,,,,,,,,,0,12,8,9,1,6,12,15
Rebecca Poyourow,,,,,,,,,,,0,8,10,6,6,13,15
John Brady,,,,,,,,,,,,0,9,5,2,14,15
Joe Khan,,,,,,,,,,,,,0,1,2,15,15
Nat Lownes,,,,,,,,,,,,,,0,3,16,15
Jacque Whaumbush,,,,,,,,,,,,,,,0,17,15
Total,107,41,105,80,67,58,58,44,39,36,33,25,19,17,15,18,15
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,16
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,John Brady,Joe Khan,Nat Lownes,Jacque Whaumbush,2,16
Dwight Evans,13,0,75,67,62,58,43,42,40,28,21,14,10,15,10,3,16
Kevin Johnson,,2,26,31,29,23,20,19,20,10,8,10,9,4,3,4,16
Kathryn S Huggins,,,0,82,80,74,52,51,55,28,22,18,10,13,10,5,16
Ken Washington,,,,0,85,74,51,55,56,32,23,18,11,14,5,6,16
Dewayne Drummond,,,,,0,74,50,50,52,32,22,18,10,13,6,7,16
Liam G Boyle,,,,,,0,43,44,50,24,16,10,8,10,7,8,16
Lisa Rhodes,,,,,,,0,52,46,12,9,10,10,5,10,9,16
Linda Norris,,,,,,,,0,50,12,12,12,7,4,6,10,16
Monica Maria Djerassi,,,,,,,,,0,13,14,9,6,5,4,11,16
Kevin Bundy,,,,,,,,,,0,17,16,9,9,5,12,16
Rebecca Poyourow,,,,,,,,,,,0,11,8,10,5,13,16
John Brady,,,,,,,,,,,,0,8,3,4,14,16
Joe Khan,,,,,,,,,,,,,0,6,5,15,16
Nat Lownes,,,,,,,,,,,,,,0,2,16,16
Jacque Whaumbush,,,,,,,,,,,,,,,0,17,16
Total,108,38,103,100,93,83,63,61,61,40,29,25,19,19,13,18,16
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,17
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Kevin Bundy,Joe Khan,John Brady,Jacque Whaumbush,Nat Lownes,Rebecca Poyourow,2,17
Dwight Evans,7,0,79,64,53,54,32,32,32,33,12,16,11,12,11,3,17
Kevin Johnson,,3,14,15,11,9,9,8,7,6,6,0,3,2,3,4,17
Kathryn S Huggins,,,0,63,56,58,33,36,33,30,13,12,11,12,15,5,17
Ken Washington,,,,0,59,58,33,34,32,34,15,11,9,12,10,6,17
Dewayne Drummond,,,,,0,50,29,30,30,30,9,9,7,9,9,7,17
Liam G Boyle,,,,,,0,29,35,29,25,11,6,6,9,10,8,17
Lisa Rhodes,,,,,,,0,31,35,12,12,9,8,7,7,9,17
Monica Maria Djerassi,,,,,,,,0,29,11,9,6,9,5,7,10,17
Linda Norris,,,,,,,,,0,10,7,7,9,5,8,11,17
Kevin Bundy,,,,,,,,,,0,9,10,8,10,8,12,17
Joe Khan,,,,,,,,,,,0,6,4,9,3,13,17
