col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,16
Mike Stack,10,0,0,0,0,3,16
Nina Ahmad,,6,0,0,0,4,16
Kathi Cozzone,,,5,0,0,5,16
John Fetterman,,,,2,0,6,16
Ray Sosa,,,,,0,7,16
Total,10,6,5,2,0,8,16
,Lieutenant Governor - Democrat,,,,,1,17
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,17
Mike Stack,17,0,0,0,0,3,17
Kathi Cozzone,,7,0,0,0,4,17
Nina Ahmad,,,6,0,0,5,17
John Fetterman,,,,0,0,6,17
Ray Sosa,,,,,0,7,17
Total,17,7,6,0,0,8,17
,Lieutenant Governor - Democrat,,,,,1,18
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,18
Mike Stack,25,0,0,0,0,3,18
Nina Ahmad,,13,0,0,0,4,18
Kathi Cozzone,,,12,0,0,5,18
John Fetterman,,,,3,0,6,18
Ray Sosa,,,,,0,7,18
Total,25,13,12,3,0,8,18
,Lieutenant Governor - Democrat,,,,,1,19
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,19
Mike Stack,25,0,0,0,0,3,19
Kathi Cozzone,,11,0,0,0,4,19
Nina Ahmad,,,10,0,0,5,19
John Fetterman,,,,5,0,6,19
Ray Sosa,,,,,0,7,19
Total,25,11,10,5,0,8,19
,Lieutenant Governor - Democrat,,,,,1,20
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,20
Mike Stack,22,0,0,0,0,3,20
Nina Ahmad,,11,0,0,0,4,20
John Fetterman,,,7,0,0,5,20
Kathi Cozzone,,,,3,0,6,20
Ray Sosa,,,,,0,7,20
Total,22,11,7,3,0,8,20
,Lieutenant Governor - Democrat,,,,,1,21
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,21
Mike Stack,31,0,0,0,0,3,21
Nina Ahmad,,10,0,0,0,4,21
John Fetterman,,,8,0,0,5,21
Kathi Cozzone,,,,8,0,6,21
Ray Sosa,,,,,0,7,21
Total,31,10,8,8,0,8,21
,Lieutenant Governor - Democrat,,,,,1,22
,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,John Fetterman,2,22
Mike Stack,17,0,0,0,0,3,22
Nina Ahmad,,5,0,0,0,4,22
Kathi Cozzone,,,4,0,0,5,22
Ray Sosa,,,,1,0,6,22
John Fetterman,,,,,0,7,22
Total,17,5,4,1,0,8,22
,Lieutenant Governor - Democrat,,,,,1,23
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,23
Mike Stack,35,0,0,0,0,3,23
Kathi Cozzone,,9,0,0,0,4,23
Nina Ahmad,,,8,0,0,5,23
John Fetterman,,,,3,0,6,23
Ray Sosa,,,,,1,7,23
Total,35,9,8,3,1,8,23
,Lieutenant Governor - Democrat,,,,,1,24
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,24
Mike Stack,18,0,0,0,0,3,24
Nina Ahmad,,13,0,0,0,4,24
Kathi Cozzone,,,7,0,0,5,24
John Fetterman,,,,4,0,6,24
Ray Sosa,,,,,0,7,24
Total,18,13,7,4,0,8,24
,Lieutenant Governor - Democrat,,,,,1,25
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,25
Mike Stack,18,0,0,0,0,3,25
Kathi Cozzone,,13,0,0,0,4,25
Nina Ahmad,,,5,0,0,5,25
John Fetterman,,,,4,0,6,25
Ray Sosa,,,,,0,7,25
Total,18,13,5,4,0,8,25
,Lieutenant Governor - Democrat,,,,,1,26
,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,26
Mike Stack,16,0,0,0,0,3,26
Kathi Cozzone,,6,0,0,0,4,26
John Fetterman,,,2,0,0,5,26
Nina Ahmad,,,,1,0,6,26
Ray Sosa,,,,,0,7,26
Total,16,6,2,1,0,8,26
,Lieutenant Governor - Democrat,,,,,1,27
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,27
Mike Stack,10,0,0,0,0,3,27
Nina Ahmad,,7,0,0,0,4,27
Kathi Cozzone,,,6,0,0,5,27
John Fetterman,,,,4,0,6,27
Ray Sosa,,,,,1,7,27
Total,10,7,6,4,1,8,27
,Lieutenant Governor - Democrat,,,,,1,28
,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,28
Kathi Cozzone,20,0,0,0,0,3,28
Mike Stack,,17,0,0,0,4,28
Nina Ahmad,,,4,0,0,5,28
John Fetterman,,,,2,0,6,28
Ray Sosa,,,,,1,7,28
Total,20,17,4,2,1,8,28
,Lieutenant Governor - Democrat,,,,,1,29
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,29
Mike Stack,16,0,0,0,0,3,29
Kathi Cozzone,,9,0,0,0,4,29
Nina Ahmad,,,3,0,0,5,29
John Fetterman,,,,1,0,6,29
Ray Sosa,,,,,0,7,29
Total,16,9,3,1,0,8,29
,Lieutenant Governor - Democrat,,,,,1,30
,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,30
Mike Stack,9,0,0,0,0,3,30
John Fetterman,,5,0,0,0,4,30
Kathi Cozzone,,,5,0,0,5,30
Nina Ahmad,,,,3,0,6,30
Ray Sosa,,,,,1,7,30
Total,9,5,5,3,1,8,30
,Lieutenant Governor - Democrat,,,,,1,31
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,31
Mike Stack,23,0,0,0,0,3,31
Kathi Cozzone,,12,0,0,0,4,31
Nina Ahmad,,,4,0,0,5,31
John Fetterman,,,,3,0,6,31
Ray Sosa,,,,,1,7,31
Total,23,12,4,3,1,8,31
,Lieutenant Governor - Democrat,,,,,1,32
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,32
Mike Stack,27,0,0,0,0,3,32
John Fetterman,,8,0,0,0,4,32
Nina Ahmad,,,5,0,0,5,32
Kathi Cozzone,,,,4,0,6,32
Ray Sosa,,,,,0,7,32
Total,27,8,5,4,0,8,32
