col_1,col_2,col_3,col_4,col_5,col_6,order,division
Ray Sosa,,,,,0,7,11
Total,54,36,13,8,0,8,11
,Lieutenant Governor - Democrat,,,,,1,12
,Nina Ahmad,John Fetterman,Kathi Cozzone,Mike Stack,Ray Sosa,2,12
Nina Ahmad,31,0,0,0,0,3,12
John Fetterman,,11,0,0,0,4,12
Kathi Cozzone,,,8,0,0,5,12
Mike Stack,,,,5,0,6,12
Ray Sosa,,,,,1,7,12
Total,31,11,8,5,1,8,12
,Lieutenant Governor - Democrat,,,,,1,13
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,13
Nina Ahmad,90,0,0,0,0,3,13
John Fetterman,,27,0,0,0,4,13
Mike Stack,,,24,0,0,5,13
Kathi Cozzone,,,,14,0,6,13
Ray Sosa,,,,,4,7,13
Total,90,27,24,14,4,8,13
,Lieutenant Governor - Democrat,,,,,1,14
,Nina Ahmad,John Fetterman,Kathi Cozzone,Mike Stack,Ray Sosa,2,14
Nina Ahmad,81,0,0,0,0,3,14
John Fetterman,,41,0,0,0,4,14
Kathi Cozzone,,,16,0,0,5,14
Mike Stack,,,,10,0,6,14
Ray Sosa,,,,,0,7,14
Total,81,41,16,10,0,8,14
,Lieutenant Governor - Democrat,,,,,1,15
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,15
Nina Ahmad,113,0,0,0,0,3,15
John Fetterman,,30,0,0,0,4,15
Mike Stack,,,13,0,0,5,15
Kathi Cozzone,,,,10,0,6,15
Ray Sosa,,,,,0,7,15
Total,113,30,13,10,0,8,15
,Lieutenant Governor - Democrat,,,,,1,16
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,16
Nina Ahmad,112,0,0,0,0,3,16
John Fetterman,,52,0,0,0,4,16
Mike Stack,,,23,0,0,5,16
Kathi Cozzone,,,,13,0,6,16
Ray Sosa,,,,,0,7,16
Total,112,52,23,13,0,8,16
,Lieutenant Governor - Democrat,,,,,1,17
,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,17
Nina Ahmad,89,0,0,0,0,3,17
John Fetterman,,54,0,0,0,4,17
Mike Stack,,,33,0,0,5,17
Kathi Cozzone,,,,22,0,6,17
Ray Sosa,,,,,0,7,17
Total,89,54,33,22,0,8,17
