col_1,col_2,col_3,col_4,order,division
Jim Christiana,,,0,5,9
Total,12,7,6,6,9
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,10
,Bryan E Leib,Lou Barletta,Jim Christiana,2,10
Bryan E Leib,0,6,5,3,10
Lou Barletta,,1,0,4,10
Jim Christiana,,,0,5,10
Total,11,7,5,6,10
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,11
,Bryan E Leib,Lou Barletta,Jim Christiana,2,11
Bryan E Leib,0,6,3,3,11
Lou Barletta,,0,0,4,11
Jim Christiana,,,0,5,11
Total,9,6,3,6,11
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,12
,Bryan E Leib,Jim Christiana,Lou Barletta,2,12
Bryan E Leib,0,6,8,3,12
Jim Christiana,,2,0,4,12
Lou Barletta,,,0,5,12
Total,14,8,8,6,12
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,13
,Bryan E Leib,Jim Christiana,Lou Barletta,2,13
Bryan E Leib,0,9,8,3,13
Jim Christiana,,0,0,4,13
Lou Barletta,,,1,5,13
Total,17,9,9,6,13
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,14
,Bryan E Leib,Lou Barletta,Jim Christiana,2,14
Bryan E Leib,1,8,8,3,14
Lou Barletta,,1,0,4,14
Jim Christiana,,,0,5,14
Total,17,9,8,6,14
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,15
,Bryan E Leib,Lou Barletta,Jim Christiana,2,15
Bryan E Leib,0,11,3,3,15
Lou Barletta,,0,0,4,15
Jim Christiana,,,0,5,15
Total,14,11,3,6,15
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,16
,Bryan E Leib,Lou Barletta,Jim Christiana,2,16
Bryan E Leib,1,10,9,3,16
Lou Barletta,,1,0,4,16
Jim Christiana,,,1,5,16
Total,20,11,10,6,16
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,17
,Bryan E Leib,Lou Barletta,Jim Christiana,2,17
Bryan E Leib,0,10,4,3,17
Lou Barletta,,1,0,4,17
Jim Christiana,,,3,5,17
Total,14,11,7,6,17
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,18
,Bryan E Leib,Jim Christiana,Lou Barletta,2,18
Bryan E Leib,1,5,5,3,18
Jim Christiana,,0,0,4,18
Lou Barletta,,,0,5,18
Total,11,5,5,6,18
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,19
,Bryan E Leib,Jim Christiana,Lou Barletta,2,19
Bryan E Leib,0,6,4,3,19
Jim Christiana,,0,0,4,19
Lou Barletta,,,1,5,19
Total,10,6,5,6,19
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,20
,Bryan E Leib,Lou Barletta,Jim Christiana,2,20
Bryan E Leib,0,6,3,3,20
Lou Barletta,,2,0,4,20
Jim Christiana,,,0,5,20
Total,9,8,3,6,20
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,21
,Bryan E Leib,Lou Barletta,Jim Christiana,2,21
Bryan E Leib,0,13,1,3,21
Lou Barletta,,0,0,4,21
Jim Christiana,,,0,5,21
Total,14,13,1,6,21
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,22
,Bryan E Leib,Jim Christiana,Lou Barletta,2,22
Bryan E Leib,2,12,11,3,22
Jim Christiana,,0,0,4,22
Lou Barletta,,,0,5,22
Total,25,12,11,6,22
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,23
,Bryan E Leib,Lou Barletta,Jim Christiana,2,23
Bryan E Leib,0,5,0,3,23
Lou Barletta,,0,0,4,23
Jim Christiana,,,0,5,23
Total,5,5,0,6,23
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,24
,Bryan E Leib,Jim Christiana,Lou Barletta,2,24
Bryan E Leib,1,3,2,3,24
Jim Christiana,,0,0,4,24
Lou Barletta,,,0,5,24
Total,6,3,2,6,24
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,25
,Bryan E Leib,Lou Barletta,Jim Christiana,2,25
Bryan E Leib,0,23,5,3,25
Lou Barletta,,0,0,4,25
Jim Christiana,,,2,5,25
Total,28,23,7,6,25
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,26
,Bryan E Leib,Lou Barletta,Jim Christiana,2,26
Bryan E Leib,1,3,3,3,26
Lou Barletta,,2,0,4,26
Jim Christiana,,,1,5,26
Total,7,5,4,6,26
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,27
,Bryan E Leib,Lou Barletta,Jim Christiana,2,27
Bryan E Leib,2,14,2,3,27
Lou Barletta,,0,0,4,27
Jim Christiana,,,1,5,27
Total,18,14,3,6,27
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,28
,Bryan E Leib,Jim Christiana,Lou Barletta,2,28
Bryan E Leib,1,13,9,3,28
Jim Christiana,,0,0,4,28
Lou Barletta,,,0,5,28
Total,23,13,9,6,28
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,29
,Bryan E Leib,Lou Barletta,Jim Christiana,2,29
Bryan E Leib,1,10,10,3,29
Lou Barletta,,3,0,4,29
Jim Christiana,,,1,5,29
Total,21,13,11,6,29
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,30
,Bryan E Leib,Jim Christiana,Lou Barletta,2,30
Bryan E Leib,1,9,7,3,30
Jim Christiana,,2,0,4,30
Lou Barletta,,,1,5,30
Total,17,11,8,6,30
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,31
,Bryan E Leib,Jim Christiana,Lou Barletta,2,31
Bryan E Leib,2,12,8,3,31
Jim Christiana,,0,0,4,31
Lou Barletta,,,0,5,31
Total,22,12,8,6,31
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,32
,Bryan E Leib,Lou Barletta,Jim Christiana,2,32
Bryan E Leib,0,14,4,3,32
Lou Barletta,,1,0,4,32
Jim Christiana,,,1,5,32
Total,18,15,5,6,32
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,33
,Bryan E Leib,Lou Barletta,Jim Christiana,2,33
Bryan E Leib,0,18,12,3,33
Lou Barletta,,4,0,4,33
Jim Christiana,,,2,5,33
Total,30,22,14,6,33
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,34
,Bryan E Leib,Lou Barletta,Jim Christiana,2,34
Bryan E Leib,2,33,11,3,34
Lou Barletta,,2,0,4,34
Jim Christiana,,,1,5,34
Total,46,35,12,6,34
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,35
,Bryan E Leib,Lou Barletta,Jim Christiana,2,35
Bryan E Leib,0,7,3,3,35
Lou Barletta,,0,0,4,35
Jim Christiana,,,1,5,35
Total,10,7,4,6,35
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,36
,Bryan E Leib,Lou Barletta,Jim Christiana,2,36
Bryan E Leib,0,5,3,3,36
Lou Barletta,,1,0,4,36
Jim Christiana,,,1,5,36
Total,8,6,4,6,36
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,37
,Bryan E Leib,Lou Barletta,Jim Christiana,2,37
Bryan E Leib,1,10,1,3,37
Lou Barletta,,1,0,4,37
Jim Christiana,,,1,5,37
Total,12,11,2,6,37
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,38
,Bryan E Leib,Lou Barletta,Jim Christiana,2,38
Bryan E Leib,3,18,9,3,38
Lou Barletta,,0,0,4,38
Jim Christiana,,,1,5,38
Total,30,18,10,6,38
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,39
,Bryan E Leib,Jim Christiana,Lou Barletta,2,39
Bryan E Leib,0,13,9,3,39
Jim Christiana,,1,0,4,39
Lou Barletta,,,0,5,39
Total,22,14,9,6,39
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,40
,Bryan E Leib,Lou Barletta,Jim Christiana,2,40
Bryan E Leib,0,13,11,3,40
Lou Barletta,,0,0,4,40
Jim Christiana,,,1,5,40
Total,24,13,12,6,40
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,41
,Bryan E Leib,Lou Barletta,Jim Christiana,2,41
Bryan E Leib,2,13,5,3,41
Lou Barletta,,2,0,4,41
Jim Christiana,,,0,5,41
Total,20,15,5,6,41
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,42
,Bryan E Leib,Lou Barletta,Jim Christiana,2,42
Bryan E Leib,0,16,6,3,42
Lou Barletta,,2,0,4,42
Jim Christiana,,,1,5,42
Total,22,18,7,6,42
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,43
,Bryan E Leib,Lou Barletta,Jim Christiana,2,43
Bryan E Leib,0,10,12,3,43
Lou Barletta,,3,0,4,43
Jim Christiana,,,0,5,43
Total,22,13,12,6,43
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,44
,Bryan E Leib,Lou Barletta,Jim Christiana,2,44
Bryan E Leib,3,29,15,3,44
Lou Barletta,,3,0,4,44
Jim Christiana,,,1,5,44
Total,47,32,16,6,44
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,45
,Bryan E Leib,Lou Barletta,Jim Christiana,2,45
Bryan E Leib,1,14,9,3,45
Lou Barletta,,2,0,4,45
Jim Christiana,,,1,5,45
Total,24,16,10,6,45
