col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
Linwood Holland,,,0,4,3,0,1,5,14
Camille G Mccolgan,,,,0,4,2,1,6,14
Margaret L Recupido,,,,,0,2,1,7,14
Dan Tinney,,,,,,0,2,8,14
Joseph Giedemann,,,,,,,0,9,14
Total,11,4,8,7,6,4,3,10,14
,United States Senator - Republican,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,15
,Jim Christiana,Lou Barletta,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,15
Jim Christiana,1,0,3,2,2,2,1,3,15
Lou Barletta,,0,0,0,0,0,1,4,15
Camille G Mccolgan,,,0,2,2,2,1,5,15
Dan Tinney,,,,0,1,1,0,6,15
Joseph Giedemann,,,,,0,2,1,7,15
Linwood Holland,,,,,,0,1,8,15
Margaret L Recupido,,,,,,,0,9,15
Total,4,1,3,2,2,2,2,10,15
,United States Senator - Republican,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,17
,Jim Christiana,Lou Barletta,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Dan Tinney,2,17
Jim Christiana,1,0,1,1,1,1,0,3,17
Lou Barletta,,0,0,0,0,0,0,4,17
Camille G Mccolgan,,,0,1,1,1,0,5,17
Joseph Giedemann,,,,0,1,1,0,6,17
Linwood Holland,,,,,0,1,0,7,17
Margaret L Recupido,,,,,,0,0,8,17
Dan Tinney,,,,,,,0,9,17
Total,2,0,1,1,1,1,0,10,17
,Member Of The - Republican State Committee 13th Congressional District,,,,,United States Senator - Republican,,1,19
,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Jim Christiana,Lou Barletta,2,19
Camille G Mccolgan,0,2,2,0,0,2,0,3,19
Linwood Holland,,0,2,0,0,2,0,4,19
Margaret L Recupido,,,0,0,0,2,0,5,19
Dan Tinney,,,,0,0,0,0,6,19
Joseph Giedemann,,,,,0,0,0,7,19
Jim Christiana,,,,,,0,0,8,19
Lou Barletta,,,,,,,0,9,19
Total,2,2,2,0,0,2,0,10,19
,Member Of The - Republican State Committee 13th Congressional District,,,,,United States Senator - Republican,,1,20
,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Jim Christiana,Lou Barletta,2,20
Linwood Holland,0,3,2,2,1,2,3,3,20
Camille G Mccolgan,,0,2,2,1,1,3,4,20
Margaret L Recupido,,,0,1,0,2,1,5,20
Joseph Giedemann,,,,0,1,0,2,6,20
Dan Tinney,,,,,0,0,1,7,20
Jim Christiana,,,,,,1,0,8,20
Lou Barletta,,,,,,,0,9,20
Total,5,4,3,2,1,4,4,10,20
,Member Of The - Republican State Committee 13th Congressional District,,,,,United States Senator - Republican,,1,21
,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Dan Tinney,Lou Barletta,Jim Christiana,2,21
Camille G Mccolgan,0,2,2,2,0,2,0,3,21
Joseph Giedemann,,0,2,2,0,2,0,4,21
Linwood Holland,,,0,2,0,2,0,5,21
Margaret L Recupido,,,,0,0,2,0,6,21
Dan Tinney,,,,,0,0,0,7,21
Lou Barletta,,,,,,0,0,8,21
Jim Christiana,,,,,,,0,9,21
Total,2,2,2,2,0,2,0,10,21
,United States Senator - Republican,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,22
,Jim Christiana,Lou Barletta,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,2,22
Jim Christiana,1,0,1,1,0,0,0,3,22
Lou Barletta,,0,1,0,0,0,0,4,22
Linwood Holland,,,0,1,0,0,0,5,22
Margaret L Recupido,,,,0,0,0,0,6,22
Camille G Mccolgan,,,,,0,0,0,7,22
Dan Tinney,,,,,,0,0,8,22
Joseph Giedemann,,,,,,,0,9,22
Total,2,1,2,1,0,0,0,10,22
,Member Of The - Republican State Committee 13th Congressional District,,,,,United States Senator - Republican,,1,23
,Camille G Mccolgan,Linwood Holland,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Jim Christiana,Lou Barletta,2,23
Camille G Mccolgan,0,2,1,1,0,3,0,3,23
Linwood Holland,,0,1,1,0,2,0,4,23
Joseph Giedemann,,,0,1,0,1,0,5,23
Margaret L Recupido,,,,0,0,1,0,6,23
Dan Tinney,,,,,0,0,0,7,23
Jim Christiana,,,,,,0,0,8,23
Lou Barletta,,,,,,,0,9,23
Total,3,2,1,1,0,3,0,10,23
