col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Monica Maria Djerassi,Kathryn S Huggins,Linda Norris,Liam G Boyle,Lisa Rhodes,Ken Washington,Dewayne Drummond,Rebecca Poyourow,Joe Khan,Kevin Bundy,Jacque Whaumbush,Nat Lownes,John Brady,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,11
Monica Maria Djerassi,0,62,54,42,44,33,32,36,25,19,21,12,9,27,37,19,11,0,3,11
Kathryn S Huggins,,0,49,48,46,38,37,35,19,19,21,11,6,18,34,20,13,0,4,11
Linda Norris,,,0,37,42,26,27,25,18,15,21,11,8,16,28,11,6,0,5,11
Liam G Boyle,,,,0,27,38,36,20,11,16,13,6,10,10,24,17,5,0,6,11
Lisa Rhodes,,,,,0,21,23,25,15,11,26,7,3,14,24,8,7,0,7,11
Ken Washington,,,,,,0,35,11,8,15,5,6,3,6,22,14,2,0,8,11
Dewayne Drummond,,,,,,,0,10,8,13,9,4,4,6,23,12,2,0,9,11
Rebecca Poyourow,,,,,,,,0,12,11,20,4,5,10,16,6,7,0,10,11
Joe Khan,,,,,,,,,0,10,12,7,5,13,9,5,4,0,11,11
Kevin Bundy,,,,,,,,,,0,10,13,5,10,14,5,2,0,12,11
Jacque Whaumbush,,,,,,,,,,,0,4,3,8,15,3,4,0,13,11
Nat Lownes,,,,,,,,,,,,0,3,5,8,1,3,0,14,11
John Brady,,,,,,,,,,,,,0,5,3,4,2,0,15,11
John Fetterman,,,,,,,,,,,,,,10,0,0,0,0,16,11
Nina Ahmad,,,,,,,,,,,,,,,1,0,0,0,17,11
Mike Stack,,,,,,,,,,,,,,,,2,0,0,18,11
Kathi Cozzone,,,,,,,,,,,,,,,,,0,0,19,11
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,11
Total,95,86,62,56,54,44,43,40,31,31,30,17,14,50,49,27,16,0,21,11
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,12
,Linda Norris,Kathryn S Huggins,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Liam G Boyle,Kevin Bundy,John Brady,Dewayne Drummond,Joe Khan,Nat Lownes,Ken Washington,Jacque Whaumbush,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,12
Linda Norris,0,40,42,38,36,28,21,14,18,15,18,16,14,24,12,13,10,1,3,12
Kathryn S Huggins,,0,37,39,33,26,17,15,19,16,16,20,15,23,9,11,11,1,4,12
Monica Maria Djerassi,,,0,35,36,23,18,15,18,12,17,14,12,22,10,11,8,2,5,12
Lisa Rhodes,,,,0,32,17,14,11,22,14,11,13,16,19,7,9,9,2,6,12
Rebecca Poyourow,,,,,0,18,14,12,13,14,11,11,12,18,10,7,9,1,7,12
Liam G Boyle,,,,,,1,16,12,10,13,13,13,6,11,14,9,6,0,8,12
Kevin Bundy,,,,,,,0,12,10,12,10,5,4,11,7,8,3,0,9,12
John Brady,,,,,,,,0,6,9,5,7,6,7,11,6,2,1,10,12
Dewayne Drummond,,,,,,,,,0,9,5,10,8,9,5,8,3,1,11,12
Joe Khan,,,,,,,,,,0,9,7,7,9,4,9,3,1,12,12
Nat Lownes,,,,,,,,,,,0,7,5,12,4,7,1,0,13,12
Ken Washington,,,,,,,,,,,,0,6,7,4,7,3,2,14,12
Jacque Whaumbush,,,,,,,,,,,,,0,6,4,3,4,2,15,12
Nina Ahmad,,,,,,,,,,,,,,8,0,0,0,0,16,12
Mike Stack,,,,,,,,,,,,,,,7,0,0,0,17,12
John Fetterman,,,,,,,,,,,,,,,,5,0,0,18,12
Kathi Cozzone,,,,,,,,,,,,,,,,,1,0,19,12
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,12
Total,60,55,53,46,45,41,29,27,26,26,24,23,19,40,28,25,12,2,21,12
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,13
,Monica Maria Djerassi,Linda Norris,Kathryn S Huggins,Liam G Boyle,Rebecca Poyourow,Lisa Rhodes,Joe Khan,Nat Lownes,Dewayne Drummond,Ken Washington,Kevin Bundy,Jacque Whaumbush,John Brady,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,13
Monica Maria Djerassi,0,74,66,40,41,47,29,35,30,32,26,15,6,42,28,20,5,1,3,13
Linda Norris,,0,58,37,39,45,29,32,24,25,23,17,8,46,18,21,6,0,4,13
Kathryn S Huggins,,,0,44,42,46,22,21,38,38,27,13,8,27,24,23,7,2,5,13
Liam G Boyle,,,,0,21,24,19,11,27,33,19,8,7,18,15,19,5,0,6,13
Rebecca Poyourow,,,,,0,34,26,14,16,10,20,15,7,19,19,8,5,2,7,13
Lisa Rhodes,,,,,,0,13,11,21,20,14,12,3,22,10,13,5,2,8,13
Joe Khan,,,,,,,0,17,11,11,14,10,7,21,16,11,1,2,9,13
Nat Lownes,,,,,,,,0,9,12,15,7,6,22,13,6,1,1,10,13
Dewayne Drummond,,,,,,,,,0,30,14,3,2,14,13,10,4,1,11,13
Ken Washington,,,,,,,,,,0,12,2,5,14,11,13,3,1,12,13
Kevin Bundy,,,,,,,,,,,0,6,8,12,13,11,3,0,13,13
Jacque Whaumbush,,,,,,,,,,,,0,4,8,6,3,2,0,14,13
John Brady,,,,,,,,,,,,,0,3,4,6,2,0,15,13
Nina Ahmad,,,,,,,,,,,,,,9,0,0,0,0,16,13
John Fetterman,,,,,,,,,,,,,,,6,0,0,0,17,13
Mike Stack,,,,,,,,,,,,,,,,1,0,0,18,13
Kathi Cozzone,,,,,,,,,,,,,,,,,0,0,19,13
Ray Sosa,,,,,,,,,,,,,,,,,,1,20,13
