col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,5
,Bob Casey Jr,John Dellricci,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,5
Bob Casey Jr,2,9,7,8,7,7,3,5
John Dellricci,,0,5,5,5,5,4,5
James G Donnelly Sr,,,1,6,7,6,5,5
Kathy Enggasser,,,,0,6,6,6,5
Mary Ann Quartullo,,,,,0,6,7,5
Patrick Parkinson,,,,,,0,8,5
Total,16,9,8,8,7,7,9,5
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,6
,Bob Casey Jr,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,6
Bob Casey Jr,2,14,12,12,9,10,3,6
Kathy Enggasser,,1,11,9,9,10,4,6
James G Donnelly Sr,,,0,9,9,10,5,6
John Dellricci,,,,0,8,9,6,6
Mary Ann Quartullo,,,,,1,8,7,6
Patrick Parkinson,,,,,,0,8,6
Total,20,15,12,12,10,10,9,6
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,7
,Bob Casey Jr,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,7
Bob Casey Jr,5,9,8,8,7,5,3,7
Kathy Enggasser,,0,5,6,5,5,4,7
James G Donnelly Sr,,,0,5,5,5,5,7
Mary Ann Quartullo,,,,0,5,5,6,7
John Dellricci,,,,,0,5,7,7
Patrick Parkinson,,,,,,0,8,7
Total,21,9,8,8,7,5,9,7
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,8
,Bob Casey Jr,James G Donnelly Sr,John Dellricci,Patrick Parkinson,Mary Ann Quartullo,Kathy Enggasser,2,8
Bob Casey Jr,5,15,15,15,13,13,3,8
James G Donnelly Sr,,1,14,15,14,14,4,8
John Dellricci,,,0,14,14,14,5,8
Patrick Parkinson,,,,0,14,14,6,8
Mary Ann Quartullo,,,,,1,14,7,8
Kathy Enggasser,,,,,,0,8,8
Total,23,17,16,16,15,14,9,8
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,9
,Bob Casey Jr,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,John Dellricci,2,9
Bob Casey Jr,4,31,29,28,27,23,3,9
Kathy Enggasser,,0,24,26,24,21,4,9
James G Donnelly Sr,,,1,24,21,21,5,9
Mary Ann Quartullo,,,,0,23,21,6,9
Patrick Parkinson,,,,,0,21,7,9
John Dellricci,,,,,,0,8,9
Total,47,31,30,28,27,23,9,9
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,10
,Bob Casey Jr,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,10
Bob Casey Jr,1,9,9,8,8,7,3,10
Kathy Enggasser,,1,6,7,6,6,4,10
James G Donnelly Sr,,,0,6,6,6,5,10
Mary Ann Quartullo,,,,0,6,6,6,10
John Dellricci,,,,,0,6,7,10
Patrick Parkinson,,,,,,1,8,10
Total,18,11,9,9,8,8,9,10
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,11
,Bob Casey Jr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,James G Donnelly Sr,2,11
Bob Casey Jr,1,12,10,8,8,7,3,11
John Dellricci,,1,9,7,8,7,4,11
Kathy Enggasser,,,0,8,8,7,5,11
Mary Ann Quartullo,,,,0,7,7,6,11
Patrick Parkinson,,,,,0,7,7,11
James G Donnelly Sr,,,,,,0,8,11
Total,14,13,10,8,8,7,9,11
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,12
,Bob Casey Jr,Mary Ann Quartullo,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Patrick Parkinson,2,12
Bob Casey Jr,3,12,13,12,12,11,3,12
Mary Ann Quartullo,,2,12,11,11,10,4,12
Kathy Enggasser,,,0,11,11,10,5,12
James G Donnelly Sr,,,,0,11,10,6,12
John Dellricci,,,,,0,10,7,12
Patrick Parkinson,,,,,,0,8,12
Total,19,14,13,12,12,11,9,12
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,13
,Bob Casey Jr,John Dellricci,Mary Ann Quartullo,Kathy Enggasser,Patrick Parkinson,James G Donnelly Sr,2,13
Bob Casey Jr,6,17,16,15,14,14,3,13
John Dellricci,,0,13,12,12,13,4,13
Mary Ann Quartullo,,,0,13,13,14,5,13
Kathy Enggasser,,,,0,13,13,6,13
Patrick Parkinson,,,,,1,13,7,13
James G Donnelly Sr,,,,,,0,8,13
Total,29,17,16,15,15,14,9,13
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,14
,Bob Casey Jr,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Patrick Parkinson,Mary Ann Quartullo,2,14
Bob Casey Jr,6,11,10,9,9,8,3,14
James G Donnelly Sr,,0,8,9,9,8,4,14
Kathy Enggasser,,,0,7,8,7,5,14
John Dellricci,,,,0,8,8,6,14
Patrick Parkinson,,,,,0,8,7,14
Mary Ann Quartullo,,,,,,0,8,14
Total,19,11,10,9,9,8,9,14
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,15
,Bob Casey Jr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,James G Donnelly Sr,2,15
Bob Casey Jr,2,17,15,15,14,13,3,15
John Dellricci,,0,15,14,13,13,4,15
Kathy Enggasser,,,0,15,13,13,5,15
Mary Ann Quartullo,,,,0,13,13,6,15
Patrick Parkinson,,,,,0,13,7,15
James G Donnelly Sr,,,,,,0,8,15
Total,21,17,16,16,14,13,9,15
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,16
,Bob Casey Jr,John Dellricci,Mary Ann Quartullo,James G Donnelly Sr,Kathy Enggasser,Patrick Parkinson,2,16
Bob Casey Jr,3,13,11,10,10,10,3,16
John Dellricci,,0,11,10,10,10,4,16
Mary Ann Quartullo,,,0,10,10,10,5,16
James G Donnelly Sr,,,,0,10,10,6,16
Kathy Enggasser,,,,,0,10,7,16
Patrick Parkinson,,,,,,0,8,16
Total,16,13,11,10,10,10,9,16
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,17
,Bob Casey Jr,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,17
Bob Casey Jr,3,16,14,14,14,13,3,17
Kathy Enggasser,,1,14,14,15,13,4,17
James G Donnelly Sr,,,0,13,14,13,5,17
John Dellricci,,,,0,14,13,6,17
Mary Ann Quartullo,,,,,0,13,7,17
Patrick Parkinson,,,,,,0,8,17
Total,22,18,15,15,15,14,9,17
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,18
,Bob Casey Jr,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,18
Bob Casey Jr,5,19,17,18,15,14,3,18
James G Donnelly Sr,,0,14,14,14,14,4,18
Kathy Enggasser,,,1,16,13,13,5,18
Mary Ann Quartullo,,,,0,13,13,6,18
John Dellricci,,,,,0,14,7,18
Patrick Parkinson,,,,,,0,8,18
Total,30,19,18,18,15,14,9,18
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,19
,Bob Casey Jr,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,19
Bob Casey Jr,3,13,10,10,8,8,3,19
Kathy Enggasser,,0,8,7,7,7,4,19
James G Donnelly Sr,,,1,7,7,8,5,19
John Dellricci,,,,0,7,7,6,19
Mary Ann Quartullo,,,,,0,7,7,19
Patrick Parkinson,,,,,,0,8,19
Total,22,13,11,10,8,8,9,19
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,20
,Bob Casey Jr,Mary Ann Quartullo,John Dellricci,Kathy Enggasser,James G Donnelly Sr,Patrick Parkinson,2,20
Bob Casey Jr,7,14,13,13,12,11,3,20
Mary Ann Quartullo,,0,11,12,11,10,4,20
John Dellricci,,,0,11,12,10,5,20
Kathy Enggasser,,,,0,11,11,6,20
James G Donnelly Sr,,,,,0,10,7,20
Patrick Parkinson,,,,,,0,8,20
Total,23,14,13,13,12,11,9,20
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,21
,Bob Casey Jr,Kathy Enggasser,Mary Ann Quartullo,John Dellricci,James G Donnelly Sr,Patrick Parkinson,2,21
Bob Casey Jr,4,22,23,22,21,20,3,21
Kathy Enggasser,,1,22,20,19,18,4,21
Mary Ann Quartullo,,,0,20,19,18,5,21
John Dellricci,,,,0,19,19,6,21
James G Donnelly Sr,,,,,0,19,7,21
Patrick Parkinson,,,,,,0,8,21
Total,32,24,24,22,21,20,9,21
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,22
,Bob Casey Jr,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,22
Bob Casey Jr,4,15,14,12,11,10,3,22
Kathy Enggasser,,0,10,10,10,10,4,22
James G Donnelly Sr,,,0,10,10,10,5,22
Mary Ann Quartullo,,,,1,10,10,6,22
John Dellricci,,,,,0,10,7,22
Patrick Parkinson,,,,,,0,8,22
Total,26,15,14,13,11,10,9,22
