col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,27
,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Linwood Holland,2,27
Margaret L Recupido,4,12,6,5,9,3,27
Camille G Mccolgan,,0,7,6,10,4,27
Joseph Giedemann,,,0,8,4,5,27
Dan Tinney,,,,0,3,6,27
Linwood Holland,,,,,0,7,27
Total,16,13,11,10,10,8,27
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,28
,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Dan Tinney,2,28
Camille G Mccolgan,2,10,11,6,4,3,28
Linwood Holland,,4,9,4,3,4,28
Margaret L Recupido,,,1,4,3,5,28
Joseph Giedemann,,,,2,6,6,28
Dan Tinney,,,,,0,7,28
Total,16,15,13,10,6,8,28
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,29
,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,29
Camille G Mccolgan,2,19,12,13,21,3,29
Linwood Holland,,3,9,11,16,4,29
Dan Tinney,,,4,15,9,5,29
Joseph Giedemann,,,,3,10,6,29
Margaret L Recupido,,,,,0,7,29
Total,27,26,25,24,22,8,29
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,30
,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,2,30
Dan Tinney,0,7,5,5,5,3,30
Joseph Giedemann,,1,4,4,4,4,30
Margaret L Recupido,,,2,3,3,5,30
Camille G Mccolgan,,,,1,3,6,30
Linwood Holland,,,,,0,7,30
Total,8,8,7,6,5,8,30
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,31
,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Linwood Holland,2,31
Camille G Mccolgan,4,4,4,3,3,3,31
Joseph Giedemann,,0,3,4,2,4,31
Margaret L Recupido,,,0,2,3,5,31
Dan Tinney,,,,0,1,6,31
Linwood Holland,,,,,0,7,31
Total,9,5,5,4,4,8,31
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,32
,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Linwood Holland,2,32
Joseph Giedemann,3,3,2,2,2,3,32
Margaret L Recupido,,1,3,3,3,4,32
Camille G Mccolgan,,,1,2,2,5,32
Dan Tinney,,,,0,2,6,32
Linwood Holland,,,,,0,7,32
Total,6,5,4,3,3,8,32
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,33
,Joseph Giedemann,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,Linwood Holland,2,33
Joseph Giedemann,2,3,4,5,4,3,33
Camille G Mccolgan,,2,3,3,4,4,33
Dan Tinney,,,0,3,3,5,33
Margaret L Recupido,,,,0,4,6,33
Linwood Holland,,,,,0,7,33
Total,9,7,6,6,5,8,33
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,34
,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,34
Camille G Mccolgan,2,5,0,1,5,3,34
Linwood Holland,,2,0,1,5,4,34
Dan Tinney,,,3,2,0,5,34
Joseph Giedemann,,,,2,1,6,34
Margaret L Recupido,,,,,0,7,34
Total,7,7,5,5,5,8,34
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,35
,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,2,35
Linwood Holland,8,16,14,5,3,3,35
Camille G Mccolgan,,1,16,8,6,4,35
Margaret L Recupido,,,3,5,3,5,35
Dan Tinney,,,,2,9,6,35
Joseph Giedemann,,,,,3,7,35
Total,24,21,19,15,14,8,35
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,36
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,2,36
Margaret L Recupido,0,3,3,2,1,3,36
Camille G Mccolgan,,0,2,2,1,4,36
Dan Tinney,,,0,2,0,5,36
Joseph Giedemann,,,,0,0,6,36
Linwood Holland,,,,,0,7,36
Total,4,3,3,2,1,8,36
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,37
,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Dan Tinney,Joseph Giedemann,2,37
Camille G Mccolgan,1,5,6,4,4,3,37
Linwood Holland,,1,5,3,4,4,37
Margaret L Recupido,,,1,3,3,5,37
Dan Tinney,,,,0,6,6,37
Joseph Giedemann,,,,,0,7,37
Total,9,8,8,7,7,8,37
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,38
,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,2,38
Linwood Holland,2,2,2,1,1,3,38
Margaret L Recupido,,3,2,1,0,4,38
Camille G Mccolgan,,,1,1,0,5,38
Dan Tinney,,,,1,0,6,38
Joseph Giedemann,,,,,1,7,38
Total,5,5,3,2,2,8,38
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,39
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,2,39
Margaret L Recupido,9,21,15,16,12,3,39
Camille G Mccolgan,,6,13,15,12,4,39
Dan Tinney,,,3,20,7,5,39
Joseph Giedemann,,,,2,6,6,39
Linwood Holland,,,,,5,7,39
Total,34,29,29,29,19,8,39
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,40
,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,Dan Tinney,Joseph Giedemann,2,40
Camille G Mccolgan,1,3,4,2,1,3,40
Margaret L Recupido,,2,3,1,0,4,40
Linwood Holland,,,0,2,1,5,40
Dan Tinney,,,,0,2,6,40
Joseph Giedemann,,,,,0,7,40
Total,5,5,4,3,2,8,40
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,41
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Linwood Holland,2,41
Camille G Mccolgan,8,20,20,25,17,3,41
Dan Tinney,,2,33,16,5,4,41
Joseph Giedemann,,,3,14,6,5,41
Margaret L Recupido,,,,3,14,6,41
Linwood Holland,,,,,6,7,41
Total,40,38,38,32,25,8,41
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,42
,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Linwood Holland,2,42
Margaret L Recupido,3,8,8,8,7,3,42
Camille G Mccolgan,,2,7,6,5,4,42
Joseph Giedemann,,,2,8,6,5,42
Dan Tinney,,,,0,5,6,42
Linwood Holland,,,,,0,7,42
Total,15,12,12,9,9,8,42
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,43
,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Dan Tinney,2,43
Margaret L Recupido,3,12,6,8,5,3,43
Camille G Mccolgan,,1,4,8,4,4,43
Joseph Giedemann,,,3,2,4,5,43
Linwood Holland,,,,0,2,6,43
Dan Tinney,,,,,0,7,43
Total,17,13,10,8,6,8,43
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,44
,Dan Tinney,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,44
Dan Tinney,1,2,3,3,1,3,44
Camille G Mccolgan,,1,2,2,2,4,44
Joseph Giedemann,,,1,1,0,5,44
Linwood Holland,,,,1,2,6,44
Margaret L Recupido,,,,,2,7,44
Total,6,5,5,5,5,8,44
