col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
Kathryn S Huggins,7,33,24,24,20,15,19,11,14,13,8,8,4,3,7
Rebecca Poyourow,,3,26,25,19,16,21,15,14,13,13,7,6,4,7
Linda Norris,,,1,18,14,13,18,12,12,9,10,6,7,5,7
Monica Maria Djerassi,,,,0,11,12,13,10,9,10,9,5,4,6,7
Liam G Boyle,,,,,1,11,9,9,14,9,7,6,2,7,7
Joe Khan,,,,,,1,10,12,6,4,7,4,4,8,7
Lisa Rhodes,,,,,,,0,6,7,5,7,2,5,9,7
John Brady,,,,,,,,0,6,4,6,4,2,10,7
Ken Washington,,,,,,,,,0,11,5,6,1,11,7
Dewayne Drummond,,,,,,,,,,0,2,7,1,12,7
Jacque Whaumbush,,,,,,,,,,,0,1,4,13,7
Kevin Bundy,,,,,,,,,,,,0,2,14,7
Nat Lownes,,,,,,,,,,,,,0,15,7
Total,44,42,31,28,25,22,22,18,18,15,15,10,7,16,7
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,8
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Joe Khan,Monica Maria Djerassi,Dewayne Drummond,Lisa Rhodes,Ken Washington,Linda Norris,Kevin Bundy,Jacque Whaumbush,John Brady,Nat Lownes,2,8
Kathryn S Huggins,2,19,15,10,14,13,12,13,11,11,7,6,5,3,8
Rebecca Poyourow,,0,13,14,15,8,11,9,10,7,8,8,5,4,8
Liam G Boyle,,,3,11,6,11,5,11,5,9,5,6,2,5,8
Joe Khan,,,,2,5,7,5,7,3,6,4,9,2,6,8
Monica Maria Djerassi,,,,,0,5,10,7,10,3,5,4,4,7,8
Dewayne Drummond,,,,,,0,4,8,3,10,3,4,5,8,8
Lisa Rhodes,,,,,,,0,2,11,4,8,3,2,9,8
Ken Washington,,,,,,,,0,3,6,1,4,1,10,8
Linda Norris,,,,,,,,,0,2,7,3,2,11,8
Kevin Bundy,,,,,,,,,,0,3,3,2,12,8
Jacque Whaumbush,,,,,,,,,,,0,5,2,13,8
John Brady,,,,,,,,,,,,1,1,14,8
Nat Lownes,,,,,,,,,,,,,0,15,8
Total,27,26,22,19,16,15,15,13,13,12,11,11,6,16,8
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,9
,Rebecca Poyourow,Kathryn S Huggins,Joe Khan,Monica Maria Djerassi,Liam G Boyle,Lisa Rhodes,John Brady,Linda Norris,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,Ken Washington,Nat Lownes,2,9
Rebecca Poyourow,2,26,26,23,16,21,15,15,13,14,6,8,5,3,9
Kathryn S Huggins,,6,20,23,13,19,15,18,12,14,9,7,6,4,9
Joe Khan,,,4,14,14,15,17,13,8,11,6,7,7,5,9
Monica Maria Djerassi,,,,0,9,18,9,13,14,9,4,6,3,6,9
Liam G Boyle,,,,,5,8,10,5,8,6,4,4,3,7,9
Lisa Rhodes,,,,,,0,10,15,9,12,5,3,1,8,9
John Brady,,,,,,,0,10,7,7,8,5,6,9,9
Linda Norris,,,,,,,,1,8,10,5,4,5,10,9
Dewayne Drummond,,,,,,,,,1,3,6,5,3,11,9
Jacque Whaumbush,,,,,,,,,,1,2,1,2,12,9
Kevin Bundy,,,,,,,,,,,0,2,5,13,9
Ken Washington,,,,,,,,,,,,1,1,14,9
Nat Lownes,,,,,,,,,,,,,0,15,9
Total,45,41,39,27,26,25,23,22,18,17,11,10,8,16,9
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,10
,Kathryn S Huggins,Liam G Boyle,Rebecca Poyourow,Joe Khan,Ken Washington,Dewayne Drummond,Lisa Rhodes,John Brady,Kevin Bundy,Monica Maria Djerassi,Linda Norris,Jacque Whaumbush,Nat Lownes,2,10
Kathryn S Huggins,3,25,22,18,23,21,13,12,18,13,12,4,8,3,10
Liam G Boyle,,1,22,20,23,18,15,13,17,10,11,6,7,4,10
Rebecca Poyourow,,,1,26,17,15,19,14,9,17,17,11,7,5,10
Joe Khan,,,,0,12,11,19,18,11,18,12,10,7,6,10
Ken Washington,,,,,0,19,8,7,15,5,7,4,5,7,10
Dewayne Drummond,,,,,,0,9,5,16,8,8,2,7,8,10
Lisa Rhodes,,,,,,,0,7,4,16,16,5,5,9,10
John Brady,,,,,,,,2,8,7,6,6,5,10,10
Kevin Bundy,,,,,,,,,0,6,4,0,9,11,10
Monica Maria Djerassi,,,,,,,,,,0,13,6,5,12,10
Linda Norris,,,,,,,,,,,0,5,6,13,10
Jacque Whaumbush,,,,,,,,,,,,0,1,14,10
Nat Lownes,,,,,,,,,,,,,0,15,10
Total,38,37,37,35,27,26,24,23,23,22,20,12,12,16,10
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,11
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Ken Washington,Lisa Rhodes,Dewayne Drummond,Monica Maria Djerassi,Kevin Bundy,Joe Khan,Linda Norris,John Brady,Nat Lownes,Jacque Whaumbush,2,11
Kathryn S Huggins,4,23,20,24,22,23,21,20,9,16,11,10,10,3,11
Rebecca Poyourow,,1,13,13,20,10,21,7,14,14,6,8,7,4,11
Liam G Boyle,,,3,21,10,20,8,15,7,8,10,8,2,5,11
Ken Washington,,,,0,13,23,11,16,7,10,10,6,7,6,11
Lisa Rhodes,,,,,2,13,19,10,12,18,12,11,9,7,11
Dewayne Drummond,,,,,,0,8,14,7,9,8,9,3,8,11
Monica Maria Djerassi,,,,,,,0,8,13,15,7,7,11,9,11
Kevin Bundy,,,,,,,,2,6,5,9,7,4,10,11
Joe Khan,,,,,,,,,2,9,6,6,8,11,11
Linda Norris,,,,,,,,,,0,7,4,7,12,11
John Brady,,,,,,,,,,,0,6,4,13,11
Nat Lownes,,,,,,,,,,,,0,3,14,11
Jacque Whaumbush,,,,,,,,,,,,,0,15,11
Total,49,35,34,33,33,29,28,26,24,23,19,15,14,16,11
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,12
,Rebecca Poyourow,Kathryn S Huggins,Lisa Rhodes,Joe Khan,Monica Maria Djerassi,Linda Norris,Liam G Boyle,Dewayne Drummond,Jacque Whaumbush,John Brady,Ken Washington,Kevin Bundy,Nat Lownes,2,12
Rebecca Poyourow,0,34,28,24,29,26,21,14,22,15,12,7,6,3,12
Kathryn S Huggins,,3,29,18,29,26,17,19,12,12,18,10,10,4,12
Lisa Rhodes,,,0,15,27,27,9,15,10,11,13,8,10,5,12
Joe Khan,,,,3,12,12,12,7,14,18,9,4,7,6,12
Monica Maria Djerassi,,,,,0,22,9,13,10,6,10,7,6,7,12
Linda Norris,,,,,,0,8,13,11,7,11,3,8,8,12
Liam G Boyle,,,,,,,3,11,12,14,11,8,5,9,12
Dewayne Drummond,,,,,,,,0,5,6,16,10,8,10,12
Jacque Whaumbush,,,,,,,,,0,9,4,2,3,11,12
John Brady,,,,,,,,,,0,7,6,8,12,12
Ken Washington,,,,,,,,,,,0,6,6,13,12
Kevin Bundy,,,,,,,,,,,,1,4,14,12
Nat Lownes,,,,,,,,,,,,,0,15,12
Total,49,47,36,34,33,32,31,24,23,23,22,15,14,16,12
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,13
,Rebecca Poyourow,Joe Khan,Kathryn S Huggins,Monica Maria Djerassi,Liam G Boyle,John Brady,Lisa Rhodes,Linda Norris,Ken Washington,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,13
Rebecca Poyourow,0,33,32,29,26,19,19,19,13,14,13,10,8,3,13
Joe Khan,,4,26,22,17,14,16,12,9,6,11,6,7,4,13
Kathryn S Huggins,,,1,28,20,10,21,18,14,15,10,12,9,5,13
Monica Maria Djerassi,,,,0,15,11,24,20,9,9,11,5,9,6,13
Liam G Boyle,,,,,0,16,7,8,15,12,7,13,6,7,13
John Brady,,,,,,8,6,6,7,5,7,7,3,8,13
Lisa Rhodes,,,,,,,0,21,4,7,7,3,5,9,13
Linda Norris,,,,,,,,0,4,7,6,4,3,10,13
Ken Washington,,,,,,,,,0,11,3,10,7,11,13
Dewayne Drummond,,,,,,,,,,0,3,8,3,12,13
Jacque Whaumbush,,,,,,,,,,,0,1,3,13,13
Kevin Bundy,,,,,,,,,,,,0,3,14,13
Nat Lownes,,,,,,,,,,,,,0,15,13
Total,48,42,40,35,31,29,26,24,18,17,15,15,11,16,13
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,14
,Kathryn S Huggins,Rebecca Poyourow,Ken Washington,Linda Norris,Lisa Rhodes,Liam G Boyle,Monica Maria Djerassi,Dewayne Drummond,Joe Khan,Kevin Bundy,Jacque Whaumbush,John Brady,Nat Lownes,2,14
Kathryn S Huggins,9,53,49,50,48,36,43,41,17,27,26,24,11,3,14
Rebecca Poyourow,,1,32,41,39,37,37,26,28,17,23,22,12,4,14
Ken Washington,,,5,30,27,29,18,36,12,25,16,18,7,5,14
Linda Norris,,,,0,48,21,35,28,10,17,25,11,8,6,14
Lisa Rhodes,,,,,1,21,35,27,13,16,21,10,8,7,14
Liam G Boyle,,,,,,8,21,24,17,19,12,18,6,8,14
Monica Maria Djerassi,,,,,,,0,17,18,14,20,14,7,9,14
Dewayne Drummond,,,,,,,,1,12,17,17,9,6,10,14
Joe Khan,,,,,,,,,3,8,8,16,5,11,14
Kevin Bundy,,,,,,,,,,1,12,16,6,12,14
Jacque Whaumbush,,,,,,,,,,,0,12,4,13,14
John Brady,,,,,,,,,,,,0,7,14,14
Nat Lownes,,,,,,,,,,,,,0,15,14
Total,92,75,65,60,60,59,52,51,41,37,35,33,17,16,14
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,15
,Rebecca Poyourow,Kathryn S Huggins,Liam G Boyle,Linda Norris,Lisa Rhodes,Joe Khan,Monica Maria Djerassi,John Brady,Ken Washington,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,15
Rebecca Poyourow,3,44,35,36,36,29,31,24,17,14,23,6,7,3,15
Kathryn S Huggins,,6,31,37,36,22,32,16,25,22,17,11,9,4,15
Liam G Boyle,,,7,21,20,22,17,22,16,12,17,11,5,5,15
Linda Norris,,,,0,36,15,28,7,16,15,11,6,8,6,15
Lisa Rhodes,,,,,0,15,28,7,13,15,12,6,7,7,15
Joe Khan,,,,,,1,13,20,8,12,13,4,5,8,15
Monica Maria Djerassi,,,,,,,1,9,13,10,13,6,6,9,15
John Brady,,,,,,,,0,7,7,13,6,3,10,15
Ken Washington,,,,,,,,,0,16,4,8,4,11,15
Dewayne Drummond,,,,,,,,,,0,3,7,4,12,15
Jacque Whaumbush,,,,,,,,,,,0,1,4,13,15
Kevin Bundy,,,,,,,,,,,,0,3,14,15
Nat Lownes,,,,,,,,,,,,,0,15,15
Total,63,60,52,41,40,39,37,30,28,25,25,13,11,16,15
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,16
,Liam G Boyle,Kathryn S Huggins,Rebecca Poyourow,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Ken Washington,Dewayne Drummond,Jacque Whaumbush,Joe Khan,Kevin Bundy,John Brady,Nat Lownes,2,16
Liam G Boyle,4,22,23,15,13,14,15,14,8,7,8,9,4,3,16
Kathryn S Huggins,,1,23,18,16,17,16,15,5,6,8,4,4,4,16
Rebecca Poyourow,,,0,21,17,18,13,12,9,8,7,7,5,5,16
Lisa Rhodes,,,,0,13,16,10,10,6,5,3,3,1,6,16
Monica Maria Djerassi,,,,,0,11,5,4,6,8,4,5,3,7,16
Linda Norris,,,,,,0,8,7,4,3,3,3,1,8,16
Ken Washington,,,,,,,0,15,2,1,6,2,4,9,16
Dewayne Drummond,,,,,,,,0,2,2,5,2,3,10,16
Jacque Whaumbush,,,,,,,,,0,3,2,5,1,11,16
Joe Khan,,,,,,,,,,1,1,5,1,12,16
Kevin Bundy,,,,,,,,,,,0,3,3,13,16
John Brady,,,,,,,,,,,,0,0,14,16
Nat Lownes,,,,,,,,,,,,,0,15,16
Total,33,29,29,21,20,19,17,16,10,10,10,9,5,16,16
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,17
,Liam G Boyle,Kathryn S Huggins,Rebecca Poyourow,Lisa Rhodes,Linda Norris,Joe Khan,Ken Washington,John Brady,Monica Maria Djerassi,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,17
Liam G Boyle,9,43,34,26,26,27,23,17,13,22,13,17,10,3,17
Kathryn S Huggins,,3,38,33,32,20,25,13,22,24,16,14,9,4,17
Rebecca Poyourow,,,2,31,29,24,17,15,19,12,15,9,6,5,17
Lisa Rhodes,,,,0,30,15,14,10,15,11,13,6,3,6,17
Linda Norris,,,,,0,16,15,10,12,10,11,5,2,7,17
Joe Khan,,,,,,0,7,14,8,6,10,8,3,8,17
Ken Washington,,,,,,,1,6,8,19,5,9,5,9,17
John Brady,,,,,,,,3,7,6,9,7,6,10,17
Monica Maria Djerassi,,,,,,,,,0,6,13,6,4,11,17
Dewayne Drummond,,,,,,,,,,0,3,8,5,12,17
Jacque Whaumbush,,,,,,,,,,,0,4,3,13,17
Kevin Bundy,,,,,,,,,,,,2,6,14,17
Nat Lownes,,,,,,,,,,,,,0,15,17
Total,65,61,51,37,36,33,28,27,25,24,22,20,11,16,17
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,18
,Rebecca Poyourow,Liam G Boyle,Kathryn S Huggins,Joe Khan,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,Ken Washington,Dewayne Drummond,Jacque Whaumbush,John Brady,Kevin Bundy,Nat Lownes,2,18
Rebecca Poyourow,0,40,38,32,28,25,26,18,17,17,15,7,9,3,18
Liam G Boyle,,4,34,27,20,19,19,20,18,12,17,11,5,4,18
Kathryn S Huggins,,,3,18,29,25,25,19,17,12,9,8,8,5,18
Joe Khan,,,,0,18,14,14,5,5,13,14,6,2,6,18
Monica Maria Djerassi,,,,,0,16,19,8,8,13,9,4,6,7,18
Linda Norris,,,,,,0,22,8,7,7,6,4,3,8,18
Lisa Rhodes,,,,,,,0,7,7,10,5,1,4,9,18
Ken Washington,,,,,,,,0,15,3,5,6,5,10,18
Dewayne Drummond,,,,,,,,,0,1,4,5,5,11,18
Jacque Whaumbush,,,,,,,,,,0,8,3,2,12,18
John Brady,,,,,,,,,,,0,5,0,13,18
Kevin Bundy,,,,,,,,,,,,1,2,14,18
Nat Lownes,,,,,,,,,,,,,0,15,18
Total,56,53,48,36,32,28,28,21,19,19,19,13,9,16,18
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,19
,Rebecca Poyourow,Kathryn S Huggins,Liam G Boyle,Joe Khan,Monica Maria Djerassi,Lisa Rhodes,Dewayne Drummond,Linda Norris,Jacque Whaumbush,Ken Washington,John Brady,Kevin Bundy,Nat Lownes,2,19
Rebecca Poyourow,5,34,29,36,25,25,19,22,20,15,18,10,5,3,19
Kathryn S Huggins,,1,25,22,25,19,22,18,13,19,11,13,3,4,19
Liam G Boyle,,,3,20,13,15,16,13,10,15,11,7,1,5,19
Joe Khan,,,,0,18,16,10,11,17,7,13,8,4,6,19
Monica Maria Djerassi,,,,,0,15,11,12,13,7,8,9,3,7,19
Lisa Rhodes,,,,,,0,11,18,11,8,8,5,5,8,19
Dewayne Drummond,,,,,,,0,8,6,14,4,7,2,9,19
Linda Norris,,,,,,,,0,8,10,7,4,3,10,19
Jacque Whaumbush,,,,,,,,,1,4,12,2,2,11,19
Ken Washington,,,,,,,,,,0,3,7,0,12,19
John Brady,,,,,,,,,,,0,2,2,13,19
Kevin Bundy,,,,,,,,,,,,0,3,14,19
Nat Lownes,,,,,,,,,,,,,0,15,19
Total,55,42,37,36,28,27,23,23,22,21,18,14,6,16,19
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,20
,Rebecca Poyourow,Joe Khan,Kathryn S Huggins,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,John Brady,Linda Norris,Ken Washington,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,20
Rebecca Poyourow,5,43,27,21,19,17,15,14,8,9,8,8,4,3,20
Joe Khan,,1,20,17,15,13,13,10,8,8,6,7,3,4,20
Kathryn S Huggins,,,3,18,19,15,11,12,8,8,8,8,4,5,20
Liam G Boyle,,,,0,13,8,10,10,5,6,5,5,3,6,20
Lisa Rhodes,,,,,1,11,7,12,6,6,7,4,1,7,20
Monica Maria Djerassi,,,,,,0,7,7,6,7,7,3,2,8,20
John Brady,,,,,,,0,3,5,3,5,3,3,9,20
Linda Norris,,,,,,,,0,4,4,2,3,1,10,20
Ken Washington,,,,,,,,,1,5,3,0,2,11,20
Dewayne Drummond,,,,,,,,,,0,2,3,1,12,20
Jacque Whaumbush,,,,,,,,,,,0,2,2,13,20
Kevin Bundy,,,,,,,,,,,,1,0,14,20
Nat Lownes,,,,,,,,,,,,,0,15,20
Total,56,46,33,23,22,19,17,15,13,11,10,10,5,16,20
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,21
,Rebecca Poyourow,Kathryn S Huggins,Monica Maria Djerassi,Liam G Boyle,Linda Norris,Jacque Whaumbush,Lisa Rhodes,John Brady,Dewayne Drummond,Joe Khan,Ken Washington,Kevin Bundy,Nat Lownes,2,21
Rebecca Poyourow,0,22,20,11,18,18,16,11,9,13,5,2,4,3,21
Kathryn S Huggins,,2,21,12,16,16,16,8,13,6,8,4,4,4,21
Monica Maria Djerassi,,,1,9,16,15,15,8,11,5,7,5,4,5,21
Liam G Boyle,,,,4,8,8,6,11,6,5,6,4,1,6,21
Linda Norris,,,,,0,13,16,6,7,4,3,3,4,7,21
Jacque Whaumbush,,,,,,0,13,7,6,8,3,1,3,8,21
Lisa Rhodes,,,,,,,1,2,6,4,2,2,3,9,21
John Brady,,,,,,,,0,5,7,4,3,1,10,21
Dewayne Drummond,,,,,,,,,0,3,8,4,2,11,21
Joe Khan,,,,,,,,,,0,1,0,1,12,21
Ken Washington,,,,,,,,,,,0,3,2,13,21
Kevin Bundy,,,,,,,,,,,,0,1,14,21
Nat Lownes,,,,,,,,,,,,,0,15,21
Total,32,29,26,23,22,21,19,17,14,13,10,6,5,16,21
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,22
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,Dewayne Drummond,Joe Khan,Ken Washington,John Brady,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,22
Kathryn S Huggins,10,40,32,37,33,35,35,24,31,19,17,21,14,3,22
Rebecca Poyourow,,1,34,34,33,25,24,27,17,22,20,18,13,4,22
Liam G Boyle,,,1,24,21,15,18,20,19,22,16,19,9,5,22
Monica Maria Djerassi,,,,0,30,26,16,22,12,16,17,10,8,6,22
Linda Norris,,,,,1,30,15,18,14,16,17,10,12,7,22
Lisa Rhodes,,,,,,1,19,13,15,14,15,6,7,8,22
Dewayne Drummond,,,,,,,3,15,25,14,13,16,10,9,22
Joe Khan,,,,,,,,1,12,21,22,10,7,10,22
Ken Washington,,,,,,,,,3,14,7,14,9,11,22
John Brady,,,,,,,,,,1,17,10,4,12,22
Jacque Whaumbush,,,,,,,,,,,0,8,5,13,22
Kevin Bundy,,,,,,,,,,,,1,6,14,22
Nat Lownes,,,,,,,,,,,,,0,15,22
Total,74,58,47,47,46,44,42,42,38,36,32,29,18,16,22
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,29
