col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,8
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,2,8
Torri Douglas,0,18,19,19,12,9,7,1,1,3,8
Marisa Piccarreto,,0,19,19,12,7,4,1,1,4,8
Kyle J Sampson,,,0,19,10,5,3,1,1,5,8
Kyle Shenandoah,,,,0,10,5,3,1,1,6,8
Mike Stack,,,,,7,0,0,0,0,7,8
Kathi Cozzone,,,,,,2,0,0,0,8,8
Nina Ahmad,,,,,,,2,0,0,9,8
Ray Sosa,,,,,,,,2,0,10,8
John Fetterman,,,,,,,,,1,11,8
Total,31,26,21,21,25,14,10,3,2,12,8
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,9
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,9
Torri Douglas,1,35,37,36,23,12,11,0,0,3,9
Kyle Shenandoah,,0,36,36,22,11,8,0,0,4,9
Marisa Piccarreto,,,0,37,21,11,9,0,0,5,9
Kyle J Sampson,,,,0,21,12,6,0,0,6,9
Mike Stack,,,,,8,0,0,0,0,7,9
Nina Ahmad,,,,,,3,0,0,0,8,9
Kathi Cozzone,,,,,,,1,0,0,9,9
John Fetterman,,,,,,,,1,0,10,9
Ray Sosa,,,,,,,,,0,11,9
Total,48,42,42,40,39,16,15,1,0,12,9
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,10
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,10
Torri Douglas,0,13,12,12,14,7,4,3,1,3,10
Kyle J Sampson,,0,9,11,3,4,5,3,1,4,10
Marisa Piccarreto,,,0,9,5,4,4,0,1,5,10
Kyle Shenandoah,,,,0,5,2,4,1,1,6,10
Kathi Cozzone,,,,,0,0,0,0,0,7,10
Mike Stack,,,,,,3,0,0,0,8,10
Nina Ahmad,,,,,,,0,0,0,9,10
John Fetterman,,,,,,,,0,0,10,10
Ray Sosa,,,,,,,,,0,11,10
Total,29,16,14,13,15,11,6,4,1,12,10
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,11
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,11
Torri Douglas,0,23,22,20,9,18,2,4,1,3,11
Marisa Piccarreto,,1,21,20,8,14,4,4,0,4,11
Kyle J Sampson,,,1,19,8,12,3,4,1,5,11
Kyle Shenandoah,,,,0,6,11,0,4,0,6,11
Mike Stack,,,,,12,0,0,0,0,7,11
Kathi Cozzone,,,,,,1,0,0,0,8,11
Nina Ahmad,,,,,,,1,0,0,9,11
John Fetterman,,,,,,,,0,0,10,11
Ray Sosa,,,,,,,,,1,11,11
Total,34,31,29,21,27,22,8,4,2,12,11
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,12
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,12
Torri Douglas,1,16,16,17,12,6,6,0,0,3,12
Marisa Piccarreto,,0,14,15,12,9,2,0,0,4,12
Kyle Shenandoah,,,0,15,14,3,2,1,0,5,12
Kyle J Sampson,,,,0,10,6,3,0,0,6,12
Mike Stack,,,,,2,0,0,0,0,7,12
Nina Ahmad,,,,,,1,0,0,0,8,12
Kathi Cozzone,,,,,,,1,0,0,9,12
John Fetterman,,,,,,,,0,0,10,12
Ray Sosa,,,,,,,,,0,11,12
Total,26,23,21,19,21,13,7,1,0,12,12
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,13
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,13
Torri Douglas,0,25,22,20,20,11,7,0,0,3,13
Marisa Piccarreto,,0,23,23,12,9,8,1,0,4,13
Kyle J Sampson,,,0,21,14,6,9,0,0,5,13
Kyle Shenandoah,,,,0,12,6,7,0,0,6,13
Mike Stack,,,,,12,0,0,0,0,7,13
Kathi Cozzone,,,,,,2,0,0,0,8,13
Nina Ahmad,,,,,,,1,0,0,9,13
John Fetterman,,,,,,,,1,0,10,13
Ray Sosa,,,,,,,,,0,11,13
Total,38,30,29,25,37,15,13,2,0,12,13
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,14
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,14
Torri Douglas,2,27,25,27,13,12,5,2,1,3,14
Kyle J Sampson,,0,26,26,15,8,5,2,0,4,14
Kyle Shenandoah,,,0,25,16,6,5,3,0,5,14
Marisa Piccarreto,,,,0,14,7,6,2,0,6,14
Mike Stack,,,,,6,0,0,0,0,7,14
Kathi Cozzone,,,,,,0,0,0,0,8,14
Nina Ahmad,,,,,,,3,0,0,9,14
John Fetterman,,,,,,,,0,0,10,14
Ray Sosa,,,,,,,,,0,11,14
Total,36,31,31,30,27,14,9,3,1,12,14
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,15
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,15
Torri Douglas,1,17,17,18,15,10,1,1,0,3,15
Kyle J Sampson,,0,16,17,10,7,2,1,0,4,15
Kyle Shenandoah,,,0,16,9,7,3,1,0,5,15
Marisa Piccarreto,,,,1,10,6,1,2,0,6,15
Kathi Cozzone,,,,,1,0,0,0,0,7,15
Mike Stack,,,,,,3,0,0,0,8,15
Nina Ahmad,,,,,,,1,0,0,9,15
John Fetterman,,,,,,,,0,0,10,15
Ray Sosa,,,,,,,,,0,11,15
Total,28,20,20,20,16,15,4,3,0,12,15
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,16
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,16
Torri Douglas,0,12,10,11,10,5,6,1,1,3,16
Marisa Piccarreto,,1,10,11,8,4,5,1,0,4,16
Kyle Shenandoah,,,0,10,5,3,7,0,0,5,16
Kyle J Sampson,,,,0,8,1,5,0,0,6,16
Mike Stack,,,,,4,0,0,0,0,7,16
Nina Ahmad,,,,,,1,0,0,0,8,16
Kathi Cozzone,,,,,,,0,0,0,9,16
John Fetterman,,,,,,,,0,0,10,16
Ray Sosa,,,,,,,,,0,11,16
Total,24,20,16,15,23,10,9,2,1,12,16
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,17
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,17
Torri Douglas,2,15,14,13,8,9,4,1,0,3,17
Marisa Piccarreto,,0,12,12,8,6,6,2,0,4,17
Kyle J Sampson,,,0,12,7,6,3,0,0,5,17
Kyle Shenandoah,,,,0,6,5,2,2,0,6,17
Mike Stack,,,,,5,0,0,0,0,7,17
Kathi Cozzone,,,,,,2,0,0,0,8,17
Nina Ahmad,,,,,,,2,0,0,9,17
John Fetterman,,,,,,,,0,0,10,17
Ray Sosa,,,,,,,,,0,11,17
Total,24,22,16,15,17,12,9,3,0,12,17
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,18
,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Marisa Piccarreto,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,John Fetterman,2,18
Torri Douglas,0,12,13,8,12,6,4,0,0,3,18
Kyle Shenandoah,,0,12,8,10,5,2,1,0,4,18
Kyle J Sampson,,,0,8,8,5,1,0,0,5,18
Marisa Piccarreto,,,,0,5,4,3,0,0,6,18
Mike Stack,,,,,4,0,0,0,0,7,18
Nina Ahmad,,,,,,1,0,0,0,8,18
Kathi Cozzone,,,,,,,0,0,0,9,18
Ray Sosa,,,,,,,,0,0,10,18
John Fetterman,,,,,,,,,0,11,18
Total,22,18,14,12,21,9,7,1,0,12,18
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,19
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,19
Mike Stack,8,0,0,0,0,6,7,5,3,3,19
Kathi Cozzone,,0,0,0,0,7,4,4,5,4,19
Nina Ahmad,,,1,0,0,5,5,5,5,5,19
John Fetterman,,,,0,0,0,0,0,0,6,19
Ray Sosa,,,,,0,0,0,0,0,7,19
Torri Douglas,,,,,,1,12,12,13,8,19
Kyle J Sampson,,,,,,,0,13,13,9,19
Marisa Piccarreto,,,,,,,,1,13,10,19
Kyle Shenandoah,,,,,,,,,0,11,19
Total,20,7,6,0,0,19,17,16,14,12,19
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,20
,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,20
Mike Stack,8,0,0,0,0,5,5,4,4,3,20
Kathi Cozzone,,2,0,0,0,6,3,3,3,4,20
John Fetterman,,,1,0,0,1,2,1,1,5,20
Nina Ahmad,,,,1,0,0,0,1,0,6,20
Ray Sosa,,,,,0,0,0,0,0,7,20
Torri Douglas,,,,,,1,7,7,6,8,20
Kyle J Sampson,,,,,,,0,7,7,9,20
Kyle Shenandoah,,,,,,,,1,7,10,20
Marisa Piccarreto,,,,,,,,,0,11,20
Total,16,8,3,2,0,13,10,10,8,12,20
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,21
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Marisa Piccarreto,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,2,21
Mike Stack,9,0,0,0,0,5,7,5,4,3,21
Nina Ahmad,,1,0,0,0,2,0,1,1,4,21
John Fetterman,,,0,0,0,2,1,2,2,5,21
Kathi Cozzone,,,,2,0,0,0,0,0,6,21
Ray Sosa,,,,,0,0,0,0,0,7,21
Marisa Piccarreto,,,,,,0,6,6,6,8,21
Torri Douglas,,,,,,,1,5,5,9,21
Kyle J Sampson,,,,,,,,0,6,10,21
Kyle Shenandoah,,,,,,,,,0,11,21
Total,18,5,2,2,0,10,10,8,7,12,21
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,22
,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,22
Mike Stack,10,0,0,0,0,7,5,8,4,3,22
Kathi Cozzone,,1,0,0,0,7,6,6,8,4,22
John Fetterman,,,0,0,0,3,3,1,2,5,22
Nina Ahmad,,,,0,0,2,2,0,0,6,22
Ray Sosa,,,,,0,1,1,0,0,7,22
Torri Douglas,,,,,,0,14,11,11,8,22
Marisa Piccarreto,,,,,,,0,11,12,9,22
Kyle J Sampson,,,,,,,,0,11,10,22
Kyle Shenandoah,,,,,,,,,0,11,22
Total,22,10,4,3,1,20,17,15,14,12,22
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,23
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,23
Torri Douglas,0,17,16,15,12,6,5,0,0,3,23
Marisa Piccarreto,,0,15,16,9,6,6,1,0,4,23
Kyle J Sampson,,,0,15,8,4,6,0,0,5,23
Kyle Shenandoah,,,,0,9,3,4,1,0,6,23
Kathi Cozzone,,,,,3,0,0,0,0,7,23
Mike Stack,,,,,,8,0,0,0,8,23
Nina Ahmad,,,,,,,5,0,0,9,23
John Fetterman,,,,,,,,0,0,10,23
Ray Sosa,,,,,,,,,0,11,23
Total,23,22,18,17,16,15,14,2,0,12,23
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,24
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,24
Torri Douglas,0,22,20,17,11,9,16,2,0,3,24
Kyle J Sampson,,0,20,17,9,10,6,2,0,4,24
Kyle Shenandoah,,,1,17,9,6,6,2,0,5,24
Marisa Piccarreto,,,,0,6,4,6,2,0,6,24
Nina Ahmad,,,,,10,0,0,0,0,7,24
Mike Stack,,,,,,7,0,0,0,8,24
Kathi Cozzone,,,,,,,0,0,0,9,24
John Fetterman,,,,,,,,4,0,10,24
Ray Sosa,,,,,,,,,0,11,24
Total,38,27,24,18,26,20,16,6,0,12,24
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,25
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,25
Torri Douglas,0,35,36,32,11,19,7,4,1,3,25
Kyle J Sampson,,0,34,31,13,15,7,5,0,4,25
Marisa Piccarreto,,,0,33,10,14,9,4,1,5,25
Kyle Shenandoah,,,,0,8,11,9,5,1,6,25
Mike Stack,,,,,6,0,0,0,0,7,25
Kathi Cozzone,,,,,,0,0,0,0,8,25
Nina Ahmad,,,,,,,2,0,0,9,25
John Fetterman,,,,,,,,1,0,10,25
Ray Sosa,,,,,,,,,0,11,25
Total,44,42,40,36,23,22,12,7,1,12,25
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,26
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,26
Torri Douglas,0,14,13,11,14,13,1,2,0,3,26
Marisa Piccarreto,,0,12,10,8,6,2,2,0,4,26
Kyle J Sampson,,,0,10,5,5,1,2,0,5,26
Kyle Shenandoah,,,,0,7,4,0,2,0,6,26
Mike Stack,,,,,5,0,0,0,0,7,26
Kathi Cozzone,,,,,,1,0,0,0,8,26
John Fetterman,,,,,,,0,0,0,9,26
Nina Ahmad,,,,,,,,0,0,10,26
Ray Sosa,,,,,,,,,0,11,26
Total,30,18,13,13,23,15,2,2,0,12,26
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,27
,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,2,27
Mike Stack,6,0,0,0,0,7,4,8,8,3,27
John Fetterman,,1,0,0,0,5,3,2,2,4,27
Kathi Cozzone,,,0,0,0,7,6,6,4,5,27
Nina Ahmad,,,,1,0,1,3,1,2,6,27
Ray Sosa,,,,,0,0,1,0,0,7,27
Torri Douglas,,,,,,0,10,11,9,8,27
Kyle J Sampson,,,,,,,0,12,9,9,27
Marisa Piccarreto,,,,,,,,0,10,10,27
Kyle Shenandoah,,,,,,,,,0,11,27
Total,21,9,9,5,1,20,17,17,16,12,27
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,28
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Marisa Piccarreto,2,28
Mike Stack,30,0,0,0,0,18,15,14,14,3,28
Kathi Cozzone,,4,0,0,0,11,8,7,7,4,28
Nina Ahmad,,,1,0,0,4,4,4,3,5,28
John Fetterman,,,,2,0,0,0,0,1,6,28
Ray Sosa,,,,,0,1,1,2,1,7,28
Torri Douglas,,,,,,0,22,24,21,8,28
Kyle Shenandoah,,,,,,,1,23,20,9,28
Kyle J Sampson,,,,,,,,0,21,10,28
Marisa Piccarreto,,,,,,,,,1,11,28
Total,56,21,5,3,2,35,30,28,28,12,28
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,29
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,29
Torri Douglas,0,16,14,15,10,8,3,2,1,3,29
Kyle J Sampson,,0,13,14,10,5,2,2,1,4,29
Marisa Piccarreto,,,1,14,8,4,2,3,1,5,29
Kyle Shenandoah,,,,0,8,5,2,1,1,6,29
Mike Stack,,,,,2,0,0,0,0,7,29
Kathi Cozzone,,,,,,1,0,0,0,8,29
Nina Ahmad,,,,,,,4,0,0,9,29
John Fetterman,,,,,,,,0,0,10,29
Ray Sosa,,,,,,,,,0,11,29
Total,24,20,19,17,18,10,8,4,1,12,29
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,30
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,30
Mike Stack,30,0,0,0,0,0,0,0,0,3,30
Nina Ahmad,,15,0,0,0,0,0,0,0,4,30
Kathi Cozzone,,,13,0,0,0,0,0,0,5,30
John Fetterman,,,,3,0,0,0,0,0,6,30
Ray Sosa,,,,,0,0,0,0,0,7,30
Kyle J Sampson,,,,,,0,0,0,0,8,30
Kyle Shenandoah,,,,,,,0,0,0,9,30
Marisa Piccarreto,,,,,,,,0,0,10,30
Torri Douglas,,,,,,,,,0,11,30
Total,30,15,13,3,0,0,0,0,0,12,30
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,31
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,John Fetterman,2,31
Torri Douglas,3,19,17,17,12,5,4,3,0,3,31
Kyle Shenandoah,,0,18,17,13,4,3,3,0,4,31
Marisa Piccarreto,,,0,16,12,6,2,2,0,5,31
Kyle J Sampson,,,,0,10,4,2,2,0,6,31
Mike Stack,,,,,6,0,0,0,0,7,31
Nina Ahmad,,,,,,1,0,0,0,8,31
Kathi Cozzone,,,,,,,0,0,0,9,31
Ray Sosa,,,,,,,,0,0,10,31
John Fetterman,,,,,,,,,2,11,31
Total,27,23,22,18,24,8,5,3,2,12,31
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,32
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Kathi Cozzone,Nina Ahmad,Mike Stack,John Fetterman,Ray Sosa,2,32
Torri Douglas,1,46,47,44,25,23,12,5,0,3,32
Kyle J Sampson,,2,48,46,17,18,17,4,0,4,32
Marisa Piccarreto,,,0,46,16,18,14,4,0,5,32
Kyle Shenandoah,,,,0,15,16,13,4,0,6,32
Kathi Cozzone,,,,,5,0,0,0,0,7,32
Nina Ahmad,,,,,,0,0,0,0,8,32
Mike Stack,,,,,,,4,0,0,9,32
John Fetterman,,,,,,,,0,0,10,32
Ray Sosa,,,,,,,,,0,11,32
Total,67,59,53,49,35,27,23,7,0,12,32
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,33
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,33
Torri Douglas,1,14,15,14,9,9,3,1,0,3,33
Marisa Piccarreto,,0,14,14,8,6,3,0,0,4,33
Kyle J Sampson,,,0,13,7,8,1,0,0,5,33
Kyle Shenandoah,,,,0,9,5,1,0,0,6,33
Kathi Cozzone,,,,,5,0,0,0,0,7,33
Mike Stack,,,,,,5,0,0,0,8,33
Nina Ahmad,,,,,,,2,0,0,9,33
John Fetterman,,,,,,,,0,0,10,33
Ray Sosa,,,,,,,,,0,11,33
Total,23,17,16,15,15,15,7,1,0,12,33
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,34
