To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,17
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,17
Jim Christiana,1,0,0,1,0,0,0,0,17
Lou Barletta,,1,0,0,0,0,0,0,17
Write In,,,1,0,0,0,0,0,17
Kathy Coder,,,,1,0,0,0,0,17
Diana Irey Vaughan,,,,,1,0,0,0,17
Jeff Bartos,,,,,,1,0,0,17
Peg Luksik,,,,,,,1,0,17
Total,3,1,1,3,1,1,1,0,17
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,18
,Jim Christiana,Lou Barletta,Write In,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,0,18
Jim Christiana,2,0,0,0,0,0,0,0,18
Lou Barletta,,1,0,0,0,0,0,0,18
Write In,,,1,0,0,0,0,0,18
Diana Irey Vaughan,,,,1,0,0,0,0,18
Jeff Bartos,,,,,1,0,0,0,18
Kathy Coder,,,,,,1,0,0,18
Peg Luksik,,,,,,,1,0,18
Total,2,1,1,1,1,1,1,0,18
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,19
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,19
Jim Christiana,1,0,0,1,0,0,0,0,19
Lou Barletta,,1,0,0,0,0,0,0,19
Write In,,,1,0,0,0,0,0,19
Kathy Coder,,,,1,0,0,0,0,19
Diana Irey Vaughan,,,,,1,0,0,0,19
Jeff Bartos,,,,,,1,0,0,19
Peg Luksik,,,,,,,1,0,19
Total,3,1,1,3,1,1,1,0,19
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,20
,Jim Christiana,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Lou Barletta,Write In,0,20
Kathy Coder,0,0,0,1,0,1,0,0,20
Diana Irey Vaughan,0,1,0,,0,0,0,0,20
Jeff Bartos,0,,1,,0,0,0,0,20
Peg Luksik,0,,,,1,0,0,0,20
Jim Christiana,1,,,,,0,0,0,20
Lou Barletta,,,,,,1,0,0,20
Write In,,,,,,,1,0,20
Total,3,2,1,4,1,3,1,0,20
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,21
,Jim Christiana,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Lou Barletta,Write In,0,21
Kathy Coder,0,0,0,1,0,0,0,0,21
Diana Irey Vaughan,0,1,0,,0,0,0,0,21
Jeff Bartos,0,,1,,0,0,0,0,21
Peg Luksik,0,,,,1,0,0,0,21
Jim Christiana,1,,,,,0,0,0,21
Lou Barletta,,,,,,1,0,0,21
Write In,,,,,,,1,0,21
Total,2,1,1,3,1,2,1,0,21
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,22
,Jim Christiana,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,Lou Barletta,Write In,0,22
Diana Irey Vaughan,0,0,0,1,0,0,0,0,22
Kathy Coder,0,1,0,,0,0,0,0,22
Jeff Bartos,0,,1,,0,0,0,0,22
Peg Luksik,0,,,,1,0,0,0,22
Jim Christiana,1,,,,,0,0,0,22
Lou Barletta,,,,,,1,0,0,22
Write In,,,,,,,1,0,22
Total,2,2,1,2,1,2,1,0,22
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,23
,Jim Christiana,Lou Barletta,Write In,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,0,23
Jim Christiana,2,0,0,0,0,0,0,0,23
Lou Barletta,,1,0,0,0,0,0,0,23
Write In,,,1,0,0,0,0,0,23
Diana Irey Vaughan,,,,1,0,0,0,0,23
Jeff Bartos,,,,,1,0,0,0,23
Kathy Coder,,,,,,1,0,0,23
Peg Luksik,,,,,,,1,0,23
Total,2,1,1,1,1,1,1,0,23
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,24
,Jim Christiana,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Lou Barletta,Write In,0,24
Diana Irey Vaughan,1,0,0,1,0,0,0,0,24
Jeff Bartos,0,1,0,,0,0,0,0,24
Kathy Coder,0,,1,,0,0,0,0,24
Peg Luksik,0,,,,1,0,0,0,24
Jim Christiana,1,,,,,0,0,0,24
Lou Barletta,,,,,,1,0,0,24
Write In,,,,,,,1,0,24
Total,3,2,2,3,1,3,1,0,24
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,25
,Jim Christiana,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Lou Barletta,Write In,0,25
Jeff Bartos,0,0,0,1,0,1,0,0,25
Kathy Coder,1,1,0,,0,0,0,0,25
Diana Irey Vaughan,0,,1,,0,0,0,0,25
Peg Luksik,0,,,,1,0,0,0,25
Jim Christiana,1,,,,,0,0,0,25
Lou Barletta,,,,,,1,0,0,25
Write In,,,,,,,1,0,25
Total,4,4,1,4,1,4,1,0,25
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,28
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,28
Jim Christiana,2,0,0,3,0,0,0,0,28
Lou Barletta,,1,0,1,1,0,0,0,28
Write In,,,1,0,0,0,0,0,28
Kathy Coder,,,,1,0,0,0,0,28
Diana Irey Vaughan,,,,,1,0,0,0,28
Jeff Bartos,,,,,,2,0,0,28
Peg Luksik,,,,,,,1,0,28
Total,7,5,1,7,4,2,1,0,28
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,32
,Jim Christiana,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Lou Barletta,Write In,0,32
Diana Irey Vaughan,0,0,0,1,0,0,0,0,32
Jeff Bartos,0,1,0,,0,0,0,0,32
Kathy Coder,0,,1,,0,0,0,0,32
Peg Luksik,0,,,,1,0,0,0,32
Jim Christiana,1,,,,,0,0,0,32
Lou Barletta,,,,,,1,0,0,32
Write In,,,,,,,1,0,32
Total,2,2,1,2,1,2,1,0,32
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,33
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,33
Jim Christiana,1,0,0,0,0,0,0,0,33
Lou Barletta,,2,0,0,0,0,0,0,33
Write In,,,1,0,0,0,0,0,33
Kathy Coder,,,,1,0,0,0,0,33
Diana Irey Vaughan,,,,,1,0,0,0,33
Jeff Bartos,,,,,,1,0,0,33
Peg Luksik,,,,,,,1,0,33
Total,2,2,1,2,1,1,1,0,33
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,35
,Jim Christiana,Lou Barletta,Write In,Peg Luksik,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,0,35
Jim Christiana,1,0,0,0,0,0,0,0,35
Lou Barletta,,1,0,0,0,0,0,0,35
Write In,,,1,0,0,0,0,0,35
Peg Luksik,,,,1,0,0,0,0,35
Kathy Coder,,,,,1,0,0,0,35
Diana Irey Vaughan,,,,,,1,0,0,35
Jeff Bartos,,,,,,,1,0,35
Total,3,2,1,3,2,1,1,0,35
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,36
,Jim Christiana,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,Lou Barletta,Write In,0,36
Diana Irey Vaughan,0,0,0,1,0,0,0,0,36
Kathy Coder,0,1,0,,0,0,0,0,36
Jeff Bartos,0,,1,,0,0,0,0,36
Peg Luksik,0,,,,1,0,0,0,36
Jim Christiana,1,,,,,0,0,0,36
Lou Barletta,,,,,,1,0,0,36
Write In,,,,,,,1,0,36
Total,2,2,1,2,1,2,1,0,36
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,37
,Jim Christiana,Lou Barletta,Write In,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,0,37
Jim Christiana,2,0,0,0,1,0,0,0,37
Lou Barletta,,2,0,0,0,0,0,0,37
Write In,,,1,0,0,0,0,0,37
Diana Irey Vaughan,,,,1,0,0,0,0,37
Kathy Coder,,,,,1,0,0,0,37
Jeff Bartos,,,,,,1,0,0,37
Peg Luksik,,,,,,,1,0,37
Total,5,4,1,3,3,2,1,0,37
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,38
,Lou Barletta,Jim Christiana,Write In,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,0,38
Lou Barletta,1,0,0,0,0,0,0,0,38
Jim Christiana,,1,0,0,0,0,0,0,38
Write In,,,1,0,0,0,0,0,38
Diana Irey Vaughan,,,,2,0,0,0,0,38
Jeff Bartos,,,,,1,0,0,0,38
Kathy Coder,,,,,,1,0,0,38
Peg Luksik,,,,,,,1,0,38
Total,3,1,1,2,2,2,1,0,38
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,40
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,0,40
Lou Barletta,1,0,0,0,0,0,0,0,40
Jim Christiana,,2,0,0,0,0,0,0,40
Write In,,,1,0,0,0,0,0,40
Jeff Bartos,,,,2,0,0,0,0,40
Diana Irey Vaughan,,,,,1,0,0,0,40
Kathy Coder,,,,,,1,0,0,40
Peg Luksik,,,,,,,1,0,40
Total,4,2,1,3,2,2,1,0,40
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,41
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,41
Jim Christiana,1,0,0,0,0,0,0,0,41
Lou Barletta,,1,0,0,0,0,0,0,41
Write In,,,1,0,0,0,0,0,41
Kathy Coder,,,,1,0,0,0,0,41
Diana Irey Vaughan,,,,,1,0,0,0,41
Jeff Bartos,,,,,,1,0,0,41
Peg Luksik,,,,,,,1,0,41
Total,2,1,1,2,1,1,1,0,41
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,42
,Lou Barletta,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Jim Christiana,Write In,0,42
Diana Irey Vaughan,0,0,0,1,0,0,0,0,42
Jeff Bartos,0,1,0,,0,0,0,0,42
Kathy Coder,0,,1,,0,0,0,0,42
Peg Luksik,0,,,,1,0,0,0,42
Lou Barletta,1,,,,,0,0,0,42
Jim Christiana,,,,,,1,0,0,42
Write In,,,,,,,1,0,42
Total,2,1,1,2,1,1,1,0,42
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,43
,Lou Barletta,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,Jim Christiana,Write In,0,43
Jeff Bartos,0,0,0,2,0,0,0,0,43
Diana Irey Vaughan,0,1,0,,0,0,0,0,43
Kathy Coder,0,,1,,0,0,0,0,43
Peg Luksik,0,,,,1,0,0,0,43
Lou Barletta,2,,,,,0,0,0,43
Jim Christiana,,,,,,1,0,0,43
Write In,,,,,,,1,0,43
Total,2,1,1,2,1,1,1,0,43
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,45
,Jim Christiana,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,Lou Barletta,Write In,0,45
Jeff Bartos,0,0,0,1,0,0,0,0,45
Diana Irey Vaughan,0,1,0,,0,0,0,0,45
Kathy Coder,0,,1,,0,0,0,0,45
Peg Luksik,0,,,,1,0,0,0,45
Jim Christiana,1,,,,,0,0,0,45
Lou Barletta,,,,,,2,0,0,45
Write In,,,,,,,1,0,45
Total,2,1,1,2,1,2,1,0,45
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,46
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,46
Lou Barletta,1,0,0,0,0,0,0,0,46
Jim Christiana,,1,0,0,0,0,0,0,46
Write In,,,1,0,0,0,0,0,46
Kathy Coder,,,,1,0,0,0,0,46
Diana Irey Vaughan,,,,,1,0,0,0,46
Jeff Bartos,,,,,,1,0,0,46
Peg Luksik,,,,,,,1,0,46
Total,4,2,1,3,2,2,1,0,46
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,48
,Jim Christiana,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Lou Barletta,Write In,0,48
Jeff Bartos,0,0,0,1,0,0,0,0,48
Kathy Coder,0,1,0,,0,0,0,0,48
Diana Irey Vaughan,0,,1,,0,0,0,0,48
Peg Luksik,0,,,,1,0,0,0,48
Jim Christiana,1,,,,,0,0,0,48
Lou Barletta,,,,,,1,0,0,48
Write In,,,,,,,1,0,48
Total,2,2,1,2,1,2,1,0,48
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,49
,Jim Christiana,Lou Barletta,Write In,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,0,49
Jim Christiana,1,0,0,0,1,1,0,0,49
Lou Barletta,,1,0,2,0,0,0,0,49
Write In,,,1,0,0,0,0,0,49
Jeff Bartos,,,,1,0,0,0,0,49
Diana Irey Vaughan,,,,,1,0,0,0,49
Kathy Coder,,,,,,1,0,0,49
Peg Luksik,,,,,,,2,0,49
Total,5,4,1,4,3,3,2,0,49
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,50
,Jim Christiana,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Lou Barletta,Write In,0,50
Diana Irey Vaughan,0,0,0,1,0,0,0,0,50
Jeff Bartos,0,1,0,,0,0,0,0,50
Kathy Coder,0,,1,,0,0,0,0,50
Peg Luksik,0,,,,1,0,0,0,50
Jim Christiana,2,,,,,0,0,0,50
Lou Barletta,,,,,,1,0,0,50
Write In,,,,,,,1,0,50
Total,2,1,1,2,1,2,1,0,50
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,51
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,51
Jim Christiana,1,0,0,1,0,0,0,0,51
Lou Barletta,,1,0,0,0,0,0,0,51
Write In,,,1,0,0,0,0,0,51
Kathy Coder,,,,1,0,0,0,0,51
Diana Irey Vaughan,,,,,1,0,0,0,51
Jeff Bartos,,,,,,1,0,0,51
Peg Luksik,,,,,,,1,0,51
Total,3,1,1,3,1,1,1,0,51
