col_1,col_2,col_3,col_4,col_5,order,division
Bryan E Leib,0,2,1,0,3,20
Paul Mango,,0,0,0,4,20
Scott R Wagner,,,0,0,5,20
Laura Ellsworth,,,,0,6,20
Total,3,2,1,0,7,20
,Representative In Congress 3rd District - Republican,Governor - Republican,,,1,21
,Bryan E Leib,Laura Ellsworth,Paul Mango,Scott R Wagner,2,21
Bryan E Leib,0,1,0,0,3,21
Laura Ellsworth,,0,0,0,4,21
Paul Mango,,,0,0,5,21
Scott R Wagner,,,,0,6,21
Total,1,1,0,0,7,21
,Governor - Republican,,,Representative In Congress 3rd District - Republican,1,22
,Paul Mango,Scott R Wagner,Laura Ellsworth,Bryan E Leib,2,22
Paul Mango,1,0,0,1,3,22
Scott R Wagner,,1,0,0,4,22
Laura Ellsworth,,,0,0,5,22
Bryan E Leib,,,,0,6,22
Total,2,1,0,1,7,22
,Governor - Republican,,,Representative In Congress 3rd District - Republican,1,23
,Paul Mango,Laura Ellsworth,Scott R Wagner,Bryan E Leib,2,23
Paul Mango,1,0,0,0,3,23
Laura Ellsworth,,0,0,0,4,23
Scott R Wagner,,,0,0,5,23
Bryan E Leib,,,,0,6,23
Total,1,0,0,0,7,23
,Representative In Congress 3rd District - Republican,Governor - Republican,,,1,25
,Bryan E Leib,Paul Mango,Laura Ellsworth,Scott R Wagner,2,25
Bryan E Leib,0,1,0,0,3,25
Paul Mango,,0,0,0,4,25
Laura Ellsworth,,,0,0,5,25
Scott R Wagner,,,,0,6,25
Total,1,1,0,0,7,25
,Representative In Congress 3rd District - Republican,Governor - Republican,,,1,26
,Bryan E Leib,Paul Mango,Laura Ellsworth,Scott R Wagner,2,26
Bryan E Leib,0,1,0,0,3,26
Paul Mango,,0,0,0,4,26
Laura Ellsworth,,,0,0,5,26
Scott R Wagner,,,,0,6,26
Total,1,1,0,0,7,26
,Representative In Congress 3rd District - Republican,Governor - Republican,,,1,28
,Bryan E Leib,Laura Ellsworth,Scott R Wagner,Paul Mango,2,28
Bryan E Leib,0,1,1,0,3,28
Laura Ellsworth,,0,0,0,4,28
Scott R Wagner,,,0,0,5,28
Paul Mango,,,,0,6,28
Total,2,1,1,0,7,28
