V1,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,division
Diana Irey Vaughan,0,16,0,0,0,21
Kathy Coder,15,,0,0,0,21
Jeff Bartos,,,10,0,0,21
Peg Luksik,,,,1,0,21
Write In,,,,,1,21
Total,15,16,10,1,1,21
Diana Irey Vaughan,0,10,0,0,0,22
Jeff Bartos,0,,10,0,0,22
Kathy Coder,8,,,0,0,22
Peg Luksik,,,,5,0,22
Write In,,,,,1,22
Total,8,10,10,5,1,22
Diana Irey Vaughan,0,14,0,0,0,23
Kathy Coder,10,,0,0,0,23
Jeff Bartos,,,7,0,0,23
Peg Luksik,,,,1,0,23
Write In,,,,,1,23
Total,10,14,7,1,1,23
Kathy Coder,13,0,0,0,0,24
Jeff Bartos,,0,10,0,0,24
Diana Irey Vaughan,,9,,0,0,24
Peg Luksik,,,,1,0,24
Write In,,,,,1,24
Total,13,9,10,1,1,24
Kathy Coder,12,0,0,0,0,25
Diana Irey Vaughan,,8,0,0,0,25
Jeff Bartos,,,8,0,0,25
Peg Luksik,,,,6,0,25
Write In,,,,,1,25
Total,12,8,8,6,1,25
Kathy Coder,13,0,0,0,0,26
Diana Irey Vaughan,,8,0,0,0,26
Jeff Bartos,,,6,0,0,26
Peg Luksik,,,,3,0,26
Write In,,,,,1,26
Total,13,8,6,3,1,26
Kathy Coder,6,0,0,0,0,27
Diana Irey Vaughan,,4,0,0,0,27
Peg Luksik,,,0,2,0,27
Jeff Bartos,,,1,,0,27
Write In,,,,,1,27
Total,6,4,1,2,1,27
Kathy Coder,20,0,0,0,0,28
Diana Irey Vaughan,,10,0,0,0,28
Jeff Bartos,,,10,0,0,28
Peg Luksik,,,,1,0,28
Write In,,,,,1,28
Total,20,10,10,1,1,28
Kathy Coder,23,0,0,0,0,29
Jeff Bartos,,0,18,0,0,29
Diana Irey Vaughan,,16,,0,0,29
Peg Luksik,,,,3,0,29
Write In,,,,,1,29
Total,23,16,18,3,1,29
Jeff Bartos,0,0,20,0,0,30
Kathy Coder,16,0,,0,0,30
Diana Irey Vaughan,,15,,0,0,30
Peg Luksik,,,,4,0,30
Write In,,,,,1,30
Total,16,15,20,4,1,30
Diana Irey Vaughan,0,8,0,0,0,31
Kathy Coder,6,,0,0,0,31
Jeff Bartos,,,5,0,0,31
Peg Luksik,,,,3,0,31
Write In,,,,,1,31
Total,6,8,5,3,1,31
Diana Irey Vaughan,0,10,0,0,0,32
Kathy Coder,10,,0,0,0,32
Peg Luksik,,,0,4,0,32
Jeff Bartos,,,3,,0,32
Write In,,,,,1,32
Total,10,10,3,4,1,32
Diana Irey Vaughan,0,26,0,0,0,33
Kathy Coder,17,,0,0,0,33
Jeff Bartos,,,4,0,0,33
Peg Luksik,,,,3,0,33
Write In,,,,,1,33
Total,17,26,4,3,1,33
Diana Irey Vaughan,0,22,0,0,0,34
Kathy Coder,16,,0,0,0,34
Jeff Bartos,,,9,0,0,34
Peg Luksik,,,,3,0,34
Write In,,,,,1,34
Total,16,22,9,3,1,34
Kathy Coder,14,0,0,0,0,35
Diana Irey Vaughan,,7,0,0,0,35
Jeff Bartos,,,4,0,0,35
Peg Luksik,,,,2,0,35
Write In,,,,,1,35
Total,14,7,4,2,1,35
Diana Irey Vaughan,0,19,0,0,0,36
Kathy Coder,11,,0,0,0,36
Jeff Bartos,,,8,0,0,36
Peg Luksik,,,,4,0,36
Write In,,,,,1,36
Total,11,19,8,4,1,36
Kathy Coder,10,0,0,0,0,37
Diana Irey Vaughan,,5,0,0,0,37
Jeff Bartos,,,1,0,0,37
Peg Luksik,,,,1,0,37
Write In,,,,,1,37
Total,10,5,1,1,1,37
Kathy Coder,15,0,0,0,0,38
Diana Irey Vaughan,,14,0,0,0,38
Jeff Bartos,,,6,0,0,38
Peg Luksik,,,,3,0,38
Write In,,,,,1,38
Total,15,14,6,3,1,38
Diana Irey Vaughan,0,14,0,0,0,39
Kathy Coder,9,,0,0,0,39
Jeff Bartos,,,4,0,0,39
Peg Luksik,,,,1,0,39
Write In,,,,,1,39
Total,9,14,4,1,1,39
Jeff Bartos,0,0,11,0,0,40
Kathy Coder,6,0,,0,0,40
Diana Irey Vaughan,,3,,0,0,40
Peg Luksik,,,,3,0,40
Write In,,,,,1,40
Total,6,3,11,3,1,40
Diana Irey Vaughan,0,12,0,0,0,41
Kathy Coder,8,,0,0,0,41
Jeff Bartos,,,3,0,0,41
Peg Luksik,,,,1,0,41
Write In,,,,,1,41
Total,8,12,3,1,1,41
Diana Irey Vaughan,0,14,0,0,0,42
Jeff Bartos,0,,10,0,0,42
Kathy Coder,10,,,0,0,42
Peg Luksik,,,,2,0,42
Write In,,,,,1,42
Total,10,14,10,2,1,42
Kathy Coder,18,0,0,0,0,43
Jeff Bartos,,0,17,0,0,43
Diana Irey Vaughan,,16,,0,0,43
Peg Luksik,,,,2,0,43
Write In,,,,,1,43
Total,18,16,17,2,1,43
Kathy Coder,18,0,0,0,0,44
Diana Irey Vaughan,,11,0,0,0,44
Jeff Bartos,,,9,0,0,44
Peg Luksik,,,,3,0,44
Write In,,,,,1,44
Total,18,11,9,3,1,44
Diana Irey Vaughan,0,14,0,0,0,45
Kathy Coder,6,,0,0,0,45
Jeff Bartos,,,5,0,0,45
Peg Luksik,,,,2,0,45
Write In,,,,,1,45
Total,6,14,5,2,1,45
Diana Irey Vaughan,0,37,0,0,0,46
Kathy Coder,18,,0,0,0,46
Jeff Bartos,,,8,0,0,46
Peg Luksik,,,,4,0,46
Write In,,,,,1,46
Total,18,37,8,4,1,46
