V1,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,division
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,13
Mike Stack,50,0,0,0,0,0,13
Nina Ahmad,,16,0,0,0,0,13
Kathi Cozzone,,,0,13,0,0,13
John Fetterman,,,10,,0,0,13
Ray Sosa,,,,,2,0,13
Write In,,,,,,0,13
Total,50,16,10,13,2,0,13
1,2,3,5,4,6,7,13
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,14
Mike Stack,28,0,0,0,0,0,14
Kathi Cozzone,,0,0,7,0,0,14
Nina Ahmad,,3,0,,0,0,14
Ray Sosa,,,0,,1,0,14
John Fetterman,,,0,,,0,14
Write In,,,,,,0,14
Total,28,3,0,7,1,0,14
1,2,4,6,3,5,7,14
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,15
Mike Stack,42,0,0,0,0,0,15
Kathi Cozzone,,0,0,14,0,0,15
Nina Ahmad,,10,0,,0,0,15
John Fetterman,,,3,,0,0,15
Ray Sosa,,,,,0,0,15
Write In,,,,,,0,15
Total,42,10,3,14,0,0,15
1,2,4,5,3,6,7,15
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,16
Nina Ahmad,0,102,0,0,0,0,16
John Fetterman,0,,91,0,0,0,16
Mike Stack,26,,,0,0,0,16
Kathi Cozzone,,,,14,0,0,16
Ray Sosa,,,,,0,0,16
Write In,,,,,,0,16
Total,26,102,91,14,0,0,16
1,4,2,3,5,6,7,16
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,17
Nina Ahmad,0,133,0,0,0,0,17
John Fetterman,0,,126,0,0,0,17
Mike Stack,23,,,0,0,0,17
Kathi Cozzone,,,,17,0,0,17
Ray Sosa,,,,,0,0,17
Write In,,,,,,0,17
Total,23,133,126,17,0,0,17
1,4,2,3,5,6,7,17
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,18
Nina Ahmad,0,79,0,0,0,0,18
John Fetterman,0,,64,0,0,0,18
Mike Stack,24,,,0,0,0,18
Kathi Cozzone,,,,14,0,0,18
Ray Sosa,,,,,0,0,18
Write In,,,,,,0,18
Total,24,79,64,14,0,0,18
1,4,2,3,5,6,7,18
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,19
Nina Ahmad,0,118,0,0,0,0,19
John Fetterman,0,,105,0,0,0,19
Mike Stack,29,,,0,0,0,19
Kathi Cozzone,,,,25,0,0,19
Ray Sosa,,,,,3,0,19
Write In,,,,,,0,19
Total,29,118,105,25,3,0,19
1,4,2,3,5,6,7,19
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,20
Mike Stack,48,0,0,0,0,0,20
Nina Ahmad,,14,0,0,0,0,20
Kathi Cozzone,,,0,13,0,0,20
John Fetterman,,,2,,0,0,20
Ray Sosa,,,,,0,0,20
Write In,,,,,,0,20
Total,48,14,2,13,0,0,20
1,2,3,5,4,6,7,20
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,21
Mike Stack,41,0,0,0,0,0,21
Kathi Cozzone,,0,0,17,0,0,21
Nina Ahmad,,9,0,,0,0,21
John Fetterman,,,5,,0,0,21
Ray Sosa,,,,,0,0,21
Write In,,,,,,0,21
Total,41,9,5,17,0,0,21
1,2,4,5,3,6,7,21
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,22
John Fetterman,0,0,56,0,0,0,22
Nina Ahmad,0,56,,0,0,0,22
Mike Stack,33,,,0,0,0,22
Kathi Cozzone,,,,27,0,0,22
Ray Sosa,,,,,2,0,22
Write In,,,,,,0,22
Total,33,56,56,27,2,0,22
1,4,3,2,5,6,7,22
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,23
John Fetterman,0,0,69,0,0,0,23
Nina Ahmad,0,61,,0,0,0,23
Mike Stack,33,,,0,0,0,23
Kathi Cozzone,,,,13,0,0,23
Ray Sosa,,,,,2,0,23
Write In,,,,,,0,23
Total,33,61,69,13,2,0,23
1,4,3,2,5,6,7,23
