col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
Laura Ellsworth,,,,,,,,0,10,10
Total,12,10,8,4,4,9,7,3,11,10
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,11
,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,Dan Tinney,Joseph Giedemann,Scott R Wagner,Paul Mango,Laura Ellsworth,2,11
Camille G Mccolgan,0,14,10,10,9,9,7,6,3,11
Margaret L Recupido,,0,9,9,6,8,5,5,4,11
Linwood Holland,,,0,5,2,8,5,3,5,11
Dan Tinney,,,,0,9,7,5,3,6,11
Joseph Giedemann,,,,,0,4,3,3,7,11
Scott R Wagner,,,,,,6,0,0,8,11
Paul Mango,,,,,,,1,0,9,11
Laura Ellsworth,,,,,,,,0,10,11
Total,22,18,16,15,10,20,13,7,11,11
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,12
,Laura Ellsworth,Scott R Wagner,Paul Mango,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,2,12
Laura Ellsworth,5,0,0,0,0,0,0,0,3,12
Scott R Wagner,,4,0,0,0,0,0,0,4,12
Paul Mango,,,3,0,0,0,0,0,5,12
Camille G Mccolgan,,,,0,0,0,0,0,6,12
Dan Tinney,,,,,0,0,0,0,7,12
Joseph Giedemann,,,,,,0,0,0,8,12
Linwood Holland,,,,,,,0,0,9,12
Margaret L Recupido,,,,,,,,0,10,12
Total,5,4,3,0,0,0,0,0,11,12
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,13
,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Linwood Holland,Joseph Giedemann,Paul Mango,Scott R Wagner,Laura Ellsworth,2,13
Camille G Mccolgan,1,9,5,7,3,5,6,3,3,13
Margaret L Recupido,,1,5,8,3,2,6,3,4,13
Dan Tinney,,,1,4,4,2,3,4,5,13
Linwood Holland,,,,0,2,2,7,1,6,13
Joseph Giedemann,,,,,0,0,3,2,7,13
Paul Mango,,,,,,3,0,0,8,13
Scott R Wagner,,,,,,,2,0,9,13
Laura Ellsworth,,,,,,,,2,10,13
Total,15,12,10,10,5,11,10,6,11,13
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,14
,Paul Mango,Laura Ellsworth,Scott R Wagner,Margaret L Recupido,Dan Tinney,Camille G Mccolgan,Linwood Holland,Joseph Giedemann,2,14
Paul Mango,3,0,0,6,7,2,5,5,3,14
Laura Ellsworth,,1,0,4,2,4,1,1,4,14
Scott R Wagner,,,1,1,1,1,1,0,5,14
Margaret L Recupido,,,,0,8,5,6,5,6,14
Dan Tinney,,,,,0,5,5,6,7,14
Camille G Mccolgan,,,,,,0,2,3,8,14
Linwood Holland,,,,,,,0,3,9,14
Joseph Giedemann,,,,,,,,0,10,14
Total,12,6,2,11,10,7,7,6,11,14
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,15
,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Scott R Wagner,Paul Mango,Laura Ellsworth,2,15
Margaret L Recupido,0,13,12,5,2,9,5,3,3,15
Camille G Mccolgan,,0,11,5,2,9,6,0,4,15
Linwood Holland,,,0,4,1,9,5,0,5,15
Dan Tinney,,,,0,1,2,3,0,6,15
Joseph Giedemann,,,,,0,2,0,0,7,15
Scott R Wagner,,,,,,5,0,0,8,15
Paul Mango,,,,,,,4,0,9,15
Laura Ellsworth,,,,,,,,0,10,15
Total,17,15,14,5,2,17,10,3,11,15
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,16
,Dan Tinney,Margaret L Recupido,Joseph Giedemann,Camille G Mccolgan,Linwood Holland,Paul Mango,Scott R Wagner,Laura Ellsworth,2,16
Dan Tinney,0,8,10,7,4,8,6,2,3,16
Margaret L Recupido,,0,8,9,5,8,5,2,4,16
Joseph Giedemann,,,0,7,3,8,5,0,5,16
Camille G Mccolgan,,,,0,4,6,4,2,6,16
Linwood Holland,,,,,0,6,3,1,7,16
Paul Mango,,,,,,3,0,0,8,16
Scott R Wagner,,,,,,,3,0,9,16
Laura Ellsworth,,,,,,,,0,10,16
Total,16,15,13,12,10,16,14,4,11,16
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,17
,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Paul Mango,Scott R Wagner,Laura Ellsworth,2,17
Margaret L Recupido,0,10,6,6,6,6,4,2,3,17
Camille G Mccolgan,,0,5,6,5,4,5,2,4,17
Linwood Holland,,,0,2,2,4,4,3,5,17
Dan Tinney,,,,0,5,3,4,1,6,17
Joseph Giedemann,,,,,0,3,2,1,7,17
Paul Mango,,,,,,1,0,0,8,17
Scott R Wagner,,,,,,,0,0,9,17
Laura Ellsworth,,,,,,,,0,10,17
Total,12,11,11,8,6,9,7,4,11,17
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,18
,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,Joseph Giedemann,Dan Tinney,Scott R Wagner,Paul Mango,Laura Ellsworth,2,18
Camille G Mccolgan,0,15,13,8,5,6,9,6,3,18
Margaret L Recupido,,0,12,7,5,9,6,4,4,18
Linwood Holland,,,0,5,4,6,8,4,5,18
Joseph Giedemann,,,,0,6,3,5,3,6,18
Dan Tinney,,,,,0,4,4,2,7,18
Scott R Wagner,,,,,,4,0,0,8,18
Paul Mango,,,,,,,1,0,9,18
Laura Ellsworth,,,,,,,,0,10,18
Total,21,19,18,11,10,19,12,7,11,18
