To Remove,Governor Republican,To Remove 2,To Remove 3,To Remove 4,Lieutenant,To Remove 5,To Remove 6,To Remove 7,To Remove 8,division
,Governor Republican,,,,Lieutenant,,,,,All
,Scott R Wagner,Laura Ellsworth,Paul Mango,Write In,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,Write In,All
Scott R Wagner,2,0,0,1,2,0,0,0,0,26
Laura Ellsworth,,2,0,0,0,0,0,0,0,26
Paul Mango,,,1,0,0,0,0,0,0,26
Jeff Bartos,,,,0,1,0,0,0,0,26
Diana Irey Vaughan,,,,1,,0,0,0,0,26
Kathy Coder,,,,,,1,0,0,0,26
Peg Luksik,,,,,,,1,0,0,26
Write In,,,,,,,,1,0,26
Total,7,5,2,4,6,2,1,1,0,26
,Scott R Wagner,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jeff Bartos,Write In,Laura Ellsworth,Paul Mango,0,27
Jeff Bartos,7,0,0,0,2,0,1,0,0,27
Diana Irey Vaughan,0,1,0,0,,0,0,0,0,27
Kathy Coder,0,,1,0,,0,0,0,0,27
Peg Luksik,0,,,1,,0,0,0,0,27
Write In,0,,,,,1,0,0,0,27
Scott R Wagner,1,,,,,,0,0,0,27
Laura Ellsworth,,,,,,,1,0,0,27
Paul Mango,,,,,,,,1,0,27
Total,11,3,2,1,13,1,4,2,0,27
,Scott R Wagner,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jeff Bartos,Write In,Paul Mango,Laura Ellsworth,0,28
Jeff Bartos,1,0,0,0,1,0,0,0,0,28
Diana Irey Vaughan,0,1,0,0,,0,0,0,0,28
Kathy Coder,0,,1,0,,0,0,0,0,28
Peg Luksik,0,,,1,,0,0,0,0,28
Write In,0,,,,,1,0,0,0,28
Scott R Wagner,1,,,,,,0,0,0,28
Paul Mango,,,,,,,2,0,0,28
Laura Ellsworth,,,,,,,,1,0,28
Total,3,1,1,1,3,1,2,1,0,28
,Laura Ellsworth,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jeff Bartos,Write In,Paul Mango,Scott R Wagner,0,29
Jeff Bartos,0,0,0,0,1,0,1,0,0,29
Diana Irey Vaughan,0,1,0,0,,0,0,0,0,29
Kathy Coder,0,,1,0,,0,0,0,0,29
Peg Luksik,0,,,1,,0,0,0,0,29
Write In,0,,,,,1,0,0,0,29
Laura Ellsworth,3,,,,,,0,0,0,29
Paul Mango,,,,,,,1,0,0,29
Scott R Wagner,,,,,,,,1,0,29
Total,4,1,1,1,4,1,3,1,0,29
,Laura Ellsworth,Scott R Wagner,Paul Mango,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Write In,0,30
Laura Ellsworth,1,0,0,1,0,0,0,0,0,30
Scott R Wagner,,2,0,0,0,0,0,0,0,30
Paul Mango,,,1,0,0,0,0,0,0,30
Diana Irey Vaughan,,,,0,1,0,0,0,0,30
Jeff Bartos,,,,1,,0,0,0,0,30
Kathy Coder,,,,,,1,0,0,0,30
Peg Luksik,,,,,,,1,0,0,30
Write In,,,,,,,,1,0,30
Total,5,3,2,3,3,3,1,1,0,30
,Scott R Wagner,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Kathy Coder,Write In,Laura Ellsworth,Paul Mango,0,31
Kathy Coder,0,0,0,0,1,0,0,0,0,31
Diana Irey Vaughan,0,1,0,0,,0,0,0,0,31
Jeff Bartos,0,,1,0,,0,0,0,0,31
Peg Luksik,0,,,1,,0,0,0,0,31
Write In,0,,,,,1,0,0,0,31
Scott R Wagner,1,,,,,,0,0,0,31
Laura Ellsworth,,,,,,,1,0,0,31
Paul Mango,,,,,,,,1,0,31
Total,2,1,1,1,2,1,1,1,0,31
