To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,To Remove 6,division
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,To Remove 6,All
,Lou Barletta,Jim Christiana,Write In,Scott R Wagner,Paul Mango,Laura Ellsworth,Write In,All
Scott R Wagner,,,,1,0,0,0,17
Laura Ellsworth,,,,,2,0,0,17
Paul Mango,,,,,,1,0,17
Total,4,4,1,4,3,3,0,17
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,18
,Lou Barletta,Jim Christiana,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,0,18
Lou Barletta,1,0,0,3,2,0,0,18
Jim Christiana,,1,0,0,0,0,0,18
Write In,,,1,0,0,0,0,18
Scott R Wagner,,,,1,0,0,0,18
Laura Ellsworth,,,,,1,0,0,18
Paul Mango,,,,,,1,0,18
Total,9,1,1,5,4,2,0,18
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,19
,Jim Christiana,Lou Barletta,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,0,19
Jim Christiana,1,0,0,3,1,0,0,19
Lou Barletta,,1,0,0,0,0,0,19
Write In,,,1,0,0,0,0,19
Scott R Wagner,,,,1,0,0,0,19
Laura Ellsworth,,,,,1,0,0,19
Paul Mango,,,,,,2,0,19
Total,7,1,1,5,3,2,0,19
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,20
,Lou Barletta,Jim Christiana,Write In,Scott R Wagner,Paul Mango,Laura Ellsworth,0,20
Lou Barletta,1,0,0,5,3,2,0,20
Jim Christiana,,1,0,4,0,0,0,20
Write In,,,1,0,0,0,0,20
Scott R Wagner,,,,1,0,0,0,20
Paul Mango,,,,,2,0,0,20
Laura Ellsworth,,,,,,1,0,20
Total,14,7,1,12,7,4,0,20
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,21
,Lou Barletta,Jim Christiana,Write In,Paul Mango,Scott R Wagner,Laura Ellsworth,0,21
Lou Barletta,1,0,0,11,12,1,0,21
Jim Christiana,,1,0,5,3,0,0,21
Write In,,,1,0,0,0,0,21
Paul Mango,,,,3,0,0,0,21
Scott R Wagner,,,,,2,0,0,21
Laura Ellsworth,,,,,,3,0,21
Total,28,12,1,21,19,6,0,21
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,22
,Lou Barletta,Paul Mango,Laura Ellsworth,Scott R Wagner,Jim Christiana,Write In,0,22
Scott R Wagner,1,0,0,2,0,0,0,22
Paul Mango,0,1,0,,0,0,0,22
Laura Ellsworth,0,,1,,0,0,0,22
Lou Barletta,1,,,,0,0,0,22
Jim Christiana,,,,,1,0,0,22
Write In,,,,,,1,0,22
Total,4,3,1,5,3,1,0,22
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,23
,Lou Barletta,Paul Mango,Laura Ellsworth,Scott R Wagner,Jim Christiana,Write In,0,23
Scott R Wagner,5,0,0,1,1,0,0,23
Paul Mango,0,1,0,,0,0,0,23
Laura Ellsworth,0,,1,,0,0,0,23
Lou Barletta,1,,,,0,0,0,23
Jim Christiana,,,,,1,0,0,23
Write In,,,,,,1,0,23
Total,8,3,1,9,4,1,0,23
