col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Barbara Carroll,Sharon Vaughn,Jaime Bouldin,Humberto Perez,David Rodriguez,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,2,9
Barbara Carroll,2,8,6,5,5,6,5,5,5,3,9
Sharon Vaughn,,1,6,5,5,6,5,5,5,4,9
Jaime Bouldin,,,2,5,5,6,5,5,5,5,9
Humberto Perez,,,,2,5,5,5,5,5,6,9
David Rodriguez,,,,,1,5,5,5,5,7,9
Latrice Y Bryant,,,,,,0,5,5,5,8,9
Dustin Morris,,,,,,,0,5,5,9,9
Jonathan M Gary,,,,,,,,0,5,10,9
Robert Taylor,,,,,,,,,0,11,9
Total,10,9,8,7,6,6,5,5,5,12,9
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,10
,David Rodriguez,Barbara Carroll,Humberto Perez,Jaime Bouldin,Robert Taylor,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Sharon Vaughn,2,10
David Rodriguez,5,9,11,10,8,10,8,8,8,3,10
Barbara Carroll,,6,9,9,10,11,8,9,10,4,10
Humberto Perez,,,1,11,14,12,9,8,9,5,10
Jaime Bouldin,,,,6,8,8,8,8,8,6,10
Robert Taylor,,,,,1,13,9,9,10,7,10
Latrice Y Bryant,,,,,,0,10,9,10,8,10
Dustin Morris,,,,,,,0,8,8,9,10
Jonathan M Gary,,,,,,,,0,9,10,10
Sharon Vaughn,,,,,,,,,0,11,10
Total,19,18,18,18,16,15,10,10,10,12,10
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,11
,Barbara Carroll,Humberto Perez,David Rodriguez,Sharon Vaughn,Dustin Morris,Jaime Bouldin,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,2,11
Barbara Carroll,1,10,9,10,9,8,9,7,7,3,11
Humberto Perez,,0,10,10,9,9,9,7,7,4,11
David Rodriguez,,,0,9,8,9,8,7,7,5,11
Sharon Vaughn,,,,0,9,8,9,7,7,6,11
Dustin Morris,,,,,0,8,9,7,7,7,11
Jaime Bouldin,,,,,,0,8,7,7,8,11
Latrice Y Bryant,,,,,,,0,7,7,9,11
Jonathan M Gary,,,,,,,,0,7,10,11
Robert Taylor,,,,,,,,,0,11,11
Total,11,11,10,10,9,9,9,7,7,12,11
