col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,14
,Tom Wolf,John Dellricci,James G Donnelly Sr,Kathy Enggasser,Patrick Parkinson,Mary Ann Quartullo,2,14
Tom Wolf,9,15,13,13,12,11,3,14
John Dellricci,,0,12,10,12,10,4,14
James G Donnelly Sr,,,1,10,11,10,5,14
Kathy Enggasser,,,,0,11,12,6,14
Patrick Parkinson,,,,,0,10,7,14
Mary Ann Quartullo,,,,,,0,8,14
Total,30,16,15,14,13,12,9,14
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,15
,Tom Wolf,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,15
Tom Wolf,3,15,14,12,12,11,3,15
James G Donnelly Sr,,0,11,11,12,11,4,15
John Dellricci,,,0,10,11,11,5,15
Kathy Enggasser,,,,2,11,10,6,15
Mary Ann Quartullo,,,,,0,11,7,15
Patrick Parkinson,,,,,,0,8,15
Total,22,15,14,14,12,11,9,15
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,16
,Tom Wolf,Kathy Enggasser,Mary Ann Quartullo,John Dellricci,James G Donnelly Sr,Patrick Parkinson,2,16
Tom Wolf,4,16,15,14,13,11,3,16
Kathy Enggasser,,1,15,15,15,12,4,16
Mary Ann Quartullo,,,0,14,15,12,5,16
John Dellricci,,,,1,15,12,6,16
James G Donnelly Sr,,,,,0,12,7,16
Patrick Parkinson,,,,,,0,8,16
Total,24,19,18,17,16,13,9,16
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,17
,Tom Wolf,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,17
Tom Wolf,3,22,22,21,18,18,3,17
James G Donnelly Sr,,0,18,19,17,18,4,17
John Dellricci,,,0,18,17,17,5,17
Kathy Enggasser,,,,0,18,17,6,17
Mary Ann Quartullo,,,,,0,17,7,17
Patrick Parkinson,,,,,,0,8,17
Total,31,22,22,21,18,18,9,17
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,18
,Tom Wolf,Mary Ann Quartullo,John Dellricci,Kathy Enggasser,James G Donnelly Sr,Patrick Parkinson,2,18
Tom Wolf,9,27,25,25,23,21,3,18
Mary Ann Quartullo,,1,22,25,22,21,4,18
John Dellricci,,,1,22,23,22,5,18
Kathy Enggasser,,,,0,22,21,6,18
James G Donnelly Sr,,,,,0,21,7,18
Patrick Parkinson,,,,,,0,8,18
Total,42,29,27,26,24,22,9,18
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,19
,Tom Wolf,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Kathy Enggasser,Patrick Parkinson,2,19
Tom Wolf,6,29,28,28,27,21,3,19
James G Donnelly Sr,,2,26,27,27,24,4,19
John Dellricci,,,2,25,26,24,5,19
Mary Ann Quartullo,,,,1,28,25,6,19
Kathy Enggasser,,,,,0,25,7,19
Patrick Parkinson,,,,,,0,8,19
Total,48,35,34,33,31,25,9,19
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,20
,Tom Wolf,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,20
Tom Wolf,7,22,20,19,18,19,3,20
Kathy Enggasser,,1,19,18,20,18,4,20
James G Donnelly Sr,,,0,18,19,19,5,20
John Dellricci,,,,0,18,18,6,20
Mary Ann Quartullo,,,,,0,18,7,20
Patrick Parkinson,,,,,,0,8,20
Total,35,25,22,20,20,20,9,20
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,21
,Tom Wolf,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Patrick Parkinson,Mary Ann Quartullo,2,21
Tom Wolf,4,26,22,21,19,19,3,21
James G Donnelly Sr,,0,19,19,20,19,4,21
John Dellricci,,,0,18,19,18,5,21
Kathy Enggasser,,,,0,19,18,6,21
Patrick Parkinson,,,,,0,18,7,21
Mary Ann Quartullo,,,,,,0,8,21
Total,36,27,22,22,20,19,9,21
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,22
,Tom Wolf,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,James G Donnelly Sr,2,22
Tom Wolf,15,27,28,25,21,21,3,22
John Dellricci,,3,17,19,17,17,4,22
Kathy Enggasser,,,1,18,16,16,5,22
Mary Ann Quartullo,,,,1,16,17,6,22
Patrick Parkinson,,,,,1,17,7,22
James G Donnelly Sr,,,,,,0,8,22
Total,66,32,29,27,23,21,9,22
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,23
,Tom Wolf,James G Donnelly Sr,Mary Ann Quartullo,John Dellricci,Kathy Enggasser,Patrick Parkinson,2,23
Tom Wolf,8,22,24,23,22,21,3,23
James G Donnelly Sr,,1,23,24,23,23,4,23
Mary Ann Quartullo,,,0,23,24,22,5,23
John Dellricci,,,,0,23,22,6,23
Kathy Enggasser,,,,,0,22,7,23
Patrick Parkinson,,,,,,0,8,23
Total,39,27,27,26,25,25,9,23
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,24
,Tom Wolf,Kathy Enggasser,John Dellricci,James G Donnelly Sr,Patrick Parkinson,Mary Ann Quartullo,2,24
Tom Wolf,5,25,24,24,24,21,3,24
Kathy Enggasser,,0,22,21,20,22,4,24
John Dellricci,,,0,22,21,21,5,24
James G Donnelly Sr,,,,0,21,20,6,24
Patrick Parkinson,,,,,0,20,7,24
Mary Ann Quartullo,,,,,,0,8,24
Total,38,26,25,24,24,22,9,24
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,25
,Tom Wolf,Kathy Enggasser,John Dellricci,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,2,25
Tom Wolf,9,35,32,29,30,29,3,25
Kathy Enggasser,,1,26,25,28,26,4,25
John Dellricci,,,0,24,27,25,5,25
James G Donnelly Sr,,,,2,25,25,6,25
Mary Ann Quartullo,,,,,0,26,7,25
Patrick Parkinson,,,,,,0,8,25
Total,55,36,32,31,30,29,9,25
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,26
,Tom Wolf,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,2,26
Tom Wolf,8,11,12,8,7,7,3,26
Kathy Enggasser,,1,10,13,11,11,4,26
John Dellricci,,,0,10,10,10,5,26
Mary Ann Quartullo,,,,0,11,11,6,26
James G Donnelly Sr,,,,,1,11,7,26
Patrick Parkinson,,,,,,0,8,26
Total,24,17,15,13,12,11,9,26
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,27
,Tom Wolf,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Patrick Parkinson,Mary Ann Quartullo,2,27
Tom Wolf,10,16,15,14,15,14,3,27
Kathy Enggasser,,1,13,12,13,12,4,27
James G Donnelly Sr,,,1,12,14,11,5,27
John Dellricci,,,,2,12,11,6,27
Patrick Parkinson,,,,,0,11,7,27
Mary Ann Quartullo,,,,,,0,8,27
Total,33,17,16,16,15,14,9,27
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,28
,Tom Wolf,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,28
Tom Wolf,8,22,21,18,18,15,3,28
Kathy Enggasser,,0,15,16,17,14,4,28
James G Donnelly Sr,,,0,16,13,15,5,28
John Dellricci,,,,0,14,15,6,28
Mary Ann Quartullo,,,,,0,13,7,28
Patrick Parkinson,,,,,,0,8,28
Total,38,22,21,18,18,15,9,28
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,29
,Tom Wolf,John Dellricci,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,2,29
Tom Wolf,13,26,26,24,23,22,3,29
John Dellricci,,1,19,20,20,19,4,29
Kathy Enggasser,,,0,20,21,20,5,29
James G Donnelly Sr,,,,0,19,19,6,29
Mary Ann Quartullo,,,,,0,20,7,29
Patrick Parkinson,,,,,,1,8,29
Total,55,28,27,25,24,24,9,29
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,30
,Tom Wolf,Mary Ann Quartullo,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Patrick Parkinson,2,30
Tom Wolf,7,35,32,33,28,28,3,30
Mary Ann Quartullo,,1,28,31,28,26,4,30
James G Donnelly Sr,,,1,26,28,29,5,30
Kathy Enggasser,,,,0,26,26,6,30
John Dellricci,,,,,0,26,7,30
Patrick Parkinson,,,,,,0,8,30
Total,51,37,34,34,29,29,9,30
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,31
,Tom Wolf,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,31
Tom Wolf,8,26,24,25,22,20,3,31
James G Donnelly Sr,,1,20,21,19,20,4,31
Kathy Enggasser,,,1,21,19,18,5,31
Mary Ann Quartullo,,,,0,21,18,6,31
John Dellricci,,,,,0,18,7,31
Patrick Parkinson,,,,,,1,8,31
Total,44,28,26,26,23,22,9,31
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,32
,Tom Wolf,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Patrick Parkinson,Mary Ann Quartullo,2,32
Tom Wolf,5,10,10,8,7,7,3,32
James G Donnelly Sr,,0,7,7,7,7,4,32
Kathy Enggasser,,,0,7,7,7,5,32
John Dellricci,,,,1,7,7,6,32
Patrick Parkinson,,,,,1,7,7,32
Mary Ann Quartullo,,,,,,0,8,32
Total,19,10,10,9,8,7,9,32
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,33
,Tom Wolf,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,33
Tom Wolf,5,21,20,20,19,17,3,33
James G Donnelly Sr,,1,18,18,17,17,4,33
Kathy Enggasser,,,1,18,18,17,5,33
John Dellricci,,,,0,18,18,6,33
Mary Ann Quartullo,,,,,0,17,7,33
Patrick Parkinson,,,,,,0,8,33
Total,33,23,23,22,20,18,9,33
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,34
,Tom Wolf,Mary Ann Quartullo,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Patrick Parkinson,2,34
Tom Wolf,10,31,28,26,25,23,3,34
Mary Ann Quartullo,,1,24,26,24,24,4,34
James G Donnelly Sr,,,0,23,23,23,5,34
Kathy Enggasser,,,,1,23,24,6,34
John Dellricci,,,,,1,23,7,34
Patrick Parkinson,,,,,,0,8,34
Total,49,33,29,28,27,24,9,34
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,35
,Tom Wolf,Mary Ann Quartullo,Kathy Enggasser,John Dellricci,James G Donnelly Sr,Patrick Parkinson,2,35
Tom Wolf,4,16,13,13,12,10,3,35
Mary Ann Quartullo,,0,13,12,11,10,4,35
Kathy Enggasser,,,2,12,10,10,5,35
John Dellricci,,,,0,11,11,6,35
James G Donnelly Sr,,,,,0,12,7,35
Patrick Parkinson,,,,,,0,8,35
Total,26,18,17,15,14,12,9,35
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,36
,Tom Wolf,Mary Ann Quartullo,John Dellricci,James G Donnelly Sr,Patrick Parkinson,Kathy Enggasser,2,36
Tom Wolf,6,31,31,30,26,21,3,36
Mary Ann Quartullo,,1,24,24,24,19,4,36
John Dellricci,,,0,26,25,19,5,36
James G Donnelly Sr,,,,0,25,19,6,36
Patrick Parkinson,,,,,0,19,7,36
Kathy Enggasser,,,,,,0,8,36
Total,50,32,31,30,26,21,9,36
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,37
,Tom Wolf,Mary Ann Quartullo,John Dellricci,James G Donnelly Sr,Kathy Enggasser,Patrick Parkinson,2,37
Tom Wolf,6,19,16,18,17,16,3,37
Mary Ann Quartullo,,1,13,13,14,14,4,37
John Dellricci,,,3,12,12,12,5,37
James G Donnelly Sr,,,,0,10,14,6,37
Kathy Enggasser,,,,,0,11,7,37
Patrick Parkinson,,,,,,0,8,37
Total,38,21,20,18,18,16,9,37
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,38
,Tom Wolf,Kathy Enggasser,Patrick Parkinson,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,2,38
Tom Wolf,14,27,23,20,20,20,3,38
Kathy Enggasser,,1,18,15,17,16,4,38
Patrick Parkinson,,,0,17,17,14,5,38
James G Donnelly Sr,,,,2,17,13,6,38
John Dellricci,,,,,0,16,7,38
Mary Ann Quartullo,,,,,,0,8,38
Total,53,28,24,23,21,20,9,38
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,39
,Tom Wolf,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,39
Tom Wolf,4,14,15,13,13,12,3,39
James G Donnelly Sr,,0,11,12,12,11,4,39
Kathy Enggasser,,,0,12,13,11,5,39
John Dellricci,,,,1,12,11,6,39
Mary Ann Quartullo,,,,,0,11,7,39
Patrick Parkinson,,,,,,0,8,39
Total,23,15,15,14,14,12,9,39
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,40
,Tom Wolf,John Dellricci,James G Donnelly Sr,Patrick Parkinson,Kathy Enggasser,Mary Ann Quartullo,2,40
Tom Wolf,4,15,13,13,12,11,3,40
John Dellricci,,0,13,12,12,12,4,40
James G Donnelly Sr,,,1,13,13,13,5,40
Patrick Parkinson,,,,0,13,13,6,40
Kathy Enggasser,,,,,0,13,7,40
Mary Ann Quartullo,,,,,,0,8,40
Total,24,17,16,15,14,13,9,40
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,41
,Tom Wolf,Kathy Enggasser,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,John Dellricci,2,41
Tom Wolf,10,49,48,47,42,39,3,41
Kathy Enggasser,,0,46,44,42,40,4,41
Mary Ann Quartullo,,,2,44,43,40,5,41
James G Donnelly Sr,,,,0,41,38,6,41
Patrick Parkinson,,,,,0,40,7,41
John Dellricci,,,,,,1,8,41
Total,65,51,51,48,43,41,9,41
