col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
Dan Tinney,,,,0,5,1,2,5,0,6,6
Joseph Giedemann,,,,,0,3,1,5,0,7,6
Kathy Coder,,,,,,1,0,0,0,8,6
Diana Irey Vaughan,,,,,,,2,0,0,9,6
Jeff Bartos,,,,,,,,0,0,10,6
Peg Luksik,,,,,,,,,1,11,6
Total,25,21,20,9,9,22,11,8,1,12,6
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,7
,Camille G Mccolgan,Linwood Holland,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,7
Camille G Mccolgan,0,7,7,7,5,6,3,1,0,3,7
Linwood Holland,,1,5,5,3,5,2,2,0,4,7
Joseph Giedemann,,,0,5,5,5,3,0,0,5,7
Margaret L Recupido,,,,0,3,3,3,1,0,6,7
Dan Tinney,,,,,0,4,2,0,0,7,7
Jeff Bartos,,,,,,0,0,0,0,8,7
Diana Irey Vaughan,,,,,,,1,0,0,9,7
Kathy Coder,,,,,,,,0,0,10,7
Peg Luksik,,,,,,,,,0,11,7
Total,10,10,8,7,6,7,5,2,0,12,7
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,8
,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Joseph Giedemann,Dan Tinney,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Jeff Bartos,2,8
Margaret L Recupido,0,15,15,10,8,12,7,2,1,3,8
Camille G Mccolgan,,0,13,9,6,10,7,0,1,4,8
Linwood Holland,,,1,10,7,12,3,2,0,5,8
Joseph Giedemann,,,,0,5,6,3,2,0,6,8
Dan Tinney,,,,,0,5,3,3,0,7,8
Diana Irey Vaughan,,,,,,5,0,0,0,8,8
Kathy Coder,,,,,,,0,0,0,9,8
Peg Luksik,,,,,,,,2,0,10,8
Jeff Bartos,,,,,,,,,0,11,8
Total,23,19,19,12,11,18,12,5,2,12,8
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,9
,Camille G Mccolgan,Dan Tinney,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,9
Camille G Mccolgan,0,8,5,6,4,3,4,3,3,3,9
Dan Tinney,,0,4,5,5,5,3,1,3,4,9
Linwood Holland,,,0,4,4,3,3,2,1,5,9
Margaret L Recupido,,,,0,3,2,2,2,2,6,9
Joseph Giedemann,,,,,0,2,1,1,2,7,9
Jeff Bartos,,,,,,2,0,0,0,8,9
Diana Irey Vaughan,,,,,,,0,0,0,9,9
Kathy Coder,,,,,,,,0,0,10,9
Peg Luksik,,,,,,,,,0,11,9
Total,13,12,10,9,7,9,7,5,3,12,9
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,10
,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,10
Linwood Holland,0,6,6,2,1,5,1,3,0,3,10
Camille G Mccolgan,,0,6,2,2,6,2,1,0,4,10
Margaret L Recupido,,,0,3,2,3,3,2,0,5,10
Dan Tinney,,,,0,3,0,1,4,0,6,10
Joseph Giedemann,,,,,0,0,2,2,0,7,10
Kathy Coder,,,,,,0,0,0,0,8,10
Diana Irey Vaughan,,,,,,,2,0,0,9,10
Jeff Bartos,,,,,,,,1,0,10,10
Peg Luksik,,,,,,,,,1,11,10
Total,12,11,11,5,4,9,6,6,1,12,10
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,11
,Camille G Mccolgan,Linwood Holland,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,11
Camille G Mccolgan,0,8,7,5,4,6,2,3,0,3,11
Linwood Holland,,0,5,4,3,5,3,2,0,4,11
Joseph Giedemann,,,1,2,4,5,2,0,0,5,11
Margaret L Recupido,,,,0,1,3,1,2,0,6,11
Dan Tinney,,,,,0,2,2,0,0,7,11
Diana Irey Vaughan,,,,,,0,0,0,0,8,11
Jeff Bartos,,,,,,,0,0,0,9,11
Kathy Coder,,,,,,,,1,0,10,11
Peg Luksik,,,,,,,,,1,11,11
Total,11,10,8,6,4,7,4,4,1,12,11
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,12
,Camille G Mccolgan,Linwood Holland,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,12
Camille G Mccolgan,0,4,2,4,1,4,2,1,0,3,12
Linwood Holland,,0,2,3,0,3,1,2,0,4,12
Joseph Giedemann,,,0,2,2,1,3,0,0,5,12
Margaret L Recupido,,,,0,0,3,1,0,0,6,12
Dan Tinney,,,,,0,0,3,0,0,7,12
Diana Irey Vaughan,,,,,,1,0,0,0,8,12
Jeff Bartos,,,,,,,0,0,0,9,12
Kathy Coder,,,,,,,,0,0,10,12
Peg Luksik,,,,,,,,,0,11,12
Total,7,6,4,4,3,5,4,3,0,12,12
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,13
,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,Dan Tinney,Joseph Giedemann,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,13
Camille G Mccolgan,0,3,2,0,0,3,0,0,0,3,13
Margaret L Recupido,,0,2,0,0,3,0,0,0,4,13
Linwood Holland,,,0,0,0,2,0,0,0,5,13
Dan Tinney,,,,0,0,0,0,0,0,6,13
Joseph Giedemann,,,,,0,0,0,0,0,7,13
Kathy Coder,,,,,,0,0,0,0,8,13
Diana Irey Vaughan,,,,,,,0,0,0,9,13
Jeff Bartos,,,,,,,,0,0,10,13
Peg Luksik,,,,,,,,,0,11,13
Total,3,3,2,0,0,3,0,0,0,12,13
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,14
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,14
Camille G Mccolgan,1,2,2,3,2,2,1,2,0,3,14
Dan Tinney,,0,3,1,1,4,0,0,0,4,14
Joseph Giedemann,,,0,1,1,3,0,0,0,5,14
Linwood Holland,,,,0,2,1,1,1,0,6,14
Margaret L Recupido,,,,,0,1,1,1,0,7,14
Jeff Bartos,,,,,,0,0,0,0,8,14
Diana Irey Vaughan,,,,,,,1,0,0,9,14
Kathy Coder,,,,,,,,0,0,10,14
Peg Luksik,,,,,,,,,0,11,14
Total,6,4,3,3,3,4,2,2,0,12,14
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,15
,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,15
Margaret L Recupido,1,6,6,0,0,4,3,2,0,3,15
Camille G Mccolgan,,0,7,2,1,6,2,0,0,4,15
Linwood Holland,,,1,1,1,5,2,0,0,5,15
Dan Tinney,,,,0,2,3,0,1,0,6,15
Joseph Giedemann,,,,,0,1,0,1,0,7,15
Kathy Coder,,,,,,1,0,0,0,8,15
Diana Irey Vaughan,,,,,,,1,0,0,9,15
Jeff Bartos,,,,,,,,1,0,10,15
Peg Luksik,,,,,,,,,0,11,15
Total,10,8,8,4,2,8,4,4,0,12,15
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,16
,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,16
Camille G Mccolgan,0,3,5,2,2,2,3,0,1,3,16
Linwood Holland,,0,3,2,0,4,1,1,0,4,16
Margaret L Recupido,,,0,2,1,2,3,0,0,5,16
Dan Tinney,,,,0,1,1,2,0,0,6,16
Joseph Giedemann,,,,,0,0,1,0,1,7,16
Kathy Coder,,,,,,1,0,0,0,8,16
Jeff Bartos,,,,,,,0,0,0,9,16
Diana Irey Vaughan,,,,,,,,0,0,10,16
Peg Luksik,,,,,,,,,0,11,16
Total,6,6,5,3,2,5,3,1,1,12,16
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,17
,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,17
Camille G Mccolgan,0,7,6,4,3,5,5,0,0,3,17
Linwood Holland,,0,5,3,4,3,5,0,0,4,17
Dan Tinney,,,0,4,1,3,3,0,0,5,17
Joseph Giedemann,,,,1,1,1,3,1,0,6,17
Margaret L Recupido,,,,,0,2,2,1,0,7,17
Diana Irey Vaughan,,,,,,1,0,0,0,8,17
Kathy Coder,,,,,,,0,0,0,9,17
Jeff Bartos,,,,,,,,0,0,10,17
Peg Luksik,,,,,,,,,0,11,17
Total,10,9,6,6,6,6,6,2,0,12,17
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,18
,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Linwood Holland,Dan Tinney,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,18
Camille G Mccolgan,0,4,3,4,2,3,3,0,0,3,18
Margaret L Recupido,,0,2,3,1,3,2,0,0,4,18
Joseph Giedemann,,,0,2,2,1,3,0,0,5,18
Linwood Holland,,,,0,1,2,2,0,0,6,18
Dan Tinney,,,,,0,0,2,1,0,7,18
Kathy Coder,,,,,,1,0,0,0,8,18
Jeff Bartos,,,,,,,0,0,0,9,18
Diana Irey Vaughan,,,,,,,,0,0,10,18
Peg Luksik,,,,,,,,,0,11,18
Total,6,5,4,4,3,6,3,1,0,12,18
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,19
,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,19
Margaret L Recupido,0,8,7,5,5,3,6,2,2,3,19
Camille G Mccolgan,,1,5,4,5,2,3,1,2,4,19
Linwood Holland,,,0,4,2,4,3,2,1,5,19
Dan Tinney,,,,1,4,3,1,2,2,6,19
Joseph Giedemann,,,,,0,1,1,3,1,7,19
Diana Irey Vaughan,,,,,,3,0,0,0,8,19
Kathy Coder,,,,,,,0,0,0,9,19
Jeff Bartos,,,,,,,,1,0,10,19
Peg Luksik,,,,,,,,,0,11,19
Total,13,10,10,9,7,8,6,5,2,12,19
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,20
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Linwood Holland,Margaret L Recupido,Dan Tinney,Camille G Mccolgan,Joseph Giedemann,2,20
Kathy Coder,0,0,0,0,4,4,2,2,1,3,20
Diana Irey Vaughan,,0,0,0,2,2,1,1,1,4,20
Jeff Bartos,,,0,0,0,0,1,0,0,5,20
Peg Luksik,,,,0,0,0,0,0,0,6,20
Linwood Holland,,,,,0,2,2,2,2,7,20
Margaret L Recupido,,,,,,0,1,2,1,8,20
Dan Tinney,,,,,,,0,1,2,9,20
Camille G Mccolgan,,,,,,,,0,1,10,20
Joseph Giedemann,,,,,,,,,0,11,20
Total,8,3,1,0,6,6,4,3,2,12,20
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,21
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,21
Camille G Mccolgan,0,4,3,3,1,2,1,0,0,3,21
Dan Tinney,,0,3,3,1,2,1,0,0,4,21
Joseph Giedemann,,,0,2,0,3,0,0,0,5,21
Linwood Holland,,,,0,2,2,1,0,0,6,21
Margaret L Recupido,,,,,0,0,2,0,0,7,21
Jeff Bartos,,,,,,0,0,0,0,8,21
Diana Irey Vaughan,,,,,,,0,0,0,9,21
Kathy Coder,,,,,,,,0,0,10,21
Peg Luksik,,,,,,,,,0,11,21
Total,4,4,4,4,3,3,2,0,0,12,21
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,22
,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,22
Linwood Holland,0,6,5,3,3,5,3,5,0,3,22
Margaret L Recupido,,0,8,6,4,5,5,1,0,4,22
Camille G Mccolgan,,,0,6,3,3,5,2,0,5,22
Joseph Giedemann,,,,0,4,1,6,0,0,6,22
Dan Tinney,,,,,0,0,5,1,0,7,22
Diana Irey Vaughan,,,,,,1,0,0,0,8,22
Jeff Bartos,,,,,,,1,0,0,9,22
Kathy Coder,,,,,,,,1,0,10,22
Peg Luksik,,,,,,,,,0,11,22
Total,13,11,10,7,6,8,8,7,0,12,22
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,23
,Margaret L Recupido,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,23
Margaret L Recupido,0,6,6,4,3,2,5,2,0,3,23
Linwood Holland,,0,6,3,2,4,3,1,0,4,23
Camille G Mccolgan,,,0,3,2,3,4,0,0,5,23
Dan Tinney,,,,0,6,2,2,2,1,6,23
Joseph Giedemann,,,,,0,2,1,2,1,7,23
Diana Irey Vaughan,,,,,,1,0,0,0,8,23
Kathy Coder,,,,,,,0,0,0,9,23
Jeff Bartos,,,,,,,,1,0,10,23
Peg Luksik,,,,,,,,,0,11,23
Total,9,8,7,7,6,6,5,3,1,12,23
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,24
,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,24
Linwood Holland,0,8,8,3,2,5,4,1,1,3,24
Camille G Mccolgan,,1,7,2,3,4,3,1,1,4,24
Margaret L Recupido,,,0,2,1,2,3,1,1,5,24
Dan Tinney,,,,0,1,1,0,1,1,6,24
Joseph Giedemann,,,,,0,2,0,1,0,7,24
Kathy Coder,,,,,,0,0,0,0,8,24
Diana Irey Vaughan,,,,,,,0,0,0,9,24
Jeff Bartos,,,,,,,,0,0,10,24
Peg Luksik,,,,,,,,,0,11,24
Total,12,11,8,3,3,6,4,2,1,12,24
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,25
,Linwood Holland,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,25
Linwood Holland,0,3,2,1,1,2,2,0,0,3,25
Camille G Mccolgan,,0,3,2,2,2,0,1,0,4,25
Joseph Giedemann,,,0,2,2,1,0,1,0,5,25
Margaret L Recupido,,,,0,1,1,0,1,0,6,25
Dan Tinney,,,,,0,1,0,1,0,7,25
Kathy Coder,,,,,,0,0,0,0,8,25
Diana Irey Vaughan,,,,,,,0,0,0,9,25
Jeff Bartos,,,,,,,,0,0,10,25
Peg Luksik,,,,,,,,,0,11,25
Total,5,4,3,3,2,3,2,1,0,12,25
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,26
,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,26
Linwood Holland,0,5,5,3,0,4,3,1,0,3,26
Camille G Mccolgan,,0,6,4,1,3,4,0,0,4,26
Margaret L Recupido,,,0,5,1,2,4,1,0,5,26
Joseph Giedemann,,,,0,1,2,3,1,0,6,26
Dan Tinney,,,,,0,0,1,0,0,7,26
Kathy Coder,,,,,,1,0,0,0,8,26
Jeff Bartos,,,,,,,0,0,0,9,26
Diana Irey Vaughan,,,,,,,,1,0,10,26
Peg Luksik,,,,,,,,,0,11,26
Total,8,7,7,6,1,7,4,3,0,12,26
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,27
,Dan Tinney,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Kathy Coder,2,27
Dan Tinney,0,2,3,3,0,2,2,2,1,3,27
Margaret L Recupido,,0,2,2,0,1,1,2,1,4,27
Camille G Mccolgan,,,0,2,0,1,1,1,0,5,27
Joseph Giedemann,,,,0,0,0,2,1,0,6,27
Linwood Holland,,,,,0,0,0,0,0,7,27
Diana Irey Vaughan,,,,,,0,0,0,0,8,27
Jeff Bartos,,,,,,,1,0,0,9,27
Peg Luksik,,,,,,,,0,0,10,27
Kathy Coder,,,,,,,,,0,11,27
Total,7,5,3,3,0,3,3,3,2,12,27
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,28
,Dan Tinney,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Linwood Holland,Peg Luksik,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,2,28
Dan Tinney,0,1,1,2,1,1,0,1,0,3,28
Camille G Mccolgan,,0,1,1,1,1,0,0,0,4,28
Joseph Giedemann,,,0,1,0,1,0,1,0,5,28
Margaret L Recupido,,,,0,1,0,0,1,0,6,28
Linwood Holland,,,,,0,0,0,0,0,7,28
Peg Luksik,,,,,,0,0,0,0,8,28
Diana Irey Vaughan,,,,,,,1,0,0,9,28
Kathy Coder,,,,,,,,0,0,10,28
Jeff Bartos,,,,,,,,,0,11,28
Total,3,2,2,2,1,2,1,1,0,12,28
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,29
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,2,29
Kathy Coder,2,0,0,0,4,3,1,1,1,3,29
Diana Irey Vaughan,,3,0,0,0,0,0,0,0,4,29
Jeff Bartos,,,0,0,0,0,0,0,0,5,29
Peg Luksik,,,,0,0,0,0,0,0,6,29
Margaret L Recupido,,,,,0,2,1,1,0,7,29
Camille G Mccolgan,,,,,,0,1,1,0,8,29
Dan Tinney,,,,,,,1,1,0,9,29
Joseph Giedemann,,,,,,,,0,0,10,29
Linwood Holland,,,,,,,,,0,11,29
Total,8,3,0,0,4,3,2,1,1,12,29
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,30
,Camille G Mccolgan,Linwood Holland,Dan Tinney,Margaret L Recupido,Joseph Giedemann,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,30
Camille G Mccolgan,0,3,5,5,4,1,4,3,0,3,30
Linwood Holland,,0,2,2,1,3,2,2,0,4,30
Dan Tinney,,,0,4,4,0,2,3,0,5,30
Margaret L Recupido,,,,0,3,1,2,2,0,6,30
Joseph Giedemann,,,,,0,0,1,3,0,7,30
Diana Irey Vaughan,,,,,,4,0,0,0,8,30
Kathy Coder,,,,,,,1,0,0,9,30
Jeff Bartos,,,,,,,,1,0,10,30
Peg Luksik,,,,,,,,,0,11,30
Total,8,7,5,5,4,7,6,5,0,12,30
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,31
,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,31
Linwood Holland,0,4,4,2,2,4,2,1,0,3,31
Margaret L Recupido,,0,4,2,2,4,3,0,0,4,31
Camille G Mccolgan,,,0,1,2,4,1,0,0,5,31
Dan Tinney,,,,0,0,0,3,0,0,6,31
Joseph Giedemann,,,,,0,2,0,0,0,7,31
Kathy Coder,,,,,,0,0,0,0,8,31
Jeff Bartos,,,,,,,1,0,0,9,31
Diana Irey Vaughan,,,,,,,,1,0,10,31
Peg Luksik,,,,,,,,,0,11,31
Total,7,7,5,3,2,6,5,2,0,12,31
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,32
,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,32
Margaret L Recupido,1,11,7,5,5,9,2,1,1,3,32
Camille G Mccolgan,,0,8,5,4,9,1,1,1,4,32
Linwood Holland,,,1,2,1,7,3,1,0,5,32
Dan Tinney,,,,0,3,2,1,1,2,6,32
Joseph Giedemann,,,,,0,2,0,2,1,7,32
Kathy Coder,,,,,,0,0,0,0,8,32
Jeff Bartos,,,,,,,0,0,0,9,32
Diana Irey Vaughan,,,,,,,,0,0,10,32
Peg Luksik,,,,,,,,,0,11,32
Total,15,13,13,6,6,11,4,3,2,12,32
,Member Of The - Republican State Committee 13th Congressional District,,,,,Lieutenant Governor - Republican,,,,1,33
,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,Linwood Holland,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,33
Camille G Mccolgan,0,9,7,7,5,7,2,1,0,3,33
Margaret L Recupido,,0,7,7,5,6,2,1,0,4,33
Dan Tinney,,,0,7,4,5,1,2,0,5,33
Joseph Giedemann,,,,1,3,6,1,1,0,6,33
Linwood Holland,,,,,0,5,1,1,0,7,33
Kathy Coder,,,,,,1,0,0,0,8,33
Diana Irey Vaughan,,,,,,,1,0,0,9,33
Jeff Bartos,,,,,,,,0,0,10,33
Peg Luksik,,,,,,,,,0,11,33
Total,11,10,9,9,8,10,3,2,0,12,33
