col_1,col_2,col_3,col_4,order,division
Michele Lawrence,,1,0,4,11
Brendan F Boyle,,,1,5,11
Total,44,23,20,6,11
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,12
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,12
Tom Wolf,1,33,19,3,12
Brendan F Boyle,,3,0,4,12
Michele Lawrence,,,1,5,12
Total,53,36,20,6,12
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,13
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,13
Tom Wolf,8,22,11,3,13
Michele Lawrence,,0,0,4,13
Brendan F Boyle,,,0,5,13
Total,41,22,11,6,13
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,14
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,14
Tom Wolf,4,8,7,3,14
Michele Lawrence,,1,0,4,14
Brendan F Boyle,,,0,5,14
Total,19,9,7,6,14
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,15
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,15
Tom Wolf,0,5,4,3,15
Michele Lawrence,,1,0,4,15
Brendan F Boyle,,,0,5,15
Total,9,6,4,6,15
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,16
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,16
Tom Wolf,3,6,6,3,16
Michele Lawrence,,2,0,4,16
Brendan F Boyle,,,0,5,16
Total,15,8,6,6,16
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,17
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,17
Tom Wolf,1,7,2,3,17
Michele Lawrence,,0,0,4,17
Brendan F Boyle,,,2,5,17
Total,10,7,4,6,17
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,18
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,18
Tom Wolf,3,14,7,3,18
Michele Lawrence,,2,0,4,18
Brendan F Boyle,,,2,5,18
Total,24,16,9,6,18
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,19
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,19
Tom Wolf,2,6,5,3,19
Michele Lawrence,,0,0,4,19
Brendan F Boyle,,,0,5,19
Total,13,6,5,6,19
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,20
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,20
Tom Wolf,1,8,6,3,20
Michele Lawrence,,0,0,4,20
Brendan F Boyle,,,0,5,20
Total,15,8,6,6,20
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,21
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,21
Tom Wolf,1,9,8,3,21
Brendan F Boyle,,0,0,4,21
Michele Lawrence,,,1,5,21
Total,18,9,9,6,21
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,22
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,22
Tom Wolf,3,22,11,3,22
Brendan F Boyle,,2,0,4,22
Michele Lawrence,,,1,5,22
Total,36,24,12,6,22
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,23
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,23
Tom Wolf,4,21,18,3,23
Michele Lawrence,,0,0,4,23
Brendan F Boyle,,,2,5,23
Total,43,21,20,6,23
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,24
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,24
Tom Wolf,3,17,8,3,24
Brendan F Boyle,,0,0,4,24
Michele Lawrence,,,0,5,24
Total,28,17,8,6,24
