col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
Dewayne Drummond,,,,0,18,19,8,9,4,6,4,6,4,5,6,5
Kevin Bundy,,,,,0,18,6,6,5,3,1,5,4,3,7,5
Liam G Boyle,,,,,,0,6,6,2,3,2,4,3,5,8,5
Jacque Whaumbush,,,,,,,0,7,2,4,3,4,2,2,9,5
Lisa Rhodes,,,,,,,,0,3,4,4,1,1,5,10,5
John Brady,,,,,,,,,0,2,2,2,1,1,11,5
Rebecca Poyourow,,,,,,,,,,0,4,3,1,1,12,5
Monica Maria Djerassi,,,,,,,,,,,0,0,1,3,13,5
Nat Lownes,,,,,,,,,,,,0,1,0,14,5
Joe Khan,,,,,,,,,,,,,0,0,15,5
Linda Norris,,,,,,,,,,,,,,0,16,5
Total,57,41,32,25,24,23,11,11,8,8,7,7,6,6,17,5
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,6
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Linda Norris,Monica Maria Djerassi,John Brady,Jacque Whaumbush,Rebecca Poyourow,Nat Lownes,Joe Khan,2,6
Tom Wolf,7,33,31,30,28,20,15,17,15,6,5,5,3,2,3,6
Kathryn S Huggins,,0,25,25,25,14,11,14,8,3,2,3,2,0,4,6
Ken Washington,,,1,25,24,15,15,13,10,5,4,3,3,2,5,6
Dewayne Drummond,,,,0,25,15,11,14,10,3,2,4,2,1,6,6
Liam G Boyle,,,,,0,17,12,15,9,4,3,4,1,0,7,6
Lisa Rhodes,,,,,,1,6,15,10,4,5,4,1,1,8,6
Kevin Bundy,,,,,,,0,3,5,2,4,2,3,2,9,6
Linda Norris,,,,,,,,0,10,2,2,3,0,0,10,6
Monica Maria Djerassi,,,,,,,,,0,1,3,2,2,1,11,6
John Brady,,,,,,,,,,0,1,2,2,0,12,6
Jacque Whaumbush,,,,,,,,,,,0,0,1,1,13,6
Rebecca Poyourow,,,,,,,,,,,,0,1,0,14,6
Nat Lownes,,,,,,,,,,,,,0,0,15,6
Joe Khan,,,,,,,,,,,,,,0,16,6
Total,52,34,34,30,29,21,17,17,15,6,5,5,3,2,17,6
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,7
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,Rebecca Poyourow,2,7
Tom Wolf,5,25,23,19,13,11,8,7,6,4,2,1,1,0,3,7
Kathryn S Huggins,,1,16,14,11,9,8,6,6,3,2,1,0,0,4,7
Ken Washington,,,0,15,11,9,6,6,5,3,1,0,1,0,5,7
Dewayne Drummond,,,,0,12,8,7,5,6,1,1,1,1,0,6,7
Liam G Boyle,,,,,1,5,4,3,3,0,0,0,0,0,7,7
Kevin Bundy,,,,,,0,3,2,2,2,2,1,1,0,8,7
Monica Maria Djerassi,,,,,,,0,6,6,1,2,1,0,0,9,7
Linda Norris,,,,,,,,0,5,1,1,0,0,0,10,7
Lisa Rhodes,,,,,,,,,0,0,1,1,0,0,11,7
John Brady,,,,,,,,,,0,1,0,1,0,12,7
Jacque Whaumbush,,,,,,,,,,,0,1,0,0,13,7
Joe Khan,,,,,,,,,,,,0,0,0,14,7
Nat Lownes,,,,,,,,,,,,,0,0,15,7
Rebecca Poyourow,,,,,,,,,,,,,,0,16,7
Total,42,26,23,19,14,11,8,7,6,4,2,1,1,0,17,7
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,8
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,Nat Lownes,John Brady,Jacque Whaumbush,Joe Khan,2,8
Tom Wolf,10,68,64,59,44,39,40,36,30,19,17,12,11,6,3,8
Kathryn S Huggins,,0,51,52,38,35,35,32,25,18,15,9,9,5,4,8
Ken Washington,,,2,51,39,35,32,29,27,15,16,9,10,4,5,8
Dewayne Drummond,,,,1,39,32,30,28,24,14,16,10,6,4,6,8
Liam G Boyle,,,,,0,22,23,21,17,10,14,6,3,3,7,8
Linda Norris,,,,,,0,33,29,9,10,6,6,10,3,8,8
Lisa Rhodes,,,,,,,0,29,10,11,5,7,8,5,9,8
Monica Maria Djerassi,,,,,,,,0,7,10,9,6,8,4,10,8
Kevin Bundy,,,,,,,,,0,12,9,9,3,3,11,8
Rebecca Poyourow,,,,,,,,,,0,7,5,3,3,12,8
Nat Lownes,,,,,,,,,,,0,4,4,3,13,8
John Brady,,,,,,,,,,,,0,2,4,14,8
Jacque Whaumbush,,,,,,,,,,,,,0,1,15,8
Joe Khan,,,,,,,,,,,,,,0,16,8
Total,102,71,69,62,45,41,41,37,32,20,18,14,12,7,17,8
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,9
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,John Brady,Nat Lownes,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,2,9
Tom Wolf,12,54,52,45,35,33,16,16,13,9,10,8,7,3,3,9
Kathryn S Huggins,,0,33,35,27,30,11,12,11,6,7,8,4,3,4,9
Ken Washington,,,0,34,27,29,10,10,9,4,5,7,7,3,5,9
Dewayne Drummond,,,,1,28,28,11,12,9,8,7,7,7,2,6,9
Kevin Bundy,,,,,0,24,4,4,4,5,8,3,4,1,7,9
Liam G Boyle,,,,,,0,3,8,5,1,4,5,3,1,8,9
Lisa Rhodes,,,,,,,0,8,9,5,4,4,4,2,9,9
