V1,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,division
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,11
Mike Stack,40,0,0,0,0,0,11
Kathi Cozzone,,0,0,16,0,0,11
Nina Ahmad,,13,0,,0,0,11
Ray Sosa,,,0,,3,0,11
John Fetterman,,,2,,,0,11
Write In,,,,,,1,11
Total,40,13,2,16,3,1,11
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,12
Mike Stack,35,0,0,0,0,0,12
Kathi Cozzone,,0,0,9,0,0,12
John Fetterman,,0,3,,0,0,12
Nina Ahmad,,3,,,0,0,12
Ray Sosa,,,,,1,0,12
Write In,,,,,,1,12
Total,35,3,3,9,1,1,12
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,13
Kathi Cozzone,0,0,0,24,0,0,13
Mike Stack,12,0,0,,0,0,13
John Fetterman,,0,5,,0,0,13
Nina Ahmad,,1,,,0,0,13
Ray Sosa,,,,,1,0,13
Write In,,,,,,1,13
Total,12,1,5,24,1,1,13
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,14
Mike Stack,24,0,0,0,0,0,14
Kathi Cozzone,,0,0,17,0,0,14
Nina Ahmad,,11,0,,0,0,14
John Fetterman,,,5,,0,0,14
Ray Sosa,,,,,2,0,14
Write In,,,,,,1,14
Total,24,11,5,17,2,1,14
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,15
Mike Stack,7,0,0,0,0,0,15
Kathi Cozzone,,0,0,6,0,0,15
John Fetterman,,0,3,,0,0,15
Nina Ahmad,,3,,,0,0,15
Ray Sosa,,,,,3,0,15
Write In,,,,,,1,15
Total,7,3,3,6,3,1,15
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,16
Kathi Cozzone,0,0,0,8,0,0,16
Mike Stack,8,0,0,,0,0,16
John Fetterman,,0,4,,0,0,16
Nina Ahmad,,4,,,0,0,16
Ray Sosa,,,,,1,0,16
Write In,,,,,,1,16
Total,8,4,4,8,1,1,16
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,17
Mike Stack,15,0,0,0,0,0,17
Kathi Cozzone,,0,0,11,0,0,17
Nina Ahmad,,5,0,,0,0,17
John Fetterman,,,4,,0,0,17
Ray Sosa,,,,,1,0,17
Write In,,,,,,1,17
Total,15,5,4,11,1,1,17
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,18
John Fetterman,0,0,20,0,0,0,18
Mike Stack,17,0,,0,0,0,18
Kathi Cozzone,,0,,7,0,0,18
Nina Ahmad,,4,,,0,0,18
Ray Sosa,,,,,1,0,18
Write In,,,,,,1,18
Total,17,4,20,7,1,1,18
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,19
Kathi Cozzone,0,0,0,11,0,0,19
John Fetterman,0,0,5,,0,0,19
Mike Stack,5,0,,,0,0,19
Nina Ahmad,,4,,,0,0,19
Ray Sosa,,,,,2,0,19
Write In,,,,,,1,19
Total,5,4,5,11,2,1,19
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,20
Kathi Cozzone,0,0,0,15,0,0,20
Mike Stack,14,0,0,,0,0,20
Nina Ahmad,,6,0,,0,0,20
John Fetterman,,,4,,0,0,20
Ray Sosa,,,,,1,0,20
Write In,,,,,,1,20
Total,14,6,4,15,1,1,20
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,21
Mike Stack,59,0,0,0,0,0,21
Kathi Cozzone,,0,0,10,0,0,21
John Fetterman,,0,4,,0,0,21
Ray Sosa,,0,,,3,0,21
Nina Ahmad,,2,,,,0,21
Write In,,,,,,1,21
Total,59,2,4,10,3,1,21
