col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
Nat Lownes,,,,,,,,,,,,0,1,3,1,4,0,0,14,7
Joe Khan,,,,,,,,,,,,,0,2,1,1,0,0,15,7
Mike Stack,,,,,,,,,,,,,,2,0,0,0,0,16,7
Kathi Cozzone,,,,,,,,,,,,,,,1,0,0,0,17,7
Nina Ahmad,,,,,,,,,,,,,,,,0,0,0,18,7
John Fetterman,,,,,,,,,,,,,,,,,2,0,19,7
Ray Sosa,,,,,,,,,,,,,,,,,,1,20,7
Total,87,67,64,54,43,38,33,29,18,13,11,8,4,60,19,17,3,2,21,7
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,8
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Kevin Bundy,Rebecca Poyourow,John Brady,Nat Lownes,Jacque Whaumbush,Joe Khan,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,8
Kathryn S Huggins,2,76,73,67,48,47,46,30,20,19,17,12,10,62,20,16,3,0,3,8
Dewayne Drummond,,0,69,62,38,35,37,28,13,12,12,9,7,52,11,14,1,0,4,8
Ken Washington,,,2,56,41,37,38,27,14,18,13,7,7,49,13,12,1,0,5,8
Liam G Boyle,,,,0,34,31,35,21,13,6,7,3,4,45,8,12,1,0,6,8
Monica Maria Djerassi,,,,,0,33,35,11,13,11,6,6,6,36,11,3,1,0,7,8
Lisa Rhodes,,,,,,0,42,9,9,12,9,10,6,28,18,2,1,0,8,8
Linda Norris,,,,,,,0,8,8,11,7,9,4,29,16,2,0,0,9,8
Kevin Bundy,,,,,,,,0,9,11,8,4,2,10,9,10,2,0,10,8
Rebecca Poyourow,,,,,,,,,0,5,6,4,5,10,8,3,1,0,11,8
John Brady,,,,,,,,,,0,6,4,3,7,10,1,1,0,12,8
Nat Lownes,,,,,,,,,,,0,6,6,4,5,4,3,0,13,8
Jacque Whaumbush,,,,,,,,,,,,0,3,3,7,1,1,0,14,8
Joe Khan,,,,,,,,,,,,,0,3,5,1,2,0,15,8
Mike Stack,,,,,,,,,,,,,,3,0,0,0,0,16,8
Nina Ahmad,,,,,,,,,,,,,,,1,0,0,0,17,8
Kathi Cozzone,,,,,,,,,,,,,,,,0,0,0,18,8
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,8
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,8
Total,108,83,82,68,52,49,48,33,22,21,18,13,11,71,23,18,3,0,21,8
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,9
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Lisa Rhodes,Linda Norris,Kevin Bundy,Monica Maria Djerassi,John Brady,Jacque Whaumbush,Joe Khan,Rebecca Poyourow,Nat Lownes,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,9
Kathryn S Huggins,3,35,33,29,21,15,16,12,7,4,4,3,2,29,9,5,0,0,3,9
Dewayne Drummond,,0,34,33,18,16,16,11,7,3,5,3,2,26,9,3,1,0,4,9
Ken Washington,,,0,33,16,14,13,11,5,2,2,2,2,26,7,3,0,0,5,9
Liam G Boyle,,,,0,14,14,12,9,5,1,3,2,1,23,7,2,1,0,6,9
Lisa Rhodes,,,,,0,18,5,13,6,3,3,2,3,15,3,4,0,0,7,9
Linda Norris,,,,,,0,5,10,5,1,1,2,3,13,2,3,1,0,8,9
Kevin Bundy,,,,,,,0,1,6,1,3,1,3,6,8,2,1,0,9,9
Monica Maria Djerassi,,,,,,,,0,2,2,2,2,0,9,2,2,0,0,10,9
John Brady,,,,,,,,,0,2,3,2,2,4,2,2,1,0,11,9
Jacque Whaumbush,,,,,,,,,,0,2,3,0,1,1,3,0,0,12,9
Joe Khan,,,,,,,,,,,0,2,0,1,1,1,1,0,13,9
Rebecca Poyourow,,,,,,,,,,,,0,0,1,0,2,1,0,14,9
Nat Lownes,,,,,,,,,,,,,0,1,0,2,0,0,15,9
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,9
Kathi Cozzone,,,,,,,,,,,,,,,2,0,0,0,17,9
Nina Ahmad,,,,,,,,,,,,,,,,2,0,0,18,9
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,9
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,9
Total,49,41,38,35,24,20,18,13,10,5,5,4,3,36,12,9,1,0,21,9
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,10
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Linda Norris,Monica Maria Djerassi,John Brady,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,10
Kathryn S Huggins,2,59,56,51,34,31,27,27,13,16,10,7,4,41,14,14,7,0,3,10
Ken Washington,,0,55,49,34,33,27,28,14,16,11,10,3,43,11,9,7,0,4,10
Dewayne Drummond,,,0,45,31,28,26,27,17,15,9,8,7,40,13,10,5,1,5,10
Liam G Boyle,,,,0,26,24,22,21,6,14,8,7,3,36,7,8,4,0,6,10
Lisa Rhodes,,,,,0,14,27,24,9,10,3,4,4,27,10,3,3,0,7,10
Kevin Bundy,,,,,,1,12,9,17,14,11,9,5,23,4,9,3,0,8,10
Linda Norris,,,,,,,0,23,9,11,4,4,7,26,7,1,3,0,9,10
Monica Maria Djerassi,,,,,,,,0,10,10,6,5,6,22,6,2,3,1,10,10
John Brady,,,,,,,,,0,7,7,6,6,14,5,2,3,1,11,10
Rebecca Poyourow,,,,,,,,,,0,9,6,7,8,9,4,1,1,12,10
Nat Lownes,,,,,,,,,,,0,7,4,7,3,4,0,1,13,10
Joe Khan,,,,,,,,,,,,0,3,6,3,2,1,1,14,10
Jacque Whaumbush,,,,,,,,,,,,,1,3,5,1,0,1,15,10
Mike Stack,,,,,,,,,,,,,,2,0,0,0,0,16,10
Nina Ahmad,,,,,,,,,,,,,,,2,0,0,0,17,10
Kathi Cozzone,,,,,,,,,,,,,,,,2,0,0,18,10
John Fetterman,,,,,,,,,,,,,,,,,2,0,19,10
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,10
Total,79,72,70,55,43,41,37,34,25,23,15,13,11,54,24,19,12,1,21,10
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,11
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,John Brady,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,11
Kathryn S Huggins,3,48,45,40,25,21,20,22,17,20,16,11,4,30,27,9,4,0,3,11
Ken Washington,,2,45,41,28,18,20,19,13,15,16,10,3,25,17,8,5,0,4,11
Dewayne Drummond,,,1,40,26,18,20,19,13,15,12,7,2,23,18,7,2,0,5,11
Liam G Boyle,,,,0,21,16,14,16,7,11,13,2,2,21,15,6,4,0,6,11
Kevin Bundy,,,,,1,5,5,2,8,11,11,5,1,7,16,5,1,0,7,11
Lisa Rhodes,,,,,,0,17,18,5,9,3,4,3,15,3,5,2,0,8,11
Linda Norris,,,,,,,0,18,5,7,1,5,3,14,5,2,2,0,9,11
Monica Maria Djerassi,,,,,,,,0,5,8,3,5,3,13,4,5,2,0,10,11
John Brady,,,,,,,,,0,4,5,7,1,8,6,5,1,0,11,11
Rebecca Poyourow,,,,,,,,,,0,10,6,2,8,6,7,0,0,12,11
Nat Lownes,,,,,,,,,,,0,5,1,5,6,4,1,0,13,11
Joe Khan,,,,,,,,,,,,0,1,5,4,3,0,0,14,11
Jacque Whaumbush,,,,,,,,,,,,,0,2,1,2,0,0,15,11
Mike Stack,,,,,,,,,,,,,,4,0,0,0,0,16,11
Kathi Cozzone,,,,,,,,,,,,,,,2,0,0,0,17,11
Nina Ahmad,,,,,,,,,,,,,,,,0,0,0,18,11
John Fetterman,,,,,,,,,,,,,,,,,1,0,19,11
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,11
Total,73,59,51,46,31,25,24,24,21,21,16,12,5,38,30,12,9,0,21,11
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,12
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,John Brady,Rebecca Poyourow,Jacque Whaumbush,Nat Lownes,Joe Khan,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,12
Kathryn S Huggins,1,83,83,79,49,48,45,35,15,14,7,9,5,70,29,16,0,0,3,12
Ken Washington,,0,84,83,48,43,41,32,13,5,5,2,5,69,17,12,3,0,4,12
Dewayne Drummond,,,1,82,46,45,47,32,11,9,3,6,4,70,15,13,2,0,5,12
Liam G Boyle,,,,0,44,41,42,28,8,5,2,5,4,64,14,10,1,0,6,12
Linda Norris,,,,,0,51,41,10,8,5,7,5,1,45,3,8,0,0,7,12
Lisa Rhodes,,,,,,0,44,6,6,8,6,5,0,43,3,9,0,0,8,12
Monica Maria Djerassi,,,,,,,0,8,4,11,3,3,3,40,4,9,0,0,9,12
Kevin Bundy,,,,,,,,1,10,7,7,5,4,18,14,7,2,0,10,12
John Brady,,,,,,,,,1,2,2,3,3,13,2,4,0,0,11,12
Rebecca Poyourow,,,,,,,,,,0,4,3,3,5,4,5,0,0,12,12
Jacque Whaumbush,,,,,,,,,,,0,3,1,4,2,2,1,0,13,12
Nat Lownes,,,,,,,,,,,,0,1,5,1,3,0,0,14,12
Joe Khan,,,,,,,,,,,,,0,3,1,2,0,0,15,12
Mike Stack,,,,,,,,,,,,,,6,0,0,0,0,16,12
Kathi Cozzone,,,,,,,,,,,,,,,4,0,0,0,17,12
Nina Ahmad,,,,,,,,,,,,,,,,2,0,0,18,12
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,12
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,12
Total,118,103,101,91,58,56,53,43,20,15,10,9,7,95,36,21,4,0,21,12
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,13
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Kevin Bundy,John Brady,Nat Lownes,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,13
Kathryn S Huggins,1,54,48,42,34,28,27,26,18,16,17,10,12,48,16,10,3,0,3,13
Ken Washington,,1,47,41,26,23,24,23,18,16,9,9,11,40,9,8,3,0,4,13
Dewayne Drummond,,,1,37,22,23,22,22,14,14,8,6,6,34,8,9,2,0,5,13
Liam G Boyle,,,,0,18,18,18,17,9,10,7,4,3,27,6,7,5,0,6,13
Lisa Rhodes,,,,,0,23,26,7,10,7,12,10,5,24,10,2,1,0,7,13
Monica Maria Djerassi,,,,,,0,19,8,8,8,11,9,7,16,9,2,3,0,8,13
Linda Norris,,,,,,,0,7,12,4,10,8,6,24,6,1,1,0,9,13
Kevin Bundy,,,,,,,,1,11,8,5,3,6,11,5,7,3,0,10,13
John Brady,,,,,,,,,1,8,5,6,8,12,8,1,1,0,11,13
Nat Lownes,,,,,,,,,,0,7,4,5,8,5,3,0,0,12,13
Rebecca Poyourow,,,,,,,,,,,0,5,5,7,6,5,1,0,13,13
Jacque Whaumbush,,,,,,,,,,,,0,3,5,6,2,0,0,14,13
Joe Khan,,,,,,,,,,,,,0,7,3,0,2,0,15,13
Mike Stack,,,,,,,,,,,,,,10,0,0,0,0,16,13
Nina Ahmad,,,,,,,,,,,,,,,3,0,0,0,17,13
Kathi Cozzone,,,,,,,,,,,,,,,,2,0,0,18,13
