col_1,col_2,col_3,col_4,order,division
Scott R Wagner,,,3,5,34
Total,8,5,3,6,34
,Governor - Republican,,,1,37
,Laura Ellsworth,Scott R Wagner,Paul Mango,2,37
Laura Ellsworth,1,0,0,3,37
Scott R Wagner,,1,0,4,37
Paul Mango,,,0,5,37
Total,1,1,0,6,37
,Governor - Republican,,,1,38
,Paul Mango,Laura Ellsworth,Scott R Wagner,2,38
Paul Mango,1,0,0,3,38
Laura Ellsworth,,0,0,4,38
Scott R Wagner,,,0,5,38
Total,1,0,0,6,38
,Governor - Republican,,,1,39
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,39
Paul Mango,3,0,0,3,39
Scott R Wagner,,1,0,4,39
Laura Ellsworth,,,0,5,39
Total,3,1,0,6,39
,Governor - Republican,,,1,41
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,41
Paul Mango,2,0,0,3,41
Scott R Wagner,,2,0,4,41
Laura Ellsworth,,,1,5,41
Total,2,2,1,6,41
