V1,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,division
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,4
Mike Stack,19,0,0,0,0,0,4
John Fetterman,,0,9,0,0,0,4
Kathi Cozzone,,0,,9,0,0,4
Nina Ahmad,,6,,,0,0,4
Ray Sosa,,,,,1,0,4
Write In,,,,,,1,4
Total,19,6,9,9,1,1,4
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,5
Mike Stack,15,0,0,0,0,0,5
John Fetterman,,0,6,0,0,0,5
Nina Ahmad,,5,,0,0,0,5
Kathi Cozzone,,,,2,0,0,5
Ray Sosa,,,,,1,0,5
Write In,,,,,,1,5
Total,15,5,6,2,1,1,5
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,6
Mike Stack,23,0,0,0,0,0,6
Nina Ahmad,,15,0,0,0,0,6
Kathi Cozzone,,,0,9,0,0,6
John Fetterman,,,6,,0,0,6
Ray Sosa,,,,,1,0,6
Write In,,,,,,1,6
Total,23,15,6,9,1,1,6
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,7
Mike Stack,28,0,0,0,0,0,7
Kathi Cozzone,,0,0,13,0,0,7
Nina Ahmad,,7,0,,0,0,7
John Fetterman,,,2,,0,0,7
Ray Sosa,,,,,2,0,7
Write In,,,,,,1,7
Total,28,7,2,13,2,1,7
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,8
Mike Stack,26,0,0,0,0,0,8
Kathi Cozzone,,0,0,16,0,0,8
John Fetterman,,0,6,,0,0,8
Nina Ahmad,,4,,,0,0,8
Ray Sosa,,,,,1,0,8
Write In,,,,,,1,8
Total,26,4,6,16,1,1,8
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,9
Mike Stack,15,0,0,0,0,0,9
Kathi Cozzone,,0,0,9,0,0,9
Nina Ahmad,,6,0,,0,0,9
John Fetterman,,,4,,0,0,9
Ray Sosa,,,,,1,0,9
Write In,,,,,,1,9
Total,15,6,4,9,1,1,9
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,10
Mike Stack,31,0,0,0,0,0,10
Kathi Cozzone,,0,0,10,0,0,10
Nina Ahmad,,4,0,,0,0,10
Ray Sosa,,,0,,2,0,10
John Fetterman,,,1,,,0,10
Write In,,,,,,1,10
Total,31,4,1,10,2,1,10
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,11
Mike Stack,42,0,0,0,0,0,11
Kathi Cozzone,,0,0,7,0,0,11
Nina Ahmad,,6,0,,0,0,11
John Fetterman,,,3,,0,0,11
Ray Sosa,,,,,1,0,11
Write In,,,,,,1,11
Total,42,6,3,7,1,1,11
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,12
Mike Stack,16,0,0,0,0,0,12
Kathi Cozzone,,0,0,8,0,0,12
John Fetterman,,0,7,,0,0,12
Nina Ahmad,,6,,,0,0,12
Ray Sosa,,,,,1,0,12
Write In,,,,,,1,12
Total,16,6,7,8,1,1,12
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,13
Mike Stack,24,0,0,0,0,0,13
Nina Ahmad,,7,0,0,0,0,13
Kathi Cozzone,,,0,5,0,0,13
John Fetterman,,,4,,0,0,13
Ray Sosa,,,,,1,0,13
Write In,,,,,,1,13
Total,24,7,4,5,1,1,13
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,14
Mike Stack,38,0,0,0,0,0,14
Kathi Cozzone,,0,0,16,0,0,14
Nina Ahmad,,15,0,,0,0,14
John Fetterman,,,2,,0,0,14
Ray Sosa,,,,,1,0,14
Write In,,,,,,1,14
Total,38,15,2,16,1,1,14
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,15
Mike Stack,22,0,0,0,0,0,15
John Fetterman,,0,8,0,0,0,15
Nina Ahmad,,8,,0,0,0,15
Kathi Cozzone,,,,4,0,0,15
Ray Sosa,,,,,1,0,15
Write In,,,,,,1,15
Total,22,8,8,4,1,1,15
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,16
Mike Stack,27,0,0,0,0,0,16
Kathi Cozzone,,0,0,11,0,0,16
John Fetterman,,0,7,,0,0,16
Nina Ahmad,,4,,,0,0,16
Ray Sosa,,,,,1,0,16
Write In,,,,,,1,16
Total,27,4,7,11,1,1,16
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,17
Mike Stack,20,0,0,0,0,0,17
Kathi Cozzone,,0,0,7,0,0,17
Nina Ahmad,,7,0,,0,0,17
John Fetterman,,,5,,0,0,17
Ray Sosa,,,,,1,0,17
Write In,,,,,,1,17
Total,20,7,5,7,1,1,17
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,18
Mike Stack,27,0,0,0,0,0,18
John Fetterman,,0,5,0,0,0,18
Kathi Cozzone,,0,,3,0,0,18
Nina Ahmad,,2,,,0,0,18
Ray Sosa,,,,,2,0,18
Write In,,,,,,1,18
Total,27,2,5,3,2,1,18
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,19
Mike Stack,21,0,0,0,0,0,19
Nina Ahmad,,6,0,0,0,0,19
Kathi Cozzone,,,0,4,0,0,19
John Fetterman,,,2,,0,0,19
Ray Sosa,,,,,2,0,19
Write In,,,,,,1,19
Total,21,6,2,4,2,1,19
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,20
Mike Stack,27,0,0,0,0,0,20
Nina Ahmad,,11,0,0,0,0,20
John Fetterman,,,8,0,0,0,20
Kathi Cozzone,,,,4,0,0,20
Ray Sosa,,,,,1,0,20
Write In,,,,,,1,20
Total,27,11,8,4,1,1,20
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,21
Mike Stack,19,0,0,0,0,0,21
John Fetterman,,0,6,0,0,0,21
Kathi Cozzone,,0,,6,0,0,21
Nina Ahmad,,5,,,0,0,21
Ray Sosa,,,,,2,0,21
Write In,,,,,,1,21
Total,19,5,6,6,2,1,21
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,22
Mike Stack,12,0,0,0,0,0,22
Kathi Cozzone,,0,0,8,0,0,22
John Fetterman,,0,7,,0,0,22
Nina Ahmad,,4,,,0,0,22
Ray Sosa,,,,,1,0,22
Write In,,,,,,1,22
Total,12,4,7,8,1,1,22
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,23
Mike Stack,11,0,0,0,0,0,23
Kathi Cozzone,,0,0,7,0,0,23
John Fetterman,,0,5,,0,0,23
Nina Ahmad,,4,,,0,0,23
Ray Sosa,,,,,1,0,23
Write In,,,,,,1,23
Total,11,4,5,7,1,1,23
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,24
Mike Stack,18,0,0,0,0,0,24
Nina Ahmad,,9,0,0,0,0,24
Kathi Cozzone,,,0,5,0,0,24
John Fetterman,,,1,,0,0,24
Ray Sosa,,,,,1,0,24
Write In,,,,,,1,24
Total,18,9,1,5,1,1,24
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,25
Mike Stack,12,0,0,0,0,0,25
Kathi Cozzone,,0,0,5,0,0,25
Nina Ahmad,,4,0,,0,0,25
John Fetterman,,,3,,0,0,25
Ray Sosa,,,,,1,0,25
Write In,,,,,,1,25
Total,12,4,3,5,1,1,25
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,26
Mike Stack,13,0,0,0,0,0,26
Kathi Cozzone,,0,0,7,0,0,26
Nina Ahmad,,7,0,,0,0,26
John Fetterman,,,6,,0,0,26
Ray Sosa,,,,,3,0,26
Write In,,,,,,1,26
Total,13,7,6,7,3,1,26
