To Remove,Governor - Democrat,To Remove 2,Lieutenant Governor - Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,Ray Sosa,John Fetterman,Nina Ahmad,Write In,7
Tom Wolf,2,0,14,2,2,0,0,0,7
Write In,,0,0,0,0,0,0,0,7
Mike Stack,,,2,0,0,0,0,0,7
Kathi Cozzone,,,,0,0,0,0,0,7
Ray Sosa,,,,,0,0,0,0,7
John Fetterman,,,,,,0,0,0,7
Nina Ahmad,,,,,,,0,0,7
Write In,,,,,,,,0,7
Total,20,0,16,2,2,0,0,0,7
1,2,3,4,5,6,7,8,9,7
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,8
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,8
Tom Wolf,8,0,12,8,3,2,0,0,8
Write In,,0,0,0,0,0,0,0,8
Mike Stack,,,1,0,0,0,0,0,8
Kathi Cozzone,,,,0,0,0,0,0,8
John Fetterman,,,,,1,0,0,0,8
Nina Ahmad,,,,,,0,0,0,8
Ray Sosa,,,,,,,0,0,8
Write In,,,,,,,,0,8
Total,33,0,13,8,4,2,0,0,8
1,2,3,4,5,6,7,8,9,8
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,9
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,Write In,9
Tom Wolf,1,0,12,7,2,2,0,0,9
Write In,,0,0,0,0,0,0,0,9
Kathi Cozzone,,,1,0,0,0,0,0,9
Mike Stack,,,,1,0,0,0,0,9
Nina Ahmad,,,,,1,0,0,0,9
John Fetterman,,,,,,0,0,0,9
Ray Sosa,,,,,,,0,0,9
Write In,,,,,,,,0,9
Total,24,0,13,8,3,2,0,0,9
1,2,3,4,5,6,7,8,9,9
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,10
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,10
Tom Wolf,3,0,5,2,1,1,0,0,10
Write In,,0,0,0,0,0,0,0,10
Mike Stack,,,1,0,0,0,0,0,10
Kathi Cozzone,,,,0,0,0,0,0,10
John Fetterman,,,,,0,0,0,0,10
Nina Ahmad,,,,,,0,0,0,10
Ray Sosa,,,,,,,0,0,10
Write In,,,,,,,,0,10
Total,12,0,6,2,1,1,0,0,10
1,2,3,4,5,6,7,8,9,10
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,11
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,11
Tom Wolf,5,0,7,5,0,0,0,0,11
Write In,,0,0,0,0,0,0,0,11
Mike Stack,,,1,0,0,0,0,0,11
Kathi Cozzone,,,,0,0,0,0,0,11
John Fetterman,,,,,1,0,0,0,11
Nina Ahmad,,,,,,0,0,0,11
Ray Sosa,,,,,,,0,0,11
Write In,,,,,,,,0,11
Total,17,0,8,5,1,0,0,0,11
1,2,3,4,5,6,7,8,9,11
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,12
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Write In,12
Tom Wolf,1,0,7,6,5,2,0,0,12
Write In,,0,0,0,0,0,0,0,12
Mike Stack,,,0,0,0,0,0,0,12
Kathi Cozzone,,,,0,0,0,0,0,12
Nina Ahmad,,,,,0,0,0,0,12
John Fetterman,,,,,,0,0,0,12
Ray Sosa,,,,,,,0,0,12
Write In,,,,,,,,0,12
Total,21,0,7,6,5,2,0,0,12
1,2,3,4,5,6,7,8,9,12
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,13
,Tom Wolf,Write In,John Fetterman,Kathi Cozzone,Mike Stack,Nina Ahmad,Ray Sosa,Write In,13
Tom Wolf,0,0,2,1,0,0,0,0,13
Write In,,0,0,0,0,0,0,0,13
John Fetterman,,,0,0,0,0,0,0,13
Kathi Cozzone,,,,0,0,0,0,0,13
Mike Stack,,,,,0,0,0,0,13
Nina Ahmad,,,,,,0,0,0,13
Ray Sosa,,,,,,,0,0,13
Write In,,,,,,,,0,13
Total,3,0,2,1,0,0,0,0,13
1,2,3,4,5,6,7,8,9,13
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,14
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,14
Tom Wolf,1,0,6,7,4,2,0,0,14
Write In,,0,2,0,0,0,0,0,14
Mike Stack,,,1,0,0,0,0,0,14
Kathi Cozzone,,,,0,0,0,0,0,14
John Fetterman,,,,,0,0,0,0,14
Nina Ahmad,,,,,,0,0,0,14
Ray Sosa,,,,,,,0,0,14
Write In,,,,,,,,0,14
Total,20,2,9,7,4,2,0,0,14
1,2,3,4,5,6,7,8,9,14
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,15
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,Write In,15
Tom Wolf,1,0,4,4,1,1,1,0,15
Write In,,0,0,0,0,0,0,0,15
Kathi Cozzone,,,0,0,0,0,0,0,15
Mike Stack,,,,0,0,0,0,0,15
John Fetterman,,,,,0,0,0,0,15
Nina Ahmad,,,,,,0,0,0,15
Ray Sosa,,,,,,,0,0,15
Write In,,,,,,,,0,15
Total,12,0,4,4,1,1,1,0,15
1,2,3,4,5,6,7,8,9,15
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,16
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,Write In,16
Tom Wolf,1,0,5,2,2,0,0,0,16
Write In,,0,0,0,0,0,0,0,16
Kathi Cozzone,,,0,0,0,0,0,0,16
Mike Stack,,,,0,0,0,0,0,16
Nina Ahmad,,,,,0,0,0,0,16
John Fetterman,,,,,,1,0,0,16
Ray Sosa,,,,,,,0,0,16
Write In,,,,,,,,0,16
Total,10,0,5,2,2,1,0,0,16
1,2,3,4,5,6,7,8,9,16
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,17
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,Ray Sosa,John Fetterman,Nina Ahmad,Write In,17
Tom Wolf,10,0,8,7,1,0,0,0,17
Write In,,0,0,0,0,0,0,0,17
Kathi Cozzone,,,0,0,0,0,0,0,17
Mike Stack,,,,1,0,0,0,0,17
Ray Sosa,,,,,0,0,0,0,17
John Fetterman,,,,,,0,0,0,17
Nina Ahmad,,,,,,,0,0,17
Write In,,,,,,,,0,17
Total,26,0,8,8,1,0,0,0,17
1,2,3,4,5,6,7,8,9,17
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,18
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Write In,18
Tom Wolf,2,0,4,2,1,1,0,0,18
Write In,,0,0,0,0,0,0,0,18
Mike Stack,,,1,0,0,0,0,0,18
Kathi Cozzone,,,,0,0,0,0,0,18
John Fetterman,,,,,0,0,0,0,18
Nina Ahmad,,,,,,0,0,0,18
Ray Sosa,,,,,,,0,0,18
Write In,,,,,,,,0,18
Total,10,0,5,2,1,1,0,0,18
1,2,3,4,5,6,7,8,9,18
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,19
,Tom Wolf,Write In,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,Write In,19
Tom Wolf,3,0,5,1,1,1,0,0,19
Write In,,0,0,0,0,0,0,0,19
Mike Stack,,,1,0,0,0,0,0,19
John Fetterman,,,,0,0,0,0,0,19
Kathi Cozzone,,,,,0,0,0,0,19
Nina Ahmad,,,,,,0,0,0,19
Ray Sosa,,,,,,,0,0,19
Write In,,,,,,,,0,19
Total,11,0,6,1,1,1,0,0,19
1,2,3,4,5,6,7,8,9,19
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,20
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,Write In,20
Tom Wolf,0,0,10,4,2,1,0,0,20
Write In,,0,0,0,0,0,0,0,20
Kathi Cozzone,,,1,0,0,0,0,0,20
Mike Stack,,,,1,0,0,0,0,20
Nina Ahmad,,,,,0,0,0,0,20
John Fetterman,,,,,,0,0,0,20
Ray Sosa,,,,,,,0,0,20
Write In,,,,,,,,0,20
Total,17,0,11,5,2,1,0,0,20
1,2,3,4,5,6,7,8,9,20
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,21
,Tom Wolf,Write In,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,Write In,21
Tom Wolf,2,0,10,7,2,0,1,0,21
Write In,,0,0,0,0,0,0,0,21
Kathi Cozzone,,,0,0,0,0,0,0,21
Mike Stack,,,,0,0,0,0,0,21
Nina Ahmad,,,,,0,0,0,0,21
John Fetterman,,,,,,1,0,0,21
Ray Sosa,,,,,,,0,0,21
Write In,,,,,,,,0,21
Total,22,0,10,7,2,1,1,0,21
1,2,3,4,5,6,7,8,9,21
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,22
,Tom Wolf,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Write In,22
Tom Wolf,2,0,7,1,1,0,0,0,22
Write In,,0,0,0,0,0,0,0,22
Mike Stack,,,1,0,0,0,0,0,22
John Fetterman,,,,0,0,0,0,0,22
Nina Ahmad,,,,,0,0,0,0,22
Kathi Cozzone,,,,,,0,0,0,22
Ray Sosa,,,,,,,0,0,22
Write In,,,,,,,,0,22
Total,11,0,8,1,1,0,0,0,22
1,2,3,4,5,6,7,8,9,22
,Governor - Democrat,,Lieutenant Governor - Democrat,,,,,,23
,Tom Wolf,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Write In,23
Tom Wolf,2,0,7,6,4,1,1,0,23
Write In,,0,0,0,0,0,0,0,23
Mike Stack,,,0,0,0,0,0,0,23
Kathi Cozzone,,,,0,0,0,0,0,23
Nina Ahmad,,,,,0,0,0,0,23
John Fetterman,,,,,,0,0,0,23
Ray Sosa,,,,,,,0,0,23
Write In,,,,,,,,0,23
Total,21,0,7,6,4,1,1,0,23
1,2,3,4,5,6,7,8,9,23
