col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,order,division
Micah Mahjoubian,,,,,,,,,,,,,,,,,0,104,94,101,62,68,77,65,33,38,19,All
Marylouise Isaacson,,,,,,,,,,,,,,,,,,0,118,110,88,84,61,50,46,34,20,All
Mariel J K Martin,,,,,,,,,,,,,,,,,,,0,115,82,87,49,42,49,33,21,All
Andi Perez,,,,,,,,,,,,,,,,,,,,0,68,81,55,41,42,40,22,All
Amanda Mcillmurray,,,,,,,,,,,,,,,,,,,,,0,46,41,52,56,25,23,All
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,33,23,31,19,24,All
Joe Celentano,,,,,,,,,,,,,,,,,,,,,,,1,55,21,34,25,All
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,1,28,23,26,All
Judi Golding Baker,,,,,,,,,,,,,,,,,,,,,,,,,0,14,27,All
Jon Geeting,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,All
Total,"1,038",585,582,471,219,210,209,175,156,14,9,4,1,214,200,186,174,165,160,154,120,116,115,99,74,61,29,All
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Molly Sheehan,Rich Lazer,Theresa M Wright,Lindy Li,Greg Vitali,Mary Gay Scanlon,Ashley Lunkenheimer,Dan Muroff,Thaddeus Kirkland,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,1
Molly Sheehan,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Rich Lazer,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Theresa M Wright,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Lindy Li,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
Greg Vitali,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
Mary Gay Scanlon,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
Ashley Lunkenheimer,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
Dan Muroff,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
Thaddeus Kirkland,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
Larry Arata,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,1
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,1
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,1
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,1
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,1
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,1
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,1
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,1
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,1
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,1
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,1
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,1
Total,10,10,9,7,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,2
,Theresa M Wright,Margo Davidson,Rich Lazer,Molly Sheehan,Lindy Li,Mary Gay Scanlon,Greg Vitali,Ashley Lunkenheimer,Larry Arata,Dan Muroff,David Wertime,Shelly Chauncey,Thaddeus Kirkland,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,2
Theresa M Wright,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Margo Davidson,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Rich Lazer,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Molly Sheehan,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
Lindy Li,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
Mary Gay Scanlon,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
Greg Vitali,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
Ashley Lunkenheimer,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
Larry Arata,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
Shelly Chauncey,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2
Thaddeus Kirkland,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,2
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,2
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,2
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,2
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,2
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,2
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,2
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,2
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,2
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,2
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,2
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,2
Total,15,11,11,9,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,3
,Rich Lazer,Theresa M Wright,Lindy Li,Molly Sheehan,Ashley Lunkenheimer,Thaddeus Kirkland,Margo Davidson,Greg Vitali,Mary Gay Scanlon,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,3
Rich Lazer,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Theresa M Wright,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
Lindy Li,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
Molly Sheehan,,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
Ashley Lunkenheimer,,,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
Thaddeus Kirkland,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
Margo Davidson,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3
Greg Vitali,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
Mary Gay Scanlon,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3
Dan Muroff,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,3
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,3
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,3
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,3
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,3
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,3
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,3
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,3
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,3
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,3
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,3
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,3
Total,30,19,17,16,14,8,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,4
,Theresa M Wright,Rich Lazer,Molly Sheehan,Greg Vitali,Lindy Li,Ashley Lunkenheimer,Larry Arata,Mary Gay Scanlon,Dan Muroff,David Wertime,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,4
Theresa M Wright,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Rich Lazer,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Molly Sheehan,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
Greg Vitali,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
Lindy Li,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
Ashley Lunkenheimer,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
Larry Arata,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
Mary Gay Scanlon,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
Dan Muroff,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
David Wertime,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4
Margo Davidson,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4
Shelly Chauncey,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4
Thaddeus Kirkland,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,4
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,4
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,4
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,4
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,4
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,4
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,4
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,4
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,4
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,4
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,4
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,4
Total,26,16,9,6,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,5
,Theresa M Wright,Thaddeus Kirkland,Rich Lazer,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Ashley Lunkenheimer,Greg Vitali,Lindy Li,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,5
Theresa M Wright,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Thaddeus Kirkland,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
Rich Lazer,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Margo Davidson,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
Mary Gay Scanlon,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
Molly Sheehan,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
Ashley Lunkenheimer,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
Greg Vitali,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
Lindy Li,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5
Dan Muroff,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,5
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,5
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,5
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,5
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,5
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,5
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,5
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,5
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,5
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,5
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,5
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,5
Total,44,18,14,10,10,10,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,6
,Lindy Li,Molly Sheehan,Theresa M Wright,Rich Lazer,Ashley Lunkenheimer,Larry Arata,Greg Vitali,Mary Gay Scanlon,Thaddeus Kirkland,Dan Muroff,David Wertime,Margo Davidson,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,6
Lindy Li,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Molly Sheehan,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
Theresa M Wright,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Rich Lazer,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
Ashley Lunkenheimer,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
Larry Arata,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
Greg Vitali,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
Mary Gay Scanlon,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6
Thaddeus Kirkland,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6
Margo Davidson,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,6
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,6
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,6
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,6
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,6
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,6
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,6
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,6
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,6
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,26,6
Rhea Powell,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27,6
Tom Young,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,6
Total,9,9,8,7,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,7
,Lindy Li,Theresa M Wright,Rich Lazer,Margo Davidson,Molly Sheehan,Greg Vitali,Ashley Lunkenheimer,Mary Gay Scanlon,Thaddeus Kirkland,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,7
Lindy Li,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
Theresa M Wright,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
Rich Lazer,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
Margo Davidson,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
Molly Sheehan,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Greg Vitali,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
Ashley Lunkenheimer,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7
Mary Gay Scanlon,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
Thaddeus Kirkland,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7
Dan Muroff,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7
David Wertime,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7
Shelly Chauncey,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
Amanda Mcillmurray,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7
Andi Perez,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,17,7
Darrell L Clarke,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,7
Joe Celentano,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,19,7
Jon Geeting,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,20,7
Judi Golding Baker,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,7
Mariel J K Martin,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,22,7
Marylouise Isaacson,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23,7
Matthew D Myers,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,24,7
Micah Mahjoubian,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,7
