col_1,col_2,col_3,col_4,col_5,col_6,order,division
Chris Rabb,,,0,44,42,5,9
Qasim Rashad,,,,1,45,6,9
Carla Cain,,,,,0,7,9
Total,111,67,57,53,47,8,9
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,10
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Chris Rabb,Carla Cain,2,10
Tom Wolf,19,43,42,38,34,3,10
Sherrie Cohen,,0,31,27,29,4,10
Qasim Rashad,,,0,31,31,5,10
Chris Rabb,,,,0,28,6,10
Carla Cain,,,,,1,7,10
Total,82,43,42,38,35,8,10
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,11
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Carla Cain,Chris Rabb,2,11
Tom Wolf,21,49,41,40,39,3,11
Sherrie Cohen,,2,31,35,31,4,11
Qasim Rashad,,,0,31,29,5,11
Carla Cain,,,,0,31,6,11
Chris Rabb,,,,,1,7,11
Total,92,51,41,40,40,8,11
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,12
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Chris Rabb,Carla Cain,2,12
Tom Wolf,30,73,62,56,54,3,12
Sherrie Cohen,,3,53,48,50,4,12
Qasim Rashad,,,1,48,52,5,12
Chris Rabb,,,,0,47,6,12
Carla Cain,,,,,0,7,12
Total,126,78,65,58,56,8,12
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,13
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Chris Rabb,Carla Cain,2,13
Tom Wolf,42,94,74,69,65,3,13
Sherrie Cohen,,0,68,58,66,4,13
Qasim Rashad,,,1,55,60,5,13
Chris Rabb,,,,2,53,6,13
Carla Cain,,,,,0,7,13
Total,154,95,76,72,66,8,13
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,14
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Chris Rabb,Carla Cain,2,14
Tom Wolf,50,80,55,51,46,3,14
Sherrie Cohen,,1,46,44,41,4,14
Qasim Rashad,,,0,43,42,5,14
Chris Rabb,,,,1,41,6,14
Carla Cain,,,,,1,7,14
Total,151,82,56,53,48,8,14
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,15
,Tom Wolf,Qasim Rashad,Sherrie Cohen,Carla Cain,Chris Rabb,2,15
Tom Wolf,39,59,56,52,53,3,15
Qasim Rashad,,1,34,46,46,4,15
Sherrie Cohen,,,1,32,34,5,15
Carla Cain,,,,0,43,6,15
Chris Rabb,,,,,0,7,15
Total,133,61,57,53,53,8,15
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,16
,Tom Wolf,Sherrie Cohen,Chris Rabb,Carla Cain,Qasim Rashad,2,16
Tom Wolf,29,75,56,52,53,3,16
Sherrie Cohen,,1,46,52,48,4,16
Chris Rabb,,,0,46,46,5,16
Carla Cain,,,,1,48,6,16
Qasim Rashad,,,,,0,7,16
Total,120,77,57,54,54,8,16
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,17
,Tom Wolf,Sherrie Cohen,Chris Rabb,Qasim Rashad,Carla Cain,2,17
Tom Wolf,40,80,62,63,59,3,17
Sherrie Cohen,,4,55,54,55,4,17
Chris Rabb,,,0,56,52,5,17
Qasim Rashad,,,,0,53,6,17
Carla Cain,,,,,0,7,17
Total,139,86,64,64,60,8,17
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,18
,Tom Wolf,Chris Rabb,Sherrie Cohen,Qasim Rashad,Carla Cain,2,18
Tom Wolf,25,65,61,50,47,3,18
Chris Rabb,,0,47,46,46,4,18
Sherrie Cohen,,,1,42,47,5,18
Qasim Rashad,,,,0,42,6,18
Carla Cain,,,,,0,7,18
Total,114,67,64,52,49,8,18
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,19
,Tom Wolf,Sherrie Cohen,Chris Rabb,Qasim Rashad,Carla Cain,2,19
Tom Wolf,42,66,56,56,54,3,19
Sherrie Cohen,,2,50,49,49,4,19
Chris Rabb,,,1,47,47,5,19
Qasim Rashad,,,,0,50,6,19
Carla Cain,,,,,0,7,19
Total,125,69,58,57,55,8,19
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,20
,Tom Wolf,Sherrie Cohen,Carla Cain,Chris Rabb,Qasim Rashad,2,20
Tom Wolf,47,54,46,45,43,3,20
Sherrie Cohen,,0,43,39,41,4,20
Carla Cain,,,0,39,42,5,20
Chris Rabb,,,,0,38,6,20
Qasim Rashad,,,,,1,7,20
Total,116,56,49,47,47,8,20
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,21
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Carla Cain,Chris Rabb,2,21
Tom Wolf,20,66,63,54,53,3,21
Sherrie Cohen,,2,47,51,49,4,21
Qasim Rashad,,,1,48,48,5,21
Carla Cain,,,,0,50,6,21
Chris Rabb,,,,,0,7,21
Total,115,71,66,57,56,8,21
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,22
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Carla Cain,Chris Rabb,2,22
Tom Wolf,27,52,40,41,38,3,22
Sherrie Cohen,,1,31,36,35,4,22
Qasim Rashad,,,2,31,31,5,22
Carla Cain,,,,0,33,6,22
Chris Rabb,,,,,0,7,22
Total,97,54,44,43,39,8,22
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,23
,Tom Wolf,Sherrie Cohen,Chris Rabb,Qasim Rashad,Carla Cain,2,23
Tom Wolf,44,89,73,72,64,3,23
Sherrie Cohen,,0,61,61,62,4,23
Chris Rabb,,,0,59,58,5,23
Qasim Rashad,,,,1,58,6,23
Carla Cain,,,,,0,7,23
Total,153,89,74,73,65,8,23
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,24
,Tom Wolf,Sherrie Cohen,Chris Rabb,Carla Cain,Qasim Rashad,2,24
Tom Wolf,47,74,63,61,59,3,24
Sherrie Cohen,,0,57,58,55,4,24
Chris Rabb,,,0,54,55,5,24
Carla Cain,,,,0,55,6,24
Qasim Rashad,,,,,2,7,24
Total,135,75,64,62,62,8,24
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,25
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Carla Cain,Chris Rabb,2,25
Tom Wolf,51,73,56,52,49,3,25
Sherrie Cohen,,1,48,49,45,4,25
Qasim Rashad,,,1,47,42,5,25
Carla Cain,,,,0,42,6,25
Chris Rabb,,,,,0,7,25
Total,140,75,58,53,49,8,25
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,26
,Tom Wolf,Sherrie Cohen,Qasim Rashad,Carla Cain,Chris Rabb,2,26
Tom Wolf,34,72,58,53,51,3,26
Sherrie Cohen,,1,49,49,47,4,26
Qasim Rashad,,,0,50,48,5,26
Carla Cain,,,,0,48,6,26
Chris Rabb,,,,,0,7,26
Total,124,75,60,55,53,8,26
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,27
,Tom Wolf,Sherrie Cohen,Chris Rabb,Carla Cain,Qasim Rashad,2,27
Tom Wolf,29,66,47,46,42,3,27
Sherrie Cohen,,0,40,41,36,4,27
Chris Rabb,,,1,37,34,5,27
Carla Cain,,,,0,35,6,27
Qasim Rashad,,,,,0,7,27
Total,113,67,49,47,43,8,27
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,28
,Tom Wolf,Sherrie Cohen,Carla Cain,Chris Rabb,Qasim Rashad,2,28
Tom Wolf,25,66,59,60,61,3,28
Sherrie Cohen,,0,53,50,50,4,28
Carla Cain,,,1,47,47,5,28
Chris Rabb,,,,0,50,6,28
Qasim Rashad,,,,,0,7,28
Total,120,69,63,62,62,8,28
,Governor - Democrat,Member Of The - Democratic State Committee 4th Senatorial District,,,,1,29
,Tom Wolf,Sherrie Cohen,Chris Rabb,Qasim Rashad,Carla Cain,2,29
Tom Wolf,34,104,88,83,81,3,29
Sherrie Cohen,,1,63,75,77,4,29
Chris Rabb,,,3,63,59,5,29
Qasim Rashad,,,,1,73,6,29
Carla Cain,,,,,0,7,29
Total,169,105,91,84,81,8,29
