col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
Nat Lownes,,,,,,,,,0,2,6,1,3,11,2
John Brady,,,,,,,,,,1,1,3,2,12,2
Rebecca Poyourow,,,,,,,,,,,0,3,1,13,2
Jacque Whaumbush,,,,,,,,,,,,0,0,14,2
Joe Khan,,,,,,,,,,,,,0,15,2
Total,38,28,27,23,19,14,13,13,13,8,8,7,6,16,2
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,3
,Kathryn S Huggins,Ken Washington,Liam G Boyle,Dewayne Drummond,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Rebecca Poyourow,Kevin Bundy,Nat Lownes,John Brady,Jacque Whaumbush,Joe Khan,2,3
Kathryn S Huggins,5,16,16,11,15,14,12,11,8,5,4,4,4,3,3
Ken Washington,,1,16,10,5,7,7,5,9,7,3,2,3,4,3
Liam G Boyle,,,2,11,5,8,4,7,7,6,1,2,3,5,3
Dewayne Drummond,,,,3,5,3,4,6,7,5,3,2,1,6,3
Lisa Rhodes,,,,,0,10,9,7,3,1,4,3,2,7,3
Monica Maria Djerassi,,,,,,0,8,7,2,2,2,4,3,8,3
Linda Norris,,,,,,,0,5,4,2,5,2,1,9,3
Rebecca Poyourow,,,,,,,,0,4,4,1,2,3,10,3
Kevin Bundy,,,,,,,,,1,5,3,2,2,11,3
Nat Lownes,,,,,,,,,,0,1,2,1,12,3
John Brady,,,,,,,,,,,0,1,1,13,3
Jacque Whaumbush,,,,,,,,,,,,0,0,14,3
Joe Khan,,,,,,,,,,,,,0,15,3
Total,33,20,20,17,16,14,13,12,11,7,6,5,4,16,3
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,4
,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Nat Lownes,John Brady,Rebecca Poyourow,Joe Khan,Jacque Whaumbush,2,4
Ken Washington,4,21,16,12,16,13,9,10,9,5,5,1,0,3,4
Kathryn S Huggins,,3,19,16,15,11,13,10,11,7,8,4,0,4,4
Dewayne Drummond,,,1,13,13,10,12,9,10,4,7,2,0,5,4
Kevin Bundy,,,,2,8,5,8,3,10,5,7,4,0,6,4
Liam G Boyle,,,,,0,7,7,7,8,1,6,2,0,7,4
Lisa Rhodes,,,,,,0,10,10,4,5,2,1,0,8,4
Monica Maria Djerassi,,,,,,,0,8,6,5,2,3,0,9,4
Linda Norris,,,,,,,,1,5,4,1,1,0,10,4
Nat Lownes,,,,,,,,,0,3,5,4,0,11,4
John Brady,,,,,,,,,,1,3,1,0,12,4
Rebecca Poyourow,,,,,,,,,,,0,1,0,13,4
Joe Khan,,,,,,,,,,,,0,0,14,4
Jacque Whaumbush,,,,,,,,,,,,,0,15,4
Total,32,31,24,21,17,17,16,14,13,10,8,4,0,16,4
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,5
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Rebecca Poyourow,John Brady,Nat Lownes,Jacque Whaumbush,Joe Khan,2,5
Kathryn S Huggins,9,19,18,15,11,12,10,11,7,4,5,2,1,3,5
Ken Washington,,4,17,16,11,8,7,8,6,2,4,3,1,4,5
Dewayne Drummond,,,0,15,11,8,7,7,5,4,4,1,0,5,5
Liam G Boyle,,,,1,9,7,6,7,5,0,4,1,1,6,5
Kevin Bundy,,,,,1,4,3,2,6,3,5,2,2,7,5
Linda Norris,,,,,,0,11,11,4,4,1,3,2,8,5
Lisa Rhodes,,,,,,,0,10,3,3,1,3,1,9,5
Monica Maria Djerassi,,,,,,,,0,2,2,1,2,1,10,5
Rebecca Poyourow,,,,,,,,,0,1,4,3,1,11,5
John Brady,,,,,,,,,,0,0,1,0,12,5
Nat Lownes,,,,,,,,,,,0,0,1,13,5
Jacque Whaumbush,,,,,,,,,,,,0,1,14,5
Joe Khan,,,,,,,,,,,,,0,15,5
Total,33,25,20,18,14,14,12,12,8,5,5,4,2,16,5
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,6
,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Dewayne Drummond,Rebecca Poyourow,Linda Norris,Monica Maria Djerassi,Joe Khan,Jacque Whaumbush,Nat Lownes,John Brady,2,6
Kathryn S Huggins,16,32,25,25,23,20,21,19,12,9,8,7,4,3,6
Ken Washington,,4,27,20,14,16,13,14,8,9,3,5,2,4,6
Kevin Bundy,,,7,21,10,14,13,12,4,4,5,6,3,5,6
Liam G Boyle,,,,0,13,13,13,11,4,1,5,4,2,6,6
Lisa Rhodes,,,,,2,11,16,18,8,6,5,2,2,7,6
Dewayne Drummond,,,,,,2,10,8,6,7,4,5,2,8,6
Rebecca Poyourow,,,,,,,0,16,9,5,4,5,3,9,6
Linda Norris,,,,,,,,0,7,7,5,2,2,10,6
Monica Maria Djerassi,,,,,,,,,0,6,4,2,1,11,6
Joe Khan,,,,,,,,,,0,1,3,0,12,6
Jacque Whaumbush,,,,,,,,,,,0,3,1,13,6
Nat Lownes,,,,,,,,,,,,0,2,14,6
John Brady,,,,,,,,,,,,,0,15,6
Total,61,42,39,27,27,26,24,21,13,10,9,9,4,16,6
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,7
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Linda Norris,Lisa Rhodes,Kevin Bundy,Monica Maria Djerassi,Rebecca Poyourow,Jacque Whaumbush,Nat Lownes,John Brady,Joe Khan,2,7
Kathryn S Huggins,7,36,36,35,26,23,20,16,10,8,8,5,3,3,7
Ken Washington,,1,34,33,22,20,18,13,7,7,6,5,3,4,7
Dewayne Drummond,,,1,31,18,17,18,11,4,5,4,3,2,5,7
Liam G Boyle,,,,0,20,18,18,13,7,2,4,3,1,6,7
Linda Norris,,,,,0,20,6,13,6,6,4,4,1,7,7
Lisa Rhodes,,,,,,0,5,12,3,5,3,4,1,8,7
Kevin Bundy,,,,,,,0,2,4,3,4,2,3,9,7
Monica Maria Djerassi,,,,,,,,1,4,3,2,0,1,10,7
Rebecca Poyourow,,,,,,,,,0,4,6,1,2,11,7
Jacque Whaumbush,,,,,,,,,,0,4,2,3,12,7
Nat Lownes,,,,,,,,,,,0,3,2,13,7
John Brady,,,,,,,,,,,,1,1,14,7
Joe Khan,,,,,,,,,,,,,0,15,7
Total,53,41,39,37,27,24,23,17,10,9,9,7,4,16,7
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,8
,Kathryn S Huggins,Lisa Rhodes,Ken Washington,Linda Norris,Kevin Bundy,Dewayne Drummond,Rebecca Poyourow,Liam G Boyle,Monica Maria Djerassi,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,2,8
Kathryn S Huggins,5,17,16,13,13,10,13,8,10,5,7,5,3,3,8
Lisa Rhodes,,1,12,14,9,7,10,8,11,7,7,4,3,4,8
Ken Washington,,,2,10,12,8,8,7,7,5,3,3,3,5,8
Linda Norris,,,,0,7,7,6,5,9,3,5,2,2,6,8
Kevin Bundy,,,,,1,7,8,5,3,6,1,3,1,7,8
Dewayne Drummond,,,,,,1,5,4,4,5,3,3,1,8,8
Rebecca Poyourow,,,,,,,0,5,6,2,6,3,2,9,8
Liam G Boyle,,,,,,,,0,3,2,2,3,2,10,8
Monica Maria Djerassi,,,,,,,,,0,2,7,2,2,11,8
John Brady,,,,,,,,,,0,1,3,0,12,8
Jacque Whaumbush,,,,,,,,,,,0,1,1,13,8
Joe Khan,,,,,,,,,,,,0,0,14,8
Nat Lownes,,,,,,,,,,,,,0,15,8
Total,27,23,19,16,15,14,13,11,11,9,8,6,4,16,8
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,9
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Rebecca Poyourow,Linda Norris,Jacque Whaumbush,John Brady,Nat Lownes,Joe Khan,2,9
Kathryn S Huggins,9,21,20,18,18,12,13,14,10,6,7,6,6,3,9
Ken Washington,,3,17,15,15,10,8,9,8,5,4,6,2,4,9
Dewayne Drummond,,,1,15,13,8,9,11,5,4,3,5,3,5,9
Kevin Bundy,,,,0,12,7,8,10,5,3,4,4,1,6,9
Liam G Boyle,,,,,1,5,8,9,4,2,2,3,3,7,9
Lisa Rhodes,,,,,,0,7,7,7,3,5,4,2,8,9
Monica Maria Djerassi,,,,,,,0,9,4,5,2,3,5,9,9
Rebecca Poyourow,,,,,,,,0,3,3,2,3,2,10,9
Linda Norris,,,,,,,,,0,4,6,3,2,11,9
Jacque Whaumbush,,,,,,,,,,0,2,2,3,12,9
John Brady,,,,,,,,,,,0,1,2,13,9
Nat Lownes,,,,,,,,,,,,0,1,14,9
Joe Khan,,,,,,,,,,,,,0,15,9
Total,39,27,23,20,19,14,14,14,12,8,8,7,6,16,9
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,10
,Kathryn S Huggins,Ken Washington,Kevin Bundy,Lisa Rhodes,Dewayne Drummond,Linda Norris,Rebecca Poyourow,Liam G Boyle,Monica Maria Djerassi,Joe Khan,Nat Lownes,Jacque Whaumbush,John Brady,2,10
Kathryn S Huggins,10,23,23,24,21,20,17,16,14,10,8,6,6,3,10
Ken Washington,,4,20,14,12,13,13,15,6,5,5,2,3,4,10
Kevin Bundy,,,0,13,12,11,11,14,6,5,4,2,4,5,10
Lisa Rhodes,,,,0,10,18,13,8,11,5,4,3,2,6,10
Dewayne Drummond,,,,,1,8,7,10,10,7,5,4,4,7,10
Linda Norris,,,,,,0,14,8,10,5,3,4,1,8,10
Rebecca Poyourow,,,,,,,0,8,7,3,2,2,1,9,10
Liam G Boyle,,,,,,,,0,2,2,3,0,2,10,10
Monica Maria Djerassi,,,,,,,,,0,6,3,4,3,11,10
Joe Khan,,,,,,,,,,0,3,4,3,12,10
Nat Lownes,,,,,,,,,,,0,2,3,13,10
Jacque Whaumbush,,,,,,,,,,,,0,2,14,10
John Brady,,,,,,,,,,,,,0,15,10
Total,49,29,25,25,22,21,18,17,14,10,8,6,6,16,10
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,11
,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Dewayne Drummond,Lisa Rhodes,Linda Norris,John Brady,Monica Maria Djerassi,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,Nat Lownes,2,11
Kathryn S Huggins,18,24,21,24,14,16,11,8,11,13,8,6,4,3,11
Ken Washington,,4,25,22,15,14,12,9,8,9,7,9,6,4,11
Kevin Bundy,,,3,19,14,12,9,7,9,9,4,7,3,5,11
Liam G Boyle,,,,1,12,10,9,6,8,9,3,5,4,6,11
Dewayne Drummond,,,,,7,10,5,9,8,5,5,6,2,7,11
Lisa Rhodes,,,,,,0,12,7,7,12,8,6,3,8,11
Linda Norris,,,,,,,0,4,7,9,7,3,1,9,11
John Brady,,,,,,,,2,5,3,3,2,1,10,11
Monica Maria Djerassi,,,,,,,,,0,7,7,5,3,11,11
Rebecca Poyourow,,,,,,,,,,0,6,3,1,12,11
Jacque Whaumbush,,,,,,,,,,,1,3,3,13,11
Joe Khan,,,,,,,,,,,,0,4,14,11
Nat Lownes,,,,,,,,,,,,,0,15,11
Total,54,37,31,30,28,23,16,15,15,15,13,10,6,16,11
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,12
,Kathryn S Huggins,Ken Washington,Kevin Bundy,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Linda Norris,Rebecca Poyourow,Joe Khan,Monica Maria Djerassi,Nat Lownes,John Brady,Jacque Whaumbush,2,12
Kathryn S Huggins,8,18,14,12,14,12,12,8,7,4,5,3,1,3,12
Ken Washington,,5,15,11,12,12,11,9,5,4,4,2,0,4,12
Kevin Bundy,,,0,9,12,8,8,6,4,2,3,2,1,5,12
Dewayne Drummond,,,,3,7,7,7,3,4,5,3,2,1,6,12
Liam G Boyle,,,,,0,9,8,7,4,2,3,1,1,7,12
Lisa Rhodes,,,,,,0,14,6,4,3,2,1,3,8,12
Linda Norris,,,,,,,0,5,3,3,1,1,2,9,12
Rebecca Poyourow,,,,,,,,0,2,1,3,1,0,10,12
Joe Khan,,,,,,,,,0,3,4,2,0,11,12
Monica Maria Djerassi,,,,,,,,,,0,1,1,1,12,12
Nat Lownes,,,,,,,,,,,0,1,0,13,12
John Brady,,,,,,,,,,,,1,0,14,12
Jacque Whaumbush,,,,,,,,,,,,,0,15,12
Total,30,27,18,17,16,16,15,9,7,6,5,4,3,16,12
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,13
,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Dewayne Drummond,Lisa Rhodes,Monica Maria Djerassi,Rebecca Poyourow,John Brady,Linda Norris,Nat Lownes,Joe Khan,Jacque Whaumbush,2,13
Kathryn S Huggins,9,20,13,14,14,9,9,7,5,6,3,2,0,3,13
Ken Washington,,4,14,17,13,10,7,6,5,6,5,0,0,4,13
Kevin Bundy,,,0,10,10,5,4,5,5,4,4,1,0,5,13
Liam G Boyle,,,,0,10,6,6,6,3,5,4,0,0,6,13
Dewayne Drummond,,,,,1,4,6,5,4,5,2,1,0,7,13
Lisa Rhodes,,,,,,0,5,3,3,7,5,1,1,8,13
Monica Maria Djerassi,,,,,,,1,6,4,4,4,4,1,9,13
Rebecca Poyourow,,,,,,,,1,3,4,5,2,1,10,13
John Brady,,,,,,,,,1,2,3,1,0,11,13
Linda Norris,,,,,,,,,,0,2,1,1,12,13
Nat Lownes,,,,,,,,,,,0,2,1,13,13
Joe Khan,,,,,,,,,,,,1,1,14,13
Jacque Whaumbush,,,,,,,,,,,,,0,15,13
Total,35,30,17,17,16,13,13,11,8,8,8,5,1,16,13
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,14
,Kathryn S Huggins,Lisa Rhodes,Ken Washington,Kevin Bundy,Linda Norris,Dewayne Drummond,Liam G Boyle,Rebecca Poyourow,Monica Maria Djerassi,Joe Khan,Nat Lownes,Jacque Whaumbush,John Brady,2,14
Kathryn S Huggins,5,31,24,26,23,18,21,21,13,6,5,6,3,3,14
Lisa Rhodes,,0,19,20,21,14,15,15,13,5,5,5,4,4,14
Ken Washington,,,5,21,18,12,18,15,7,3,3,4,1,5,14
Kevin Bundy,,,,0,17,13,19,13,6,5,5,2,3,6,14
Linda Norris,,,,,0,9,15,15,10,3,2,5,0,7,14
Dewayne Drummond,,,,,,3,8,8,10,6,5,3,3,8,14
Liam G Boyle,,,,,,,0,11,5,2,3,1,0,9,14
Rebecca Poyourow,,,,,,,,0,8,3,2,4,2,10,14
Monica Maria Djerassi,,,,,,,,,0,3,2,4,3,11,14
Joe Khan,,,,,,,,,,1,2,1,1,12,14
Nat Lownes,,,,,,,,,,,1,1,0,13,14
Jacque Whaumbush,,,,,,,,,,,,0,0,14,14
John Brady,,,,,,,,,,,,,0,15,14
Total,46,35,32,30,24,23,22,21,15,8,8,6,5,16,14
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,15
,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Dewayne Drummond,Lisa Rhodes,Rebecca Poyourow,Monica Maria Djerassi,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,2,15
Kathryn S Huggins,13,25,18,19,17,14,15,13,7,6,4,4,1,3,15
Ken Washington,,1,19,19,16,14,14,11,6,6,3,3,2,4,15
Kevin Bundy,,,0,16,9,9,9,7,2,2,0,1,0,5,15
Liam G Boyle,,,,0,9,9,10,6,2,4,1,0,0,6,15
Linda Norris,,,,,0,9,13,12,7,4,4,3,2,7,15
Dewayne Drummond,,,,,,2,5,5,6,5,2,2,1,8,15
Lisa Rhodes,,,,,,,1,10,5,3,3,2,0,9,15
Rebecca Poyourow,,,,,,,,0,5,2,5,3,2,10,15
Monica Maria Djerassi,,,,,,,,,0,1,3,3,1,11,15
John Brady,,,,,,,,,,0,1,0,0,12,15
Jacque Whaumbush,,,,,,,,,,,0,2,2,13,15
Joe Khan,,,,,,,,,,,,0,1,14,15
Nat Lownes,,,,,,,,,,,,,0,15,15
Total,42,30,20,20,19,18,18,14,8,6,5,4,2,16,15
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,16
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Linda Norris,Rebecca Poyourow,Monica Maria Djerassi,Jacque Whaumbush,Nat Lownes,Joe Khan,John Brady,2,16
Kathryn S Huggins,8,19,16,14,18,10,9,9,10,3,4,4,2,3,16
Ken Washington,,1,16,12,17,11,10,10,9,6,6,6,2,4,16
Dewayne Drummond,,,1,9,15,8,9,7,9,3,3,3,2,5,16
Kevin Bundy,,,,0,11,8,3,7,4,4,5,4,2,6,16
Liam G Boyle,,,,,0,6,5,5,8,1,3,3,1,7,16
Lisa Rhodes,,,,,,0,12,7,5,7,5,5,3,8,16
Linda Norris,,,,,,,0,6,6,4,4,4,2,9,16
Rebecca Poyourow,,,,,,,,1,6,5,6,5,3,10,16
Monica Maria Djerassi,,,,,,,,,0,3,3,4,1,11,16
Jacque Whaumbush,,,,,,,,,,0,5,2,1,12,16
Nat Lownes,,,,,,,,,,,0,3,2,13,16
Joe Khan,,,,,,,,,,,,0,2,14,16
John Brady,,,,,,,,,,,,,0,15,16
Total,35,27,21,20,20,18,15,15,13,9,9,8,6,16,16
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,17
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Linda Norris,Kevin Bundy,Monica Maria Djerassi,John Brady,Joe Khan,Nat Lownes,Rebecca Poyourow,Jacque Whaumbush,2,17
Kathryn S Huggins,9,21,18,21,18,17,12,10,5,3,1,3,1,3,17
Ken Washington,,6,19,20,17,16,13,10,3,4,3,2,1,4,17
Dewayne Drummond,,,2,16,14,15,6,11,2,3,1,2,1,5,17
Liam G Boyle,,,,0,12,14,10,11,2,1,1,2,0,6,17
Lisa Rhodes,,,,,0,17,6,13,4,3,2,2,1,7,17
Linda Norris,,,,,,0,6,14,4,3,2,3,1,8,17
Kevin Bundy,,,,,,,0,3,4,1,3,2,0,9,17
Monica Maria Djerassi,,,,,,,,0,3,1,2,1,0,10,17
John Brady,,,,,,,,,2,2,2,1,0,11,17
Joe Khan,,,,,,,,,,0,1,0,1,12,17
Nat Lownes,,,,,,,,,,,0,0,0,13,17
Rebecca Poyourow,,,,,,,,,,,,0,0,14,17
Jacque Whaumbush,,,,,,,,,,,,,0,15,17
Total,39,34,24,24,23,21,15,15,8,4,3,3,1,16,17
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,18
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Kevin Bundy,Lisa Rhodes,Rebecca Poyourow,Linda Norris,John Brady,Nat Lownes,Monica Maria Djerassi,Joe Khan,Jacque Whaumbush,2,18
Kathryn S Huggins,11,19,16,13,13,8,9,6,5,5,4,2,1,3,18
Dewayne Drummond,,0,18,18,17,10,10,7,6,7,6,4,2,4,18
Ken Washington,,,3,15,14,5,7,5,7,4,4,0,0,5,18
Liam G Boyle,,,,1,14,6,6,3,4,5,4,3,1,6,18
Kevin Bundy,,,,,1,6,8,4,6,4,4,1,1,7,18
Lisa Rhodes,,,,,,1,6,5,4,3,3,3,2,8,18
Rebecca Poyourow,,,,,,,0,3,3,5,3,2,2,9,18
Linda Norris,,,,,,,,1,2,2,3,1,0,10,18
John Brady,,,,,,,,,0,2,2,1,0,11,18
Nat Lownes,,,,,,,,,,0,0,3,0,12,18
Monica Maria Djerassi,,,,,,,,,,,0,1,2,13,18
Joe Khan,,,,,,,,,,,,0,1,14,18
Jacque Whaumbush,,,,,,,,,,,,,0,15,18
Total,32,26,25,20,19,12,11,10,9,7,6,4,2,16,18
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,19
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Rebecca Poyourow,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,2,19
Kathryn S Huggins,19,34,29,27,24,19,19,14,6,6,4,3,4,3,19
Ken Washington,,7,28,26,20,19,18,14,8,5,4,3,2,4,19
Dewayne Drummond,,,2,24,17,11,11,13,4,3,3,4,1,5,19
Liam G Boyle,,,,0,16,11,11,10,4,4,1,2,0,6,19
Kevin Bundy,,,,,2,8,7,4,4,5,1,1,3,7,19
Linda Norris,,,,,,0,20,11,8,4,4,3,3,8,19
Lisa Rhodes,,,,,,,0,10,7,4,5,4,4,9,19
Monica Maria Djerassi,,,,,,,,0,4,2,2,2,2,10,19
Rebecca Poyourow,,,,,,,,,0,3,3,4,1,11,19
John Brady,,,,,,,,,,0,1,3,2,12,19
Jacque Whaumbush,,,,,,,,,,,0,2,1,13,19
Joe Khan,,,,,,,,,,,,0,2,14,19
Nat Lownes,,,,,,,,,,,,,0,15,19
Total,61,43,33,28,27,22,22,16,10,8,6,6,5,16,19
