col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
Rhea Powell,,,,0,31,30,26,20,16,18,17,15,9,6,3
Marylouise Isaacson,,,,,1,27,26,18,15,17,16,16,9,7,3
Amanda Mcillmurray,,,,,,2,24,13,11,14,14,11,7,8,3
Mariel J K Martin,,,,,,,0,15,16,14,8,9,5,9,3
Andi Perez,,,,,,,,0,14,13,12,12,11,10,3
Darrell L Clarke,,,,,,,,,2,10,6,7,6,11,3
Micah Mahjoubian,,,,,,,,,,1,7,11,6,12,3
Tom Young,,,,,,,,,,,1,11,9,13,3
Joe Celentano,,,,,,,,,,,,0,6,14,3
Jon Geeting,,,,,,,,,,,,,1,15,3
Total,75,66,61,45,41,38,34,30,26,25,22,21,16,16,3
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,4
,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Rhea Powell,Matthew D Myers,Amanda Mcillmurray,Marylouise Isaacson,Darrell L Clarke,Andi Perez,Micah Mahjoubian,Tom Young,Mariel J K Martin,Joe Celentano,2,4
Judi Golding Baker,0,29,28,16,28,14,12,8,12,11,9,10,5,3,4
Noam Kugelmass,,1,27,16,25,10,10,8,8,11,10,8,7,4,4
Jon Geeting,,,1,13,24,11,10,6,10,6,8,5,4,5,4
Rhea Powell,,,,4,9,17,14,9,17,13,14,11,11,6,4
Matthew D Myers,,,,,0,11,5,8,5,8,4,6,1,7,4
Amanda Mcillmurray,,,,,,0,11,7,12,7,9,10,5,8,4
Marylouise Isaacson,,,,,,,1,8,12,6,7,10,8,9,4
Darrell L Clarke,,,,,,,,2,7,5,6,5,4,10,4
Andi Perez,,,,,,,,,1,6,10,8,8,11,4
Micah Mahjoubian,,,,,,,,,,2,9,6,8,12,4
Tom Young,,,,,,,,,,,1,7,9,13,4
Mariel J K Martin,,,,,,,,,,,,0,6,14,4
Joe Celentano,,,,,,,,,,,,,0,15,4
Total,38,37,34,33,31,21,21,20,19,19,17,16,13,16,4
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,5
,Judi Golding Baker,Rhea Powell,Noam Kugelmass,Matthew D Myers,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Joe Celentano,Darrell L Clarke,Mariel J K Martin,Tom Young,Micah Mahjoubian,Jon Geeting,2,5
Judi Golding Baker,3,27,37,32,21,23,18,17,16,16,10,10,10,3,5
Rhea Powell,,6,27,18,30,25,29,27,17,25,21,17,14,4,5
Noam Kugelmass,,,1,30,16,18,17,18,15,15,18,16,9,5,5
Matthew D Myers,,,,0,13,14,9,12,14,13,9,6,5,6,5
Amanda Mcillmurray,,,,,0,26,22,23,13,18,14,12,10,7,5
Marylouise Isaacson,,,,,,0,18,16,15,16,13,14,9,8,5
Andi Perez,,,,,,,0,17,8,19,12,10,11,9,5
Joe Celentano,,,,,,,,1,13,14,17,16,8,10,5
Darrell L Clarke,,,,,,,,,1,11,10,12,8,11,5
Mariel J K Martin,,,,,,,,,,0,15,8,8,12,5
Tom Young,,,,,,,,,,,3,13,8,13,5
Micah Mahjoubian,,,,,,,,,,,,1,6,14,5
Jon Geeting,,,,,,,,,,,,,0,15,5
Total,53,53,51,38,36,34,32,32,28,27,27,23,19,16,5
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,6
,Judi Golding Baker,Noam Kugelmass,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Micah Mahjoubian,Andi Perez,Marylouise Isaacson,Tom Young,Mariel J K Martin,Joe Celentano,Darrell L Clarke,Jon Geeting,2,6
Judi Golding Baker,2,78,72,41,42,31,32,33,21,30,15,24,20,3,6
Noam Kugelmass,,4,67,37,32,29,27,27,25,22,17,16,16,4,6
Matthew D Myers,,,0,23,23,19,17,20,13,22,11,18,10,5,6
Rhea Powell,,,,4,48,43,46,45,39,33,34,24,16,6,6
Amanda Mcillmurray,,,,,0,42,42,48,38,35,31,20,22,7,6
Micah Mahjoubian,,,,,,1,43,40,42,25,34,23,21,8,6
Andi Perez,,,,,,,0,41,37,33,34,17,21,9,6
Marylouise Isaacson,,,,,,,,0,38,30,31,22,17,10,6
Tom Young,,,,,,,,,0,26,38,18,18,11,6
Mariel J K Martin,,,,,,,,,,1,24,17,14,12,6
Joe Celentano,,,,,,,,,,,0,15,16,13,6
Darrell L Clarke,,,,,,,,,,,,3,9,14,6
Jon Geeting,,,,,,,,,,,,,2,15,6
Total,106,98,84,73,66,63,61,60,55,50,47,39,35,16,6
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,7
,Marylouise Isaacson,Judi Golding Baker,Amanda Mcillmurray,Micah Mahjoubian,Noam Kugelmass,Tom Young,Rhea Powell,Andi Perez,Darrell L Clarke,Matthew D Myers,Mariel J K Martin,Joe Celentano,Jon Geeting,2,7
Marylouise Isaacson,1,82,108,96,72,87,75,80,68,44,43,33,21,3,7
Judi Golding Baker,,0,80,63,83,54,57,62,58,75,37,20,19,4,7
Amanda Mcillmurray,,,1,90,63,87,73,79,64,40,42,30,24,5,7
Micah Mahjoubian,,,,4,68,93,64,81,68,35,33,35,21,6,7
Noam Kugelmass,,,,,0,66,60,55,45,62,31,32,27,7,7
Tom Young,,,,,,1,61,73,60,34,28,40,23,8,7
Rhea Powell,,,,,,,6,53,32,25,41,42,29,9,7
Andi Perez,,,,,,,,2,59,35,26,23,18,10,7
Darrell L Clarke,,,,,,,,,5,33,25,13,12,11,7
Matthew D Myers,,,,,,,,,,0,20,11,9,12,7
Mariel J K Martin,,,,,,,,,,,2,18,16,13,7
Joe Celentano,,,,,,,,,,,,1,19,14,7
Jon Geeting,,,,,,,,,,,,,1,15,7
Total,132,131,130,127,123,114,111,105,95,84,58,52,43,16,7
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,8
,Noam Kugelmass,Judi Golding Baker,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Micah Mahjoubian,Darrell L Clarke,Tom Young,Joe Celentano,Jon Geeting,2,8
Noam Kugelmass,2,137,128,42,43,39,31,25,22,20,19,14,14,3,8
Judi Golding Baker,,1,126,41,41,40,27,25,21,22,15,9,11,4,8
Matthew D Myers,,,1,27,33,28,18,17,15,18,14,10,11,5,8
Rhea Powell,,,,4,42,45,33,28,27,20,20,14,15,6,8
Amanda Mcillmurray,,,,,0,45,34,32,23,21,17,15,10,7,8
Marylouise Isaacson,,,,,,1,31,27,25,20,18,13,12,8,8
Andi Perez,,,,,,,0,20,21,14,14,12,11,9,8
Mariel J K Martin,,,,,,,,0,13,13,9,6,6,10,8
Micah Mahjoubian,,,,,,,,,0,15,15,10,10,11,8
Darrell L Clarke,,,,,,,,,,1,7,7,5,12,8
Tom Young,,,,,,,,,,,0,12,10,13,8
Joe Celentano,,,,,,,,,,,,1,10,14,8
Jon Geeting,,,,,,,,,,,,,0,15,8
Total,157,148,135,62,61,57,43,36,35,30,27,22,21,16,8
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,9
,Noam Kugelmass,Judi Golding Baker,Jon Geeting,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Tom Young,Darrell L Clarke,Mariel J K Martin,Joe Celentano,2,9
Noam Kugelmass,7,97,95,87,42,35,31,36,31,26,16,20,17,3,9
Judi Golding Baker,,1,87,93,44,45,38,43,27,18,22,25,12,4,9
Jon Geeting,,,2,83,28,27,26,23,16,13,9,16,9,5,9
Matthew D Myers,,,,0,25,27,20,23,14,11,14,15,6,6,9
Rhea Powell,,,,,3,45,39,44,34,33,23,26,22,7,9
Amanda Mcillmurray,,,,,,1,41,47,25,23,20,29,13,8,9
Andi Perez,,,,,,,1,40,24,20,21,23,16,9,9
Marylouise Isaacson,,,,,,,,0,29,22,18,24,16,10,9
Micah Mahjoubian,,,,,,,,,1,22,13,15,19,11,9
Tom Young,,,,,,,,,,3,10,16,20,12,9
Darrell L Clarke,,,,,,,,,,,5,13,7,13,9
Mariel J K Martin,,,,,,,,,,,,0,9,14,9
Joe Celentano,,,,,,,,,,,,,0,15,9
Total,128,123,108,96,75,66,59,57,45,41,37,37,27,16,9
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,10
,Noam Kugelmass,Judi Golding Baker,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Matthew D Myers,Mariel J K Martin,Micah Mahjoubian,Tom Young,Joe Celentano,Jon Geeting,Darrell L Clarke,2,10
Noam Kugelmass,1,40,30,28,24,24,30,21,23,21,21,16,12,3,10
Judi Golding Baker,,0,25,30,26,17,34,19,15,11,13,9,15,4,10
Rhea Powell,,,4,33,35,28,12,28,27,23,21,15,14,5,10
Amanda Mcillmurray,,,,2,34,26,11,27,23,21,22,14,17,6,10
Marylouise Isaacson,,,,,0,27,11,26,25,21,18,14,16,7,10
Andi Perez,,,,,,0,7,23,20,17,20,17,12,8,10
Matthew D Myers,,,,,,,0,9,8,4,5,8,6,9,10
Mariel J K Martin,,,,,,,,0,17,12,13,11,14,10,10
Micah Mahjoubian,,,,,,,,,0,20,19,10,9,11,10
Tom Young,,,,,,,,,,1,18,11,10,12,10
Joe Celentano,,,,,,,,,,,0,11,8,13,10
Jon Geeting,,,,,,,,,,,,1,7,14,10
Darrell L Clarke,,,,,,,,,,,,,1,15,10
Total,61,54,51,49,43,38,37,34,33,31,28,27,25,16,10
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,11
,Noam Kugelmass,Rhea Powell,Judi Golding Baker,Jon Geeting,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Matthew D Myers,Joe Celentano,Tom Young,Mariel J K Martin,Darrell L Clarke,2,11
Noam Kugelmass,1,30,39,36,24,24,21,23,28,22,19,16,11,3,11
Rhea Powell,,5,24,20,32,25,29,29,11,27,22,23,10,4,11
Judi Golding Baker,,,0,27,27,18,19,13,29,12,8,14,7,5,11
Jon Geeting,,,,3,17,19,13,11,23,9,11,13,9,6,11
Amanda Mcillmurray,,,,,1,24,26,17,12,17,11,21,8,7,11
Andi Perez,,,,,,0,18,15,12,17,15,17,10,8,11
Marylouise Isaacson,,,,,,,0,19,9,17,10,15,6,9,11
Micah Mahjoubian,,,,,,,,2,7,22,18,14,6,10,11
Matthew D Myers,,,,,,,,,0,5,6,6,8,11,11
Joe Celentano,,,,,,,,,,0,20,12,7,12,11
Tom Young,,,,,,,,,,,1,6,8,13,11
Mariel J K Martin,,,,,,,,,,,,0,9,14,11
Darrell L Clarke,,,,,,,,,,,,,1,15,11
Total,59,53,47,45,40,33,33,33,32,30,28,27,17,16,11
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,12
,Judi Golding Baker,Noam Kugelmass,Rhea Powell,Matthew D Myers,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Marylouise Isaacson,Mariel J K Martin,Micah Mahjoubian,Tom Young,Joe Celentano,Jon Geeting,2,12
Judi Golding Baker,0,23,17,20,16,13,10,14,11,9,6,5,3,3,12
Noam Kugelmass,,1,14,19,10,9,7,10,7,8,5,4,3,4,12
Rhea Powell,,,2,13,16,15,13,17,13,13,8,5,4,5,12
Matthew D Myers,,,,1,9,9,10,9,8,5,5,6,3,6,12
Amanda Mcillmurray,,,,,1,11,8,13,11,8,5,3,3,7,12
Andi Perez,,,,,,0,11,12,11,9,3,3,2,8,12
Darrell L Clarke,,,,,,,2,8,6,7,6,3,1,9,12
Marylouise Isaacson,,,,,,,,0,11,8,4,3,2,10,12
Mariel J K Martin,,,,,,,,,0,7,4,2,2,11,12
Micah Mahjoubian,,,,,,,,,,0,5,3,2,12,12
Tom Young,,,,,,,,,,,1,2,0,13,12
Joe Celentano,,,,,,,,,,,,1,2,14,12
Jon Geeting,,,,,,,,,,,,,1,15,12
Total,30,28,27,26,19,18,17,17,15,14,10,8,6,16,12
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,13
,Judi Golding Baker,Noam Kugelmass,Rhea Powell,Matthew D Myers,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Mariel J K Martin,Darrell L Clarke,Tom Young,Joe Celentano,Jon Geeting,2,13
Judi Golding Baker,3,55,38,52,35,30,36,28,31,27,18,18,13,3,13
Noam Kugelmass,,2,38,47,28,25,27,28,24,13,23,21,15,4,13
Rhea Powell,,,6,26,35,35,34,35,33,24,30,24,19,5,13
Matthew D Myers,,,,0,23,21,22,16,20,12,15,9,11,6,13
Amanda Mcillmurray,,,,,0,34,33,28,30,15,21,22,12,7,13
Andi Perez,,,,,,1,30,32,28,20,20,18,10,8,13
Marylouise Isaacson,,,,,,,1,29,27,20,21,20,10,9,13
Micah Mahjoubian,,,,,,,,1,26,21,25,23,11,10,13
Mariel J K Martin,,,,,,,,,1,19,20,20,14,11,13
Darrell L Clarke,,,,,,,,,,4,10,9,7,12,13
Tom Young,,,,,,,,,,,1,21,9,13,13
Joe Celentano,,,,,,,,,,,,2,12,14,13
Jon Geeting,,,,,,,,,,,,,3,15,13
Total,80,74,68,58,51,50,49,48,47,41,38,36,27,16,13
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,14
,Judi Golding Baker,Jon Geeting,Noam Kugelmass,Rhea Powell,Matthew D Myers,Marylouise Isaacson,Amanda Mcillmurray,Andi Perez,Mariel J K Martin,Micah Mahjoubian,Tom Young,Darrell L Clarke,Joe Celentano,2,14
Judi Golding Baker,0,59,58,33,55,34,33,29,32,25,14,20,10,3,14
Jon Geeting,,4,57,26,50,31,24,26,25,18,16,13,14,4,14
Noam Kugelmass,,,1,31,44,29,25,26,27,26,23,12,20,5,14
Rhea Powell,,,,7,22,42,41,34,32,33,29,20,27,6,14
Matthew D Myers,,,,,1,24,25,17,19,12,13,12,10,7,14
Marylouise Isaacson,,,,,,0,40,37,36,28,22,21,22,8,14
Amanda Mcillmurray,,,,,,,0,33,35,27,21,21,20,9,14
Andi Perez,,,,,,,,1,34,29,23,19,21,10,14
Mariel J K Martin,,,,,,,,,0,28,18,14,15,11,14
Micah Mahjoubian,,,,,,,,,,1,23,14,20,12,14
Tom Young,,,,,,,,,,,3,14,23,13,14
Darrell L Clarke,,,,,,,,,,,,3,12,14,14
Joe Celentano,,,,,,,,,,,,,0,15,14
Total,78,76,75,65,63,57,52,51,47,45,42,36,33,16,14
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,15
,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Rhea Powell,Matthew D Myers,Andi Perez,Amanda Mcillmurray,Marylouise Isaacson,Micah Mahjoubian,Mariel J K Martin,Tom Young,Darrell L Clarke,Joe Celentano,2,15
Judi Golding Baker,1,75,62,50,65,37,40,35,25,32,23,19,15,3,15
Noam Kugelmass,,1,62,48,63,38,34,36,28,30,23,19,12,4,15
Jon Geeting,,,5,35,59,24,24,22,16,23,17,12,11,5,15
Rhea Powell,,,,4,32,48,51,45,37,41,35,29,24,6,15
Matthew D Myers,,,,,1,18,24,19,13,17,17,13,8,7,15
Andi Perez,,,,,,0,38,34,29,30,23,27,19,8,15
Amanda Mcillmurray,,,,,,,0,35,28,33,21,19,15,9,15
Marylouise Isaacson,,,,,,,,0,29,30,20,17,14,10,15
Micah Mahjoubian,,,,,,,,,4,27,19,15,15,11,15
Mariel J K Martin,,,,,,,,,,0,20,18,13,12,15
Tom Young,,,,,,,,,,,3,14,17,13,15
Darrell L Clarke,,,,,,,,,,,,1,10,14,15
Joe Celentano,,,,,,,,,,,,,1,15,15
Total,93,93,79,78,72,60,56,51,47,46,41,35,27,16,15
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,16
,Noam Kugelmass,Judi Golding Baker,Matthew D Myers,Jon Geeting,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Darrell L Clarke,Micah Mahjoubian,Tom Young,Joe Celentano,2,16
Noam Kugelmass,1,114,106,100,49,43,47,34,27,19,26,18,13,3,16
Judi Golding Baker,,1,105,97,44,39,42,33,28,16,18,12,8,4,16
Matthew D Myers,,,0,95,36,33,37,26,23,17,12,10,5,5,16
Jon Geeting,,,,5,29,25,27,21,16,7,10,10,6,6,16
Rhea Powell,,,,,2,52,50,42,38,26,29,27,18,7,16
Amanda Mcillmurray,,,,,,0,44,35,32,14,22,23,15,8,16
Marylouise Isaacson,,,,,,,1,34,32,19,20,16,9,9,16
Andi Perez,,,,,,,,0,28,18,20,17,14,10,16
Mariel J K Martin,,,,,,,,,0,15,16,14,11,11,16
Darrell L Clarke,,,,,,,,,,4,12,7,6,12,16
Micah Mahjoubian,,,,,,,,,,,0,14,15,13,16
Tom Young,,,,,,,,,,,,0,15,14,16
Joe Celentano,,,,,,,,,,,,,0,15,16
Total,133,128,116,112,79,64,63,53,45,35,35,34,22,16,16
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,17
,Rhea Powell,Judi Golding Baker,Noam Kugelmass,Amanda Mcillmurray,Mariel J K Martin,Andi Perez,Marylouise Isaacson,Tom Young,Matthew D Myers,Micah Mahjoubian,Darrell L Clarke,Joe Celentano,Jon Geeting,2,17
Rhea Powell,11,60,57,65,65,58,62,55,30,49,35,40,29,3,17
Judi Golding Baker,,0,56,49,44,42,45,28,44,32,24,24,18,4,17
Noam Kugelmass,,,3,35,39,39,38,40,41,38,22,25,20,5,17
Amanda Mcillmurray,,,,0,50,43,56,35,24,29,22,27,19,6,17
Mariel J K Martin,,,,,0,49,45,37,23,32,24,26,22,7,17
Andi Perez,,,,,,1,38,39,21,33,31,27,22,8,17
Marylouise Isaacson,,,,,,,0,31,17,32,22,23,18,9,17
Tom Young,,,,,,,,1,21,31,21,38,21,10,17
Matthew D Myers,,,,,,,,,1,12,19,15,9,11,17
Micah Mahjoubian,,,,,,,,,,1,17,26,18,12,17
Darrell L Clarke,,,,,,,,,,,5,17,15,13,17
Joe Celentano,,,,,,,,,,,,0,18,14,17
Jon Geeting,,,,,,,,,,,,,4,15,17
Total,113,90,88,75,74,72,70,64,58,57,50,48,41,16,17
