col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Mike Stack,Nina Ahmad,Ray Sosa,John Fetterman,Kathi Cozzone,Brendan F Boyle,Michele Lawrence,2,3
Mike Stack,1,0,0,0,0,13,1,3,3
Nina Ahmad,,0,0,0,0,0,5,4,3
Ray Sosa,,,1,0,0,0,1,5,3
John Fetterman,,,,0,0,1,0,6,3
Kathi Cozzone,,,,,0,0,0,7,3
Brendan F Boyle,,,,,,0,0,8,3
Michele Lawrence,,,,,,,0,9,3
Total,15,5,2,1,0,14,7,10,3
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,4
,Michele Lawrence,Brendan F Boyle,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,4
Michele Lawrence,2,0,23,29,9,11,1,3,4
Brendan F Boyle,,1,31,11,11,2,0,4,4
John Fetterman,,,3,0,0,0,0,5,4
Nina Ahmad,,,,1,0,0,0,6,4
Mike Stack,,,,,4,0,0,7,4
Kathi Cozzone,,,,,,2,0,8,4
Ray Sosa,,,,,,,0,9,4
Total,75,56,57,41,24,15,1,10,4
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,5
,Brendan F Boyle,Michele Lawrence,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,5
Brendan F Boyle,2,0,17,15,10,3,0,3,5
Michele Lawrence,,0,16,9,5,8,0,4,5
Nina Ahmad,,,1,0,0,0,0,5,5
John Fetterman,,,,6,0,0,0,6,5
Mike Stack,,,,,1,0,0,7,5
Kathi Cozzone,,,,,,1,0,8,5
Ray Sosa,,,,,,,0,9,5
Total,47,38,34,30,16,12,0,10,5
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,6
,Michele Lawrence,Brendan F Boyle,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,6
Michele Lawrence,2,0,20,19,11,10,1,3,6
Brendan F Boyle,,1,25,12,19,3,0,4,6
John Fetterman,,,3,0,0,0,0,5,6
Nina Ahmad,,,,5,0,0,0,6,6
Mike Stack,,,,,0,0,0,7,6
Kathi Cozzone,,,,,,0,0,8,6
Ray Sosa,,,,,,,1,9,6
Total,63,60,48,36,30,13,2,10,6
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,7
,Michele Lawrence,Brendan F Boyle,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,7
Michele Lawrence,2,0,27,33,12,11,1,3,7
Brendan F Boyle,,6,28,20,15,8,0,4,7
John Fetterman,,,6,0,0,0,0,5,7
Nina Ahmad,,,,3,0,0,0,6,7
Mike Stack,,,,,3,0,0,7,7
Kathi Cozzone,,,,,,2,0,8,7
Ray Sosa,,,,,,,0,9,7
Total,86,77,61,56,30,21,1,10,7
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,8
,Brendan F Boyle,Michele Lawrence,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,8
Brendan F Boyle,2,0,5,3,0,1,0,3,8
Michele Lawrence,,2,4,0,4,1,0,4,8
Mike Stack,,,0,0,0,0,0,5,8
John Fetterman,,,,1,0,0,0,6,8
Kathi Cozzone,,,,,0,0,0,7,8
Nina Ahmad,,,,,,0,0,8,8
Ray Sosa,,,,,,,0,9,8
Total,11,11,9,4,4,2,0,10,8
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,9
,Brendan F Boyle,Michele Lawrence,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,9
Brendan F Boyle,4,0,20,25,17,4,2,3,9
Michele Lawrence,,2,32,7,14,11,1,4,9
Nina Ahmad,,,3,0,0,0,0,5,9
Mike Stack,,,,3,0,0,0,6,9
John Fetterman,,,,,3,0,0,7,9
Kathi Cozzone,,,,,,0,0,8,9
Ray Sosa,,,,,,,0,9,9
Total,72,67,55,35,34,15,3,10,9
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,10
,Brendan F Boyle,Michele Lawrence,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,10
Brendan F Boyle,2,0,44,25,20,2,0,3,10
Michele Lawrence,,1,11,12,8,18,1,4,10
John Fetterman,,,3,0,0,0,0,5,10
Nina Ahmad,,,,3,0,0,0,6,10
Mike Stack,,,,,5,0,0,7,10
Kathi Cozzone,,,,,,0,0,8,10
Ray Sosa,,,,,,,0,9,10
Total,93,51,58,40,33,20,1,10,10
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,11
,Brendan F Boyle,Michele Lawrence,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,11
Brendan F Boyle,6,0,26,15,23,4,0,3,11
Michele Lawrence,,2,16,28,11,10,0,4,11
John Fetterman,,,5,0,0,0,0,5,11
Nina Ahmad,,,,1,0,0,0,6,11
Mike Stack,,,,,3,0,0,7,11
Kathi Cozzone,,,,,,1,0,8,11
Ray Sosa,,,,,,,0,9,11
Total,74,67,47,44,37,15,0,10,11
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,12
,Brendan F Boyle,Michele Lawrence,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,12
Brendan F Boyle,4,0,45,21,20,4,0,3,12
Michele Lawrence,,3,28,29,6,6,0,4,12
John Fetterman,,,5,0,0,0,0,5,12
Nina Ahmad,,,,1,0,0,0,6,12
Mike Stack,,,,,0,0,0,7,12
Kathi Cozzone,,,,,,1,0,8,12
Ray Sosa,,,,,,,0,9,12
Total,94,72,78,51,26,11,0,10,12
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,13
,Michele Lawrence,Brendan F Boyle,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,13
Michele Lawrence,0,0,6,2,2,1,1,3,13
Brendan F Boyle,,2,1,4,0,3,0,4,13
Kathi Cozzone,,,2,0,0,0,0,5,13
Mike Stack,,,,3,0,0,0,6,13
Nina Ahmad,,,,,3,0,0,7,13
John Fetterman,,,,,,0,0,8,13
Ray Sosa,,,,,,,1,9,13
Total,12,10,9,9,5,4,2,10,13
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,14
,Michele Lawrence,Brendan F Boyle,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,14
Michele Lawrence,1,0,17,8,7,6,1,3,14
Brendan F Boyle,,4,6,12,11,4,0,4,14
Nina Ahmad,,,1,0,0,0,0,5,14
Mike Stack,,,,3,0,0,0,6,14
John Fetterman,,,,,2,0,0,7,14
Kathi Cozzone,,,,,,1,0,8,14
Ray Sosa,,,,,,,1,9,14
Total,40,37,24,23,20,11,2,10,14
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,15
,Michele Lawrence,Brendan F Boyle,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,15
Michele Lawrence,1,0,4,13,8,6,1,3,15
Brendan F Boyle,,2,14,5,3,2,0,4,15
Mike Stack,,,3,0,0,0,0,5,15
Nina Ahmad,,,,2,0,0,0,6,15
John Fetterman,,,,,1,0,0,7,15
Kathi Cozzone,,,,,,0,0,8,15
Ray Sosa,,,,,,,1,9,15
Total,33,26,21,20,12,8,2,10,15
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,16
,Brendan F Boyle,Michele Lawrence,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,2,16
Brendan F Boyle,2,0,22,11,17,1,0,3,16
Michele Lawrence,,0,20,8,3,5,0,4,16
Nina Ahmad,,,3,0,0,0,0,5,16
John Fetterman,,,,6,0,0,0,6,16
Mike Stack,,,,,2,0,0,7,16
Kathi Cozzone,,,,,,1,0,8,16
Ray Sosa,,,,,,,0,9,16
Total,53,36,45,25,22,7,0,10,16
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,17
,Michele Lawrence,Brendan F Boyle,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,2,17
Michele Lawrence,2,0,22,30,12,9,1,3,17
Brendan F Boyle,,3,23,13,18,1,1,4,17
John Fetterman,,,4,0,0,0,0,5,17
Nina Ahmad,,,,2,0,0,0,6,17
Mike Stack,,,,,1,0,0,7,17
Kathi Cozzone,,,,,,1,0,8,17
Ray Sosa,,,,,,,0,9,17
Total,76,59,49,45,31,11,2,10,17
