col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,order,division
Liam G Boyle,,,,,,0,9,6,5,4,3,1,1,0,0,0,0,8,3
Lisa Rhodes,,,,,,,0,8,13,7,4,2,1,0,0,0,0,9,3
Rebecca Poyourow,,,,,,,,0,4,6,3,3,1,0,0,0,0,10,3
Linda Norris,,,,,,,,,0,4,2,1,0,0,0,0,0,11,3
Joe Khan,,,,,,,,,,0,2,4,1,0,0,0,0,12,3
Nat Lownes,,,,,,,,,,,0,1,0,0,0,0,0,13,3
John Brady,,,,,,,,,,,,0,0,0,0,0,0,14,3
Jacque Whaumbush,,,,,,,,,,,,,0,0,0,0,0,15,3
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,3
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,3
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,3
Torri Douglas,,,,,,,,,,,,,,,,,0,19,3
Total,41,30,30,25,21,20,18,15,14,11,7,6,1,0,0,0,0,20,3
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,4
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Kevin Bundy,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,John Brady,Rebecca Poyourow,Nat Lownes,Jacque Whaumbush,Joe Khan,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,4
Kathryn S Huggins,11,30,27,21,20,16,15,14,11,12,8,9,7,0,0,0,0,3,4
Dewayne Drummond,,5,28,24,21,10,12,9,9,8,8,7,7,0,0,0,0,4,4
Ken Washington,,,2,19,17,12,11,10,8,7,10,5,7,0,0,0,0,5,4
Liam G Boyle,,,,1,16,8,8,6,4,3,4,2,2,0,0,0,0,6,4
Kevin Bundy,,,,,1,5,7,3,6,6,6,4,4,0,0,0,0,7,4
Lisa Rhodes,,,,,,1,14,14,2,10,3,6,1,0,0,0,0,8,4
Monica Maria Djerassi,,,,,,,1,11,4,11,4,4,2,0,0,0,0,9,4
Linda Norris,,,,,,,,1,1,8,2,4,3,0,0,0,0,10,4
John Brady,,,,,,,,,2,3,5,2,6,0,0,0,0,11,4
Rebecca Poyourow,,,,,,,,,,0,3,4,3,0,0,0,0,12,4
Nat Lownes,,,,,,,,,,,0,2,4,0,0,0,0,13,4
Jacque Whaumbush,,,,,,,,,,,,0,2,0,0,0,0,14,4
Joe Khan,,,,,,,,,,,,,0,0,0,0,0,15,4
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,4
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,4
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,4
Torri Douglas,,,,,,,,,,,,,,,,,0,19,4
Total,50,40,34,26,25,21,20,17,15,14,11,10,8,0,0,0,0,20,4
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,5
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,5
Torri Douglas,11,30,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Kyle J Sampson,,7,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
Kyle Shenandoah,,,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Marisa Piccarreto,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
Dewayne Drummond,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
Jacque Whaumbush,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,5
Joe Khan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,5
John Brady,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,5
Kathryn S Huggins,,,,,,,,,0,0,0,0,0,0,0,0,0,11,5
Ken Washington,,,,,,,,,,0,0,0,0,0,0,0,0,12,5
Kevin Bundy,,,,,,,,,,,0,0,0,0,0,0,0,13,5
Liam G Boyle,,,,,,,,,,,,0,0,0,0,0,0,14,5
Linda Norris,,,,,,,,,,,,,0,0,0,0,0,15,5
Lisa Rhodes,,,,,,,,,,,,,,0,0,0,0,16,5
Monica Maria Djerassi,,,,,,,,,,,,,,,0,0,0,17,5
Nat Lownes,,,,,,,,,,,,,,,,0,0,18,5
Rebecca Poyourow,,,,,,,,,,,,,,,,,0,19,5
Total,43,37,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,6
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,6
Torri Douglas,9,28,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Kyle J Sampson,,7,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
Marisa Piccarreto,,,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Kyle Shenandoah,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
Dewayne Drummond,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
Jacque Whaumbush,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,6
Joe Khan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,6
John Brady,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,6
Kathryn S Huggins,,,,,,,,,0,0,0,0,0,0,0,0,0,11,6
Ken Washington,,,,,,,,,,0,0,0,0,0,0,0,0,12,6
Kevin Bundy,,,,,,,,,,,0,0,0,0,0,0,0,13,6
Liam G Boyle,,,,,,,,,,,,0,0,0,0,0,0,14,6
Linda Norris,,,,,,,,,,,,,0,0,0,0,0,15,6
Lisa Rhodes,,,,,,,,,,,,,,0,0,0,0,16,6
Monica Maria Djerassi,,,,,,,,,,,,,,,0,0,0,17,6
Nat Lownes,,,,,,,,,,,,,,,,0,0,18,6
Rebecca Poyourow,,,,,,,,,,,,,,,,,0,19,6
Total,39,38,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,7
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,7
Torri Douglas,10,29,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
Kyle J Sampson,,4,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
Marisa Piccarreto,,,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
Kyle Shenandoah,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
Dewayne Drummond,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Jacque Whaumbush,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,7
Joe Khan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,7
John Brady,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,7
Kathryn S Huggins,,,,,,,,,0,0,0,0,0,0,0,0,0,11,7
Ken Washington,,,,,,,,,,0,0,0,0,0,0,0,0,12,7
Kevin Bundy,,,,,,,,,,,0,0,0,0,0,0,0,13,7
Liam G Boyle,,,,,,,,,,,,0,0,0,0,0,0,14,7
Linda Norris,,,,,,,,,,,,,0,0,0,0,0,15,7
Lisa Rhodes,,,,,,,,,,,,,,0,0,0,0,16,7
Monica Maria Djerassi,,,,,,,,,,,,,,,0,0,0,17,7
Nat Lownes,,,,,,,,,,,,,,,,0,0,18,7
Rebecca Poyourow,,,,,,,,,,,,,,,,,0,19,7
Total,40,35,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,8
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Rebecca Poyourow,Kevin Bundy,Nat Lownes,Liam G Boyle,Jacque Whaumbush,Joe Khan,John Brady,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,8
Kathryn S Huggins,5,29,26,30,26,26,28,22,15,15,14,8,5,0,0,0,0,3,8
Dewayne Drummond,,1,27,14,16,11,15,17,12,14,7,11,3,0,0,0,0,4,8
Ken Washington,,,4,13,15,9,12,16,13,14,6,9,5,0,0,0,0,5,8
Lisa Rhodes,,,,0,24,24,19,11,9,5,13,5,4,0,0,0,0,6,8
Linda Norris,,,,,1,25,20,10,11,4,12,7,3,0,0,0,0,7,8
Monica Maria Djerassi,,,,,,0,24,10,9,5,13,8,1,0,0,0,0,8,8
Rebecca Poyourow,,,,,,,0,8,11,8,12,9,2,0,0,0,0,9,8
Kevin Bundy,,,,,,,,0,6,11,6,4,1,0,0,0,0,10,8
Nat Lownes,,,,,,,,,0,5,6,9,3,0,0,0,0,11,8
Liam G Boyle,,,,,,,,,,1,2,2,1,0,0,0,0,12,8
Jacque Whaumbush,,,,,,,,,,,0,4,1,0,0,0,0,13,8
Joe Khan,,,,,,,,,,,,1,2,0,0,0,0,14,8
John Brady,,,,,,,,,,,,,0,0,0,0,0,15,8
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,8
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,8
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,8
Torri Douglas,,,,,,,,,,,,,,,,,0,19,8
Total,55,37,37,34,33,32,32,23,21,18,17,17,6,0,0,0,0,20,8
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,9
,Kathryn S Huggins,Linda Norris,Dewayne Drummond,Ken Washington,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Liam G Boyle,Kevin Bundy,Nat Lownes,Joe Khan,John Brady,Jacque Whaumbush,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,9
Kathryn S Huggins,8,84,80,76,79,77,60,62,30,23,24,19,17,0,0,0,0,3,9
Linda Norris,,0,64,59,73,78,42,50,18,21,16,9,14,0,0,0,0,4,9
Dewayne Drummond,,,4,69,54,55,27,55,21,17,16,12,7,0,0,0,0,5,9
Ken Washington,,,,6,50,53,28,57,27,18,13,14,5,0,0,0,0,6,9
Monica Maria Djerassi,,,,,0,70,44,48,15,18,14,13,13,0,0,0,0,7,9
Lisa Rhodes,,,,,,0,36,47,15,16,15,8,15,0,0,0,0,8,9
Rebecca Poyourow,,,,,,,7,23,19,18,25,14,13,0,0,0,0,9,9
Liam G Boyle,,,,,,,,1,18,9,7,12,4,0,0,0,0,10,9
Kevin Bundy,,,,,,,,,3,13,5,11,3,0,0,0,0,11,9
Nat Lownes,,,,,,,,,,1,10,6,4,0,0,0,0,12,9
Joe Khan,,,,,,,,,,,0,7,5,0,0,0,0,13,9
John Brady,,,,,,,,,,,,0,4,0,0,0,0,14,9
Jacque Whaumbush,,,,,,,,,,,,,0,0,0,0,0,15,9
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,9
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,9
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,9
Torri Douglas,,,,,,,,,,,,,,,,,0,19,9
Total,133,98,94,94,89,87,80,71,40,35,34,24,21,0,0,0,0,20,9
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,10
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,10
Torri Douglas,16,20,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
Kyle J Sampson,,8,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
Marisa Piccarreto,,,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
Kyle Shenandoah,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10
Dewayne Drummond,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
Jacque Whaumbush,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,10
Joe Khan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,10
John Brady,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,10
Kathryn S Huggins,,,,,,,,,0,0,0,0,0,0,0,0,0,11,10
Ken Washington,,,,,,,,,,0,0,0,0,0,0,0,0,12,10
Kevin Bundy,,,,,,,,,,,0,0,0,0,0,0,0,13,10
Liam G Boyle,,,,,,,,,,,,0,0,0,0,0,0,14,10
Linda Norris,,,,,,,,,,,,,0,0,0,0,0,15,10
Lisa Rhodes,,,,,,,,,,,,,,0,0,0,0,16,10
Monica Maria Djerassi,,,,,,,,,,,,,,,0,0,0,17,10
Nat Lownes,,,,,,,,,,,,,,,,0,0,18,10
Rebecca Poyourow,,,,,,,,,,,,,,,,,0,19,10
Total,40,30,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,11
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,11
Torri Douglas,12,32,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
Kyle J Sampson,,9,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
Marisa Piccarreto,,,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
Kyle Shenandoah,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
Dewayne Drummond,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
Jacque Whaumbush,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,11
Joe Khan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,11
John Brady,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,11
Kathryn S Huggins,,,,,,,,,0,0,0,0,0,0,0,0,0,11,11
Ken Washington,,,,,,,,,,0,0,0,0,0,0,0,0,12,11
Kevin Bundy,,,,,,,,,,,0,0,0,0,0,0,0,13,11
Liam G Boyle,,,,,,,,,,,,0,0,0,0,0,0,14,11
Linda Norris,,,,,,,,,,,,,0,0,0,0,0,15,11
Lisa Rhodes,,,,,,,,,,,,,,0,0,0,0,16,11
Monica Maria Djerassi,,,,,,,,,,,,,,,0,0,0,17,11
Nat Lownes,,,,,,,,,,,,,,,,0,0,18,11
Rebecca Poyourow,,,,,,,,,,,,,,,,,0,19,11
Total,48,43,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,12
,Kathryn S Huggins,Rebecca Poyourow,Dewayne Drummond,Monica Maria Djerassi,Lisa Rhodes,Ken Washington,Linda Norris,Joe Khan,Kevin Bundy,Jacque Whaumbush,Liam G Boyle,Nat Lownes,John Brady,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,12
Kathryn S Huggins,8,31,25,28,25,22,25,18,19,15,13,15,8,0,0,0,0,3,12
Rebecca Poyourow,,0,17,23,18,13,15,16,12,11,9,11,4,0,0,0,0,4,12
Dewayne Drummond,,,0,16,14,18,12,13,18,6,8,12,7,0,0,0,0,5,12
Monica Maria Djerassi,,,,0,14,12,16,13,9,9,7,8,2,0,0,0,0,6,12
Lisa Rhodes,,,,,0,12,22,13,9,14,8,7,7,0,0,0,0,7,12
Ken Washington,,,,,,2,11,7,14,7,9,8,7,0,0,0,0,8,12
Linda Norris,,,,,,,0,7,10,12,8,4,3,0,0,0,0,9,12
Joe Khan,,,,,,,,3,6,9,5,8,4,0,0,0,0,10,12
Kevin Bundy,,,,,,,,,1,5,6,8,6,0,0,0,0,11,12
Jacque Whaumbush,,,,,,,,,,0,2,4,3,0,0,0,0,12,12
Liam G Boyle,,,,,,,,,,,1,3,3,0,0,0,0,13,12
Nat Lownes,,,,,,,,,,,,1,6,0,0,0,0,14,12
John Brady,,,,,,,,,,,,,0,0,0,0,0,15,12
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,12
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,12
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,12
Torri Douglas,,,,,,,,,,,,,,,,,0,19,12
Total,55,36,31,31,30,29,27,24,24,17,17,17,10,0,0,0,0,20,12
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,13
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Jacque Whaumbush,Rebecca Poyourow,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Nat Lownes,Joe Khan,John Brady,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,13
Kathryn S Huggins,5,20,22,16,18,11,19,16,13,15,7,4,2,0,0,0,0,3,13
Ken Washington,,2,24,18,17,14,12,9,10,10,7,5,2,0,0,0,0,4,13
Dewayne Drummond,,,2,17,14,12,12,9,9,7,4,3,2,0,0,0,0,5,13
Liam G Boyle,,,,2,11,6,8,8,4,6,4,4,1,0,0,0,0,6,13
Kevin Bundy,,,,,1,7,10,7,5,8,7,2,2,0,0,0,0,7,13
Jacque Whaumbush,,,,,,0,10,10,9,7,4,5,1,0,0,0,0,8,13
Rebecca Poyourow,,,,,,,0,13,14,12,7,5,1,0,0,0,0,9,13
Lisa Rhodes,,,,,,,,1,12,14,5,5,1,0,0,0,0,10,13
Monica Maria Djerassi,,,,,,,,,0,10,4,4,1,0,0,0,0,11,13
Linda Norris,,,,,,,,,,0,4,2,0,0,0,0,0,12,13
Nat Lownes,,,,,,,,,,,1,2,2,0,0,0,0,13,13
Joe Khan,,,,,,,,,,,,0,0,0,0,0,0,14,13
John Brady,,,,,,,,,,,,,2,0,0,0,0,15,13
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,13
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,13
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,13
Torri Douglas,,,,,,,,,,,,,,,,,0,19,13
Total,36,35,32,24,22,21,21,20,18,16,11,7,5,0,0,0,0,20,13
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,14
,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Marisa Piccarreto,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,14
Torri Douglas,12,26,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
Kyle Shenandoah,,7,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
Kyle J Sampson,,,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
Marisa Piccarreto,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
Dewayne Drummond,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
Jacque Whaumbush,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,14
Joe Khan,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,14
John Brady,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,14
Kathryn S Huggins,,,,,,,,,0,0,0,0,0,0,0,0,0,11,14
Ken Washington,,,,,,,,,,0,0,0,0,0,0,0,0,12,14
Kevin Bundy,,,,,,,,,,,0,0,0,0,0,0,0,13,14
