col_1,col_2,col_3,col_4,col_5,order,division
,David Torres,Scott R Wagner,Laura Ellsworth,Paul Mango,2,13
David Torres,0,2,1,1,3,13
Scott R Wagner,,1,0,0,4,13
Laura Ellsworth,,,0,0,5,13
Paul Mango,,,,0,6,13
Total,4,3,1,1,7,13
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,14
,David Torres,Laura Ellsworth,Scott R Wagner,Paul Mango,2,14
David Torres,0,2,1,0,3,14
Laura Ellsworth,,0,0,0,4,14
Scott R Wagner,,,0,0,5,14
Paul Mango,,,,0,6,14
Total,3,2,1,0,7,14
,Governor - Republican,,,Representative In Congress 2nd District - Republican,1,15
,Scott R Wagner,Paul Mango,Laura Ellsworth,David Torres,2,15
Scott R Wagner,2,0,0,1,3,15
Paul Mango,,1,0,0,4,15
Laura Ellsworth,,,0,0,5,15
David Torres,,,,1,6,15
Total,3,1,0,2,7,15
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,16
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,16
David Torres,1,5,5,1,3,16
Scott R Wagner,,2,0,0,4,16
Paul Mango,,,1,0,5,16
Laura Ellsworth,,,,0,6,16
Total,12,7,6,1,7,16
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,17
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,17
David Torres,0,5,4,2,3,17
Paul Mango,,1,0,0,4,17
Scott R Wagner,,,1,0,5,17
Laura Ellsworth,,,,0,6,17
Total,11,6,5,2,7,17
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,18
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,18
David Torres,0,5,2,1,3,18
Paul Mango,,1,0,0,4,18
Scott R Wagner,,,0,0,5,18
Laura Ellsworth,,,,0,6,18
Total,8,6,2,1,7,18
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,19
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,19
David Torres,0,9,6,4,3,19
Paul Mango,,4,0,0,4,19
Scott R Wagner,,,1,0,5,19
Laura Ellsworth,,,,0,6,19
Total,19,13,7,4,7,19
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,20
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,20
David Torres,5,29,24,9,3,20
Scott R Wagner,,9,0,0,4,20
Paul Mango,,,8,0,5,20
Laura Ellsworth,,,,3,6,20
Total,67,38,32,12,7,20
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,21
,David Torres,Laura Ellsworth,Scott R Wagner,Paul Mango,2,21
David Torres,0,5,3,2,3,21
Laura Ellsworth,,0,0,0,4,21
Scott R Wagner,,,0,0,5,21
Paul Mango,,,,0,6,21
Total,10,5,3,2,7,21
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,22
,David Torres,Scott R Wagner,Paul Mango,Laura Ellsworth,2,22
David Torres,1,6,6,1,3,22
Scott R Wagner,,2,0,0,4,22
Paul Mango,,,0,0,5,22
Laura Ellsworth,,,,1,6,22
Total,14,8,6,2,7,22
,Representative In Congress 2nd District - Republican,Governor - Republican,,,1,23
,David Torres,Paul Mango,Scott R Wagner,Laura Ellsworth,2,23
David Torres,0,16,11,9,3,23
Paul Mango,,7,0,0,4,23
Scott R Wagner,,,2,0,5,23
Laura Ellsworth,,,,2,6,23
Total,36,23,13,11,7,23
