col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
Kathy Coder,,,,,0,0,0,0,7,6
Jeff Bartos,,,,,,1,0,0,8,6
Diana Irey Vaughan,,,,,,,0,0,9,6
Peg Luksik,,,,,,,,1,10,6
Total,11,10,9,8,7,3,1,1,11,6
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,7
,Theresa A Dintino,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,7
Theresa A Dintino,1,14,14,14,7,8,1,0,3,7
Christopher M Vogler,,1,15,13,7,6,2,0,4,7
Michael A Cibik,,,0,13,8,6,2,0,5,7
Maria Digiorgio Mccolgan,,,,0,7,7,1,0,6,7
Diana Irey Vaughan,,,,,1,0,0,0,7,7
Kathy Coder,,,,,,0,0,0,8,7
Jeff Bartos,,,,,,,0,0,9,7
Peg Luksik,,,,,,,,0,10,7
Total,17,16,16,15,9,9,2,0,11,7
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,8
,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,8
Michael A Cibik,1,12,9,8,6,4,3,0,3,8
Maria Digiorgio Mccolgan,,0,9,8,6,3,2,1,4,8
Theresa A Dintino,,,0,8,5,2,3,0,5,8
Christopher M Vogler,,,,0,4,2,2,0,6,8
Kathy Coder,,,,,1,0,0,0,7,8
Diana Irey Vaughan,,,,,,1,0,0,8,8
Jeff Bartos,,,,,,,1,0,9,8
Peg Luksik,,,,,,,,1,10,8
Total,15,13,10,8,7,5,5,2,11,8
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,9
,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,9
Christopher M Vogler,2,6,6,6,2,1,2,1,3,9
Maria Digiorgio Mccolgan,,0,6,6,2,2,2,1,4,9
Theresa A Dintino,,,1,6,2,1,2,1,5,9
Michael A Cibik,,,,0,2,1,2,1,6,9
Diana Irey Vaughan,,,,,0,0,0,0,7,9
Jeff Bartos,,,,,,0,0,0,8,9
Kathy Coder,,,,,,,0,0,9,9
Peg Luksik,,,,,,,,0,10,9
Total,8,7,7,6,2,2,2,1,11,9
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,10
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,10
Maria Digiorgio Mccolgan,2,8,7,7,9,2,0,0,3,10
Christopher M Vogler,,1,9,9,9,1,0,0,4,10
Michael A Cibik,,,0,9,7,2,1,0,5,10
Theresa A Dintino,,,,0,8,1,0,0,6,10
Kathy Coder,,,,,0,0,0,0,7,10
Diana Irey Vaughan,,,,,,1,0,0,8,10
Jeff Bartos,,,,,,,0,0,9,10
Peg Luksik,,,,,,,,0,10,10
Total,13,12,11,10,12,4,1,0,11,10
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,11
,Michael A Cibik,Maria Digiorgio Mccolgan,Christopher M Vogler,Theresa A Dintino,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,11
Michael A Cibik,0,8,7,5,5,3,2,0,3,11
Maria Digiorgio Mccolgan,,1,7,5,5,2,1,0,4,11
Christopher M Vogler,,,0,5,5,2,1,0,5,11
Theresa A Dintino,,,,1,3,1,1,0,6,11
Kathy Coder,,,,,1,0,0,0,7,11
Diana Irey Vaughan,,,,,,0,0,0,8,11
Jeff Bartos,,,,,,,0,0,9,11
Peg Luksik,,,,,,,,0,10,11
Total,10,9,8,6,7,3,2,0,11,11
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,12
,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,12
Christopher M Vogler,0,6,6,5,6,2,1,0,3,12
Michael A Cibik,,0,5,6,4,2,2,0,4,12
Maria Digiorgio Mccolgan,,,0,5,5,1,1,0,5,12
Theresa A Dintino,,,,0,4,0,3,0,6,12
Diana Irey Vaughan,,,,,0,0,0,0,7,12
Kathy Coder,,,,,,0,0,0,8,12
Jeff Bartos,,,,,,,0,0,9,12
Peg Luksik,,,,,,,,0,10,12
Total,9,8,7,7,6,4,3,0,11,12
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,13
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,13
Christopher M Vogler,0,1,1,1,1,0,0,0,3,13
Maria Digiorgio Mccolgan,,0,1,1,1,0,0,0,4,13
Michael A Cibik,,,0,1,1,0,0,0,5,13
Theresa A Dintino,,,,0,1,0,0,0,6,13
Kathy Coder,,,,,0,0,0,0,7,13
Diana Irey Vaughan,,,,,,0,0,0,8,13
Jeff Bartos,,,,,,,0,0,9,13
Peg Luksik,,,,,,,,0,10,13
Total,1,1,1,1,1,0,0,0,11,13
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,14
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,14
Christopher M Vogler,0,1,1,1,1,0,0,0,3,14
Maria Digiorgio Mccolgan,,0,1,1,1,0,0,0,4,14
Michael A Cibik,,,0,1,1,0,0,0,5,14
Theresa A Dintino,,,,0,1,0,0,0,6,14
Kathy Coder,,,,,0,0,0,0,7,14
Diana Irey Vaughan,,,,,,0,0,0,8,14
Jeff Bartos,,,,,,,0,0,9,14
Peg Luksik,,,,,,,,0,10,14
Total,1,1,1,1,1,0,0,0,11,14
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,16
,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,16
Christopher M Vogler,0,1,0,0,1,0,0,0,3,16
Michael A Cibik,,0,0,0,0,0,0,0,4,16
Maria Digiorgio Mccolgan,,,0,0,0,0,0,0,5,16
Theresa A Dintino,,,,0,0,0,0,0,6,16
Kathy Coder,,,,,0,0,0,0,7,16
Diana Irey Vaughan,,,,,,0,0,0,8,16
Jeff Bartos,,,,,,,0,0,9,16
Peg Luksik,,,,,,,,0,10,16
Total,2,1,0,0,1,0,0,0,11,16
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,17
,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,2,17
Jeff Bartos,1,0,0,0,0,0,0,0,3,17
Kathy Coder,,0,0,0,1,0,0,0,4,17
Diana Irey Vaughan,,,0,0,0,0,0,0,5,17
Peg Luksik,,,,0,0,0,0,0,6,17
Maria Digiorgio Mccolgan,,,,,0,0,0,0,7,17
Christopher M Vogler,,,,,,0,0,0,8,17
Michael A Cibik,,,,,,,0,0,9,17
Theresa A Dintino,,,,,,,,0,10,17
Total,1,1,0,0,1,0,0,0,11,17
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,18
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,2,18
Kathy Coder,0,0,0,0,3,1,1,1,3,18
Diana Irey Vaughan,,0,0,0,0,0,0,0,4,18
Jeff Bartos,,,0,0,0,0,0,0,5,18
Peg Luksik,,,,0,0,0,0,0,6,18
Maria Digiorgio Mccolgan,,,,,0,1,1,1,7,18
Christopher M Vogler,,,,,,0,1,1,8,18
Michael A Cibik,,,,,,,0,1,9,18
Theresa A Dintino,,,,,,,,0,10,18
Total,3,0,0,0,3,1,1,1,11,18
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,19
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Diana Irey Vaughan,Peg Luksik,Jeff Bartos,Kathy Coder,2,19
Christopher M Vogler,0,4,4,4,2,2,0,0,3,19
Maria Digiorgio Mccolgan,,0,4,4,2,2,0,0,4,19
Michael A Cibik,,,0,4,2,2,0,0,5,19
Theresa A Dintino,,,,0,2,2,0,0,6,19
Diana Irey Vaughan,,,,,0,0,0,0,7,19
Peg Luksik,,,,,,0,0,0,8,19
Jeff Bartos,,,,,,,1,0,9,19
Kathy Coder,,,,,,,,0,10,19
Total,4,4,4,4,2,2,1,0,11,19
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 1st Congressional District,,,,1,21
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,2,21
Kathy Coder,0,0,0,0,3,2,2,1,3,21
Diana Irey Vaughan,,1,0,0,0,0,0,0,4,21
Jeff Bartos,,,1,0,0,0,0,0,5,21
Peg Luksik,,,,0,0,0,0,0,6,21
Christopher M Vogler,,,,,0,1,1,1,7,21
Michael A Cibik,,,,,,1,1,1,8,21
Maria Digiorgio Mccolgan,,,,,,,0,1,9,21
Theresa A Dintino,,,,,,,,0,10,21
Total,5,1,1,0,3,3,2,1,11,21
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,22
,Theresa A Dintino,Michael A Cibik,Maria Digiorgio Mccolgan,Christopher M Vogler,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,22
Theresa A Dintino,1,5,5,4,4,2,1,0,3,22
Michael A Cibik,,0,5,4,2,1,2,1,4,22
Maria Digiorgio Mccolgan,,,0,4,3,1,1,0,5,22
Christopher M Vogler,,,,0,2,1,1,0,6,22
Kathy Coder,,,,,2,0,0,0,7,22
Diana Irey Vaughan,,,,,,0,0,0,8,22
Jeff Bartos,,,,,,,0,0,9,22
Peg Luksik,,,,,,,,0,10,22
Total,9,7,6,4,7,2,2,1,11,22
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,23
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,23
Christopher M Vogler,0,7,8,7,5,2,3,0,3,23
Maria Digiorgio Mccolgan,,1,7,7,3,2,3,0,4,23
Michael A Cibik,,,0,7,3,3,3,0,5,23
Theresa A Dintino,,,,1,3,3,2,0,6,23
Kathy Coder,,,,,0,0,0,0,7,23
Diana Irey Vaughan,,,,,,0,0,0,8,23
Jeff Bartos,,,,,,,0,0,9,23
Peg Luksik,,,,,,,,0,10,23
Total,10,9,9,9,5,4,4,0,11,23
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,24
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,24
Christopher M Vogler,0,10,10,10,5,3,1,1,3,24
Maria Digiorgio Mccolgan,,0,10,10,5,3,1,1,4,24
Michael A Cibik,,,0,10,4,4,1,1,5,24
Theresa A Dintino,,,,0,5,3,1,1,6,24
Kathy Coder,,,,,2,0,0,0,7,24
Jeff Bartos,,,,,,0,0,0,8,24
Diana Irey Vaughan,,,,,,,1,0,9,24
Peg Luksik,,,,,,,,0,10,24
Total,11,11,11,11,9,4,2,1,11,24
