col_1,col_2,col_3,col_4,col_5,col_6,order,division
James G Donnelly Sr,,6,24,21,21,4,9
Mary Ann Quartullo,,,2,23,21,5,9
Patrick Parkinson,,,,3,21,6,9
John Dellricci,,,,,2,7,9
Total,31,30,28,27,23,8,9
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,10
,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,10
Kathy Enggasser,4,6,7,6,6,3,10
James G Donnelly Sr,,3,6,6,6,4,10
Mary Ann Quartullo,,,2,6,6,5,10
John Dellricci,,,,2,6,6,10
Patrick Parkinson,,,,,2,7,10
Total,11,9,9,8,8,8,10
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,11
,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,James G Donnelly Sr,2,11
John Dellricci,4,9,7,8,7,3,11
Kathy Enggasser,,0,8,8,7,4,11
Mary Ann Quartullo,,,0,7,7,5,11
Patrick Parkinson,,,,0,7,6,11
James G Donnelly Sr,,,,,0,7,11
Total,13,10,8,8,7,8,11
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,12
,Mary Ann Quartullo,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Patrick Parkinson,2,12
Mary Ann Quartullo,2,12,11,11,10,3,12
Kathy Enggasser,,1,11,11,10,4,12
James G Donnelly Sr,,,1,11,10,5,12
John Dellricci,,,,1,10,6,12
Patrick Parkinson,,,,,1,7,12
Total,14,13,12,12,11,8,12
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,13
,John Dellricci,Mary Ann Quartullo,Kathy Enggasser,Patrick Parkinson,James G Donnelly Sr,2,13
John Dellricci,4,13,12,12,13,3,13
Mary Ann Quartullo,,2,13,13,14,4,13
Kathy Enggasser,,,2,13,13,5,13
Patrick Parkinson,,,,2,13,6,13
James G Donnelly Sr,,,,,0,7,13
Total,17,16,15,15,14,8,13
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,14
,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Patrick Parkinson,Mary Ann Quartullo,2,14
James G Donnelly Sr,1,8,9,9,8,3,14
Kathy Enggasser,,2,7,8,7,4,14
John Dellricci,,,0,8,8,5,14
Patrick Parkinson,,,,0,8,6,14
Mary Ann Quartullo,,,,,0,7,14
Total,11,10,9,9,8,8,14
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,15
,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,James G Donnelly Sr,2,15
John Dellricci,2,15,14,13,13,3,15
Kathy Enggasser,,0,15,13,13,4,15
Mary Ann Quartullo,,,1,13,13,5,15
Patrick Parkinson,,,,1,13,6,15
James G Donnelly Sr,,,,,0,7,15
Total,17,16,16,14,13,8,15
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,16
,John Dellricci,Mary Ann Quartullo,James G Donnelly Sr,Kathy Enggasser,Patrick Parkinson,2,16
John Dellricci,2,11,10,10,10,3,16
Mary Ann Quartullo,,0,10,10,10,4,16
James G Donnelly Sr,,,0,10,10,5,16
Kathy Enggasser,,,,0,10,6,16
Patrick Parkinson,,,,,0,7,16
Total,13,11,10,10,10,8,16
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,17
,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,17
Kathy Enggasser,3,14,14,15,13,3,17
James G Donnelly Sr,,1,13,14,13,4,17
John Dellricci,,,1,14,13,5,17
Mary Ann Quartullo,,,,0,13,6,17
Patrick Parkinson,,,,,1,7,17
Total,18,15,15,15,14,8,17
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,18
,James G Donnelly Sr,Kathy Enggasser,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,18
James G Donnelly Sr,4,14,14,14,14,3,18
Kathy Enggasser,,2,16,13,13,4,18
Mary Ann Quartullo,,,2,13,13,5,18
John Dellricci,,,,1,14,6,18
Patrick Parkinson,,,,,0,7,18
Total,19,18,18,15,14,8,18
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,19
,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,19
Kathy Enggasser,5,8,7,7,7,3,19
James G Donnelly Sr,,2,7,7,8,4,19
John Dellricci,,,3,7,7,5,19
Mary Ann Quartullo,,,,1,7,6,19
Patrick Parkinson,,,,,0,7,19
Total,13,11,10,8,8,8,19
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,20
,Mary Ann Quartullo,John Dellricci,Kathy Enggasser,James G Donnelly Sr,Patrick Parkinson,2,20
Mary Ann Quartullo,1,11,12,11,10,3,20
John Dellricci,,1,11,12,10,4,20
Kathy Enggasser,,,0,11,11,5,20
James G Donnelly Sr,,,,0,10,6,20
Patrick Parkinson,,,,,0,7,20
Total,14,13,13,12,11,8,20
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,21
,Kathy Enggasser,Mary Ann Quartullo,John Dellricci,James G Donnelly Sr,Patrick Parkinson,2,21
Kathy Enggasser,2,22,20,19,18,3,21
Mary Ann Quartullo,,2,20,19,18,4,21
John Dellricci,,,1,19,19,5,21
James G Donnelly Sr,,,,1,19,6,21
Patrick Parkinson,,,,,1,7,21
Total,24,24,22,21,20,8,21
,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,22
,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,22
Kathy Enggasser,5,10,10,10,10,3,22
James G Donnelly Sr,,4,10,10,10,4,22
Mary Ann Quartullo,,,3,10,10,5,22
John Dellricci,,,,1,10,6,22
Patrick Parkinson,,,,,0,7,22
Total,15,14,13,11,10,8,22
