col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,order,division
Mary Gay Scanlon,,,,,,,,,,,,0,0,0,0,0,0,14,8
Molly Sheehan,,,,,,,,,,,,,0,0,0,0,0,15,8
Rich Lazer,,,,,,,,,,,,,,0,0,0,0,16,8
Shelly Chauncey,,,,,,,,,,,,,,,0,0,0,17,8
Thaddeus Kirkland,,,,,,,,,,,,,,,,0,0,18,8
Theresa M Wright,,,,,,,,,,,,,,,,,0,19,8
Total,29,17,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,9
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Rich Lazer,Theresa M Wright,Molly Sheehan,Greg Vitali,Lindy Li,Mary Gay Scanlon,Thaddeus Kirkland,Ashley Lunkenheimer,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,2,9
Torri Douglas,0,17,17,16,5,5,4,1,1,3,3,1,0,0,0,0,0,3,9
Kyle J Sampson,,0,17,16,5,4,2,1,1,3,2,1,0,0,0,0,0,4,9
Kyle Shenandoah,,,0,15,5,4,3,0,1,3,2,1,0,0,0,0,0,5,9
Marisa Piccarreto,,,,0,5,4,2,2,2,3,1,0,0,0,0,0,0,6,9
Rich Lazer,,,,,16,0,0,0,0,0,0,0,0,0,0,0,0,7,9
Theresa M Wright,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,9
Molly Sheehan,,,,,,,1,0,0,0,0,0,0,0,0,0,0,9,9
Greg Vitali,,,,,,,,1,0,0,0,0,0,0,0,0,0,10,9
Lindy Li,,,,,,,,,2,0,0,0,0,0,0,0,0,11,9
Mary Gay Scanlon,,,,,,,,,,0,0,0,0,0,0,0,0,12,9
Thaddeus Kirkland,,,,,,,,,,,0,0,0,0,0,0,0,13,9
