col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,order,division
Noam Kugelmass,,,,,,,,,,,0,5,2,0,0,0,0,13,2
Jon Geeting,,,,,,,,,,,,0,4,0,0,0,0,14,2
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,2
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,2
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,2
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,2
Torri Douglas,,,,,,,,,,,,,,,,,0,19,2
Total,48,27,24,23,22,21,21,20,20,18,17,12,8,0,0,0,0,20,2
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,3
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,3
Torri Douglas,12,24,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Kyle J Sampson,,7,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
Marisa Piccarreto,,,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
Kyle Shenandoah,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,3
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,3
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,3
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,11,3
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,12,3
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,13,3
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,14,3
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,3
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16,3
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17,3
Rhea Powell,,,,,,,,,,,,,,,,0,0,18,3
Tom Young,,,,,,,,,,,,,,,,,0,19,3
Total,39,33,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,4
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,4
Torri Douglas,11,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Kyle Shenandoah,,5,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Marisa Piccarreto,,,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
Kyle J Sampson,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,4
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,4
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,4
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,11,4
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,12,4
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,13,4
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,14,4
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,4
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16,4
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17,4
Rhea Powell,,,,,,,,,,,,,,,,0,0,18,4
Tom Young,,,,,,,,,,,,,,,,,0,19,4
Total,42,38,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,5
,Rhea Powell,Micah Mahjoubian,Tom Young,Joe Celentano,Amanda Mcillmurray,Darrell L Clarke,Mariel J K Martin,Marylouise Isaacson,Andi Perez,Judi Golding Baker,Noam Kugelmass,Matthew D Myers,Jon Geeting,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,5
Rhea Powell,9,19,18,18,17,12,16,14,12,13,11,7,2,0,0,0,0,3,5
Micah Mahjoubian,,1,17,17,12,10,10,9,9,7,14,8,1,0,0,0,0,4,5
Tom Young,,,2,17,10,9,9,9,7,5,11,6,2,0,0,0,0,5,5
Joe Celentano,,,,1,8,7,6,5,8,6,12,5,2,0,0,0,0,6,5
Amanda Mcillmurray,,,,,0,11,15,16,9,12,5,8,0,0,0,0,0,7,5
Darrell L Clarke,,,,,,3,8,9,7,7,2,8,0,0,0,0,0,8,5
Mariel J K Martin,,,,,,,0,13,9,10,4,5,1,0,0,0,0,9,5
Marylouise Isaacson,,,,,,,,0,6,10,3,7,1,0,0,0,0,10,5
Andi Perez,,,,,,,,,0,7,5,4,2,0,0,0,0,11,5
Judi Golding Baker,,,,,,,,,,0,2,4,0,0,0,0,0,12,5
Noam Kugelmass,,,,,,,,,,,0,2,1,0,0,0,0,13,5
Matthew D Myers,,,,,,,,,,,,0,0,0,0,0,0,14,5
Jon Geeting,,,,,,,,,,,,,0,0,0,0,0,15,5
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,5
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,5
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,5
Torri Douglas,,,,,,,,,,,,,,,,,0,19,5
Total,39,25,25,22,20,18,18,17,15,14,14,11,2,0,0,0,0,20,5
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,6
,Torri Douglas,Kyle Shenandoah,Marisa Piccarreto,Kyle J Sampson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,6
Torri Douglas,11,27,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
Kyle Shenandoah,,6,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
Marisa Piccarreto,,,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Kyle J Sampson,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,6
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,6
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,6
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,11,6
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,12,6
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,13,6
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,14,6
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,6
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16,6
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17,6
Rhea Powell,,,,,,,,,,,,,,,,0,0,18,6
Tom Young,,,,,,,,,,,,,,,,,0,19,6
Total,41,39,39,33,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,7
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,7
Torri Douglas,13,34,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
Marisa Piccarreto,,9,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
Kyle J Sampson,,,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
Kyle Shenandoah,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,7
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,7
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,7
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,11,7
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,12,7
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,13,7
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,14,7
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,7
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16,7
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17,7
Rhea Powell,,,,,,,,,,,,,,,,0,0,18,7
Tom Young,,,,,,,,,,,,,,,,,0,19,7
Total,51,48,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,8
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,8
Torri Douglas,7,43,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Marisa Piccarreto,,6,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
Kyle Shenandoah,,,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Kyle J Sampson,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,8
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,8
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,8
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,11,8
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,12,8
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,13,8
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,14,8
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,8
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16,8
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17,8
Rhea Powell,,,,,,,,,,,,,,,,0,0,18,8
Tom Young,,,,,,,,,,,,,,,,,0,19,8
Total,50,49,47,42,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,9
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,9
Torri Douglas,14,19,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
Marisa Piccarreto,,6,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
Kyle Shenandoah,,,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
Kyle J Sampson,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,9
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,9
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,9
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,11,9
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,12,9
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,13,9
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,14,9
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,9
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16,9
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17,9
Rhea Powell,,,,,,,,,,,,,,,,0,0,18,9
Tom Young,,,,,,,,,,,,,,,,,0,19,9
Total,33,27,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,10
,Marisa Piccarreto,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,10
Marisa Piccarreto,6,12,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
Torri Douglas,,3,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
Kyle Shenandoah,,,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
Kyle J Sampson,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,10
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,10
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,10
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,11,10
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,12,10
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,13,10
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,14,10
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,10
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16,10
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17,10
Rhea Powell,,,,,,,,,,,,,,,,0,0,18,10
Tom Young,,,,,,,,,,,,,,,,,0,19,10
Total,19,15,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,11
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,11
Torri Douglas,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
Marisa Piccarreto,,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
Kyle J Sampson,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
Kyle Shenandoah,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,11
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,11
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,11
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,11,11
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,12,11
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,13,11
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,14,11
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,11
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16,11
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17,11
Rhea Powell,,,,,,,,,,,,,,,,0,0,18,11
Tom Young,,,,,,,,,,,,,,,,,0,19,11
Total,6,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,12
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,12
Torri Douglas,11,34,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
Marisa Piccarreto,,3,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
Kyle J Sampson,,,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
Kyle Shenandoah,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12
Amanda Mcillmurray,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12
Andi Perez,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,8,12
Darrell L Clarke,,,,,,,0,0,0,0,0,0,0,0,0,0,0,9,12
Joe Celentano,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,12
Jon Geeting,,,,,,,,,0,0,0,0,0,0,0,0,0,11,12
Judi Golding Baker,,,,,,,,,,0,0,0,0,0,0,0,0,12,12
Mariel J K Martin,,,,,,,,,,,0,0,0,0,0,0,0,13,12
Marylouise Isaacson,,,,,,,,,,,,0,0,0,0,0,0,14,12
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,12
Micah Mahjoubian,,,,,,,,,,,,,,0,0,0,0,16,12
Noam Kugelmass,,,,,,,,,,,,,,,0,0,0,17,12
Rhea Powell,,,,,,,,,,,,,,,,0,0,18,12
Tom Young,,,,,,,,,,,,,,,,,0,19,12
Total,45,40,38,34,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,13
,Rhea Powell,Tom Young,Micah Mahjoubian,Andi Perez,Marylouise Isaacson,Darrell L Clarke,Noam Kugelmass,Amanda Mcillmurray,Joe Celentano,Judi Golding Baker,Mariel J K Martin,Jon Geeting,Matthew D Myers,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,13
Rhea Powell,3,21,20,16,20,11,15,15,14,14,12,7,7,0,0,0,0,3,13
Tom Young,,0,20,14,15,12,12,7,14,7,9,6,8,0,0,0,0,4,13
Micah Mahjoubian,,,1,12,13,9,12,7,14,7,6,7,6,0,0,0,0,5,13
Andi Perez,,,,1,18,12,7,11,7,8,10,7,6,0,0,0,0,6,13
Marylouise Isaacson,,,,,0,12,7,14,7,13,12,5,6,0,0,0,0,7,13
Darrell L Clarke,,,,,,4,3,5,2,7,8,1,5,0,0,0,0,8,13
Noam Kugelmass,,,,,,,3,5,10,4,4,3,1,0,0,0,0,9,13
Amanda Mcillmurray,,,,,,,,0,8,10,9,6,2,0,0,0,0,10,13
Joe Celentano,,,,,,,,,0,3,3,7,3,0,0,0,0,11,13
Judi Golding Baker,,,,,,,,,,0,7,1,2,0,0,0,0,12,13
Mariel J K Martin,,,,,,,,,,,0,2,5,0,0,0,0,13,13
Jon Geeting,,,,,,,,,,,,0,4,0,0,0,0,14,13
Matthew D Myers,,,,,,,,,,,,,0,0,0,0,0,15,13
Kyle J Sampson,,,,,,,,,,,,,,0,0,0,0,16,13
Kyle Shenandoah,,,,,,,,,,,,,,,0,0,0,17,13
Marisa Piccarreto,,,,,,,,,,,,,,,,0,0,18,13
Torri Douglas,,,,,,,,,,,,,,,,,0,19,13
Total,35,27,25,23,23,21,19,18,17,14,14,10,9,0,0,0,0,20,13
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,14
,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Micah Mahjoubian,Judi Golding Baker,Tom Young,Noam Kugelmass,Joe Celentano,Darrell L Clarke,Matthew D Myers,Jon Geeting,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Torri Douglas,2,14
Rhea Powell,4,31,26,24,20,19,24,16,15,14,12,9,9,0,0,0,0,3,14
Amanda Mcillmurray,,1,29,27,23,20,26,18,16,16,13,10,10,0,0,0,0,4,14
Marylouise Isaacson,,,1,27,25,21,23,19,13,9,16,14,8,0,0,0,0,5,14
Andi Perez,,,,0,25,20,21,18,11,14,16,13,8,0,0,0,0,6,14
Mariel J K Martin,,,,,0,18,19,14,11,11,11,10,5,0,0,0,0,7,14
Micah Mahjoubian,,,,,,0,14,18,12,11,13,10,7,0,0,0,0,8,14
Judi Golding Baker,,,,,,,0,10,11,10,10,10,5,0,0,0,0,9,14
Tom Young,,,,,,,,0,16,13,13,12,9,0,0,0,0,10,14
Noam Kugelmass,,,,,,,,,2,12,4,5,9,0,0,0,0,11,14
