col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
Dan Tinney,,,,,,,,0,10,14
Total,15,10,4,14,14,14,13,10,11,14
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,15
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Linwood Holland,Paul Mango,Laura Ellsworth,Scott R Wagner,2,15
Camille G Mccolgan,0,1,1,1,0,1,0,0,3,15
Dan Tinney,,0,1,1,0,1,0,0,4,15
Joseph Giedemann,,,0,1,0,1,0,0,5,15
Margaret L Recupido,,,,0,0,1,0,0,6,15
Linwood Holland,,,,,0,0,0,0,7,15
Paul Mango,,,,,,0,0,0,8,15
Laura Ellsworth,,,,,,,0,0,9,15
Scott R Wagner,,,,,,,,0,10,15
Total,1,1,1,1,0,1,0,0,11,15
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,16
,Paul Mango,Scott R Wagner,Laura Ellsworth,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,2,16
Paul Mango,5,0,0,13,12,8,10,7,3,16
Scott R Wagner,,1,0,6,6,6,5,5,4,16
Laura Ellsworth,,,0,5,4,6,4,0,5,16
Dan Tinney,,,,0,19,8,9,2,6,16
Joseph Giedemann,,,,,0,10,11,4,7,16
Margaret L Recupido,,,,,,0,14,9,8,16
Camille G Mccolgan,,,,,,,0,8,9,16
Linwood Holland,,,,,,,,0,10,16
Total,27,14,7,24,22,20,19,12,11,16
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,17
,Paul Mango,Scott R Wagner,Laura Ellsworth,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Dan Tinney,2,17
Paul Mango,0,0,0,8,6,5,2,5,3,17
Scott R Wagner,,2,0,4,5,3,5,1,4,17
Laura Ellsworth,,,0,1,1,1,0,0,5,17
Margaret L Recupido,,,,0,7,3,6,1,6,17
Camille G Mccolgan,,,,,0,3,5,2,7,17
Joseph Giedemann,,,,,,2,2,3,8,17
Linwood Holland,,,,,,,0,1,9,17
Dan Tinney,,,,,,,,0,10,17
Total,15,12,1,13,12,11,7,6,11,17
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,18
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Scott R Wagner,Laura Ellsworth,Paul Mango,2,18
Linwood Holland,0,3,2,2,2,3,1,1,3,18
Camille G Mccolgan,,0,3,2,3,2,2,0,4,18
Dan Tinney,,,0,3,2,1,2,1,5,18
Joseph Giedemann,,,,0,1,1,2,1,6,18
Margaret L Recupido,,,,,0,3,1,0,7,18
Scott R Wagner,,,,,,1,0,0,8,18
Laura Ellsworth,,,,,,,0,0,9,18
Paul Mango,,,,,,,,0,10,18
Total,5,4,4,4,4,5,2,2,11,18
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,19
,Paul Mango,Scott R Wagner,Laura Ellsworth,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,2,19
Paul Mango,9,0,0,13,14,5,5,3,3,19
Scott R Wagner,,2,0,6,4,7,7,8,4,19
Laura Ellsworth,,,1,0,0,0,0,0,5,19
Dan Tinney,,,,1,13,1,4,4,6,19
Joseph Giedemann,,,,,0,2,5,5,7,19
Linwood Holland,,,,,,0,6,6,8,19
Margaret L Recupido,,,,,,,0,10,9,19
Camille G Mccolgan,,,,,,,,0,10,19
Total,32,16,1,20,18,12,12,11,11,19
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,20
,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Linwood Holland,Dan Tinney,Paul Mango,Scott R Wagner,Laura Ellsworth,2,20
Camille G Mccolgan,0,11,10,8,6,7,4,3,3,20
Margaret L Recupido,,0,10,8,6,7,2,4,4,20
Joseph Giedemann,,,0,8,6,5,4,3,5,20
Linwood Holland,,,,0,3,5,3,3,6,20
Dan Tinney,,,,,0,5,2,0,7,20
Paul Mango,,,,,,3,0,0,8,20
Scott R Wagner,,,,,,,0,0,9,20
Laura Ellsworth,,,,,,,,0,10,20
Total,14,13,12,11,7,12,5,4,11,20
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,21
,Paul Mango,Scott R Wagner,Laura Ellsworth,Linwood Holland,Joseph Giedemann,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,2,21
Paul Mango,6,0,0,13,12,7,8,10,3,21
Scott R Wagner,,7,0,6,4,5,6,4,4,21
Laura Ellsworth,,,1,5,7,10,5,6,5,21
Linwood Holland,,,,0,12,14,12,9,6,21
Joseph Giedemann,,,,,0,13,16,9,7,21
Camille G Mccolgan,,,,,,0,14,12,8,21
Dan Tinney,,,,,,,0,9,9,21
Margaret L Recupido,,,,,,,,0,10,21
Total,27,20,14,25,24,23,20,20,11,21
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,22
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Paul Mango,Scott R Wagner,Laura Ellsworth,2,22
Linwood Holland,0,11,7,7,9,5,7,5,3,22
Camille G Mccolgan,,0,7,8,9,7,5,4,4,22
Dan Tinney,,,0,12,6,7,5,5,5,22
Joseph Giedemann,,,,0,6,11,4,2,6,22
Margaret L Recupido,,,,,0,6,2,3,7,22
Paul Mango,,,,,,0,0,0,8,22
Scott R Wagner,,,,,,,1,0,9,22
Laura Ellsworth,,,,,,,,1,10,22
Total,18,17,17,17,12,17,10,9,11,22
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,23
,Paul Mango,Scott R Wagner,Laura Ellsworth,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Margaret L Recupido,Linwood Holland,2,23
Paul Mango,5,0,0,8,11,11,8,3,3,23
Scott R Wagner,,5,0,8,5,5,7,5,4,23
Laura Ellsworth,,,2,4,4,2,3,4,5,23
Camille G Mccolgan,,,,0,9,9,15,7,6,23
Joseph Giedemann,,,,,0,14,9,5,7,23
Dan Tinney,,,,,,0,9,3,8,23
Margaret L Recupido,,,,,,,0,8,9,23
Linwood Holland,,,,,,,,0,10,23
Total,21,19,9,20,20,18,18,12,11,23
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,24
,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Linwood Holland,Joseph Giedemann,Paul Mango,Scott R Wagner,Laura Ellsworth,2,24
Camille G Mccolgan,0,27,12,20,11,10,11,11,3,24
Margaret L Recupido,,0,11,19,10,11,12,9,4,24
Dan Tinney,,,0,9,23,16,7,6,5,24
Linwood Holland,,,,0,6,10,13,5,6,24
Joseph Giedemann,,,,,0,17,7,3,7,24
Paul Mango,,,,,,4,0,0,8,24
Scott R Wagner,,,,,,,3,0,9,24
Laura Ellsworth,,,,,,,,3,10,24
Total,32,32,29,28,27,29,25,15,11,24
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,25
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Scott R Wagner,Laura Ellsworth,Paul Mango,2,25
Margaret L Recupido,0,11,9,8,6,5,5,5,3,25
Camille G Mccolgan,,0,7,5,6,5,5,3,4,25
Dan Tinney,,,0,10,5,4,3,5,5,25
Joseph Giedemann,,,,0,4,5,2,5,6,25
Linwood Holland,,,,,0,8,2,2,7,25
Scott R Wagner,,,,,,1,0,0,8,25
Laura Ellsworth,,,,,,,2,0,9,25
Paul Mango,,,,,,,,0,10,25
Total,15,13,12,12,12,14,7,5,11,25
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,26
,Dan Tinney,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Linwood Holland,Paul Mango,Scott R Wagner,Laura Ellsworth,2,26
Dan Tinney,0,8,13,8,5,6,8,2,3,26
Camille G Mccolgan,,0,10,10,7,7,7,1,4,26
Joseph Giedemann,,,0,9,7,7,8,0,5,26
Margaret L Recupido,,,,0,6,6,7,0,6,26
Linwood Holland,,,,,0,7,4,1,7,26
Paul Mango,,,,,,1,0,0,8,26
Scott R Wagner,,,,,,,1,0,9,26
Laura Ellsworth,,,,,,,,2,10,26
Total,16,15,15,13,12,13,11,5,11,26
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,27
,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Linwood Holland,Scott R Wagner,Laura Ellsworth,Paul Mango,2,27
Margaret L Recupido,0,12,6,5,9,7,6,3,3,27
Camille G Mccolgan,,0,7,6,10,7,4,2,4,27
Joseph Giedemann,,,0,8,4,4,2,3,5,27
Dan Tinney,,,,0,3,4,2,2,6,27
Linwood Holland,,,,,0,4,4,2,7,27
Scott R Wagner,,,,,,3,0,0,8,27
Laura Ellsworth,,,,,,,1,0,9,27
Paul Mango,,,,,,,,0,10,27
Total,16,13,11,10,10,11,7,5,11,27
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,28
,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Paul Mango,Scott R Wagner,Laura Ellsworth,2,28
Camille G Mccolgan,0,10,11,6,4,9,7,0,3,28
Linwood Holland,,0,9,4,3,7,8,0,4,28
Margaret L Recupido,,,0,4,3,7,6,0,5,28
Joseph Giedemann,,,,0,6,3,5,2,6,28
Dan Tinney,,,,,0,2,3,1,7,28
Paul Mango,,,,,,3,0,0,8,28
Scott R Wagner,,,,,,,0,0,9,28
Laura Ellsworth,,,,,,,,1,10,28
Total,16,15,13,10,6,14,12,3,11,28
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,29
,Camille G Mccolgan,Linwood Holland,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Paul Mango,Scott R Wagner,Laura Ellsworth,2,29
