col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
Kathi Cozzone,,,,0,0,0,0,6,6
Nina Ahmad,,,,,2,0,0,7,6
John Fetterman,,,,,,1,0,8,6
Ray Sosa,,,,,,,0,9,6
Total,27,14,21,9,8,7,0,10,6
,Lieutenant Governor - Democrat,,,,,Representative In Congress 2nd District - Democrat,,1,7
,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Brendan F Boyle,Michele Lawrence,2,7
Mike Stack,1,0,0,0,0,19,8,3,7
Kathi Cozzone,,4,0,0,0,2,14,4,7
John Fetterman,,,0,0,0,5,1,5,7
Nina Ahmad,,,,0,0,1,1,6,7
Ray Sosa,,,,,0,0,0,7,7
Brendan F Boyle,,,,,,0,0,8,7
Michele Lawrence,,,,,,,1,9,7
Total,28,20,6,2,0,27,25,10,7
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,8
,Brendan F Boyle,Michele Lawrence,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,8
Brendan F Boyle,2,0,24,11,6,5,0,3,8
Michele Lawrence,,1,9,7,6,1,0,4,8
Mike Stack,,,2,0,0,0,0,5,8
Nina Ahmad,,,,0,0,0,0,6,8
Kathi Cozzone,,,,,3,0,0,7,8
John Fetterman,,,,,,0,0,8,8
Ray Sosa,,,,,,,0,9,8
Total,48,24,35,18,15,6,0,10,8
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,9
,Brendan F Boyle,Michele Lawrence,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,9
Brendan F Boyle,6,0,26,9,12,1,1,3,9
Michele Lawrence,,0,7,19,6,7,0,4,9
Mike Stack,,,9,0,0,0,0,5,9
Nina Ahmad,,,,0,0,0,0,6,9
John Fetterman,,,,,2,0,0,7,9
Kathi Cozzone,,,,,,1,0,8,9
Ray Sosa,,,,,,,1,9,9
Total,55,39,42,28,20,9,2,10,9
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,10
,Brendan F Boyle,Michele Lawrence,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,10
Brendan F Boyle,2,0,32,14,12,7,1,3,10
Michele Lawrence,,1,12,8,3,7,1,4,10
Mike Stack,,,3,0,0,0,0,5,10
Nina Ahmad,,,,0,0,0,0,6,10
John Fetterman,,,,,2,0,0,7,10
Kathi Cozzone,,,,,,3,0,8,10
Ray Sosa,,,,,,,0,9,10
Total,68,32,47,22,17,17,2,10,10
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,11
,Brendan F Boyle,Michele Lawrence,Mike Stack,Nina Ahmad,Kathi Cozzone,Ray Sosa,John Fetterman,2,11
Brendan F Boyle,1,0,14,9,1,1,0,3,11
Michele Lawrence,,4,6,5,4,1,0,4,11
Mike Stack,,,1,0,0,0,0,5,11
Nina Ahmad,,,,0,0,0,0,6,11
Kathi Cozzone,,,,,1,0,0,7,11
Ray Sosa,,,,,,0,0,8,11
John Fetterman,,,,,,,0,9,11
Total,26,20,21,14,6,2,0,10,11
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,12
,Michele Lawrence,Brendan F Boyle,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,12
Michele Lawrence,2,0,2,9,4,2,0,3,12
Brendan F Boyle,,0,8,1,2,0,0,4,12
Mike Stack,,,2,0,0,0,0,5,12
Kathi Cozzone,,,,1,0,0,0,6,12
Nina Ahmad,,,,,0,0,0,7,12
John Fetterman,,,,,,0,0,8,12
Ray Sosa,,,,,,,0,9,12
Total,19,11,12,11,6,2,0,10,12
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,13
,Brendan F Boyle,Michele Lawrence,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,13
Brendan F Boyle,6,0,46,13,9,0,0,3,13
Michele Lawrence,,2,11,11,8,12,0,4,13
Mike Stack,,,7,0,0,0,0,5,13
Nina Ahmad,,,,2,0,0,0,6,13
John Fetterman,,,,,0,0,0,7,13
Kathi Cozzone,,,,,,1,0,8,13
Ray Sosa,,,,,,,0,9,13
Total,74,44,64,26,17,13,0,10,13
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,14
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,14
Brendan F Boyle,0,0,21,4,8,3,0,3,14
Michele Lawrence,,0,10,8,3,7,1,4,14
Mike Stack,,,3,0,0,0,0,5,14
Kathi Cozzone,,,,0,0,0,0,6,14
John Fetterman,,,,,0,0,0,7,14
Nina Ahmad,,,,,,0,0,8,14
Ray Sosa,,,,,,,0,9,14
Total,36,29,34,12,11,10,1,10,14
,Lieutenant Governor - Democrat,,,,,Representative In Congress 2nd District - Democrat,,1,15
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Brendan F Boyle,Michele Lawrence,2,15
Mike Stack,2,0,0,0,0,13,4,3,15
Kathi Cozzone,,2,0,0,0,0,7,4,15
Nina Ahmad,,,0,0,0,2,4,5,15
John Fetterman,,,,0,0,1,0,6,15
Ray Sosa,,,,,0,0,0,7,15
Brendan F Boyle,,,,,,0,0,8,15
Michele Lawrence,,,,,,,0,9,15
Total,19,9,6,1,0,16,15,10,15
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,16
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,16
Brendan F Boyle,2,0,41,3,4,2,1,3,16
Michele Lawrence,,1,8,4,0,1,0,4,16
Mike Stack,,,1,0,0,0,0,5,16
Kathi Cozzone,,,,2,0,0,0,6,16
Nina Ahmad,,,,,1,0,0,7,16
John Fetterman,,,,,,0,0,8,16
Ray Sosa,,,,,,,0,9,16
Total,53,14,50,9,5,3,1,10,16
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,17
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,17
Brendan F Boyle,6,0,17,1,5,1,0,3,17
Michele Lawrence,,2,3,12,3,0,1,4,17
Mike Stack,,,6,0,0,0,0,5,17
Kathi Cozzone,,,,1,0,0,0,6,17
Nina Ahmad,,,,,1,0,0,7,17
John Fetterman,,,,,,0,0,8,17
Ray Sosa,,,,,,,0,9,17
Total,30,21,26,14,9,1,1,10,17
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,18
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,18
Brendan F Boyle,2,0,20,4,2,0,0,3,18
Michele Lawrence,,0,5,9,2,3,0,4,18
Mike Stack,,,2,0,0,0,0,5,18
Kathi Cozzone,,,,2,0,0,0,6,18
John Fetterman,,,,,0,0,0,7,18
Nina Ahmad,,,,,,0,0,8,18
Ray Sosa,,,,,,,0,9,18
Total,28,19,27,15,4,3,0,10,18
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,19
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,19
Brendan F Boyle,4,0,27,1,1,2,0,3,19
Michele Lawrence,,1,4,11,2,0,0,4,19
Mike Stack,,,1,0,0,0,0,5,19
Kathi Cozzone,,,,2,0,0,0,6,19
John Fetterman,,,,,1,0,0,7,19
Nina Ahmad,,,,,,1,0,8,19
Ray Sosa,,,,,,,0,9,19
Total,35,18,32,14,4,3,0,10,19
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,20
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,20
Brendan F Boyle,3,0,24,5,5,1,1,3,20
Michele Lawrence,,3,9,7,0,3,0,4,20
Mike Stack,,,2,0,0,0,0,5,20
Kathi Cozzone,,,,1,0,0,0,6,20
John Fetterman,,,,,0,0,0,7,20
Nina Ahmad,,,,,,0,0,8,20
Ray Sosa,,,,,,,0,9,20
Total,39,22,35,13,5,4,1,10,20
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,21
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,21
Brendan F Boyle,7,0,33,4,4,2,0,3,21
Michele Lawrence,,5,2,11,7,0,0,4,21
Mike Stack,,,5,0,0,0,0,5,21
Kathi Cozzone,,,,3,0,0,0,6,21
Nina Ahmad,,,,,0,0,0,7,21
John Fetterman,,,,,,0,0,8,21
Ray Sosa,,,,,,,0,9,21
Total,50,25,40,18,11,2,0,10,21
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,22
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,22
Brendan F Boyle,2,0,13,2,1,3,0,3,22
Michele Lawrence,,0,1,1,1,0,0,4,22
Mike Stack,,,1,0,0,0,0,5,22
Kathi Cozzone,,,,2,0,0,0,6,22
John Fetterman,,,,,1,0,0,7,22
Nina Ahmad,,,,,,0,0,8,22
Ray Sosa,,,,,,,0,9,22
Total,21,3,15,5,3,3,0,10,22
,Lieutenant Governor - Democrat,,,,,Representative In Congress 2nd District - Democrat,,1,23
,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,Brendan F Boyle,Michele Lawrence,2,23
Mike Stack,0,0,0,0,0,12,4,3,23
Kathi Cozzone,,1,0,0,0,2,5,4,23
John Fetterman,,,0,0,0,1,1,5,23
Nina Ahmad,,,,0,0,0,1,6,23
Ray Sosa,,,,,0,0,1,7,23
Brendan F Boyle,,,,,,0,0,8,23
Michele Lawrence,,,,,,,1,9,23
Total,16,8,2,1,1,15,13,10,23
